title,text
Miramar Beach 🌊,This beach is very close to my house and I’m very regular with this beach. It’s little crowded but you won’t find any problem if you maintain social distancing from each others. Good for morning and evening walk. And you will  have wonderful experience.
Quite and Less Commercialised,"Miramar is another beach in South Goa, comparatively less crowded and less commercialized. A clean sandy beach with a patch of trees, that provides shade from the blazing Sun near the beach. Comparatively quiet beach, where one can enjoy a morning / evening stroll or relish the nature peacefully."
Not impressive,This beach to good for a walk and small stay but not for swimming or surfing. Water quality is bit poor.
Amazing place ,Memorable place to explore goa. Do try the ice gola at the beach entrance especially the milk made one.
Miramar Beach,Miramar Beach is a very beautifulbeach is Goa. It is a paradise on earth and must be visited atleast once in a lifetime.
Shady area also near beach,"There is a patch of trees giving shade from the heat near the beach. Had fresh coconuts and mango slices with the salty chilli lemon, delicious!"
Nice ,This beach is really good and nature friendly and its also good for family if you want to spend time its nice place...
Small beach beside coniferous Pine Forest,The beach is small and less crowded than north and south Goa beaches. There are no restaurants except one soft drinks center on the beach. No water sports activity center is available. Overall it is a nice beach for morning/evening walk and may be for a bath.
Less crowded beach in Panaji,This is a much less crowded beach in Goa as compared to more popular beaches like Kalangoot and Baga. One would find more local people on the beach rather than tourists. The slope of the beach is very gentle so waves would not be that great. It’s a beach to enjoy for those who want to spend time in solitude in the midst of nature.
A Polluted Paradise,"(Please read the whole article) Miramar Beach is one of the most famous beaches in Goa. It is a vast beach stretching from River Mandovi to the Arabian Sea at their confluence. Beaches are one of the most important venues to go and relax, sometimes even attain complete peace. Miramar beach is non the less. The NO. 1 activity I recommend that visitors must do, at least for a minimum of 2 minutes, is just close their eyes and listen to the the sound of the waves. It is also the ideal 'Sunset Point' in Panaji. But, due to pollution, this beach is loosing its glorious beauty. I request every one reading this article to not pollute Miramar Beach."
The place to go to have a very popular savoury called CHAAT.,"There is a line of nearly 20 carts on wheels selling a very popular cuisine called chaat. Choose from Pani puri, ragada pattice, bhel puri, sev batata puri, Pao bhai.....all available from 6 PM to 10.00pmopposite the chaat sellers you can find a place that sells some goan delicacies like cutlet bread, chourice pao, croquet, potato chips and a host of other stuff.a few coffee houses in the area as well. perfect cup & cafe coffee day."
Shade less beach,Be aware that there are no deck chairs or umbrellas of any sort for shade just a long sandy beach with no cover. There is a bit of woodland to seek some shade in. Otherwise quite pleasant as it is a local’s beach and has a non tourist ambiance.
