title,text
Everest Conquest,The trekking in Mt Everest is one of the best experience ever in our life. Really impressive and memorable with the challenges.
Tracking,Mount Everest base camp in Nepal one of the most popular place for tourist many people Can you going to travel with tracking guides.
Fantastic Setting in Remote Area,"I had two Everest experiences. The first was a scenic flight from Kathmandu which was breathtaking. We flew up and down the Himalayan Range. Everyone had a window seat and we took turns stepping into the pilot's cabin for pictures. The second was a 14 day small group (6 hikers + guides and helpers) Everest lodge to lodge treks through Himalayan villages (but not to Base Camp). We maxed out at about 13,000 feet. The views of Everest and the surrounding mountains were magnificent. Also, it was fascinating seeing the local village life as we walked through and stayed in places such as Lukla, Phakding, Namche Bazaar, Tengboche (closest to Mt. Everest), Khumjung and Thame. We shared the trails with yaks, zopkio (a cross between a yak and a cow) , donkeys, locals and porters carrying loads of all sizes and shapes as much as 200 pounds. These villages are many days walk from the nearest road. In many ways life was like the way it might have been centuries ago. In all, this was a fantastic experience in so many ways."
Most amazing experience ever,Most breathtaking views and a wonderful trek. Mount Everest is the place to be once in a lifetime. But get prepared for high altitude and you are ready for it.
Wonderful trek to Everest Base camp Trek with Mountain Sherpa Trekking & Expeditions,"We just came from our 11 days Everest base camp trek with Mountain Sherpa Trekking & Expedition. It was really a wonderful trekking experience from day we start our trek from Lukla to end. Our total trip durations was 15 nights 16 days.Nepal had been on my bucket list for years. I am so happy I was able to experience the Everest base camp Trek with Mountain Sherpa trekking & Expeditions. My wife and me did private Custom trek, which was perfect plan.I want to start off by saying our local Sherpa guide Rinji Sherpa was PHENOMENAL! Rinji English was good enough and he was really reliable guide that we always feel 100% safe with him.  He is very experienced about the Khumbu area including all aspects of Sherpa culture and history and told us many stories along the way.Our Poter Kami Sherpa was amazing, carried all our gears, very hard working and always smiling. Mountain Sherpa trekking & Expeditions really differentiates itself by confirming that all of their staff are treated well ranging from the porters and tour guides. MST provides their staff with standardized gear like hiking shoes and the essential clothing for the weather. This may seem common but unfortunately isn't the case with all company - as you will frequently see porters from other companies hiking in flip-flops and all kinds of uncomfortable shoes. The porters are often covered in sweat and work extremely hard so it is very reassuring to know that they are treated appropriately. We had some time to get to see some of the porters and study a little bit about what they were carrying and also have a brief insight into their lives - you really do appreciate them a lot more and realize why its crucial that they should be treated well.Also I appreciated that Mountain Sherpa trekking provided quality lodge accommodations options as per clients budget and requirements. Overall, this was an amazing experience and I would definitely use Mountain Sherpa trekking if I came back. The trek itself was challenging than I thought, yet really worthwhile. Once we reached top of Kala Patthar, we could spectacular 360 views that surrounded us. This trek is very popular trek so it was much busier and crowded than I expected. . I’m glad I had booked our  Lukla flight in advance because it was best to get flight ticket on 1st or 2nd flight schedule which is roughly 80% less chance of cancelations. Tandi, Pasang & Sumba and Rinji if you're reading this, thank you very much again and I hope you continue to keep it up and pass on this note to all the team that helped shape our experience. We truly have so many stories and memories to share from this one and it would not have been the same without you."
"Amazing views, no picture can do it justice","I'd heard that the rubbish was pretty bad, but actually I rarely saw rubbish and there were a lot of bins along the way as well as lots of recycling initiatives...There were of course some spots just off the path where people had chosen to go to the loo...I can't understand why people don't take their tissues with them- take a doggy/ nappy bag to put them in- it's disgusting that so much tissue is strewn across areas- which would take years to decompose- but at least these were off the path."
Amazing mountains range including mt. Everest,My dream bacame true. I was dreaming to be here for long time. I am very thankful to my friends who arrange this trek. I saw mt.everest in front of me from kalapathar it was frezzing cold but the view of this gaint mountains took out every obstacles.I also saw mt.lhotse mt makalu and many other peaks. This mountains looks like alps but in reality they are so big. The khumbu glaciers is too big and beautiful but the sad thing is it is melting quickly.I highly recomend to everybody to go mt.everest base camp once in a life so that you can enjoy the nature and amazing sherpa people hospitality ..
Sagarmatha National Park,Amazing Scenery of the mountains around and the trek is refreshing as you walking up the mountain to Base Camp.
Sagarmatha,"Its a pity the previous correspondents have shown disrespect to this iconic mountain and the many that have lost their lives whilst attempting to conquer it. They cannot have  stood before it so come on TripAdvisor do your thing.Which ever route you take, the hard work is really worth the effort when you look over the mountain tops and see Sagarmatha grace the skies.  We chose to view it from Gokyo Ri, far quieter than EBC.A truly wonderful spectacle and a once in a life time chance.  Don't die wondering!!"
Team Diddlie Bop! Random Hills are not Mountains in Nepal! Quote Sherpa Finjo.,"Mountain Monarch totally catered for our needs in all areas on this trek to Base camp, fantastic Sherpa / guide, the companies philosophy 'one porter one bag' is an endearing and developing way for the future care of the porters, sharing the economics of the company further by way of employment & community spirit. The gear supplied, sleeping bags/liners, jackets, rain protection, food & accommodation provided, itinerary, trek, air port pick up- drop offs, safe trekking policy ensured that we had a fantastic trip. full of surprises, fun and meeting great people. In the event of any issue there was always a back up strategy IE. no planes out of Lukla, lets grab a chopper!!!! Top origination-Pridip, excellent Guide- Finjo and great porters -Ambi and Depee."
