title,text
Great excursion to the summit of Mt. Moiwa!,"Great excursion involving various forms of transportation to get to the summit of Mt. Moiwa (531m).  First you need to take the subway to Susukino subway station (Station N08 on the Namboku Subway Line), then interchange with the Sapporo Streetcar (tram) at street level (Streetcar stop SC23).   Take the tram to Ropeway Iriguchi (Streetcar stop SC10); 11-stops anticlockwise or 13-stops in a clockwise direction.  Close by the Ropeway tram stop, there is a bus stop with turning circle for the Ropeway shuttle bus; a green 4WD, hi-wheelbase minibus, which takes 5-mins to negotiate the climb up the hill to the Moiwa Base Station.The 1st leg from Base Station to Mid Station is by Ropeway; the gondola can accommodate up to 66 passengers for the 5-min journey and gondolas depart every 15-mins.  At Mid  Station you transfer to the Mo-risu Cars which transport you to the Summit Station in 2-mins.  The Mo-risu consist of a pair of mini cable cars in tandem; each can hold 30 passengers (60 in total) and also depart every 15-mins.When I travelled on a January Monday morning, traffic was surprisingly light and blessed with good visibility the views of snow-covered Sapporo from the summit were spectacular.  Great excursion, enjoyed the transportation and a special shout-out to Mt. Moiwa Ropeway for giving a discount to Senior Citizens like myself!"
Lovely View of Sapporo,The view from the top was beautiful.  Playing in the snow was fun.  It was really fun to watch a family from Malaysia playing in the snow for their first time!  We enjoyed talking to people from around the world.
Weather and views were fabulous,"Visited with familyPros1) There was a free shuttle from the tram station. As usual, the shuttle driver was helpful especially we had a baby in tow.2) Went there right after breakfast, which was just right for a family with baby. But it would have been more perfect night time with the city lights view.3) Weather was nice. Coming from a tropical country, the almost winter weather was nice and cooling.4) They had several snack shops and a restaurant, so food is not really a problem.5) Some of my family members opted to hike going up Mt. Moiwa but most of us took the cable car which had amazing views. Mt Moiwa is perfect for hikers!6) The place was picturesque.7) There is also a souvenir shop, toilet is not a problem.If you love outdoors and nice views this place is for you! Very recommended!"
"Mt. Moiwa, Sapporo",Visited Mt. Moiwa  on 19 Feb 20. Took a public bus from Susikino Station to the Ropeway station. It is worth the visit with beautiful views and snow.....during sunset time
Stunning views of mountains and city,"As the cable car ascends, you are able to notice the wide area of the city. Once you have reached the top, you can take plentiful pictures of mountains on one side and the city on the other. Great way to enjoy the views. The main center piece in the middle is great for selfies too. Overall, a great place to be, without a doubt."
See the view and the Bell of Love,"Mount Moiwa is a highlight of Sapporo's nightlife. You get a great nightscape over the city of Sapporo; the sunset is spectacular. A spcial feature for photographers is the Bell of Love, which is supposed to confer a special blessing on newlyweds. To get to Mount Moiwa from the city , take the tram and then the shuttle bus to the base of the ropeway, which goes about two-thirds of the way to the summit. You will then take the distinctive cable car to the summit. At the top, there's a restaurant and observation deck, plus the Bell of Love. We enjoyed the ascent of Mount Moiwa, it can get chilly at the summit."
Panoramic 360 Degree View of Sapporo!,"Superb view of Sapporo and beyond!  Great for picture and video taking.  Awesome ""black and white view"" with winter-powder snow and tree or mountain contrast."
Top view of  Sapporo City,"If you want to see  the top view or  night view of sapporo city, this place is where you lookig forYou can travel by tram to the station (mention in tram map of mt.moiwa) and took free shuttle bus to the ropewayOn the deck floor you can shoot the sapporo view from there. There is a bell of love as a gimmick for you to take a memory picture too"
"Mount Moiwa, Wonderful During Winter","I visited Mount Moiwa on 5 February 2020. It was my first time being there on my winter budget trip in Hokkaido, Japan.TransportationIt is really convenient to reach many places in Hokkaido if you stay near big stations like Sapporo or Odori. I stayed near Sapporo station (I will write about the accommodation in a separate review). I took a walk from the station to Odori station and then Susukino station via underpass including a shopping tunnel called Pole Town to avoid the cold air. The distance between Sapporo and Susukino station is 1.6 km. The duration will depend on the walking speed.After reaching Susukino station, I took exit with the sign ""Street Car"" then took the tram to reach the closest station to Mount Moiwa, Iriguchi rope way station. It took about 20 minutes to get the rope way station and I paid JPY200 per adult. Child fare was JPY100 per child.The Street Car line is actually a closed-double-loops (inner and outer), before taking the tram, please make sure that the loop line will stop at Iriguchi rope way station. From Iriguchi rope way station there are two alternatives to reach Mount Moiwa lower terminal: by walking for about 10 to 15 minutes or by taking the free shuttle bus. I took the free shuttle bus which departed every 15 minutes from 10:45 a.m. since the opening hours of Mount Moiwa is 11:00 a.m. to 10:00 p.m. during winter.At the lower terminal I bought a two-way-ticket for rope way and cable car to reach the highest point of Mount Moiwa. The fare was JPY1,700 per adult for a return trip. Child fare was JPY850 per child. The transfer between rope way and cable car in the middle terminal was very convenient. The duration of both rope way and cable car was about 30 minutes one way including the transfer.ActivitiesDuring winter, the highest point of Mount Moiwa becomes a snow playground which provides scenic views of surrounding mountains and the Sapporo city. When I got there I saw many families with young children playing snow and some people visited and prayed at the small shrine there. There were two favorite spots at Mount Moiwa which attracted many visitors to take pictures at: ""The Fortune Bell"" and ""Love Padlock"". There were also some shops and cafe at the terminal to keep visitors warm from the cold air outside.Time To VisitTo enjoy the snow playground especially with young children, it is better to visit there at morning or afternoon. To enjoy the Sapporo city view, it is better to visit there at sunset or evening."
Night view from above,"We planned to visit here at night. So we can see the view. Its very cold during winter. Normally, snow falls after it rains there."
Winter in Japan 2019,Mt Moiwa is a must visit place if you go to Sapporo. Ring the bell and enjoy the view of the Sapporo.
Mount Moiwa Winter,Its pretty cold but the view is worth more than the cold and we went there when it is opened in the morning so the sky is blue and we can see sapporo very beautifully in a picture
Chilly night and average views,Went with my family on recommendation.  The observatory is open air and it was a chilly night for us. Everyone shuddered a bit while waiting patiently for their turn to ring the bell.  The views are OK but not extraordinary spectacular. Everyone went for the hot drinks once in door. Tip: There are express bus covered by JR pass to and from Sapporo station.
Nice view,Read about this place and decided to try it since it was not too far from our hotel. Took street car then free shuttle bus to the ropeway station. Paid ¥1700 per person for return trip for ropeway and mini cable car. The weather was cold and windy. But the view was fantastic. The cable car was very steady. Feel safe when riding it. From the top we can see the city view. Nice experience and we reached there around 5pm and already dark. Lucky me!
Nice view from the top at night,"There is not a whole lot to do at the top, and it's purely for the view that you go up there. Ideally at night as at daytime it's average."
Breathtaking,"Japan is surrounded by mountains and we chose to visit Mount Moiwa.  It is easy to get to by tram.  From the tram station it is a bit of a walk uphill to the entrance.  We went in the late afternoon in hope to catch the day and night scene from the top.  We were not disappointed.  The cable car ride up offers a magnificent view of the mountain side and the city of Hokkaido.  You can get off at the first station and walk the remaining distance to the top but we decided to go all the way up.  The view of Sapporo at the top was breathtaking.  The mountain is only 539mtrs high but the view and experience at the top was absolutely breathtaking for me. On the way up I saw a cemetery at the side of the mountain, a peaceful and beautiful final resting place for sure."
Nice night view,"We came here in the winter and the hiking path was closed, otherwise a hiking would be great. The night view was spectacular but there's not much else."
"Nice view, long wait","The views of the city at night were very impressive, the place was crowded, so the wait was pretty long."
Didn't have a good view when I was there (2nd week Dec 2019),"They have a live cam installed at the top of the hill where you can preview the scenery on a TV screen at reception floor, before you purchase the tickets.It was night time on our first visit there. We were hoping to see the magnificent view but unfortunately, there was heavy snow fall. The receptionist pointed at the TV screen and told us there is no view at that time (from the TV screen it was pitch black).He was polite enough to apologize to us, although it was the weather and no one could have done anything about it.We left and visited again a few days later. This time in the afternoon. The weather was fairly good, but still not clear enough. Went up all the same but didn't have a good view of the city.There isn't much to do there at the top, really. If you're going just for the view, I suppose 30 minutes would be more than enough.Make sure the sky is 110% clear on your visit, or you'll be disappointed."
Nice view of Sapporo,"Suggest going here at night as the sight of the city is amazing. However, it is very cold during wintertime so be prepared."
Lovely Visit,"We took the cable up to the highest point.So tranquil, so beautiful, so well organised.The journey entailed a funicular and a cable car which was a lovely adventure in itself.Once at the top we were presented with wonderful views, clean air and a perfect view of the surrounding area way past Sapporo.There's a Buddhist Temple at the top too.All a great experience.There's a cafe and restaurant too along with a gift shop.All perfect.."
Amazing view ,It’s easy to access via trains and they have free shuttle from nearest trains stop .  You take cable car up then transfer to train style.  The view is spectacular.  Even in winter or when it’s overcast. Day or night this is worth the trip it’s a nice 2 hour adventure.
Check the weather before heading to Mt Moiwa!,"The views are astounding, yes... but provided you can see them.We were in Sapporo for a period of 5 days, but unfortunately when I checked their weather app, it seemed that there was dense fog almost everyday while we were there. Nevertheless we made a trip up - we did see the day view and catch a bit of the sunset, but while we were waiting for the night view, dense fog suddenly hit us.  I see the warning alert on the weather app about this dense fog and it looked like it's going to stay, so we cut short our stay at Mt Moiwa and made our way down.  There are quite a lot of visitors who didn't know about the fog (they can't see the fog from below) until they went to the ropeway ticket counter and almost bought the tickets, and that's when they saw the ""real time TV"" that nothing can be seen even if they head up the mountain.By the way, you can get nice sunset views and photos on the other side of the observation deck (where there wasn't that many tourists).  And yes, it is extremely cold.  Come prepared with your windproof shell and windproof gloves."
Mt Moiwa Nov 2019,This place is a must visit for everyone that comes to Sapporo.The wind is really strong during this time and freezing my hands haha ! Come here either by bus or JR train is fine.We got on a direct bus from Sapporo bus terminal bus stop #9 (operated by Hokkaido budget Bus pass) for free since we purchased the bus pass before arriving in Hokkaido.
Ropeway then Mt Moiwa,"It’s a bit of a hassle to get there - tram to free bus to cable car then funicular. The views, though, are pretty wonderful. You get a 360 around including both the city as well as nearby mountains. If you have the time and like being outdoors this is a good choice. Sapporo doesn’t have a lot to offer if you don’t have a car."
great views night and day,Easy access and the best views of Sapporo from the peak. doubles as a ski resort in winter. dress warmly as it gets pretty windy at the top
One of the Most Beautiful Nightscapes of Japan,The best place to get a bird's eye view of the city and surrounding area. Not a good place to see sunset at it is blocked by huge antenna but the city view is surely one of the best. I visited in summer and it got a little chilly due to very strong wind. So bring a jacket. The place will get crowded closer to sunset so be mindful when going back down to the city as it will take some time to board the ropeway.
Worth it,Definitely worth a visit . Easy to get to and spectacular views.streetcar and then free shuttle bus. Check weather and go on a clear day
Worth a trip especially at night ,If the queues are not ridiculously long then it’s certainly worth a trip up. The views from the top are quite lovely. If there is a long queue to come down from the top it is a manageable walk from the mini cable car down to the first cable car.
Closed,"We went to the ropeway today, thought it strange we couldn’t see any cable cars moving... turns out there was an accident here on Aug 24 and it has been closed since... no word on when it will reopen."
Amazing views of Sapporo,"Absolutely a must-see in Sapporo. Those who have time, might consider a hike up. Otherwise, the cable car is the way to go."
Can't see anything,"We went late June and could not see anything. We went around 6pm, and free shuttle took us up to the station. The staff showed us the live view of Mt. Moiwa - it was so foggy. We came from a city of fog, so this was no surprise for us. It was a chilly summer night in Sapporo (low 60s). Anyways, the staff told us we can ride midway for a lower price. Since riding all the way to the top will cost more and also no view because of the fog. So we did ride up to midway and shopped a little at their gift shop. We were able to roam around outside and on top the roof, but it was just too foggy to see anything. Anyways, my son had fun since he likes riding cable cars up mountains."
Not recommended visit during Winter,I visited Mt. Moiwa during winter and it was disappointed to see fogs and could't see anything during at night. So this activity is not recommended to visit during Winter unless you wanna play ski there.
Mt. Moiwa,"An amazing experience to ring the "" Bell of Happiness"" at Summit Observatory. Much more if you attached a "" Love padlock"" to the fence of "" Bell of Happiness"". Spectacular panoramic view of Sapporo City from Summit."
Great view,"Japanese towns usually have one viewpoint on top of their biggest hills and Mt Moiwa is special in that it has two sections to it, the second half being with special half size cable cars that allow more people to see the nature around them than the normal ones. That said, we did go after dark and didn't actually see anything. However, we enjoyed the view, especially when we saw clouds rolling over Sapporo beneath us. The Lover's point bell is pretty strange but we gave it a ring anyway! There are the obligatory fences you can attach locks to as well if that is what you are into. The price is fine in terms of how much this type of attraction usually is."
Night view of Sapporo,"Everything is made accessible, from street cars, to the shuttle bus to the ropeway and cable car going up the peak. A stunning view of Sapporon"
Stunning view,"Getting to My Moiwa was a breeze. Alighting from Ropeway Iriguchi street car stop is a 3-min walk to the free shuttle bus to the cable car station. However, in winter, waiting for the bus could be challenge with little protection from the wind. Summer on the other hand was nice. Most of the tour groups were there for the night view but being there earlier before the sun sets is far more stunning. Twilight in summer is best as the clear skies offers a clear view of the mountain on the West. The same can't be said for winter twilight as hazy and cloudy skies obscured this same view. I was glad to have been there in both seasons."
Day visit to the mountain near Sapporo,"Drove up to the mountain - mid point, before walking up the remaining 200 m. It is 660 Yen for the toll.It was extremely difficult to find the entrance, maybe I was searching for the wrong place. Only found the toll highway leading up to the mid-point on my third attempt, leaving little time to enjoy the view.Decided to walk up the remaining distance as it was supposed to be 200 m. It was exhausting for my family, as we are not the outdoor type. But the locals were moving up the same path relatively fast and with ease.Walked down from the summit using the 500 m (less physical demanding) as we were quite tired and it was dangerous to use the shorter route.There were signs to discourage using of the paths at night, in view of safety.It was not too crowded during the visit at just before noon.Would consider the night visit in the next visit."
Spectacular night view worthy of the effort and time,"Boasts of a spectacular night view of the city.  Going up with the 2 cable car rides is relatively quick even as we went in mid June 2019.  There is a souvenir store but most visitors did not linger there. The cafe was closed when we were there at around 9 pm.  Coming down took longer as there was a queue of people waiting for the cable cars. The view of worth the effort to go. The guide inside the cable cars only spoke in Japanese so we didn’t know what she was saying.I reckon we took around 2 hrs in all going up and coming down, even if we didn’t linger longer than 20 mins at the top due to all the waiting time taken."
Great night views!,My finance and I had a great time here. It was one of the coldest spots we visited during the closing of winter season. Really cold! my fiance didn't like the cold so much so she mostly stayed inside to absorb some here. But the views here are great as you get to see a 360 view of the city!
Beautiful scenery ,Beautiful scenery but long waiting for boarding ropeway. Went there about 8pm but nothing much to eat.
Excellent Sapporo City view at night,enjoy the beautiful scenery of Sapporo city at night..didn't know how big is Sapporo until we went up here
Better to visit at night,"If you have not experienced riding up a hilltop in an aerial ropeway cable car, this is the place to try it. If you have had that experience before, this is nothing new. In daytime, the view from the top is just commonplace. Nothing special. To make the trip worthwhile, it is better to come at night. The sight of Sapporo in lights offer a much better view. Better still, come at late afternoon to enjoy the beautiful sunset at the hilltop."
Beautiful View.  BYO Food and Drinks,"Excellent views from the top.  Highlight of Sapporo.  Take the Mt Moiwa Ropeway.  But don’t expect to have a drink at the bar as you wait for sunset. Pretentious expensive restaurant has the best views, but no bar.  Best to BYO."
Stunning view,"Despite the super long queue & cold weather when I visited, I enjoyed riding on the cable cars and the night view of sapporo is really pretty.."
Skip the insane rush!,"Decided to do this in the late afternoon so I could see the sunset + night view. A definite recommendation but really start early! And don't stay too late!I was there during the Golden Week holidays in Japan and it was loaded with tourists. Loaded like the lines to go in at 7 PM for the night view were running at least an hour waiting.I left Sapporo -Odori area by the mini-tram around 430 PM. Get off at Ropeway Iriguchi station. You can pay in the tram with your IC/Passmo card. There is a shuttle bus to take you to the rope way station. If you can walk, it's a 15 min quick walk. Skip the bus. You have to wait some.There will be two cable cars to take you up to the top. One takes you to the base, the next one takes you to the top. I got there at 530 pm, saw the sun set which was by about 630-645 pm and I started to head back at 7 pm. By this time the rush was MANIC to see the night view.The sunset is amazing on the other side of the same viewing platform with no people to push you around or cameras in your face. At 7 pm, on the way down in a not so crowded cable car you will see a pretty fantastic view of Sapporo un-hindered by the crowds. And to me this is worth it than standing in lines to first go up and then stand in unending lines to then come down...do the smart thing ;)At the top you have:  - vending machines - toilets - a small cafe for snacks and coffee - a restaurant"
Worth doing during the day too!,"We went up Mt Moiwa during the day in late March when there was still snow on the ground. There is a free shuttle bus from the bottom of the hill (near the tram stop) to where you pick up the cable car. It's only a short journey, but it's steep! The ticket, round trip, to the top of the mountain and back was about 1700yen if I remember correctly. It takes two cable cars - one to take you to the halfway point, where there's a giftshop, and then another car to take you to the top (where there's a viewing observatory and cafe). The giftshop sells all sorts of cool local gifts we weren't able to find elsewhere, so it's worth a browse. And the cafe does good hot chocolate! The view from the top is spectacular, especially if you get it when the sun comes out. You can see the whole city, plus the dramatic range of hills and mountains surrounding you. We had a great time visiting, plus it was cool to ride the cable car. Well worth a visit!"
Snowy fun,"Despite low visibility, we went up Mt Moiwa. Instead of a magnificent view, we were treated with great snowy fun. The lunch at the restaurant was also great!"
Great night view!,"I'm not overly keen on views, but my wife pulled me here and it was worth it.  Fantastic view and great atmosphere!  Its a little pricey and we had to queue for a bit for the tram down.  Still, a nice romantic stop."
Too many visitors on Sunday,"The city view is very nice but too many visitors on Sunday night. They were packed in like sardines in cable car, cannot move. Recommend to arrive 4-5 pm so that can see day and night versions of city view. I arrived at night and it's too difficult to take nice photo due to no light"
Magnificent night view of Sapporo,"Go to Mt. Moiwa for one of the best night views that you can get in Sapporo. Would recommend you to take a taxi there if you stay near to Sapporo station. It is much more convenient and doesn't cost too much. The ropeway and cable car towards the summit tends to get crowded, but it'll be fine once you reach the top."
Pristine snow in winter and a stunning view of Sapporo - perfect experience to share with friends.,"Our group of four went there just as it opened in winter at 11am.  Getting the tram from Sapporo, there's a complementary shuttle service to the rope-way a 50m walk from the stop which I would highly recommend taking advantage of in winter.  In summer I assume the walk to the ropeway (10-15mins) would be a nice stroll, however in winter the ice can cause some problems while hiking up to the entrance.After purchasing our tickets, we entered the gondola and proceeded up the mountain.  I was on the look out for any wild animals in the snow below (I didn't see any), but still took the time to appreciate the spectacular views as we went up the mountain.  When we reached the top it was quite clear we were amongst the first to reach the summit as the snow was untouched. We quickly went about changing that, throwing snowballs and making snow angels in the powder.  From there we wandered around, went to the 'lovers tower' (though none of us were coupled up) and walked around the small shrine-like structure.  You can also do walks from the top, however our group was not equipped for it.It was quite cloudy when we went up, so we didn't get the views from the top.  When you purchase your tickets below there is a current visibility rating so we knew this would be the case.  It was still worth the time to go up to the top, and the views available on the gondola ride were a great consolation.The restaurant/kiosk opens around 1pm, however if you want a warm drink there is a vending machine inside.  You can also pack your own food and eat in the rest area below the restaurant which offers floor to ceiling views out into the snow.Before leaving I bought a few cute souvenirs from the gift shop, then it was back out into the city.  We spent roughly two hours up the top taking photos and horsing around."
Beautiful view of Saporro!!,I went there on a winter and and everything was so white and pristine...  Beautiful place!  You go up and down Mt Moiwa in a cable car.  There's even a free shuttle service that takes you to the take off point.   You shouldn't miss this place..
Best view of Sapporo,Great view of Sapporo. We gladly paid to use the ropeway and the rail car to go to the top of the mountain. The star projection in the little movie theater at the top of the mountain is not really interesting for people who don't understand Japanese.
