title,text
"So much, so cool ","If you want to know something of NT, visit here. FREE! And so much for the visitor to enjoy, plus extra exhibitions change over time. We though we were done, then found the maritime component, which is quite literally huge. We appreciated getting cultured while staying cool."
Wonderful experience,There are a lot of exhibitions going on and our favourite was the Cyclone Tracey exhibition. It was very informative and a lot to see. Our infant really enjoyed the space as well. As there is a lot of room and very stimulating exhibitions. I will definitely be back because the good thing about it is that it's free
Interesting museum and stunning Art.,We really enjoyed the art at the Gallery and the Telstra Indigenous Art Awards in particular. It would have been great to have had something to eat there but the Cafe was closed.
Good Especially For Cyclone Tracy,"This is a really good museum that caters to all tastes such as Aboriginal art and animals past and present - including Sweetheart, a famous croc up here - a maritime section and, for those keen to know the history of the NT and Darwin in particular, then this is the place. It also has a good section on Cyclone Tracy, before and after. Admission is free but they do have a box for donations, which is truly worth depositing a note. Even $20 is good value as I spent nearly three hours here."
Lovely museum,Darwin museum has some great exhibitions including my old favorite- the cyclone Tracey exhibit.  When we visited the indigenous art awards was on and very interesting
Must do,This museum is full of all sorts of historical artefacts and beautiful Aboriginal art- definitely needed a few hours to see it all! The Cyclone Tracey exhibit gave the kids a real sense of how horrific this would have been to experience and the sweetheart exhibit broke our hearts- A definite MUST DO
A wonderful place,It’s Free to enter and has a wonderful Collection of insects butterfly’s etcAboriginal Art works and Sweetheart the crocodile wow what a story...And the cyclone exhibited is scary 10/10
Darwin art and gallery museum ,"We visited the museum to see the cyclone Tracy display, which also has a room in complete darkness and simulates the sounds of a the early morning of when the cyclone happened.  The surprise was how amazing and large the rest of the museum was, allow some time to explore the many magnificent displays."
Definitely worth a visit,"This museum has art, history and an interesting collection of boats in the maritime section.  We spent two hours there and could have spent more."
History and Ancient Art,"We took a few hours to visit the Museum and Art Gallery. They have a series of art exhibits from up and coming, and credentialed indigenous artists, showing a range of interesting styles and medium.The Sweetheart exhibition  was also interesting, as well as the Cyclone Tracy Room.We nearly missed a spot, but walked to an outside ""room and saw the range of boats from Micronesia and surrounding areas. Wow.Take a few hours to look. There are lots of hidden rooms and grottos with interesting sights."
Cyclone Tracy History,Interesting small museum. We went to view the history relating to Cyclone Tracy which was very good. As usual there is also other interesting sections. Located a short walk to a boat ramp with nice water views
GOOD Display,"Great Museum, really good display of the top end, Excellent display showing the devastating result of Cyclone Tracy in 1974. A job well done.Aboriginal  art at the Northern Territory Art Display was done to perfection."
Fascinating Gallery,"We went to see the giant crocodile ( stuffed of course) & the geological fossils .... but this Museum has SO much more ! The  Cyclone  Tracy exhibition is very interesting , with real human interest ..... the fossils are fantastic , as are the examples of sea creatures  &  pre- historic  desert finds .Free entry , & comfortable  A/c provided a  welcome  respite from the heat of the day .  It appears to be a very new gallery ,modern & spacious ..... you need to take a taxi from town though, because it’s a long walk . The cafe is closed   ( Covid) so have  your  coffee before you go ."
Home schooling visit for History,"Absolutely amazed by this place, so many informative things, NT history, cyclone history, animals.. just perfect really and not to mention its all for free. Must do with kids if in Darwin"
Darwin Museum,"Took my 5yo son for a visit. Hasn't changed much over the years, but still worth a visit. The discovery room was closed which was a shame as was the cafe."
Wonderful insight into the history of Northern Territory,"This museum provides an amazing history of Darwin including Cyclone Tracy, Aboriginal history and Chinese Gold Rush and native animals. A must do for visitors and new arrivals into the NT."
Fine museum ,"Wonderful location, loads of parking, free entry. All real bonuses before you even look inside! The displays are clear and beautifully presented. The exhibitions are thoughtful and imaginatively laid out; flora and fauna, Aboriginal art related to the cosmos, and Cyclone Tracy. Top marks, plus a cool cafe/restaurant on site makes this a must do in Darwin."
History,Good learning here really enjoyed ourselves and will share the good times we had. Thankyou  for the memories
"Excellently done, and free.","We drove here - the tourist bus goes here at times I believe. It was a lovely museum incorporating the art also. Spent just over an hour here. Free, but we left a donation in the box."
A bit of culture,Nice museum. Our favourite bit was learning about the recent hurricane that had passed through the area of Queensland. I never knew Australia got that kind of weather. Good gallery’s as well.
Worthy of Your Visit,"The place was not large but the biological items were cleverly displayed on transparent acrylic plastic sheets. The artwork pieces showed the aboriginal masterpieces.  Also, another merit was free admission."
Art gallery and museum,There was plenty to see at the museum but the best part was probably seeing and learning about cyclone Tracy disaster it was very interesting
Wonderful Museum well presented,New building uniquely designed in modern style.  Nice choice of presentations of aboriginal artist both traditional and modern.  Several varied exhibits.  We will visit on future trips to Darwin.
Great service and good food,I visited this cafe before going  through the Museum and Art gallery. I ordered Pancakes with Maple Syrup and ice cream. They were excellent. I can recommend them to anyone who had a good appetite as the serve is large.
Excellent display. Not bad view of the beach as well,"This display was very good. Nice cafe attached. Well worth catching the big red bus if you dont have a car. Quite a big display. Allow a couple of hours. Paintings. Displays on Darwin events, animals and local indigenous people and lots more"
Very interesting experience in darwin,Wonderful displays of local wildlife along with located bones of mammals from days long gone. Interesting display based on the tragic cyclone Tracey from 1974. Def worth a visit whilst in Darwin.
Modern and relevant,Two highlights for me - Sweetheart and the Cyclone Tracey exhibition.  When you realise that the people who caught Sweetheart were in the water with her...And if you stand in the darkened room and listen to Tracey full bore...Enjoy.
Fabulous Cyclone Tracy Exhibit,"Learnt about Cyclone Tracy not sure if it was an exhibit or memorial but it is very well done and the ""cyclone room"" was an experience that I was not that keen on for longer than a couple of moments. The poor buggers who went through it in real life wow and the damage to the entire town extraordinary you hope it never happens again. Plenty of other exhibits but we were mainly interested in Cyclone Tracy. You can get here by the hop on hop off bus which is probably the best way to do it. We walked back into town which was about 30 minutes but it is only a stroll from the casino."
Outstanding Small Museum,"The variety of exhibits in this museum offers something for everyone.  Most impressive are the variety of birds, fish, lizards and reptiles presented in attractive and interesting displays.  Another room presents the catastrophic destruction of Darwin during Cyclone Tracy in 1974 using graphic displays.  A collection of photographs and artwork provide a great view into aboriginal life in not-to-distant past.  This museum is a real gem; well laid out and fun to visit.  It is hard to believe that it has no admission charge!!  Don't miss it!!!"
An interesting visit,The art here was mainly local aboriginal and interesting The museum part we found the most interesting with information about the history of Darwin. Also an excellent display of local animals and geology. A simple cafe on siteReception staff were particularly friendly and helpful
