title,text
Such a disappointment after Hiroshima,"The scale model of the Bomb, time-lapse of the Explosion (ghoulish or what), the Display about the History of Nuclear Bomb Development, its Testing and their proliferation around the World since - they were good.The rest, I regret to say, was a big disappointment, as was the crowds inside (over-exited & out-of-control School Children, all in immaculate School Uniform comprising the majority). I have to stress, this was an exception - only time on 7 weeks.Being incredibly rushed, on a -round day Trip from Fukuoka, due to an error in Tour Planning, did not help, but this Museum compared very poorly with Hiroshima."
Destruction and Rebirth,"A friend and I visited this moving museum on a weekday morning in early October. We had come to see how Nagasaki portrayed the effects of the Aug. 9, 1945, atomic bomb drop on the city. The curators have chosen to tell a story, presenting Nagasaki before the bomb fell; immediately after the explosion; and today.  They weave explanations of historical details within the story and show what happened through photos, videos, artifacts and much more. The conclusion focuses on the need for peace and the end of nuclear weapons, made abundantly clear by the bomb's destruction of the city and the killing of at least 74,000 people. Those, who survived, would often have to endure physical ailments from the radiation and psychological trauma.    As soon as I entered the exhibition hall, I felt  uneasy, looking at a giant black-and- white photo of Nagasaki as it appeared before the bomb fell. That's because I knew what would be ahead for the thriving city. A recovered wall clock frozen at 11:02 a.m. soon appeared, marking the exact time that the horrors began. Displays feature English descriptions and include photos of the atomic wasteland that Nagasaki became, along with stories of that fateful day from survivors, including heroic rescue work. Artifacts damaged from the flash of heat range from  a 14-year-old girl's lunch box with rice charred from the fire to six green glass bottles melted at the top and stuck together, which were found in a store's ruins. A helmet with the remains of a skull inside is one of the more grisly items. I found information on the bomb itself to be especially interesting. A life-size model of the one used on Nagasaki is displayed and called ""Fat Man,"" because of its appearance. A video shows the military loading Fat Man and transporting it to the plane for the mission. There is also a photo taken from the plane that shows the mushroom cloud rising into the sky after the blast.We went through the relatively small museum in about 1 hour. It cost 200 Y (about $1.89 U.S.) to enter. A corridor leads from the museum to the adjacent Nagasaki National Peace Memorial Hall for the Atomic Bomb Victims. There is no fee to enter the Memorial Hall. Both are located near ground zero for the blast and the Nagasaki Peace Park. To reach the museum, we took the blue line to the Matsuyamamachi tram stop and then walked for about 4 minutes."
Reminder of the horrors of nuclear war,This is a place everyone needs to visit to be reminded that we should never again wage nuclear war. The exhibits are clearly set out and English explanations and labels are extensive - unusual for Japan. There is also an audio guide in different languages. A very moving memorial to a terrible event.
A history everyone should remember,It is a must visit in Nagasaki. The exhibits show the moment of the explosion and the aftermath. The presentation hits the heart of the visitors.
Impactful memory to the horrific consequences of the Nagasaki bombing,"A must visit when in Nagasaki. Good explanations, visual displays and artifacts on display which memorize the horrific impacts of the Nagasaki nuclear bombing. Missing, understandably from a Nagasaki perspective, is the role of Japan in WWII."
A Must Visit as a Reminder.,This is a place to be reminded about the brutal facts about the realities of nuclear warfare. The museum is haunting and disturbing in its use of images that conjure up a day that will hopefully mark the last time such a weapon is used on human beings. There were people under that mushroom cloud.
"A Sobering Visit, but an Important One",While once could never say this is a fun stop it is very well done.  Most of the signs have English and there is an excellent English audio guide.
Harrowing but I still visited twice,"In the two or three hours I spent at this museum I think I learnt more than at any other time. It gives valuable insights into human nature as well as providing an account of the tragic events in August 1945 and the subsequent proliferation of nuclear technology as well as the efforts to contain the destructive aspects of that science. This is, in my opinion, the most vital place to visit in Japan."
emotional,"A very good insight of the bombing of Nagasaki, was very interesting and of course very emotional. Well laid out."
Well organized and informative museum,"The Nagasaki Atomic Bomb Museum is very well organized and detailed. They have a lot of good information and artifacts on display. When it comes down to it, this museum is a sad reminder of what occurred. It shows a lot of artifacts left over from the bombing and has stories of survivors and victims. I came out with a lot more knowledge then going in, it is unfortunate what happened here in Nagasaki. The entrance price was very cheap, just 200 Yen, and the museum is not to big, can easily be done in 1-2 hours. Afterwards, go to the hypocenter and Peace Park."
