title,text
"Massive temple, and then more temples and more temples","This is one epic temple! Complete with a LCD screen ceiling above the Buddha. I’ve never seen such a place before. Then there are like endless amounts of other temples to see. I was so tired of praying and lighting incense, so many gods must be happy for me today!"
Breathtaking...,"First and foremost, definitely come here during off peak period.Rented a car and drove an hour from the Yalong Bay Hilton hotel to Nanshan area. You have to park at the designated carpark outside from the main spot and you can either choose to walk inside or purchase a bus ticket for 30 RMB each person.First stop, alights you off at the Guanying statue. From far, my first impressions were that it is just a bigger looking statue, no biggie. But as you start to walk across the bridge and enter the temple underneath the statue, I was dumbfounded. A gold statue was standing in the middle and surrounding her were different open rooms with the other goddess’ statues. Of which were all further surrounded with about 30 cm tall gold looking goddess statue on the cases mounted on the wall. Some had names on it, probably for those who made huge donations to this place.After walking in the clockwise direction (no hard and fast rule on this but that’s just how I’ve been told), and walking past all the smaller goddess statue, there was a sign saying something like FOOT OF GODDESS. Definitely the word FOOT was inside. Walked several flights of stairs and as you reach the top, oh my gosh, it was breathtaking! Just standing right underneath her and wondering how did they build her! Saw many people touching her toe nails and I did just that. I believe it must be for blessings. She has 3 sides so don’t forget to touch all 30 of them..The view from there was really amazing too! Deffo great for photo taking!!After one round around her, walked down the stairs and was led to the second floor of the temple below which was showcasing similar to the smaller statues below but different names. Something more different was a dark and dimly lifted open room with about over 20 goddess statues. I believe they are made of jade. Was absolutely intrigued at the detailing on them. All in all, the workmanship of the statues, interiors and decorations were what made the entire trip worth it! Just the thought of how they were made was enough to get you to appreciate them.The vegetarian restaurant before the bridge to the Guanying goddess was really delicious! Plus if you sit near the glass panels, you would have a great view of her and the vast sea behind.Tips:• Do make tickets purchases beforehand on WeChat but if you’re a foreigner, you most probably have to purchase it via the counter with your passport. Same goes for the bus ride.• Fresh coconut costs 20 RMB there. Hmmm, I’ve gotten them for 10 RMB each from the non-tourist areas. But hey, if you’re thirsty, why not get one to enjoy while sitting near the sea and having the breezy winds blowing right at you.P.S. You can take the bus ride at a designated spot to the next few temples. The bus guide will ask who wants to alight and they’ll stop at each. But I didn’t do that, so I just sat through it and went back to the main entrance. So if you’re only going to one, you don’t really have to get the bus ticket, it’s only a short walk from the entrance to the goddess statue."
Nanshan Guiyin Buddha,"This is a must see while visiting Sanya on Hainan island, China. It is one of the tallest statues in the world, surrounded by beautiful gardens by the sea. Perfect Instagram opportunities."
Worth the Trip,The giant Buddha area gets very busy but the rest is nice to see as well. This is quite far from Sanya and takes about 50 minutes to get to from the city center. The entrance for low season is 108 and there is a weird bus system that can take you around the park for 30. We would recommend skipping the bus as the area is quite walkable but bring very good shoes. You will need plenty of water if you go mid day and there are many drinks and snacks sold in the area. If you are a foreigner make sure you go to the team ticket buying counter and keep to the far right line to get in.
Summer season,"We came here during summer season. The weather was really hot. But we do love this attraction. The buddha statue is fascinating, standing along the sea. Must come if you are gonna travel to Hainan. Visited on Aug 2019."
Nice temple by the sea,This is the Southernmost temple in China. Located in the Nanshan Bouddhism  Cultural Park. It has beautiful scenery and can be considered the second most important attraction there after the lone Guanyin standing out by the seaside.
"Huge and can get very hot, but recommendable if you have time","Came mostly for religious reason, but I agree this place is a nice place to visit even for non-believers. The architecture is pleasing. Some tips: The place is HUGE. If you’re not a fan of walking, especially while exposed to direct sunlight, then buy the entrance ticket that includes electic bus. I didn’t, and ended up walking for over 2 hours across different locations. Spare at least 3-4 hours to see everything. Non-Chinese ID holders need to buy tickets at the windows. It can get extremely hot, so dress amd prepare properly."
Impressive 108-metre in height statue of Buddhist Guanyin Goddess of Nanshan,"The majority of the  temple was completed in 1988 and is home to many Tang dynasty replicas. The main statue is of the of Buddhist Guanyin Goddess of Nansha, was built by 108 monks over the 1999 to 2005 period. Seems like a metre of statue height for each monk who worked on the project."
In sanya this is one of the attraction,"So if u are in sanya, there ain't much things to do so u can just get a car to drop by hwre. It's a temple with the goddess guan yin and that's it. The place is huge though with a lot of park to walk. Senior citizen gets in free"
Great View and Amazing place,I was there 13 dec 2019 with my coworker It was long way to walk but the view was very beautiful and worth it with my tired
Highlight of the trip,Beautiful temple with the incredible blue sea and sky backdrop! Nice! Inside the temple is also equally amazing.
Magnificient View ,"Nanshan is located in Sanya, if u took the speed train, will take an hour to reach Sanya from Wanning. The Goddess is so beautiful under the sun which allocated near the sea. It says that the Guan Yin is to protect the seaman and looking after their harvesting of the seafoods.The area are pretty and deep in, u need to wear your suntan lotion, hat or umbrella and water. Only vegetarians foods are serve near the Guan Yin Tang otherwise, u can bring your own snack. Total hours : 4hours"
"A very large, nice and well-maintained temple complex","The Buddhist statue in the sea is probably the most recognized part of this huge temple complex, however there is so much more to see here. We only came here in the afternoon, after our visit to the Yanoda Rainforest (see different review) and we didn't have time to walk around everywhere but we covered most of the vast grounds with their small train. The statue itself is massive and when you walk around it you'll find that it is actually ""3 statues in 1"", it's like a triangle with 3 different Buddha faces which you only realise if you actually walk around the statue which most visitors don't seem to do. The inside of the statue is beautiful and make sure you go up with the lift to ""Buddha's feet"", from there you have lovely views. Theo only downside to this temple is that it feels too touristy and crowded. We've been to different Buddhist temples in Asia like Fo Guang Shan in Kaoshiung Taiwan, which have retained a feeling of being temples where monks live and pray, Nanshang doesn't really give you that feeling.But it's a nice place to visit and spend a few hours."
wonderful,"trivial whit friend, very peaceful and nice place, the Bodhisattva was great and Amazing, if you are in bad mood or unlucky, go there and make a wish, everything will come back to the normal"
Worth to visit,It takes 40 minutes from the airport by taxi. The ticket price is 129 Yuan (108 in off season).Shuttle car could be a good option because it is very huge place.To visit around could take at least half a day and should plan for the specific locations.It is also better to go in the morning if possible because the weather is better and avoid crowd.There are restaurant around the place.
