title,text
Interesting way to spend a couple of hours,"Very interesting, we spent a couple hours looking around, even better as it free! You must book though due to covid."
Lovely little museum,Lovely museum and kept safe during Covid-19. My 3 year old loved going round and looking at all the trains. It’s also free so you cannot grumble either
Great day out!,"Very easy to visit, even with new COVID systems in place. Booking a ticket online was no hassle at all. Nice cafe and good range in gift shop also."
trains and more trains,"we visited this museum on a Sunday , and even though we had to pre-book our visit due to the Covid 19 restrictions the place was busy , although there was plenty of space for social distancing. overall I think the museum is well worth a visit especially as it is free to enter although they welcome donations towards the upkeep and running costs."
Fascinating even for non-railway visitors,"My wife, who normally is not interested in trains, found the Royal Carriages fascinating for how the Royal family travelled by train.Another, albeit sad, example of history was the Ambulance Train depicting the wagons used in World War I to take the wounded from the battle front"
Two day break,A large portion of the museum is closed due to COVID but it’s still worth a visit things keep changing so there’s something new to see
Best place in York in my opinion.,"I love this place. Free to get in and easily the best selection of trains, simulators and attractions of any railway museum. We did everything, they had covid restrictions in place which I hate but do understand. We got around everything in a couple of hours due to time constraints but the depth of knowledge and quality of exhibits could keep you interested for hours. A truly outstanding example of British heritage."
Excellent,I have not been to york in many many years but decided to visit this museum and local model shops. I was very pleased with both! Sadly the covid restrictions made it not as enjoyable as it should have been but I knew that going in and can't fault the museum or staff at all. Thank you - John
Enjoyable,"Visited here during a 3 day break to York.Some really interesting exhibits on show. Love the fact they have all types of engine and carriage on show and I thought the layout was well thought out especially during these strange times (Covid).I like the idea of pre booking as I can imagine during normal times it can get quite busy and very noisy with the children running around.One slight downside is the price of food but I suppose when the entrance fee is free they need to make their money somehow so I don't begrudge this too much, plus you don't have to buy it!"
Areas out of bounds ,"Been here several times , but with restrictions certain areas I enjoy not accessible .We always donate bit until this virus is ended will probably not visit again ."
Sorry lots of out of control children|!,I love to wander around here so much history.Sadly it was spoilt by children running around out of control spoiling my visit.It did not feel safe or clean because of this.Social distancing out of the window.
Amazing!!,Definitely worth the visit. A lot bigger than we originally thought. Really interesting and the coffee and scones were delicious! Wish we would have been able to spend a little more time in there (even though we are not train fans). We very much enjoyed our visit.
Loved it,"Really didn't know what to expect and trains are not usually of interest to me, however I really loved it! Was really taken by the stories behind the carriages and trains they had. The history was fascinating. From royal trains, to bullet trains and modern day exhibits to mm and but a few.Well worth a visit."
It's fantastic and it's free!,"So much industrial history, so many reminders of when the world was mechanical, not electronic. I like mechanical stuff. Even at rest and with the fires out, the sheer size of a main line locomotive is a thing to behold; they are visceral things that create an emotional response in many cases.Even with some of the exhibits closed because of the pandemic, and the need to wear a mask, there is so much to see. Mallard, Evening Star, Rocket, Duchess of Hamilton, literally dozens more; all represent British history in a time before this country became impoverished and diminished. There's a range of exhibits from overseas also, to remind us that railways may have been invented in the UK, but marvels were created in many places around the world.I cannot imagine anybody being bored here; some might spend an hour, others half a day, but there must surely be something here to pique the interest of anybody."
