title,text
"""awesome experience""",Can't describe the sensation of the expertise.It's impressive expertise.Would like to have it once more.I am fan of railway a well as hills that is why it had been sort of a dream come back true i used to be extremely jumping after I got my tickets ensure and extremely favorite to ride.There area unit some stunning views in train which may not be seen by road trip.And it'll be best if you climb from mettupalayam to Ooty it's new expertise it runs with external-combustion engine from Mettupalayam to coonur and that is most fun half train lit rally climb in tilting manner
Memorable Journey,"We took nilgiri train journey from ooty to metupalaiyam. Train route was developed during british era and still running by steam engine in half section of the route. Picturesque journey though mountains, valley, waterfalls, tunnels and tea plantation is really unforgettable experience. Overall scenic journey though lush green forest is paradise for nature lover.  For comfort level it is advisable to take first class ticket. In tourist season advance online reservation is must as limited seats are available. There are 8 seats in one coupe for 1st class coach.Train stop at coonoor station for a brief period of time where you can get down and stretch your legs.  This is a must experience journey in ooty."
A little throwback in time to travel through the valley,"Enjoyed the experience of riding from Mettupalayam back to Ooty, but wasted a lot of time in the day queueing BEFORE the ticket office opened one hour before the journey to ensure a place, having missed all the tickets earlier in the day for the opposite direction. Please note for enthusiasts, this is not the steam section of the journey. Being able to buy advanced tickets would have given us more time to enjoy the surrounding area."
Very picturesque,"Really enjoyed the journey, purchased 1st class tickets, but only seemed to be authenticated on the day of travel.We were the only passengers in our compartment so were very comfortable. Were given a complimentary bottle of water and some local goodies in a bag. The train travels very slowly so can see the beautiful scenery. Wouldn’t have wanted to miss this trip."
Must visit,This is a must visit. There are scheduled trips from Ooty to Coonoor and back which need to be booked an hour in advance. We took the last trip so we got the tickets just in time. We took a train from Ooty and conooor and returned by bus. Quite convenient and must try for the awesome views
View ,The view from the train is really good. One should preferably take the evening train from Ooty to Connor.
Heavenly,The last train begins at 5 in pity and the journey is just heavenly. This is a must to do activity for nature lovers.
Interesting journey,"Booked by our tour company before we left UK. We had a reserved seat in First class Not ultra comfortable, but room for luggage. Thew style of the carriages is similar to the old style british rail trains with individual compartments for either 4 or 8 people-there's no corridor to walk down the carriage. We did the trip from Both to Coonoor and it took approx 1 hr 10 minutes. Beautiful scenery on both sides of the train but sadly the windows were quite opaque and you certainly could not take good photos through them. However, there were some opening windows.There were 3 stations on route, only 2 minute stop at each. No toilets on the train.Coonoor is fascinating because there is an engine shed there and a couple of old steam locos. It seems quite the norm to be able to get into the cabs of the trains in order to have photos taken. Theres an amusing sign in the station - 'While posing for selfies, look for approaching trains'!!"
A short time travel,"We have traveled for a short distance from Ooty to Coonoor . It was an excellent journey to enjoy a heritage toy train experience🚂. We have traveled just 1.15 hours to reach the up and down destinations which we booked for. We couldn't enjoy the up and downhill journey to Mettupalayam from Oooty as we have only booked for a short trip. For all the trips/trains, you need to do book the tickets from any stations at least 3-4 hours earlier to make sure the seats."
One of the best trip,"Awesome trip with nilgiri toy train...I would suggest to get the train from Mettupalayam to Connor..Its the best route to njoy the train journey.. All the beauty of nilgiri is between these two station... Connor to Udagamandalam ( Ooty ) only nilgiri trees no bridge , no waterfall..And for comfortable journey book first class.. There is no place for luggage in second class. There is one more train which is special train. I dont know the timing but you can find it on IRCTC..."
Swiss Rack System Railway Trip,"We travelled from Coonor Station to Mettupalayam pulled by steam train on this Swiss Rack System.  If you take the full trip from Ooty then the first part to Coonor is by diesel train.  There is quite a bit to see at Coonor Station, with access to the sheds, so make sure that you arrive in plenty of time to have a look around.Pre book first class seats, they aren't that comfortable but better than standard, and the conditions even in first class are cramped with 8 seats to a compartment.  We fell lucky as there were only 4 of us in it or it would have been very uncomforatable, squeezed in side by side.The journey takes over two hours as the train winds itself along the route at a very slow pace, to be honest the journey was rather tiring and a bit too long, so I woudln't recommend doing the whole journey from Ooty as our fellow travellers had done.Our journey was spoilt somewhat as the train arrived at coonor a mist come down and you could hardly see more than a few feet in front of you, so the views were not that good.  I was amazed at the speed the mist came it was minutes and had been a glorious day up until then.  The journey is split at Hillgrove Station for 15 minutes so you could get off the train and stretch your legs.The journey was enjoyable we were at the back and watched the back man turning the train as we traversed the hills.  Young children waved from dangerously close to the track as we passed, but given the slow speed they were not in that much danger!Would I recommend it - yes it has to be done and it is charming in it's own way - just take something comfortable to sit on and cross your fingers for a clear day!"
First travel,"This is my first travel booked from ooty to metupalaiyam, need to book tickets before 3 months, only 90 seats available for booking, gud experience. Enjoyed the trip"
Beautiful journey,"We took the train from Coonor up to Ooty, early in the morning. We sat at the very front (behind the guard). Fabulous views, amazing experience. Toured Ooty when we arrived and took a car back down to Coonor at the end of the day. A must do holiday experience."
An old touch of India ,"So we took the toy train up the mountain for a morning of leisure. It was a lovely outing and lots if picture opportunities. A wonder around town and lunch was all very jolly. But there were a lot of people everywhere, plenty of noise and more of the same at the top. Think a first class ride would have added to the experience."
Beautiful,"May be because I visited Ooty on a weekday in an off ish season the train and the stations were less crowded less noisy and hence much more enjoyable. I traveled till Connor and back in first class compartment taking window seat. The journey was beautiful and memorable. In my knowledge advance booking is not offered.I don't remember exactly but it costed me Rs 185 one way.The train compartments as well as intermediate stations were safe ,clean, tidy and maintained ."
Must do in Ooty,".We took the 0900 train from Ooty to CoonoorIt was a short, yet unique experience.We enjoyed very much traveling  together with the tourists and the locals on this special train"
Must travel in this toy train,"This is one of the best experience we had in ooty. We traveled from ooty to coonoor in this train. This train passes through dense Forest, pine trees, valley, tunnels, mountains etc etc. There are hardly few small gauge trains in India. And this is one of them. It's a must visit in ooty and the view is amazing. First class tickets will cost 180. If you are going during peak season try and book the tickets online before hand. Else you can also buy the tickets at the counter which opens an hour before departure. There aren't many trains throughout the day so do check the schedule before you go."
Must to do .. Must to do .. Must to do,"The plan was to see Connoor and return to Mettupalayam. We had booked the NMR - Heritage train to Connoor from Udhagamandalam railway station. Post breakfast, we checked out and reached the railway station by 8:45 AM. The train was at 9:15 AM. This is one of the things to do in the bucket list and the urge to go on one of the most popular and memorable train journeys in India was Done once boarded the train. Truly, the views on either side and going through the tunnels was very satisfying and fascinating.The train stopped in 4 stations inbetween - Lovedale, Ketti, Aravankadu and Wellington. The train has 3 reserved coaches - 1 for FC and 2 for SC. We took the ride in SC as it was shorter ride and no much difference between both classes. There are no toilets in the train.We had left the luggages back in the car and the car reached the Connoor railway station before us and waited to pick us up."
Absolutely amazing experience,During our holiday in Ooty we had boarded the Nilgiri mountain railway for the fun experience from Ooty to Coonoor. The train winds its way through the hills offering mesmerizing views of valleys and nature in general. It was an amazing experience.
Coolest,This train is so nice for kids and adults. We can enjoy here so much. This train gives different happiness. This train is best option to travel in Ooty.
Unimpressive,"The road between Ooty and Coonoor (or the road to Mysore or a quick trip to the Hill Station) are far more scenic and take less time. The windows on the train were so dirty, it was hard to see out of them, and if you weren't right by the window, it was even harder."
A good way to take in the scenery,We took a trip on the railway as far as Coonar and saw some spectacular scenery on the way. Relaxing and enjoyable excursion
Toy train enjoyed a lot,"I am a nature lover, while going in toy train we can see whole beauties of Ooty, with my friends it is most rememberable trip for us .The steam engine was really awesome.....I recommend to all, to take a ride in it ... ."
Joy ride,"Amazing views and awesome experience. Watching nature at its best. Do not miss this if you are in ooty. Book tickets in advance through IRCTC website or else you will have to stand in a big queue on the day of your journey & there is very less chances that you will get a ticket specially during peak season. During the train journey, the tunnels, bridges, tea garden, clouds, Nilgiri forest and the view are just mind blowing."
Toy train narrow guage line,"It's a train you should board and would say the vacation remains incomplete if missed. Runs from ooty to Conoor 1 hr ride and passes through scenic hills, sideby roads and some tunnels as well. Would suggest to board 9.15 am train in morning to reach Conoor to enjoy freshness in morning with amazing valley view"
Good one,"First thing this is a trap. Ticket line is 1 hour, train 1 hour and coming back to Ooty 2 hours. Unless you take 9 am train your entire day is gone. Do not forget to sit on right side when you enter for better view.Be careful on how you plan your day. There are limited restaurants in Coonoor, close to train station- Venkys is good one. Enjoy ..."
Enjoyed a lot with toy train,"It's was unforgettable trip in toy train, we took train from mettupalayam to ooty,It is really amazing trip....Highly recommended to go....."
Great photo opportunities ,"This trip was in doubt due to heavy rain and landslide but found out 2 hrs before that the toy train would be running.Station is lovely and some great views on the route despite rain and cold . Wrap up warm. Read about the history of the train at Ooty station on your return, very interesting."
