title,text
"Historical caves ,spiritual n cinematic combinatiin","The lovely green hill with historical caves...With peacocks n other exotic migratory birdsThe Buddha Smarak ( Meditation ) centre And Dada Saheb Phalke the pioneer who made tge first indian silent mivie ovwr 100 years ago.Sadly ,covid restrictions have made climbing difficult due to change in timings6 am to 8 am ONLYNo toilets wcs are functional"
Buddhist caves,It's a old heritage site where you found a one of the best architecture how our ancestors cut the large stone and form a cave.It is generally known as buddhist monks caves.
amazing caves of buddhist heritage near Nasik,"while coming to nasik from mumbai side, you can find these astonishing caves just before entering the nasik city limits. amazing caves of Buddhist heritage near Nasik. you are required to limb around 150 steep steps as the caves are hidden uphill. Once you reach you will be amazed to see huge rocks cut deep to form cave dwellings. simply mindblowing"
Caves of Buddhist mornks!!,Located in the outskirts of the city are rock cut caves know as Pandavleni caves. It represents Buddhism and believed that it was built for Buddhist monks. Total 24 caves . Each cave has some historical importance .  You need to c limb a lot to reach this place so wear your footwear and attire accordingly. Not much of facilities are available so carry your own snacks and water. good place for photography lovers. You need to climb almost 250 stairs to reach top and enjoy the awesome view of the city.  good place for trekking and group picnics. You need to buy entry tickets to visit caves. Check timings before going.
A Prominent Buddhist Site,"Located on the table land of  Trirasmi hill about 3000 feet above the seal level , at the outskirts of Nashik city are Pandavleni Caves , which are ancient rock- cut caves.These caves date back to the period between the 3rd century BC and 2nd century AD. The Pandavleni caves are a group of 24 caves that represent Hinayana Buddhism. The mystic caves also comprise of musical fountains, museums and various outlets of food. Multiple monasteries, shrines, water tanks, pillars, and carvings can also be found inside.The Caves were built by prominent rulers of that time for the Hinayana Buddhist monks.Out of  the twenty-four caves, cave numbers 3 and 10 are the most beautiful ones. The architecture of these caves is unique and impressive. The inside of these caves also consists of inscriptions which provides significant study material to researchers and scholars till this day. Cave number 15 has an inscription about the King of Western Maharashtra.There are beautiful sculptures, chambers, unique water structures and stone ladders too built inside the cave.You have to climb nearly 200 steps to reach the top and enjoy the breathtaking views. Also an attraction to enjoy trekking. This makes the Pandavleni Caves a well-known tourist site, visited by tourists in large numbers throughout the year."
Mr Sanjay,The caves are well protected and are good to see. Though there was no problem or issue observed but a lot could be done to make it more interesting. Each cave can have some historical information plates somewhere for visitors to know the purpose and usage and when made etc. Also…
Family picnic at Nashik,Those who are visiting Nashik must see Pandavleni caves. There are almost 20-24 caves. Entry fee applicable is Rs. 25 each and it's open till 5.30 pm in evening
Be ready to break steps ,One must visit this location if you are in Nashik. But be ready to climb steps leading to the top of the hill to enter into the caves structure.  Avoid heels and use flat shoes while climbing. You can find the details in google so not elaborating much.   Remember to carry one…
Beautiful caves,Its a must visit place for tourists in Nashik.These caves highlight the greatness of Indian architecture styles. The visit to this cave is very memorable for me not only because of the awesomeness of the cave but also because of the sincerity of the ASI staff Mr.AKilendra…
Must visit place around Nashik,"Located around 6km away from Nashik city centre, these are old caves dating back to 3rd century BC. To reach the caves one has to climb around 200 steps but steps are wide and not very high, so easy to climb. Caves were used by Buddhist monks and still have old sculptures made…"
Must see if in the area,"Did not have time to go to Ajanta/Ellora caves so settled for these. If on the area it's worthwhile to visit this location. Best to go early morning.  Its cooler, less crowded and also free. Its quite a climb, so be careful if you have health issues."
Must see cave,Must see if you are Nashik area.There is little hiking but it's very beautiful caves from 1 BC. Beautiful caves.
Masterpiece caves from Nashik,Pandavleni caves are few Km away from Nashik. We visited in the morning and it was good choices to visit morning to skip crowd. Entry fee is ₹25 per person and you have to climb small mountain via steps to reach at the caves.There is series of 24 caves and few of them have beautiful idols. Definitely must visit place
Perfect place that gives a picturesque view,The best part about this place is that you get to view this unique piece of architecture from the history. You have one of the most mesmerising views from the top. There’s a lot to walk... this approximately takes about 25 - 30 minutes but that hard work of walking gives a very amazing view along with something beyond your imagination- that would definitely give you a feeling of utter amazement and happiness.  Best place to get information about ancient historical knowledge.
Worth visiting during monsoon or winter,"Though it was winter end but still we were sweating while going up to the caves.Built after Buddha era, these caves possess valuable information for travellers and history enthusiasts."
