title,text
Powerful place,The place to be if you want to share powerful vibes and songs. Let's your body talk to you during the Aarti and just be grateful to life
A beautiful place,I spent the day looking around and loved the atmosphere of the place.It is right on the Ganga and they do the traditional devotion service to the river each evening.I wish to return there a continue Sadhana.
Selfie Heaven not much meditation going on anymore,"Like a pest Western and Indians flock the place with their phones held up high recording the fire ceremony. All one can see is a sea of phones, followed by TV cameras on the bridge and more people with phones. Afterwards everyone is busy doing selfies, trying to look handsome cute and sexy. Oh boy am I sad about the state of Rishikesh and the showiness & commercialism taking over this place. Please stop allowing cameras and inspire people to appreciate, meditate and honour this place. Sick!"
Ganga arti,Ganga arti is simply a moving experience Today’s highlight was solemnisation of a wedding at d same venue along with d arti Very serene to be by d river Can keep washrooms in a better condition
See here's ganga aarti in evening,"Peaceful place ,u enjoy in daily evening aarti at parmath niketan ghat,u feel like spiritual and magical moments"
Ganga Aarti ,Shouldn't be missed! Also the very inspirational visit to the Satsang room afterwards. Very moving. Beautiful ashram grounds.
Amazing place to be in Rishikesh for Ganga Aarti,"This place is very well maintained by management. There is Ganga Aarti everyday at 5:30 PM here. You should plan accordingly so that you can witness this wonderful Aarti.Apart from that this place also provides clean water through kiosk and probably cleanest washrooms in Rishikesh. It's right there in Ram Jula main market. So, you are gonna enjoy being there!"
Wonderful Ganga Aarti,Ganga aarti at Parmarth aashram has always been a wonderful experience.The atmosphere is amazing and chanting of aarti with lamps glowing makes it very beautiful as well. The timing of aarti is 6PM everyday.
Worth a Visit,"The largest ashram in Rishikesh, if not in India with over 2,000 rooms. Across to the front is the Triveni Ghat where they hold the daily/nightly aarti ganga. It is worth a visit but if you plan to stay, make plenty of room/time to make the reservation. They get packed. You will also have to abide by the ashram life."
Site and ambience,Used to be very good once in 1982. But its ok as the development takes place. Gardens are ok and peaceful. Did not see any sage outside the building. Arti area is very good
Ganga Darshan,"The set up of the Ashram is really beautiful. Loved the way everything is so well organised, they hv a large canteen too where one can eat at lunch/ dinner or even in between tea times at very nominal rates. The Rath at the entrance to Ganga ghat is beautiful, was awed by Hanumanjis statue & Shivjis across the stairs in the Ganges. They started with a Hawan & beautiful recitation of bhajans, shlokas & then Guruji came along --- it was a wonderful sight to see such young disciples chanting along. We too were given the Arti to perform at the Ganges. Lovely experience, very Divine."
no words to explain,There is something about this place that I would like to go back to the place again very soon. Should not be missed
Surreal Aarti,Visited here to attend ganga aarti. The bhajans are very soothing. We went as a group. It's an experience to cherish.
Peacful place to visit,It's a place to visit for peace and harmony.. A blissful place there is satsang and artist every evening which one should def see it's jus worth the whole trip..
