title,text
Right place for Natur lovers,"Here you enjoy boating in the sanctuary Lake.This is a right place for nature lovers.Trekking,in the forest and hotel stay in the sanctuary is available . Budget hotel PERIYAR HOUSE and luxury ARANYA NIVAS is available for booking. Extra luxury ( live like a King) LAKE PALACEis also available."
Eye catching views around,"This  artificial lake in Thekkady is one of the main attractions of the destination. Boating in Periyar is the main activity loved by most tourists visiting the place. The 100 year old lake set in thickly forested Western Ghats won't disappoint nature enthusiasts. There may not be much of wild life spotting but boating in this lake with dense forest all around is an experience worth-it that draws scores of tourists to Thekkady through out the year.Tickets can be booked at the counter of pre booked online through Periyar reserve's website. It is better to book the tickets for your preferred slot beforehand as the tickets get sold out very fast. Best time to experience the boating is early morning. 7.30 am slots are the best as the surroundings are serene during that time and there are chances of spotting some rare species of birds too during that time. If you are visiting Thekkady from Munnar or Alleppey, best is to book it for day 2 of your stay in Thekkady."
Beautiful Thekkady Periyar lake,Nature and wildlife. Very peaceful surroundings and natural tour visiting place. We are very enjoyed.
Serenely beautiful,"For the best chance of seeing wildlife you need to be there in the early morning. Unfortunately, by the time tickets were bought, bus transfer from car park taken and next boats ready to go it was 7.30 and I suspect we had missed the best of the animals coming down to drink. Certainly I had expected to see more wildlife than we did. However, the lake was lovely in the morning light.There are different size boats and ours was one of the larger ones. Tickets give your seat numbers; best to try for upper level and at the side not middle for best views. You must wear the life jackets but they are bulky and not entirely comfortable as well as impeding peoples view between heads. The crew do a good job of making people stay seated which helps with viewing from the inside seats. They also offer to take photos for you through their binoculars and from the best vantage points."
Beautiful setting,We went on an early morning boat trip. Very scenic and peaceful but sadly we were unlucky and did not see any elephants although the boat a little way ahead did!! They are wild animals and it is the luck of the draw!! The seats were initially damp because of early morning condensation but soon dried. A lovely location but it is only luck as to what you may see.
Worst,Dnt visit ever.we wasted 2 hrs..nt a single animal.....just monkey...boat boring.....u can skip thekkary.
MONKEYS MAY LOVE TO SNATCH AND CARRY YOUR CARRY-BAGS WHILE WAITING FOR BOARDING ANNOUNCEMENT,"The Boat-journey was good, could feel the nature and spotted some animals like, Elephant, Deer from a long distance and a variety of birds, particularly Cranes.  The holding area,  for waiting before boarding announcement, has lot of (friendly) monkeys, but it is advised not to…"
Extremely boring,"There is 1 hour ride in Periyar lake through which we can see the animals on lakeside. Nothing to do in boat. Animals, if seen, are also very distant. Binoculars are available on rent but of no use. One should definitely avoid this place in Thekkady."
The real boating experience!,"It is indeed a marvellous opportunity for the wild life lovers. we saw a number of animals (Malabar Squirrel, Asian Elephants, variety of birds and spotted deer etc. But the trip is quite costly for the foreigners. The foreigners have to pay around ten times more than the nate…"
Boating ride,"We went for for boat ride in periyar lake to see the wild animals unfortunately we didn't see what we was expecting..we saw some deers,bulls,pigs,monkeys,and elephants  But its was good experience over all"
