title,text
Nyc,"Wow it's very NYC to visit this monument. It is great monument by muslim builder.....,..... Enjoy the great evening here......."
Fashiniya customer care number ☎️8167431956,Fashiniya customer care number ☎️8167431956Fashiniya customer care number ☎️8167431956Fashiniya customer care number ☎️8167431956
Awesome place ,If u are in Delhi u need to visit this place environment is excellent place is very good .....everyone is very helpful around this place
Good place to visit,"Must place to visit, one of the famous monument in South delhi, very crowded thought. Some wonderful eating joint around the monument. Would recommend this place."
Wow place Qutub minar,Great history and The Qutub Minar is a towering 73 meter high tower built by Qutub-ud-Din Aibak in 1193...it's really wow ..Love this place 🥰
Amazing Monument and the surroundings,Must visit if you are in Delhi to see the amazing monument . Its a design and Architecture wonder . The stairs inside the monument are closed for public visit. But you an visit and see it from a short distance . The surrounding complex is also very beautiful . Plan your visit during day time. You can reach easily by metro also.
Impressive!,"I really liked there... The place is stunning, well maintained, clean, peaceful. The minar is really impressive, I wish I could have gone to the top 😀I had a great time exploring the ruins around this magnificent structure 🏚️"
Picnic,I went to visit this during my school times. I was too small to get the reason of ots existance but little bit i can have is the memories with friends. I enjoyed the beauty around and gathering there with school friends
Must visit historical monument ,"One of the important historical monuments in India 🇮🇳 and one which I was waiting to see from my school days. Has an amazing history regarding the building, renovations. Interestingly this one is built after destroying some 27 hindu and Jain temples. This was built to mark the beginning of Delhi sulatanate Mode of transport - there is a bus stop right in front of the compound. however we went there by a cab as we don't understand hindi and it's easy to manage a cab driver with English. Best time to visit : winter season. We made the mistake of visiting there in May month. 😭 Scorching heat literally kills you. Couldn't stay there for more than 10 minutes. Attraction: the complex has multiple small buildings which we didn't bother about much. We just took photograph in front of the main Minar. If its a cool climate, we can surely  go and roam around much Must -Water bottles and sun glasses. Irony - people are not allowed inside the minar as in olden days due to some freak accidents in the past And the ticket counter guys are not so well versed In English. Govt needs to take care of this. Ticket prices are cheaper online. 35rs per person. Once you come outside, you can see people thronging for something cool as the weather is too hot."
Good place,Its very good monument and this place is best for photoshoot and You can feel different here. This place is nice
Good Place for tourist,"Good Place for tourist, i think it was earlier longest building in delhi. ticket price was little expensive"
Wow,This is a must visit site in Delhi. It is an ancient site and very interesting. We loved this place.
