title,text
Must visit place,A great contruction by the architectures. The bridge connects the city and the holly place where you will see the ashrams and lodges. You can see below at the river if have gutts but it will be fine when you dive it in by jumping from your rafting boat.
Rishikesh,So fun Australia I went to Rishikesh for the second time and again this place remind me that I am there.
Beautiful Ganges,One of most beautiful spot to enjoy The Ganges. I arrived at afternoon to attend Ganges Aarti. Beautiful afternoon with cold weather seems i just found the compress of the world.
Excellent,"One of the famous landmarks of Rishikesh , great views of the holy river Ganga all around . Very tranquil and peaceful"
Major attraction,You can ride your bike on this bridge to reach other side of the River. Too crowded in the evenings. Looks wonderful in the dark because of the way it is lit
Beautiful,Beautiful view from the bridge 🌉. While you are in Rishikesh do visit the place with fail. Thank you
All the madness of India in a single span.,"Ram Jhula is one of two ""footbridges"" over the river Ganges in Rishikesh India. I put footbridge in inverted commas because the bridge is also used by many motorbikes and motor scooters who use their horns to clear a path for themselves as they cross. The  bridge is also usually inhabited by at least one large cow/brahma bull and several monkeys. Warning: do not carry any fruit with you as you cross the bridge because a monkey will have taken and eaten it before you get to the other end of the bridge. Every time my wife and I cross the bridge we give a small prayer that we made it unscathed. If you want to add a little adventure to your otherwise dull lives this is the place to do it. p.s. the other footbridge has recently banned motor bikes and motor scooters from the bridge, but the bovine and primate populations still inhabit, so  the same cautions apply. p.p.s. I forgot to mention to cow poo: watch your every step!"
look out for the scooters,"Although a nice bridge, with wonderful views, it is spoiled by the incessant scooter traffic. Go to Laxman Jhula instead."
Watch for motorcycles!,"Unlike the other pedestrian bridge in town, this one allows motorcycles and scooters. As a consequence it’s a little less relaxed for crossing and more difficult to stop and take in the view."
A great location,"I was staying near by the bridge and it is a very vibrant and active area of Rishikesh. Shops, food stalls, sadhus all fill the near by streets.The bridge is wide enough for three abreast.The monkeys seem to like it too as they play around"
Historic Bridge,Visited during the evening time. Very very scenic and much longer bridge than the Lakshman Jhula. Two wheelers are allowed on this bridge which is not a very nice situation as have to constantly keep a look out for the vehicles going through. The banks of the river are very serendipities and peaceful. A Must visit place but would be much better without the two wheelers on the bridge
Awesome,Ram jhula is one of the suspension bridges in india. Standing here you get the full view of river Ganga. Very beautiful sight. The jhula is wide enough and has lot of space. There are various water sports around and Beatles ashram is also nearby. A must visit place if visisiting rishikesh.
