title,text
"Great hike, selfish visitors","I was at Calico Basin Red Springs within the Red Rock National Conservation Area yesterday evening (10/9/2020). The new boardwalk the BLM installed since the last time I was out there is great. There were several professional photographers there taking photos. Unfortunately, they were posing their models in the meadow, laying them down on the vegetation, and having them climb on the rocks. The damage they have caused will take years to recover. Despite signs being posted about every 30 feet reminding people to stay on the boardwalk and trails. I wish the BLM had the budget to station their rangers in the high use areas, in and around Red Rock."
Off the Strip,Cool to see something off the Strip.   Just a quick 30 min drive to see beautiful scenery.  good change of pace from the strip
BREATHTAKING views!!!! ,"I LOVE Red Rock. It is gorgeous and very peaceful. The views are truly breathtaking and I love to go every time I visit Vegas. You can take the tour, but I recommend driving yourself (if you rent a car). You can explore at your own pace plus it only cost $15 per car to get it so you save a lot of money by not doing a tour. Tours are 100+ so if you and another person go you are spending over $200 vs. if you drive you will pay $15. I have taken the tour and with the right tour guide it can be informational and entertaining, but I still don’t think it’s work the difference in cost."
Amazing work by Mother Nature ,"So many amazing sites to see. It is an easy drive. Each trail is marked so that you know which it is and the difficulty level. Some of the hikes are very easy, others are more challenging.  With the heat, definitely be aware of your limitations before attempting the harder hikes."
Easy trip from Vegas,"Wife and I were so pleasantly surprised how nice this place was, we stopped at all overlooks and made the 13 mile drive last about 3 hours. Even though the visitors center is closed for Covid it was well worth the visit. If one does not stop and observe the plant, terrain and wildlife it is a missed opportunity. There is plenty of wildlife if you take the time to look for it. Dale and Naomi Crow"
Definitely worth a visit while in Vegas,"Get your butt off the strip for a few hours and visit this national park. It’s beautiful, and there are plenty of places to stop to take photos as well as a variety of hikes. There are bathrooms in the park (no running water) and at dusk the park is quiet and relaxing. We went two days back to back, first in the late afternoon and waited for the sun to set, and the next morning again and it’s a pretty different experience. It’s a very quick ride from the Las Vegas strip. GPS can take you there but keep in mind that you won’t have reception in the park so don’t plan on taking a lyft or Uber."
Great hiking in Red Rocks,"Red Rock Canyon:   If you are not interested in our  weekend hiking adventures then just skip my next three posts #9-11. We rented a car and spent Friday morning hiking and driving Red Rock Canyon. We’d driven it many years ago but had not hiked. It is a 13 mile one-way road so if you want to hike you must do the hikes in order or you will need to complete the driving loop and start over again. All visitor centers were closed - sometimes a store is open in the parks but we did not stop at this one. We were out of Vegas about 7:45ish after picking up our car and passing the 'Red Rock Canyon National Conservation Area’ at 8:15. In 10 minutes we’d parked at Calico Hills to begin our first hike. The temps were not too bad yet — we loved the dry air being from a gulf coast state. We enjoyed the #1 hike. Beautiful views and not too hard….. to a point. There was a steep section near the beginning of the trail but nothing we could not handle. We’ve just returned from extensive hiking in 3 NP this August at high elevations. Loved the formations we walked past and the views. We stopped for a bit to watch some rock climbers — braver than us!  We got to the end of the trail to find a ‘wire basket’ of rocks marking the rest of the loop. It had taken only about 30 minutes to this point even with watching the rock climbers. The rest of the trail required rock scrambling and I told my husband I was not ‘going there'. I am afraid of ledges without railings and did not want to wear out the seat of my pants ‘scooting’ like I did last year in Utah!  He said he’d go on forward and I could back track - fine by me!  I enjoyed going down the steep section of trail on the return and got back to the trailhead about 10 minutes before him — he told me I had made the right choice for me!By 9:15 we were back on the scenic drive to our next hike destination. We stopped at several overlooks and took our time as I videoed and photographed the amazing scenery. We arrived at our next trailhead, the Lost Creek loop at 9:40 ready to stretch our legs. It is also the trailhead for the loop hike Willow Springs. There are a few markers here and there but sometimes it was very confusing which rock to climb! This trail begins flat and then turns into ‘rock climbing’ — we had forgotten our walking poles at the condo and really wished we had them on this trail. — there were several sets of ‘stairs of rocks’ without railings that would have been nice to have something to hold on to — especially coming down!  My husband offered his hand so I took it coming down as a mental thing - no way would he have stopped me from falling if I’d tripped. The walk was ‘moderate’ in my book and it was a fun trail. We have no idea where the ‘loop’ part was so we just came back the way we went…..at least we knew that part of the trail!  We had met some locals at the end of the trail and it was all dried up and rocky. They said the snow melt would fill up that section of the creek. It really was ‘lost’.  Beautiful views and as I mentioned, a fun trail.We next stopped at the Petroglyphs Wall trail — only about 0.1 mile to a mountain side with petroglyphs and information signs. It was interesting but nothing one has to see unless this is an interest of yours — you can see petroglyphs on a few other trails. The road to this walk turns off the main scenic drive and is a rocky, dirt road…..nothing our rental was in danger of getting harmed by driving on it - just a heads up. We were only here about 12 minutes — as we just walked in and out — took a few pics of the petroglyphs and did not tarry. By this time it was heating up as it was 10:30.  The only other trail I was interested in was a ‘boardwalk’ so it would be easy enough. At 11:00 we arrived at Red Springs Boardwalk. It was a nice 1/2 mile boardwalk in pretty scenery. I did not actually see the ‘spring’ but there was quite a bit of greenery around so there was evidence of a water source. The information signs along the way were interesting and explained a lot about the types of rocks we were seeing. If you have mobility issues this is a nice flat walkway.We headed back as we had only water and snacks and we were getting hungry — we arrived back in LV about 12:30."
Nature,"Beautiful place for hiking,biking or just plain enjoying the view. Best time to go October when the weather is nice."
A nice present,"It is by coming to visit this magnificent site that my husband gave me a nice gift, he proposed to me in marriage, so I will remember this beautiful canyon for the rest of my life."
Must See!,"The Red Rock Canyon National Conservation Area is a beautiful park offering scenic views and amazing hiking trails! My boyfriend and I hiked Calico Hills, Petroglyph Wall, and Ice Box Canyon. Ice Box Canyon was the longest hike we did and probably my favorite hike. On this hike you will be rock scrambling most of the way and when you are deeper into the canyon there are no trail markers - or at least we didn't see any.  At the end of the trail, there is a waterfall some parts of the year and if you're brave you can climb up and get a closer look. We saw some wildlife including quail, squirrel, and lizards. Next time we visit LV we will be visiting Red Rock Canyon again to hike some more trails! I would recommend starting early in the morning when the park opens. Also the visitor center is currently closed but you do have access to restrooms, water fountain, and they have part of the gift shop open outside. Happy Hiking!"
