title,text
Magical vibe,I had like 2hours in the city and I'm glad I chose to walk here. Its amazing. So many colours and shapes and well maintained park. Has a magical vibe :)
Lovely gardens,Visit was just after the park reopened after the Covid closure. Was busy but generally people were social distancing and wearing masks
"Best botanical gardens in Melbourne, back don't get conned.","If you go to Melbourne, there are many 'so-called' botanical gardens to see but this one is the best. When we arrived at our hotel, a man asked if we wanted to see the botanical gardens and he charged us 30 dollars each but just took us to a park in some suburb. It wasn't until we got back to our hotel that the receptionist told us that we didn't actually go to the real one but we did have a nice time and, coming from the  USA, it was nice to get out into nature anyway. The next day we went to the real one with a proper guide but, it was a lot of walking to do because its so big, and honestly the park we went to the day before was good enough for us. We are not really into plants that much to be honest. If you like big green trees and plants though, and lots of green grass then you will be happy with this place. The other thing to be aware of is that there are no Pizza Hut, subway or Taco Bell anywhere  there so eat before you go."
Running the Tan,"The Tan, officially known as the Tan Track, circumambuates the Royal Botanic Gardens. It's a  testing run, of around 2 1/2 miles (around 3.8 kms). Professional sportsmen run with part-time joggers. There's no pressure, set your own pace. The Gardens are just across Princes Bridge south of the city, it's an easy walk from the CBD, ask your concierge for details. There are many things to do in the Gardens, but the Tan is popular with runners..The current record is  10 minutes for men, 11 minutes for women."
More than a complete day,"I love walking around these gardens, possibly the best gardens around, even better than Singapore’s and that is saying something"
good,the botanic garden is a place where you can sit around after a rough day. very refreshing and very beautiful
"Beautiful, peaceful gardens",It was lovely and peaceful walking through the Royal Botanic Gardens in Melbourne seeing the beautiful lakes covered in water lilies and the flowers everywhere.
Well worth a visit,"Although we visited during the early days and outbreak of covid19, it was really lovely and peaceful to walk around. Lovely views over Melbourne and stunning plants and scenery. Time to chill out from the hustle and bustle of city life."
An oasis in the city,"We were fortunate to be staying in an apartment close to the AAMI so it was a short stroll through Gosch's Paddock and over the Morell Bridge to access the Gardens at Gate A.  There are about another nine gates spread around the perimeter so it should be easy to enter the gardens from any direction.  There is no admission fee.It's a lovely peaceful place for a wander on well maintained paths - pick up a leaflet at the gates, follow the signposts or just go where the mood takes you.  There are a few places where we were looking across the greenery at the cityscape in the background however it's such a large place that we didn't hear traffic noise.  There are nooks and crannies to explore too - we had a walk through a forest trail in Fern Gully at one point, the herb garden and the tropical glass house (where it was a bit humid to hang around too long).Near the National Herbarium a pile of timber is all that is left of a gigantic tree where generations of people had gathered for photographs in the past.  The memory may live on.  However there is no shortage of other trees and plants of all sorts from around the world.  There was not a lot of colour - perhaps just a seasonal thing - but I guess it may just be a place to appreciate some green space in an otherwise busy city.  The cafe located alongside the Ornamental Lake looked nice enough but we were not too impressed by the products we bought.  It was a shame because it was a nice setting.We exited eventually through the Observatory gate which leads to another nearby, unlikely attraction, The Shrine of Remembrance."
Great relaxing gardens,We stayed in Melbourne for 4 days at the Royce Hotel and walked in the gardens 5 times. It was a highlight of our trip.
Beautiful Gardens.,Nice garden scenery and some information on each of everything. Need at least a full day to enjoy this beautiful garden.
A fantastic place to visit which no one should miss,"We spent the best part of a day wandering through the RBG in Melbourne when we were staying in the city on our recent trip to Australia. And what a simply amazing place these gardens turned out to be. In fact, they were one of the highlights of our entire visit to Australia. So many lovely, different, themed areas. Stunning, colourful themed gardens areas; wooded areas with wonderful trees (we specially liked the Australian Forest Walk and the Fern Gulley); spacious, open, beautifully kept lawns; some wonderful wildlife; lakes with so many different views. And all a peaceful oasis in the middle of the busy city. Our favourite area was the Lower Yarra River Habitat, which we just had to walk through twice! Plus a lovely restaurant serving great coffee and delicious food. We absolutely loved it here."
Stroll through to the city! ,"Why not take a walk through the beautiful botanical gardens! Especially on a sunny day, it’s so nice to grab some picnic food or a juice and chill on the grass or anywhere, there are so many great spots, either in the sun or under the huge trees in the cool shade. Want to walk, jog, run or cycle even yoga, you choose, it fits no matter what.  There is also a nice little garden centre bit, not necessarily a garden centre but you can walk in and look at all the beautiful plants."
Nice walk despite bad weather,"Unfortunately it rained badly most of the day we were in Melbourne city and it started raining on our way to the  Botanic Gardens. Despite the awful weather, we had a nice walk around the gardens and saw some nice flowers and plants. I'm sure it would be even (well, a lot) better when the weather is nice."
Super pretty,"The garden is quite large and offers a lot of variety, including quiet spots to just have lunch. I highly recommend a visit if you're in town :)"
Beautiful,Rain or shine this is a good place to while away the time.Walking distance from Flinders Station. On a good day there will be several weddings going on adding to the attraction. Not enough places for coffee or lunch and easy to get lost but not big enough not to be found again.
Explore Melbourne's green heart,"It was a while since I last visited the Melbourne Botanic Gardens and I'd forgotten just what a joy the Gardens  are. There are  many places to explore, among my favourite places is Fern  Gully, an oasis of rainforest in the city.. Many Melburnians just like to wander through the Gardens. The Gardens cover 38 ha (94 acres). The Gardens have lots of signs, just follow where you want to go. Picnickers are welcome.."
Beautiful surroundings,"Royal Botanic Gardens are very large and peaceful.  You can walk on your own or book a tour.  There is sufficient signage throughout the area as well, so it is easy to navigate.  Besides having thousands of different types of plants they also have some beautiful fountains as well."
my favourite place in town,"dear tourists, as a melbourne local I 100% recommend that you do yourself a favour and visit this place. it’s absolutely magical and definitely worth your time!"
"10,000 reviews!","Upon writing this, I’m number 9,999 of the reviews. Do I recieve a prize if I hit 10,000? LolWell what can I say, apart from this is a MUST visit. We had 5 days in Melbourne and took a walk through on one of the more warmer sunnier days. Stunningly beautiful park."
Never ending,"If you didn't follow a map it would seem like the walking paths are never ending. Plenty of signs next to the trees, flowers, shrubs to give you a little education on what your looking at. I went in the off season and it was still amazing just a lot less people which was nice."
Take the tour,"If you don't want to walk the entire garden, an open air tram takes you around the entire park. Beautiful gardens."
An oasis of colour,What a treat to stroll round this colourful gardens with all the exotic plants you don't see in Europe. On a hot day there is little shade but the sights and smells make up for an discomfort. Great place for a picnic.
Great park,"If you have time for to see only one of Melbourne's many attractions, make sure to visit the Royal Botanical Gardens. Absolutely fantastic. Even on a stinking hot day, as it was when I visited, there's plenty of shade and cool gullies to keep the heat at bay. I particularly enjoyed the Australian native forest trail and the fern tree gully sections, both of which were brilliantly presented. The cafe/restaurant onsite was also very well done. All in all, the Botanical Gardens was the highlight of my visit to Melbourne"
Mr,Great place to visit.  Lots of different flora to see. Excellent for families.   We saw some swans which were really beautiful
Enjoyable couple of hours,"You can spend quite a while here wandering around checking out the scenery. Really peaceful and relaxing. Good coffee shop near the entrance.  We were here during Coronavirus and was one of the placed still open and where you could keep your distance. Well connected to the other parkland, the river, the War Memorial and a nice walk to and from the city."
Lovely day out,Beautiful gardens and with quite fun installations to get kids involved. We particularly liked the volcano and fern gully. Beautiful lake and it was lovely to see wildlife enjoying the space. Nice and big for a day out but not an overwhelming size. Great gift shop too! Definitely recommend for a nice day!
Relax in the city,"Get in a good walk and take in the rose garden, unique plants, huge old trees and various gardens all while enjoying nature in the city center."
Beautiful Botanical Gardens,Definitely worth taking time out to enjoy these beautiful gardens they are very large and we didn't have time to do them all.But so glad we did visit definitely well worth visiting if you are spending time in Melbourne.Highly recommended for relaxing stroll.
Gardens Experience,Walk around the many paths with lots of beautiful plants of all types. Difinately a worthwhile experience.
Fantastic afternoon,"Species of plant life to suit all tastes. With its herb gardens to the exotic. Eat at one of the  cafes or cool off by the lake, each of the  paths take you around resplendent gardens."
Absolutely beautiful!,"Take the time to spend a couple hours here!  Just beautiful, even at the end of the summer season!  We especially loved Fern Gully!"
relaxing in midle of heaven,so many plants trees flowers from around the world its really interesting  some area for sleeping under the trees some area for lovers  its for everybody
Very green,The royal botanic garden are wonderful for a a stroll during a warm day. It's quiet and very green. There are also toilets and a restaurant.
Stunning,"This place is like an oasis in the middle of melbourne. We were blessed with a particularly nice warm summer days, but even still, the flowers, woodland etc, everything is just so well kept."
"Here, or the seaside?","On our last full day in Melbourne we had to decide between here and St Kilda’s. We chose the botanical garden as we leave tomorrow to go to the coast.We were delighted with our choice, which is really well looked after and in pristine condition. The weather was good, so that helped! We are not gardeners but we really enjoyed this visit and would thoroughly recommend it."
Beautiful ,Really pretty well kept gardens. Lovely cafe and facilities. A great lay out easy to get around with good sign posting. Well worth a visit give your self lots of time easily spend a good afternoon in them.
Delightful urban oasis ,"Such a large area with so many trees and plants, winding footpaths and shady nooks. A pleasant peaceful place to explore or enjoy a quiet few hours, so close to the CBD."
Walk Picnic,"A beautiful place to stroll, relax, picnic, with beautiful views of the Yarra and the City.  Buy a take-away lunch on  Southbank and dine here."
