title,text
Unmissable and Bonkers,"I love this spectacular and dazzling pleasure palace built for the Prince Regent in 1815.  This extraordinary building is hard to describe to someone who has never seen it.  Outside the design is 'Indian' and inside the design is what the architects and artisans thought China was supposed to be like.  It's preposterous, quite outrageous and utterly extravagant.  Dragon sculptures and motifs, a huge chandelier with 15,000 crystals, serpents, peacocks, pagodas, amazing ceilings, carvings, fireplaces, furniture in a riot of colour.  The guides in each room are friendly and very knowledgeable.  I highly recommend it as one of the most unusual palaces in the world."
Royal Pavillion,"Beautiful interiors to an amazing building. Well worth a visit. I had visited Brighton several times before but had never been inside this fantastic place. Thoroughly enjoyed it. Staff were helpful and friendly, sanitiser was available and I felt safe with the social distancing in place."
Beautiful Historical Palace,"Haven't been for years so added to my staycation list of day trips. Easy to pre-book online and check in. I also downloaded the app in advance for the audio guide - please take headphones! In one room, I think I could hear 3 audio guides running plus my own which was quite distracting but I can always listen again at home later.Some stunning things on display in every room, not sure what it is about royal decor but it's so bright and cheerful. Definitely only works on a grand scale, not sure the colour schemes could work in a ""normal"" house 😂. The chandeliers alone are a sight to behold, do not get Del Boy to help clean these ones!I love history and even better this is on my doorstep, shame a few rooms were closed but understandable at the moment. The guidebook is well worth the £14 and is probably the most comprehensive guide book I've ever seen, took me a few evenings to read through it, full of information. The WW1 room looked great but it's also a bit of a bottleneck as a lot to read in there so distancing a bit of an issue in this room only.Maybe a return visit when fully reopened is on the cards. The tour through probably took me about 1.5hrs but a lot to see at every turn so no doubt another visit and I will spot new things.Also a discount on tickets if you live in Brighton, Hove or Portslade - shame I'm just over the border but still worth it."
Bizarre but wonderful,"First time at the Pavilion and it is still worth visiting with the masks etc. There is probably nothing like this in the country with the over abundant decoration of each and every room, it is like no other Royal Palace."
Amazing place.,Unfortunately a few rooms are currently closed. All the rest of the building is amazing. It is one of the few places that has truly amazed me.
stunning,"such a beautiful  place loved looking round, staff very friendly. Booking online was easy. Tickets were no problem picking up"
Fabulous Place!,My first visit to the Royal Pavilion and I thought it was absolutely amazing! So incredibly opulent and impressive.  I believe some of the artefacts are on loan from Buckingham Palace as one of the curators said it was a 'once in a lifeline chance' to see many of them.During this pandemic it was obviously an incredibly quiet time to visit and we often had whole rooms all to ourselves which is usually unheard of.  A very good time to go and visit and you have every reason to feel comfortable with the Covid precautions in place.
Magnificent but also very dilapidated ,Stumbled across this huge building. Decided not to go in however the outside seems grande. Quite an odd building as it doesn’t quite suit Brighton’s surroundings. I assume it must have quite a story as to why it is here.
It’s a must!,"You should visit, it’s such an interesting place, so opulent! What a character King George IV was!!!"
Such an unusual place,"Great place to visit, audio guide download by QR code also makes the most of it. Make sure you take headphones! They’ve worked hard to make it Covid safe. Also although I’ve been before I never used the loos. These are also worth visiting as they are a feature of bygone times, with beautiful tiles."
