title,text
One of Identities of Awadh,"A very beautiful Awadhi architecture masterpiece, certainly Lucknow’s most photographed place. However this structure needs good maintenance to keep its glory."
A grand gateway,"This grand gateway has beautiful architecture and is the entry point to the city.  It's size is impressive and there seems to be a marked difference in the atmosphere on the two sides of the gate.We walked with our guide from inside the city though the gateway to the outside - it is quite exceptional.  On the inside, of course, you will be greeted by the numerous horse pulled carriages where you can buy a guided city tour."
"Architechtural landmark, the USP of lucknow",The very good place comes under the heritage zone of Lucknow. very lively in the evening time. A must-see.
Awesome ,Rumi darwaza is one of the famous darwaza and one of the best darwaza beautiful must watch this ek khawat hai jise na Da maula usa de ashf ud daulah
Rumi Darwaza,Rumi Darwaza is a very good place to visit atleast once. The architecture is wonderful and should be visited.
Door,Rumi Darwaza in the heart of Lucknow looms over the busy everyday traffic of Lajpatnagar. It is very famous among all of ages
Marvellous,Located on through fare  near Imambaras  this is a great photo opportunity place with much to see .Superb architecture .
Old world charm ,"A symbol of Lucknow! A gateway made in a beautiful Awadhi style is a must visit place when you are in Lucknow. Situated in between Bada Imambara and Chhota Imambara, it takes you to 19 th century charm. If you have affinity for old culture you will live this place."
SYMBOL OF NAWAB,A good example of fine architecture of Nawab empire Mixed style architecture of mughal and European And standing with its own style
Big Gate,This is a big gate near bada imambada. The structure was magnificent. The gate is on the road. There is traffic going through this gate.
Good,Rumi darwaja is beautiful . It was huge and my kids also liked it . There was huge traffic there . Never saw such huge and beautiful darwaja ...
It's a huge gate,"We visited this along a list of other attractions when we landed at Bada Imambara. The private guides out there will take you along a 1.5 km journey from Rumi Gate, to Clock Tower and over the Gomti river front. They will say they are taking you to show how Chikan(embroidery) is done, but they will just take you to a shop, which sells finished goods.The Rumi Gate is huge - the front and back designs are completely different. You'll find many vehicles stopped on the side, with groups of friends taking photos."
Old Gate,"Lukhnow has too many Mugal darwaja like this. We passed many times through Rumi Darwaja, not noticed it because you see several of them around bada imamabara."
Magnificent ,The Rumi is part of the gigantic palace complex of the rulers of old. The architecture is stunning and the scope and scale overwhelming. It is well worth seeing.
Gate in the middle of the road…,Rumi Darwaza is one off the iconic attractions of Lucknow. It is an intricately carved door which is right in the middle of the road and has traffic going across it.
A short visit to feel the history,Grand gate built with an impressive architecture. Winters are a perfect time to visit. Nearby is immambara. Also tonga ride is a good experience. Quite clean and broad way it is and gives a glimpse of old lucknow. Nearby there are lot of chickenkari shops but don't try those as they tend to sell some cheap stuff.
Very famous landmark,This is very famous landmark in Lucknow. It is famous for its architecture. Good for first time visitors. Well cleaned and maintained place.
"Stunning, but hard to get a close look at",The Rumi gate is still in use and the road is busy and active. Unless you go at dawn its hard to get a close look at it. It is stunning
Just a gate,Nothing so special about this place just a gateway designed in Mughal architecture..You can have few clicks near the gate and also the clock tower is nearby ..I would like to mention here that the auto driver outside the gate will purposely drag you to a few textile shop which they are commissioned from..
Impressive gate,You can only drive through and stop the car long enough to take pictures and appreciate what it must have been like to enter the city through it. It is impressive enough nowadays
Exciting,"From the Bara Imambara, we hopped onto a tanga, & made our way to the Rumi Darwaza. Our excitement was doubled with our first horse carriage ride & the grand gateway ahead of us.The Rumi Darwaza is a gateway built under the patronage of the same Nawab & in the same year as the Bara Imambara. The front facade is a fine, fine example of Awadhi architecture!As it's an operational gateway, you've to be careful of traffic. There's no ticket to see the Rumi Darwaza."
Good to see,Worth the visit ... no fees as the traffic drives through it. Get a local tour guide to give you the background info
Impressive in size,This is the great ornamental gate of the Bara Imambara. The scale is impressive and there is much to explore. The whole architectural group here includes a huge mosque. No cameras allowed when we visited and a head scarf was not required.
One for the history buffs,"This is a huge monument right next to the Bara Imambara. You can walk to the mammoth gate. no tickets, not gates. Traffic uses the gate so you need to hop on and off the road a bit. The structure is humongous and beautiful. For history buffs, there enough to read and learn about the place, but for a regular tourist it may not amount to much except for a few pictures."
Peaceful place,"Roomi gate built in 1784 is one of the most peaceful architecture in lucknow and is now used as the symbol for city of NAWABS.It used to mark the entrance to Old Lucknow City, but as the City of Nawabs grew and expanded, it was later used as an entrance to a palace which was later demolished by the British insurgents."
Historic ,Ancient place of historic importance. Architecture is good and it’s part of heritage of the city of Lucknow. Take a few snaps there and move on. Nothing much special for common people but for history lovers it’s important place.
Simple ,This is one bigish gate... it is ornate and stands between Bara Imambara and Chota Imambara. It is a 5 min visit only.  You dont need any ticket or anything to see it. The place is of historic value. But basic and simple. Lots of cycle rikshaws hurdle around here.
Beautiful,You can walk from Chota Imambara via Rumi Gate to Bara Imambara. It has too many cars parked in front but it is a beautiful gate.
Outstanding City gate,This is a very outstanding City gate loading to bara imambara. The  promenade with cobbled streets leadings in to the old city before this gate is amazingly colonial reminding us of European City. Great.
You should once visit to witness this ,"I must say that if you are in Lucknow, you should once visit this place to see its architecture, it’s really nice if you know a little bit about this place. This was actually built in 1784 - 86, it has approx 69 feet entrance and looks really great once you cross this.. many vehicles go it from this gate as its in in the middle of the road.. also people say that there is no visible support to this high entrance.. make sure you also pass this gate.."
great,"my experience was great, i roamed all around the area which was surrounded with epic things. lovable place to shop for cheap and ethnic stuffs."
Great art work,This gate defines the beauty of mughal times. If we see this design up side down it looks like chicken work. Which is one of the famous design of Lucknow. Great source of income during mughal empire.
Was expecting more but it's fine! ,"This is a specially made Darwaza or door on the main road which is no more a spot to stand and click photos or do something there, you can pass through the door as that's the only road for all the vehicles to pass through! Could have made a podium or something to click photos !"
