title,text
A place to visit,"Visited the historical Sabarmati Ashram in January 2020 with some friends during a day trip to Ahmedabad. Obviously, this is one of the must visit place in Ahmedabad but was very disappointed with the level of cleanliness and security. Should be better maintained considering this is the place the greatest icon of India Mahatma Gandhi set up and led the freedom struggle from."
Sabarmati Ashram,"Why is Gandhi relevant even now in the digital age.On his birthday week lets explore some of the places he lived ,so as to inspire us even now...Sabarmati Ashram in Ahmedabad, Gujarat is one of the places where Gandhiji lived. The simplicity of living ones life is visible in every nook and corner of the ashram, now converted as a museum"
Boring,"Unless this would be like 'holy ground' for you, the site is quite boring and doesn't really give you an insight in Gandhi's  life."
Quite place at the City,This is the ashram which was established by mahatma Gandhi ji in 1917s at the sabarmati river. Gandhi memorail museum is there and his home still there.
Wow,Sabarmati ashram is one of the best place in Ahmedabad it's a one of my dream come true to see and visit Sabarmati ashram .lovely ashram of mahatma gandhi ji
A great experience,A wonderful place to visit to learn about Gandhi's life and work. In a very relaxing setting and nice to stroll about. A good shop selling all things to do with Gandhi.
Peace ,Its peaceful place and all the activities of Gandhiji will be ther for the knowledge and place is so nice and good
Enlightening experience,This was always on my to do list.Finally was able to visit it in December last year.Ashram extremely well maintained and informative about Gandhiji's life .Yo do get a glimpse of the Ashrama life and of the great man.Truly inspiring tale!
excellant day spent,"very nice informative ashram calm serene  place, bought some books  for grand daughter and unique pencils and souvenirs"
Serene and calm,"One of the most visited tourist attractions in Ahmedabad, sabarmati ashram is also known as Gandhi ashram. This is the same place where The father of the nation, Mahatma Gandhi spent majority of his life. located on the banks of river sabarmati, the place offers a great perspective and a glimpse of how Gandhi spent his life. The place should surely be on your visit list when in town."
Serene place worth visiting,"With no entry charges, this place is a must visit to know about Gandhiji.It's a hygenic place, well maintained. You can see squirrels having a ball just fleeting around freely.You also get to see the riverfront in the openess.Very peaceful and serene."
High recommended! ,"Highly moving visit to Gandhi Ashram. Site is well kept, gift shop and WC facilities available. Felt safe and secure throughout."
Quite a sobering Visit,"We visited this site on recommendadtion and we were very pleased to have had the recommendadtion.  A very historic place which tells the story of Mahatma Gandi, it is not a place to hurry around soplenty of time is needed to take in all the story, but well worth the time."
The Nostalgia of Gandhiji's own Sabarmati Ashram,"The Ashram is located on the banks of Sabarmati river , well kept and nostalgic location to anyone who has studied Indian history. The view is excellent. The room used by Gandhiji, Kasturba and the photo museum are worth visiting."
Very natural and positive vibes...,Very right place to spend some time preferably in the evening or morning. Good to know more about Mahatma Gandhi and to sit in silence with yourself. The place is at the bank of Sabarmati river and have a very natural feel where chirping of different birds makes it more lively.
Best Birthday Gift I can give to my Kids,"This is the place I have Choose to Celebrate my kids Birthday last year, we spend whole day at Sabarmati Ashram and evening on Narmada Bridge. Place itself gives u a Patriotic feel and very tidy. Place is maintained very well. taken care of each and every bit and tried to take us to back old days"
Serene abode,"Visiting this ashram is an overwhelming experience in itself. A feeling of serenity envelopes a visitor as he sets foot on the hallowed ground where Gandhiji himself had walked. One feels as if he is re-connecting with a great soul.The Ashram is well-maintained, but the museum can be modernised with audio-visual aids"
Sabarmati Ashram,Sabarmati Ashram located on the banks of Sabarmati river is a must-visit place. Gandhiji lived in this place along with his wife Kasturba for about 12 years. The Ashram being converted into Museum displays historic events of Gandhiji’s life. We can see Gandhiji’s house with some personal belongings and also there is a book store.
Amazing Feeling with Gandhi Ashram at Ahmedabad,"Good Morning Friends,        So many times visiting in Gandhi Ashram at Ahmedabad.Ashram near Sabarmati Riverfront.This place is very popular and famous because Gandhi Bapuji Homes.Ashram available Original items like Photo, Charka,etc.. Location is Amazing and Peace full atmosphere. I think everyone come in place one time.."
Serene and Historical,"Located on the banks of Sabarmati River in Ahmedabad. It is popularly known as Gandhi Ashram. Has its own museum,Vinoba Kutir, named after Acharya Vinoba who stayed here. Visited by many important dignatories around the world it's a worth visit when in Ahmadabad. It reminds the journey of Mahatma Gandhi and some stories of his family.  How Mohan to Mahatma during all those years. Very informative about history of Indian independence and the struggle led by Mahatma."
"Surreal feeling at the mecca of ""peace""","Just couple of days before Donald Trump’s symbolic visit to Sabarmati Ashram at Ahmedabad, I had a wonderful experience attending the ""Lead Like Gandhi"" Fellowship program held at Sabarmati Ashram in early February 2020. On Day 1, the Oscar winning movie ""Gandhi"" was screened at the Ashram for all the Fellowship participants after 8:00pm. What a wonderful feeling to watch the movie while being seated at a place where all the action took place !!The current political narrative may not hold Gandhi in high esteem though few of his teachings are still followed - The ""Swachh Bharat"" mission and ""Make in India"" initiative come to my mind. Gandhi had always said “India lives in the Villages” and if our focus shifted to building the rural economy instead of just urban based economy, well, India could be #1 soon.Besides the wall built to hide the real India (read “hutments”) on the route to be taken by the POTUS (he loves Walls) from Ahmedabad Airport to Sabarmati Ashram, the Trustees of the Ashram were busy making arrangements to welcome the most powerful politician on Earth, whose stay was estimated to be less than 30 minutes. Trump, who called our P.M. the “Father of India” during the event at Houston last year, must be getting some serious lessons on the “Father of our Nation” though he is far from following any of the Gandhian values . If Gandhi was alive today, he would have still addressed him as “My dear Friend Trump”. It was good to see our younger generation visit the Ashram, spending good amount of time taking selfies with Gandhi (statues and images) at “Hriday Kunj” - his abode from 1917 to 1930. The ashram located on the banks of the river Sabarmati was shifted from Kochrab Ashram (also called Satyagraha Ashram) in 1917. It was from here that Gandhi led the Dandi march in 1930. He vowed never to return to the Ashram until India had gained independence and the vow remained unfulfilled till his death.During the Gandhi fellowship program (7th to 15th Feb), I was only hoping our younger generation adopt some of the values the great man stood for and help build a sustainable world!"
Tranquil slice of history!,"We visited the Sabarmati ashram on our own before the city sightseeing tour started at 1.30 pm. So we spent considerable time in getting the vibe of the place. Peaceful, enchanting and serene; the ashram made us sentimental, as we remembered how that place had played such an important role in our freedom struggle. The specters of Mahatma Gandhi and his supportive wife Kasturba Gandhi undoubtedly guided us through their abode, as we silently glimpsed their residential quarters, sparse belongings, the famed charkha, tableau of the Salt Satyagraha, writings, et al with the backdrop of the concrete waterfront and the tranquil Sabarmati river, glistening in the afternoon sun, with unabashed pride.We bowed down before the statue of the Mahatma in a sitting pose; and were filled with immense respect and love for the great leader and apostle of non-violence.As the first place on the sight-seeing itinerary was the ashram that we had already experienced, we chose to relax for half an hour in the bus after a round of delicious cookies purchased from the kiosk across the road, selling ice-cream and baked snacks.By the way, the City tour bus starts its journey from the opposite side of the Sabarmati Ashram entrance, near  this kiosk, adjacent to Toran Hotel."
Must see if you visit Ahmedabad,"The sabarmati Ashram serves as a source of inspiration and guidance to the present generation.It  was home to  Gandhiji from 1917 until 1930 and  served as one of the main centres of the Indian freedom struggle.It is situated on banks of river Sabarmati.The various places you will see here are ,Hridaya Kunj where Gandhiji lived in a small cottage , a place  where  we see some of the things which Gandhiji used like writing desk, a khadi kurta, a yarn spun by him and some of his letters.Nandini,is an old Ashram guest house, where guests from India and abroad are put up,Vinoba Kutir and  Mira Kutir.There is a library and museum and a small shop which sells Khadi products.It is well maintained and one can spend good two to three hours reviving history.There is ample car parking space,and clean toilets.Wheel chair is also available."
Serene and Informative ,A lovely museum lovingly curated and a meaningful way to remember a great and humble man. Walking in his footsteps is inspiring.
Must see ,I would highly recommend a visit to the  ashram.  Great history not only of Mahatma  Gandhi but also of India. Grounds are well kept. Bathrooms are decent.
Peaceful place to sit and relax,"You can find a lot of information from Gandhi ji´s life, the making and importance of this orphanage, why was this turned into a memorial place. I also got to buy a souvenir from here for my memories!"
Inspired My Soul,"This is a wonderful place. No entry fee, you can click photos of anything you like. Place is full of quotes, anecdotes, letters, photos and other belongings of Gandhiji. Ideas are framed in Q&A format. One can see the rooms of Gandhiji, Ba, and Vinoba, kowotow to them and bask in the calm of Sabarmati. There is a book/souvenir shop. If you feel like, make some donation there. This place would inspire your soul."
"Peaceful, moving place.","This place is beautifully balanced between simple ashram, poignant cultural monument and informative museum and education centre. Gandhi's simple living quarters on the riverfront are a highlight, and there is much food for thought in the informative panels summarising his life and work."
Father of Nation's prestigeous place.,"Mahatma Gandhi Father of Nation India's most dedicated freedom fighter stayed in Sabaramati Ashram. This place situated on the bank of Sabaramati river of Ahmadabad. Gandhiji stayed here, he used to make Prayer, Cotten thread from Charaka, bhajan every day. Now National heritage centre. Buildings Renovated , peaceful place , Gandhiji rare photos, his manuscripts, his books library , his belonging  museum are landmarks his life and work. This place now tourists prime attraction. We couple spent few hours here, and prayed for rest in peace."
