title,text
Beautiful,Been here many times before. Beautiful surroundings. Great for lunch. So relaxing you don't want to leave!
Slippy wear good shoes,The gorge is fantastic unfortunately we did this as part of a trip and it was very busy and the water was not deep but it was flowing very fast and this made it difficult to cross. Also people didn’t social distance and pushed past people and I saw a few people fall. I wore beach shoes and still found it difficult as it was slippy and I could still feel all the sharp rocks. Husbands shoes had a much better thicker sole than mine so he was off like a mountain goat. Some lovely views and the water is not that cold and you do get wet. Some people didn’t go into the gorge but there are areas where you can dabble your feet.
Amazing Experience,"The canyon is 300 m (980 ft) deep and 18 km (11 mi) long, being one of the deepest in the world. It was formed through abrasion of the rocks by flowing waters over thousands of years. As the level of water rises during winter months, visitors can enter the canyon all year around only the deeper parts in the summer. 4 km (2.5 mi) of the canyon are walkable after April, when most of the snow in the Taurus Mountains has melted and passed through on its way to the Mediterranean Sea. Saklıkent means ""hidden city"" in Turkish. The full length of 16 km is only possible to discover with professional equipment and knowledge of advanced canyoning. Some adventure centers offer guided tours with an overnight Biwak camp and about 30 waterfalls to rappel."
Excellent value for money dayout,"This gorge is stunning and even better than the cheddar gorge at home. After walking through the gorge you can sit on comfortable pontoons in the river and enjoy a cold beer, it's fabulous, and for the thrill seekers you can sit in a large do-nut and flow all the way downstream."
Nice area,The water is amazing. I will come here again. If you like trekking welcome here anytime. Suitible for childeren
Amazing walk and really fun adventure ,"Like all the reviews will state, remember to bring water shoes. The gorge is amazing and so cheap to enter. We walked about 1 hour up the gorge and the picture that we took and the scenery was breath taking. If you are in Fethiye I would definitely recommend that you take a trip out there"
Worth dropping by,"A very crowded place, lots of people smoking. You can park the car for free if you drive away like 200 meters, diving shoes highly necessary, 20TL inside, cheaper outside. Guides are highly annoying and useless. Further you walk, less people. The waterfall is easy to climb, if you ever have been to climbing training."
Wow - a must see,Completely blown away with our visit to Saklikent. A must see if you are visiting Turkey. Cheap to enter and the photo ops are second to none. Highly recommend.
Amazing!,"This place was so beautiful and so much to do! As well as the views there was also water rafting and zip lining. As well as really nice food, and a beautiful setting to eat in!"
Beautiful - freezing water,"On a mega hot day it was wonderful to be able to stand in the rushing fresh water at the top of the gorge then get into a ""raft"" with a paddle and wizz down stream down the gentle rapids to cool off. Turkey truly is one of the most beautiful places Ive ever visited."
Gorgeous,"Awe inspiring experience, though quite exerting, if you go up the gorge all 4 km till the sinkhole where the stream starts."
Go early and bring water shoes ,It was a great way to spend a few hours out of the sun.  People very helpful and would definitely recommend to others as great value for money.  Make sure you go to the toilet before you go in !!!
Saklikent Canyon ,"We booked the Saklıkent trip with trip with Overland Travel from Fethiye. As we want private guide and driver, we did the best choice becouse, travel companies offer just jeep safaries to Saklıkent or day trips to other sites likes tlos or yakapark. We booked with Overland Travel amd our guide make us trekking and canyooning in gorge. Later we went to another canyon known as Gizli Kent very clsoe to Saklıkent. We did enjoyed the waterfall at the end of the gorge there. Both 2 gorge in one day with Overland Travel Agency. If you want private tour, highly recommend"
very nice,"Very nice chill place .Not good for any disabled ,babies or old people .Water shoes necessary .Water is not that cold as some opinion (in August after noon)"
Great cisit,Awesome place - bring your own water shoes or hire some on arrival.No lockers available so travel light!
You should see when you are in this area,You should visit to see . It is hard to walk inside of water but it seems like Jordan Petra . Weekends are crowded .
Take water shoes,"It's nice place beautiful nature, some places dirty should clean up, take water shoes or u will struggle, for older people or kids may be difficult, but it's fun,  go check waterfall near by their will be signs it's beautiful"
Lovely & Impressive. ,"We hired a car & drove here ourselves. We arrived about 10:30 & it wasn’t too busy. Parking & getting tickets no issue. The canyon itself is lovely. There is a bit of a river crossing to begin really cold water but a rope to hold onto. The water here was about a foot deep. We walked as far as we could until a large boulder blocked the way and it wasn’t too arduous. We wore water shoes  which helped climbing over some of the rocks, but we passed people in flip flops & crocs. By the time we came out it was really busy so glad we took our photos on the way in when not too many other visitors. It’s worth doing but go early."
Breathtaking experience in super deep and beautiful george,"We had a great time.  The rocks are amazing and you walk through some shallow water, rich with clay you can put on your skin for a mini spa.   Go as dar as you dare.  We stopped before the boulder ‘cascade’ where you have to squeeze through a hole big enough for one person crawling.Do wear the helmets provided as small rocks do fall from time to time."
"Great day out, make sure you're wearing water shoes.","Great day out. I suggest going as far as possible into the gorge as the view gets better the deeper you are. You can get the bus from Fethiye return for 30TL, bus stop is around the corner from the main bus depot outside the white mosque (ask the bus driver if unsure). You definitely need water shoes, but you can buy them really cheaply outside. 20TL for the cheapest shoes and they were actually really good. Or if you're short of money you can buy second hand ones down the road. It costs 9TL entry for adults, under 6 year olds go free. The first bit is probably the hardest, getting across the river. However it's a great experience, just make sure you have correct footwear on or else it can be dangerous."
Nice adventure and astounding scenery,Really loved Saklikent river which is a beautiful light blue and turquoise river between a valley. We had a long walk and trek in the river which was very cool in the really scorching hot summer and was really refreshing. My advice to other travellers would be to be cautious of the type of footwear- do not wear slippers that can be easily broken as the trek in the river entails fast water currents and rocks. Wear special shoes adapted for water. We had a lovely time with my family and fiancé. Us the young ones went for the trek in the water and the older ones stayed in the café which was in the form of wood houses in the river. Really nice day overall. It is a recommended attraction in Seydikemer (Fethiye).
A must see,This gorge is just simply magnificent and must see if you're ever in this region. The water is clean and very soothing. Loved it and I'm sure you will too.
Beautiful place. ,We had blast walking through the canyon.  It was a great change of pace from being at the beaches.  The canyon and water was beautiful.
You have to carry cash!,"Establishments do not accept credit card you have to carry cash. Which we did not because we have been warned not to! Because water stream at the entrence of the valley was at the level of my knee and we’ve been informed that it will reach almost chest level at a certain point(I am 6’0”). Since TL is not water proof we left our cash in the car. After you pass the powerful water stream at the entrence, you take a long walk and I mean a looong one. And during this walk water stream is not a problem because it becomes very thin and height of the stream is 1’0” at max. We did not come across with that water stream of chest level and down further we go it all started to look the same. So we turned all the way back. By the way, two small rocks fell from up above while we are walking, although they did not hit us I recommend borrowing barets at the entrence they are free of charge. One last thing, rocks you are walking on are very slippery I highly recommend wearing seashoes. Flip flops will make the experience much harder."
Extreme and beauty,"My family and I traveled to the gorge by bus.I recommend, be sure to cross the mountain river and go into the gorge, to overcome some distance (of whom there will be enough). I advise you to pay the guide if there is a lot of water in the gorge (it’s safer and calmer, and you’ll get clear instructions). Shoes are best taken with rubber.The length of the gorge is 18 km, it is unlikely that you can go all completely. Even if you manage to walk a couple of kilometers, your impressions will remain unforgettable. You need to go meaningfully and carefully.This is my most unforgettable and vivid impression of Turkey."
excessively Touristic,"Very touristic,not  an  interesting  place for nature seekers, very crowded  and artificial .The restaurants are maybe the worst in town."
HUGE NATURAL BEAUTY,"The park, which contains a natural wonder that must be seen in the region, like Saklikent Canyon. Some parts of the road from the main road to here have also been made and it was fine. When you arrive, the staff who try to attract you to the car parks of their restaurant welcomes you. But I still found a free car park, I think. When you get out of the car, there are restaurants with left and right, some of them are cooling places on summer day. Here you can relax on the return. Here, Müzekart does not pass, you enter the area by buying tickets from the box office and a magnificent canyon welcomes you. Immediately after entering, you walk through a narrow bridge and reach the place where the water flows and you can go down to the canyon. It is strongly expressed that you have a hard hat on your head here. These hard hats are abundant in a box there. In this region, you flood the ice-cold water and start seeing the canyon. Although it is not easy to pass through this entrance area where water flows fastest, it can be full of fun. Passing by holding onto the existing rope and you have to be careful not to fall. After passing, you walk and enjoy in the imposing canyon in the water that flows lightly. I did not go to the end, even though I proceeded quite a lot. It was a really nice experience. I would recommend it to everyone."
It’s amazing ,It was very quiet when we went there but it was worth seeing it if you go winter time make sure you got right clothes
