title,text
Monument to Pugachyov's ally,"The monument to Salavat Yulayev is a dominant sight and I would sat even the official symbol of Ufa and the whole of the Republic of Bashkortostan.It stands on a high bank of Belaya river.I visted it in the morning, in the afternoon and in the evening - in the last rays of the sun."
Great Views ,The statue is a great monument. It overlooks the river and the residential part of the city. There is a scenic view here.
Remarkable monument,Beautifully placed in the high ground of the city with the symbol of their leader in warrior action .
Must see ,The absolute legend of a human being immortalised with a stunning statue. Great gift shops fountains and flower gardens arriving the site. I love UFA !
Brilliant Monument,"Beautiful palce, lovely gardens, a great out look over the city. A must see monument of their local hero."
Great views,Good family friendly place to walk and relax. Great views even in the winter. Nice place to stroll and enjoy the water fountain on hot days too!
Monument ,"Salavat (Salawat) Yulaev was a Bashkir hero, there is still a lot of stuff named after him. He sits on a horse, overlooking the entire area."
Very impressive monument,The most beautiful spot in Ufa city! All visitors of capital of Bashkortostan must see. Amazing view!
Symbol,This monument is the symbol of the Ufa where has very beautiful park around it also. You have to visit it before you leave!
The nicest spot in Ufa,"It you are in Ufa in summer time, this is the place which you have to visit. The view is breathtaking and there are lots of Spice to stroll. Don't miss it"
Amazing,"Breathtaking views, amazing statue and a beautiful park.The statue of this hero is a must to see. Come here and just enjoy of all that is offered"
Enjoy the view,"The monument is set in public space full of greens and with many people around, in the heart of Ufa. There are beautiful view on the mound on which the monument is set. Don't miss it when visiting Bashkortostan."
Nice panorama,"The place were the monument is located is awesome, it is on a hill facing upon the Belaia and the big forest. The monument it self is huge and nice. The place offers also a small park where kids can enjoy."
Monumental monument ,"On a snowy February evening we went to see the largest horse statue with a horse standing on three legs (!).  Funny but the horse - and rider, Bashkir hero, Salavat Yulaev - stands tight on the edge of a bluff facing the White River. So close that I couldn't get around to the front to take a better picture. Coming back when the snows gone and it's warm."
Great monument to visit while in town,"This is a great monument to visit while in town and its located next to other attractions, such as the senate building."
Very nice place to spend a few hours,"Monument itself is impressive. The park leading towards it is very well done, surroundings are nice and also the caffes's and shops under the yurts are a great authentic experience with local pastries, teas, interesting souvenirs and the sound of local music."
Symbol of Ufa,"The largest horse statue mounted on just three supports depicting a national hero of Bashkortostan is must-see. The park around is also good for outdoor activities. Recommended time of the year is Indian Summer, when you can see all the colours nature has to show behind  the picturesque Belaya river."
City break,Well worth a visit mainly to take in the magnificent views over the river and forest  below. Surround by fountains and flowers
