title,text
River and a walk,Parked at the mall garage and stated walking. Restaurants galore. Some very pricey. We had lunch at Salt creek. Than took a 30 min. boat ride. Weather was warm but it was a really nice afternoon.
Pretty cool but be wary,"This is pretty much a very long walking mall with a river next to it. Yes, it was history and you can ride the barge down the river, but let's call it what it is. However, there are loads of restaurants to suit any appetite. Be wary if you take the sidewalk ""above"" the riverwalk as there is a pretty significant homeless population and many places are under construction."
Awesome,"We have always wanted to come here, now that we can’t travel internationally we decided to come.  It was not crowded, enjoyed the walking and some of the restaurants, a lot were closed, a whole lot were closed and I pray that it picks up for them.  Just imagining how they built it and what a feat that is.  We stayed on the Riverwalk and enjoyed it all."
Nice experience,This was our second time in this place. It was great and always clean. Make sure you walk in both sides to enjoy the difference between the vegetation and gardens
Beautiful area to walk around,"The River Walk is very beautiful, peaceful, and clean.  I will be happy when more businesses are open."
A San Antonio Must!,"If this is your first time here, start the experience with a boat tour. The tours last about 25 minutes and cost about $14. The River Walk is full of places to get drinks, dinner, and souvenirs. Great place to enjoy the weather and have dinner and drinks with friends and family at affordable prices!"
Always a fun time on River Walk,My friend and I visited San Antonio recently and thoroughly enjoyed walking up and down Riverwalk. We ate at several different restaurants and shopped at many of the shops and thoroughly enjoyed ourselves. You can spend as little time there or as much time there as you want… And it’s a lot of fun to sit and people watch too.
Beautiful,"Everything you need for a great time in San Antonio can be found on the River Walk. Safe, clean and beautiful. the only issue is not everyone walking around wears a mask. We felt the need to have one on at all times."
Lots of homeless,"Even after covid a few places were open and quite a few people strolling around, however in a short period of half an hour that I walked, I encountered three homeless people shirtless asking for money. It was also so hot and muggy/humid. Too many homeless and junkies. Not one cop or security around on a Sunday night which is when I assume should have more security as it is crowded. There were also people in bicycles, the pathways are already narrow enough, I dont understand why those are allowed. Weird. It wasnt fun, the last thing I want to see in a vacation is homeless people asking for money."
Amazing City Center!The ,"The San Antonio River Walk in the downtown is just awesome. The integration of the river, hotels, restaurants and old world charm is spectacular. I have seen pictures but they don't compare to real life.We enjoyed dinner at a restaurant, walked the riverway and took a boat ride, Wow!Stay after dark and you can see the lights and nightlife, along with the bats that come out from under some bridges.We had breakfast the next morning on the river.What a jewel in San Antonio!"
