title,text
Serenity in Yokohama,"A beautiful and peaceful garden just south of Yokohama. A little bit off the beaten track, so not as busy as other attractions, but it's well worth a visit. Easy walks around the lake, with magnificent views of the villas and pagoda."
Don’t go during winter season,"Our cruise was cancelled due to Convid-19 . Trying to fill our time, we decided to venture this garden. Because of the season, there was hardly anything to see. I went up to the pagoda area (pagoda itself was closed) to get a glimpse of the garden from above. Quite barren, but I’m sure it would have been a pretty sight to see in spring, summer and fall.There was a house that one can enter (shoes off) and see how people live before. It was quite interesting.Took a bus from Chinatown area and walked probably 15 minutes to the garden . Bus was a flat 220 yen , entrance fee to garden was 700 yen."
always fun things here,we were lucky and saw a guitar concert live in one of the temples on the garden grounds...it's such a beautiful place and slightly off the beaten path in Yokohama. I imagine the fall foliage is also so pretty.
A garden break from the big city,"Tokyo certainly offers its share of beautiful gardens. Tourists know that. And Tokyo hosts a lot of tourists. The goal of serenity that underpins Japanese garden style can be achieved among a crush of visitors, possibly, if you close your eyes and play flute music through your earbuds.Or you can take a short rail trip south of Tokyo to Yokohama. Not exactly a suburb, but almost. A half-hour train ride from Shinjuku station and you’ve escaped to the largest industrial port in Japan. Not serene. But you won’t be stopping at the port. You’ll be seeking out Sankeien Garden.Yokohama also features the country’s greatest Chinatown, and you may want to have lunch there before catching the No. 8 or No. 148 bus to the garden $7/adult). Sankeien is so called because it was built by Hara Sankei, a rich silk merchant, and opened to the public in 1904. To add authentic touches Sankei-san pulled in vintage structures from elsewhere, such as the dominating pagoda, dating from the 1400s. Experience a tea ceremony, tour a gassho style (heavily thatched) house from Hida prefecture, or climb the hill to the pagoda. The garden brings together a little of traditional culture from around the Kanto region, a good introduction if you have no time to go very far beyond Tokyo. Because, presumably, getting to Sankeien is slightly challenging, it seems to remain more tranquil than the more famous Tokyo gardens. We stopped by in January, perhaps not everyone’s top month for garden visits, but it was only a bit chilly, the pine is always green, something is always blooming, and the waterfowl still frolic. Sankeien Garden is also a little melancholy. Its scars and ruins over a century call to mind the sad tragedy of Japan through war and natural catastrophe. Structures in the garden are gone or lie in ruins, victims of the Great Kanto Earthquake of 1923 or, more poignantly, allied bombing during World War II. This faint reminder of Japan’s heritage, a small island nation prone to earthquakes, tsunamis, and military dictatorships, perhaps can be sensed within the soft breeze through the pines and winter-blooming camellia. We can take time to pause and reflect. No earbuds necessary."
Serenity,"Beautiful, peaceful and well kept garden in the midst of a very busy city. Great tea ceremony. Worth the visit by train."
Great ,"Beautiful, great for sightseeing, walking, easy access with public transportation, highly recommended"
Nice Park,Not only the park is big and has a lot of different plants in it. Also you can see a lot of old house which were saved from beein scraped. This founders bought the house and brought them to this park. They preserve a part of the edo empire. You will understand more of japanese culture when you have see where it comes from.
Best Surprise of Yokohama,"This place is stunning, full of nature and such a peacefull place to go and make beutiful pictures! You can not miss that park at all!!!"
Interesting garden and buildings,Varied garden with 200 + 300 year old buildings moved from all over Japan. Lucky to be there for an exhibition of outstanding bonsai.
Well worth a visit,"Beautiful gardens in the Japanese style (obviously) with lovely, traditional buildings. Educational too; we learned that traditional rooms are measured in the number of mats it takes to cover the floor. It was wonderful to stroll around its peaceful grounds. We were a little too early for the autumn colours which would have been very special. I don’t know about other seasons, but I’d recommend wearing insect repellent in autumn; the water attracts mosquitoes. A must visit."
