title,text
A Walk In The Park ..... Literally,"Although it was a winter day and nothing was in bloom our visit was still an enjoyable experience.  There were lakes, ponds, creeks, waterfalls, stone walls, foot paths and an abundance of well manicured plant species in a well designed area.  We regret not having time to visit the former residence."
A Must Visit Location!,"We’ve seen many homes and gardens in Japan and Senganen was one of the most impressive. The house is not just historic it is gorgeous. The staff are helpful (some English spoken) and clearly proud to be working there. The gardens are really remarkable with ponds, small buildings, fountains and great walking areas. It’s March and there are lots of trees and flowers in bloom but it must be gorgeous most of the year. There’s a lot of English signage which is helpful along with young, enthusiastic staff. The shops are interesting with local traditional sweets along with beautiful crafts. We aren’t so fond of cut glass but the production here is a quite remarkable. Expensive and wonderful. We spent 3-4 hours wandering around and having lunch in the cafe - which was also quite good. Keep a watch for someone ordering one of the deserts with tea - the making of the tea is an interesting exhibition."
Beautiful gardens ,Huge garden with the residence houses facing the volcano in Sakurajima. Enjoyed the walk round the gardens n the great view of the volcano. There are also some shops selling souvenirs as well as some local snacks.
BEAUTIFUL GARDENS,"It is a park that consists of various gardens. You will enter through the commercial part however the further you go you will go along paths that will take you on a magical adventure, landscapes, exotic plants, lakes and rivers that cross everywhere. It is a relaxing experience, to enjoy some peace and the opportunity to take great pictures."
Gorgeous house and gardens,"Don’t miss Sengan-en if you are in the area. The gardens are stunning with beautiful views of the sea and volcano. The house has explanations in English and one can easily imagine the lives of the family that lived there. Plan to spend a few hours exploring. There are tasteful cafes, gift shops and a restaurant on site as well."
Very good place to visit,I visited Sengn-en in early December 2019. It was old buildings of Japanes style with good landscape environment. It provided a good location to view Sakurajima.
Beautiful insight to Japanese culture and history ,"The whole complex is lovely, but the house is the highlight! So beautifully preserved, authentic cedar house. It gives a great insight into Japanese history and culture."
Great view of Sakurajima,Overall an interesting place to visit because Sakurajima is part of the design. But I prefer the gardens of Kyoto and the wonderful Kanazawa one. The house is worth a visit.
good view of Sakurajimi,good view of Sakurajimi. nice short walk to enjoy the nature and the viw of Sakurajima. temple there and focus on cat but no cat there haha.
Beautiful gardens with view of Sakurajima,"We visited Sengan-en which has shrine, ponds, streams and cedars trees. There is an open ground where you can get a perfect picture of Kinko Bay and Sakurajima Inland in background. Must visit and see."
Great view of Sakurajima,Recommended if you like gardens. There's also a shopping area for food and souvenirs and some restaurants. We also bought the full priced ticket to visit the house as well and it was interesting.
Nice view,No need to buy ahead. Not a big savings. No crowds.Nice view and shopping area. Some renovation taking place.
Well maintained ,A more professionally managed attraction than most I saw in Kagoshima with plenty of ‘spending’ spots tactfully scattered along the ‘suggested route’ but then they can as they have plenty to shout about with the glass manufacturing and so on. The garden itself is stunning with some delightful shrines and plenty of explanatory signs. All that is missing for botanically minded tourists is plant/tree labels. Easy to get to as the tourist/city bus gets there but it does get very crowded.
Wonderful,Large garden that is well kept. Ample parking spaces. Like most Japanese gardens a lot of attention to detail. Good for an hour or two.
One of the very best,"This wonderfully complex garden built on the side of a mountain, overlooking the bay and the volcano is really special.  It is less formal than many of the other strolling gardens and has modern buildings housing cafes, restaurants and a variety of quality shops integrated into the garden.  We were quite surprised to find the well  preserved house with wonderful long corridors and rooms providing views of its own series of miniature gardens.  We rate it as one of the very best of the many Japanese gardens we've visited."
