title,text
Covid police mad,Lesson covid and more about the house.My husband shifted his weight from one foot to other and wow covid police came out.By the way this was my husbands birthday treat you shot yourself in the foot not worth the money.The reception at the Shakespeare hotel said not the first they heard this complaint. They have signs about keeping 2 meters apart but kept everyone at 6 meters apart not goverment guideline.If you think you need keep 6 meters apart dont open.
Birthday visit,Drove up to see Stratford for my birthday but booked tickets for Shakespeare’s birth place before we left. If you’re into Shakespeare it’s a must see but well worth a visit even if you’re not. Probably takes between a half hour and an hour depending on how much you want to read and talk to the knowledgeable staff.
Get your cultural fix,Husband and I visited for his birthday 09/10/2020. All covid precautions in place. Staff very friendly and informative. Learnt a lot about our language as well as about Shakespeare himself. Seeing his cot was a delight. Was well worth a visit
Definitely worth a visit ,On a rainy day during Corona times we were lucky to be the only visitors. The staff was very friendly and happy to tell not only informative but also fun facts about the house and the times when Shakespeare lived in the house.
Enjoyable,"The tour was enjoyable, and you can take your time with fewer visitors allowed in at once. It only takes about half an hour to do the tour. The staff were really knowledgeable and interesting."
Shakespeare’s Birthplace,Very interesting trip! Learnt a lot about Shakespeares early life and the guides were very informative. If you’re in the area definitely worth a visit!
Very interesting,"The property is beautiful, very well preserved with original period items of furniture to give you a flavour of what it was like in Shakespeare’s time.  There were guides in the principal rooms who gave very knowledgeable information as well being able to download info on your smartphone."
Great Covid measures,"Great Covid restrictions in place. Windows of house were open and rooms were well ventilated. Lots of plexiglass barriers when interacting with (really friendly) staff, and precise measures taken to keep distance between guests. I would have liked a little bit more information as the house is very small and the tour is over quickly but otherwise great."
Weekend away,Lovely trip back in time with staff who gave you an insight into the life and timesReasonable in price
Lovely house!,A well-laid out museum and a must see for any Shakespeare fans. House is lovely and staff are keen to give you interesting facts about the house.
Great time had by all.  Very good Covid19 regulations in place.,"They have set up the viewing very well in line with Covid19 regulations.  You can only book online, at least then you are guaranteed entry.  Shakespeare house was amazing, just like stepping back in time.  Very informative, and interesting day."
Well done to the staff,"Managed to maintain anti covid measures But stillMade it a memorable experience.  The staff were fantastic and really made it easy for everyone.  It was a real privilege to be able to go back in history.  A trip to Stratford-upon-Avon is notcomplete without a visit.  Have to pre-book, but that is easy to do and timings spot on. Well done to everyone in these trying times."
Enjoyable,"Due to covid restrictions, it meant we had a leisurely look round the house without it being packed with tourists. Good info on Shakespeares life."
What an absolute delight ,I recently visited with my partner and from the start it was absolutely lovely . The member of staff who chatted with us in the queue whilst we were waiting was an absolute delight and the tour itself was fantastic . A particular highlight would be coming into the garden for the first time because it is just simply gorgeous . An absolute must do even if you don’t see yourself as a massive fan of Shakespeare’s works ( like myself )
a nice little visit,"This was lovely to see, the staff were very knowledgeable and the gardens were beautiful, just a shame with the covid thing that we didn't get enjoy them as we probably normally could."
Great introduction to Shakespeare’s life and works,Beautiful gardens and some original structures... gives a great insight into Shakespeare’s early life.
Shakespeare's Birthplace,"Set in the middle of the town the building is fantastic, great views can be had allowing photography at no expense"
Disappointing ,"Obviously visiting during a pandemic, things aren’t going to be the same in regards to how much is accessible etc. But even so, I was disappointed with how much content we got to see. Aside from a few titbits of information written on some of the walls, I was hoping for some really informative talks but there was nothing. The whole tour was over in about 25 mins. Sure you get to see William’s old house but I was hoping to hear tales of his early life etc. The only one member of staff that bothered to say anything was the one in the bedroom where he was happy to talk about Shakespeare’s early life as a baby. Certain rooms were roped off with no explanation given. I was hoping for a much more interactive experience but it wasn’t to be. I would have liked to see some other areas of interest, such as Anne Hathaway’s Cottage or Mary Arden’s Farm but they are still closed due to covid, but to be honest, if they are as lacklustre as this tour then maybe we aren’t missing too much..."
