title,text
"Great architecture, beautifully ornate and I suggest going with a guide","While I know little about architecture I love the angles and arches of it, this place fit right into that!  There are so many beautiful spots I could have spent way longer just walking around soaking it in and taking pictures.  I suggest a guide as they know all the interesting angles to take great pictures of you! We also learned quite a bit from out guide, making the palace and it's history more interesting.  If for no other reason I recommend stopping here for the sheer beauty it provides!"
Beautiful building,"Sheesh Mahal is beautifully ornamental and is testament of the enormous talents of the Indian craftsmen, who built it."
A great tribute to artisans and visionaries,I am only sorry that we were not able to see this building after dark when it would have been illuminated by candlelight.  It is nevertheless a sight to behold in daytime too and to be able to marvel at the skill of the craftsmen and the imagination of the designer.  Make sure you don’t miss it.
Wonderful piece of art,Beautifully crafted. The walls and ceilings are stuffed with mirrors and the total attire is splendid. The Taj Mahal can be seen from the windows.
"Mirror, mirror","Located in Agra Fort, it is so called because of the mirrors embedded in the ceiling and walls. This was the royal bath. You can see it from the outside and maybe peep through the opening in the door if you are lucky as the place is out of bounds and has been closed for a long time now. If you can get close, and it is possible as this is India and who you know or how much you can pay someone, will open door. No one knows why it is closed."
Not able to see it fully,"Not able to see it fully, as seems it opens on very few days now. Heard from others a nice place. But was not able to see myself :-("
"Currently can only look inside, but not enter","As of December 2019 you can only look inside through the door. When I visited the site was mostly unlit, so you do not really get the effect of the mirror decorations."
Bummed,I wanted to see the inside but they closed it down.  I was only able to look in from the door.  Bummed
Impressive ...,"If you are visiting Red Fort in Agra, you will definitely see this part of it. The decoration is extensive and very ornate. The mirror decoration bounces even a small amount of light around, brightening the space."
Lovely part of the Amber Fort,"My wife was particularly interested in seeing this and she was right to be so!Beautiful and intricate decorations, inlaid semi precious stones and a nice historical story attached to it.  I've attached a photograph (probably only the 3rd or 4th time ever) to show the mirror effectsWorth a visit as part of the Amber Fort"
Refreshing Mogle aazam..,"In the middle of upper floor of Red fort, classic setup of Glass(sheesh) Mahal & just nearly staying can watch beautiful view of Taz Mahal.."
good for visit,"this place is located in agra, nice place to see, if you are going to agra than try to see this place and enjoy"
Breath taking,"Our Mysteries of India tour guide and driver took us to this amazing fort, told us all about it then stood back while we wallowed in its beauty and the skill of the craftsmen"
different,this monument and tourist atrraction attracts a lot of tourists but not as much as the taj mahal. I liked its gardens
Stunning piece of architecture,Beautiful palace within the fort. Shish or Sheesh Mahal is beautiful but we weren't able to get inside for a proper view sadly.
A Historical Touch,As the title suggest Visiting Sheesh Mahal give you a different outfit and makes the tourist attraction towards it. Traveling such places you may feel the historical touch in you. This historical monument which was built during the Mughals Period has an amazing historical background.
interesting,this is a very artistic building built by mughals. visit it early in the morning for the best views.
The detail here is amazing,"This is one to add to the list. However, you will need to pay a little bit more than the local like most places but if you are in Agra, why not? Good experience as I went early when it was not busy"
Agra Fort,Really spectacular room but the views of the Taj are worthwhile. All tours to the Taj insist you come here but it is worth it.
Star attraction of Agra Fort,"The 'mirror' room is certainly one of the highlights of Agra Fort - even with the wear and tear of the years, you can just imagine how magnificent it must have looked like in its time with all the related colours and candle lights."
A must see place,This is a must visit place in Agra fort... The architecture is mesmerising and place has an eternal beauty... Extreme delight to watch the place surrounded by so many mirrors...
Difficult to see,It's hard to look inside and get a feel for the Sheesh Mahal. There are a number of these throughout India and this was probably the hardest to see and appreciate.
Be sure to have a knowledgable guide,We were so lucky to have a great guide. Walking through the Fort stopping at the amazing interior Palace rooms was really enhanced by our guide. Having him point out how they carved the marble and then inlaid with the semi-precious stones was great. The combination of the wonderful workmanship and a detailed history of India during this timeframe really enhanced our visit.
Agra Fort,Part of Agra Fort and the Taj  Mahal story.  Knowing the story will  enhance your experience immensly. Some sort of information guide should be  used to help you as there are not many storyboards.
Stunning,Feast for the eyes well worth a visit  stunning place .Cameras at the ready .Go early to enjoy peace
Elegance in Rustic Amber Fort,"Sheesh Mahal is a touch of elegance within the palace courtyard. Exoctic artful masterly detailed mirror & glass mosaic pattern inlay surface finish. Elegant, exquisite & affluent."
