title,text
Quiet Visit to Winter Gardens,Was surprised that the Winter Gardens were open when I visited to see the CRUCIBLE. So went in after asking the staff member on duty if it was OK. Spent about 30 minutes  inside looking at the various displays of palms and exotic trees. Surprised how tall they were. Unfortunately the eateries and cafes were all shut. Took a few photos  while there.
Break away,Stayed in mecure hotel next door what a lovely place even sitting having breakfast was a joy to see people walking through we loved the flowers and different plants a joy to go into the little gallery’s off stainless steel John Ruskin Chatsworth house arts we thoroughly enjoyed our visit somewhere lovely to go for a break from shopping and plenty of seats to sit on and admire the gardens
Mindfulness Journey,"Such a immaculate conception of how true nature can combine to become a beautiful hidden gem in a city landscape because it really makes you feel like like your truly able to forget your worries and concerns and put you at peace even of its just for a fleeting moment. Also, visited the millennium gallery off on the side of the winter gardens and would highly recommend this miniature museum as you can find some very interesting historical artefacts if you love to learn about history like me."
Nice building,Very nice building but there didn't seem to be enough seating to stay awhile and enjoy it.  We did enjoy it but would have loved to sit down and watch the plants grow!
a must see !!!,"what a delight........a wonderful location on the square near the Crucible Theatre and The LyceumA must place to visit ..........tranquil, beautiful, a place to reflect........the free galleries and exhibitions were quite fantastic........we spent the most time looking at the the story of Sheffields steel industry......sadly we didn't have time to look in the Ruskin room.....one for next timeSheffield should be on your list of places to explore....so much to see and do"
Peaceful,So nice specially on a awfull rainy day. Love this place anytime so peaceful and relaxing just to sit and admire the plants. Our favourite place for a coffee break and a snack.
Amazing,A beautiful place to sit and enjoy the plants.  There are cafes here if you want a coffee.  A lovely place just to relax.  Well worth a visit and free to visit.
"Nice, cozy and entertaining.",Greenhouse built in glass in the center of the city. It was inaugurated in 2003. It is located next to the town hall. From here you can access the Millenium Gallery. It also houses some shops.
Lovely spot for coffee,Ok when we went it was very quiet but peaceful and lovely palms and flowers to to admire. Nice little coffee shop selling snacks and drinks.
Marvellous ,An amazing Tropical oasis in the heart of Sheffield. Great to relax and unwind with fascinating tropical plants
Nice,I was pleasantly surprised by this. Its a great design and a great spot to enjoy a few minutes of peace and quiet with many plants to enjoy. Don't forget to see the galleries and craft items that are just of the main area. We'll worth a look.
Small but worth a visit,Pretty small but definitely worth a visit. The garden in the city center is sure to grab your attention. Cozy environment of modern space.
Peaceful setting,This is an excellent place to sit and pretend you are in the country.  Nice arrangement of greenery to walk round also.  A few unusual shops to browse though not many.  It would be perfect for you if on a lunch break and needed peace for an hour or less.
Worth a visit,A great escape from Sheffield. Good walk around and well worth a visit when you’re in the city...perhaps with a theatre production to be followed!
Nice place to sit for lunch.,"We were tourists and from the write up it sounded as though this was a huge greenhouse. To be fair you would walk through it in a few minutes, but it's worth a diversion as it's very close to the centre of the city. Beautiful palms and ferns with some orchids and cacti. A calm place to sit and eat your sandwiches which is what the locals seemed to be doing."
Unexpected art,The winter garden is quite small but pleasant. The surprise was how good the art museum in it. We easily spent an hour looking at some art with explanations of what they depicted and the history of Sheffield steel. I was in ad wheelchair and everything was accessible  and easy to manoeuvre  around.
Winter garden,"Plenty of different varieties of tropical plants & other plants/ trees too, there's also a small museum of Sheffield cutlery, scissors, ect, + small shops & café too, good for all to visit & small children love it too."
Lovely quiet place in the centre of the city,"I visit this place regularly, if I'm passing through or going to the connected Millennium Galleries..a green space in the city centre lovely to sit and read or visit the exhibitions."
