title,text
Great place,"Amazing gardens and area in general.Being an ex Victorian, comparisons between both South Banks was inevitable. Got to say not even close...Brisbane and the gardens, the pool/swimming...just excels.Well done Brisvegas"
Best place to relax!,check this place especially at night lovely man made beach and load of grassy areas to just sit and enjoy the Scenes such a universal place highly recommended
Pleasant Outing,Enjoy hassle free bus travel  to your stop and roam the parklands enjoying the outdoors and  cheap family fun atmosphere .
Excellent place to spend a few hours,We have been coming here a few times a week while waiting to pick up a patient from a nearby hospital. There’s so much to see and do. Love sitting watching the river or walking the path along the river
The veggie garden!!!,There was a lovely veggie garden there that was well established. You can buy the produce during the day. It was lovely to wander through the park after dinner. Would recommend.
Just go there!,"A beautiful cobination of gardens, water features and local wildlife. Well maintained, clean and just amazing.A short walk out of the CBD, or 1 stop on the train from the city.Enjoyed a pleasant sunny Sunday afternoon strole around the grounds."
Great family activity,"Great few hours spent walking through the various parts. Had two young boys (age 6 and 5), and they had a great time looking at the different activities and attractions.Excellent free activity and kept everyone entertained."
Worth a look,"So clean,wide open spaces,water was clean,lovely walking paths nice eateries,beautiful  views of river,gardens are well maintained"
Well kept family space.,What a surprise to walk along this parkland.  So well planned and maintained.  Watched many small children with their parents enjoying the safe water areas.  A jewel in Brisbane's crown.
The Main Attraction The Wheel Not Operating.,"During our 2 wk holiday in Brisbane from Cairns we spend a considerable amount of time exploring South Bank Area, some new construction work going on & unfortunately the Brisbane Channel 7 Wheel wasn't operating. Many Cafe's Restaurants open for all tastes & budget. Overall a beautiful area to explore for all ages."
Beautifull well kept family friendly and clean spaces,"One of the great spots to spend time and appreciate the beauty of the southbank parkland area. Great places to eat, great vibe and safe"
Under construction ,Not much to do at the moment- it felt the whole place was under construction. We walked over and almost straight away walked back to the main CBD. The only place that appeared to be doing a decent trade was the Plough Inn.
Such a great day out,South bank is a must to visit when in brisbane. Amazing park for the kids and a great pool and inland beach with life guards. We spent the whole day here.
What a wonderful place!,Had a great day out here.  Brisbane is very lucky to have a place like this within walking distance from the city.
Just a get together.,"Although the weather is a bit chilly,its still a great place to walk the edge of the river and relax on the lawns."
Always nice to wander along the river but very ugly due to construction atm,Guess the government are using this Covid-19 time to to a lot of renovations but it certainly does spoil the look of the parklands atm. Quite disappointed. Such a lot of the area is closed and noisy with machinery.Luckily the view over the city from the parklands is still nice.I will be waiting at least 6 months before making a special trip here again.
It's beautiful ,If your going to Brisbane you need to go to the parklands. They are beautiful and so vast that you can relax anywhere. There is a swimming spot for the warmer months that is like a beach. They have calming music playing in some spots and even a public veggie garden.
great place to relax,"great place to relax and walk around, some amazing places to eat and drink here too with amazing views of the city really enjoy coming here, its also really safe."
Family fun,"Good space to allow children a place to play safely. It has good restaurants easy parking and well lit up at night. The park also provides a central point to access other venues such as QPAC, west end and Brisbane city."
Great place to wander round,"I really enjoyed strolling along Southbank, both during the daytime and evening. Lots of different places to eat, some gift shops and the man-made beach/lagoon. I didn't go in the lagoon itself but would aim to do this next time I'm in Brisbane."
"Relax, Unwind and Fun","One of the best places in Brisbane to relax, unwind, eat and have fun with entire family. Lot of activities for everyone including chance to get fresh organic vegetables every Thursday."
Excellent for wandering ,"The parklands are absolutely beautiful. Lovely to find some shade among the trees or to walk along the waterfront. Can get the local water transportation along there. The man made beach is a bit funny. There are people laying around in full on bikinis etc. and there was even a photo shoot one evening when I was walking by. The real beaches (ocean) which are amazing are about 45 minutes to an hour away. This beach is a huge man made beach in the parkland near the river. There is a section that is a fun water play area for younger kids. Huge climbing structure for kids. Also, cool area to hang out in giant circle hammocks. Definitely go for a stroll through if visiting Brisbane."
Loved this place,Great place to swim and hang out.  Also a nice respite from the city. Very scenic and relaxing. I’d come back.
Magical place,"This area has a park, a swimming pool, a beach, restaurants, a Cultural Centre with a Theatre, Concert Hall, an Art Gallery and the State Library. Excellent place to spend a day."
where to have lunch,"Staying in South Brisbane South Bank offers both a leisurely walk plus many, many options for lunch and dinner from cheap snack bars, fast food or good restaurants. After Covid19 is no longer an issue it will offer walks along the Brisbane River, strolll in the gardens and live entertainment."
 Brilliant oasis in the city,We loved this area of Brisbane and spent a lazy afternoon here. The pool and sandy beach are very relaxing although I imagine this can get hugely busy in high season. Plenty of bars and restaurants too and a really pleasant walk from the CBD.
Fabulous place in the City,"Beautiful park land, a man made beach and lagoon, lots of places to eat and drink a lovely walk along the riverside.Not a bit of litter anywhere a lovely place for all ages."
Great place to relax!,Lovely place! Great place to relax with street beach and bars and restaurants. Nice activities for the kids
A hightlight culture and recreation meld at Brisbane's heart,"South Bank precinct is one of the major attractions of Brisbane and one of the best urban banks worldwide.South Bank Park includes hectares of subtropical and formal gardens, laggοons, pools, waterways and a host of dining options. Enjoyable riverside walkways link to Kangaroo Point and right next door is the Cultural Center with Queensland Art Gallery and GoMA, Queensland Museum, Performing Arts Center and State Library of Queensland. The Maritime Museum, Grand Arbor and South Bank Beach are some of the nearby attractions. The south bank park is enjoyable for all ages and offers great walking, jogging and cycling routes. It is also the most beautiful and fun place for families with children, where they can play and swim on the beach and pools. The park is full off magnificent flowers, vegetation, trees, a rain forest, a pagoda and the wheel of Brisbane. Visitors will find plenty of food and drink choices here (cafe, bars, restaurants, pubs, take away) and a wonderful picnic area. A real paradise awaits you ..."
Sunny Southbank,Whether enjoying the sites of the city from the South bank cool lush gardens to lounging in a tropical lagoon. South bank has something for every one. Regular markets are held each week and a variety of entertainment can be found. Loads of food options in a variety of eaterys. Catch a ferry and travel along the Brisbane River to South Bank and have a great day out.
LOVE THIS PLACE!,Amazing time and we spent 3 different days hanging out. We sat under a big umbrella and watched the boats go by by. As well so much fun to watch the swallows fly by and dive bomb into the water.
What a wonderful place to walk through,"Lovely to walk through, really felt odd with so few people and no food fair. Plough Inn, as usual, was great"
Beautiful,"Check this place out, especially at night.The beautiful creeper lined pathway is beautiful and you can always take a dip at the beach... you have to see it to believe it."
Great place to go,"We have visited south bank a couple of times and always enjoyed the water food and surndings,market stalls on weekend also nice just walking around lots to see and do great for children."
"Beautiful, tranquil, easy to walk around","On our recent five day trip to Brisbane, we walked over the bridge to the South Bank Parklands to walk along the river.  We live in Cairns, which is beautiful, but can I just say that this area in Brisbane, the parks, walkways and river are just gorgeous.  The lagoon pool is well set out for all ages, with lovely sitting areas.  It is right on the Brisbane River overlooking the City.  There are amenities, restaurants and bars all around this area.  Spend a whole day or just a few hours but don't miss it."
Peaceful,"Lovely man made beach and loads of grassy areas to just sit and enjoy the sun.  Loads of facilities; water, toilets, bars and restaurants."
Really nice area for fun,"Impressed with the facilities and sorrounding restaurants and bars, pool, chairs, picnic BBQ spots, evening ambience as and lighting, good to stroll around and settle in one bar!"
Streets beach,"Lovely relaxing place right along the river. The water is refreshing and patrolled by Life guards. Landscaping is just perfect and you can escape the city. Great atmosphere at the eating resort and plenty of amenities like lockers, showers and  toilets. Oh and the sand is so sandy!"
Great spot,Lots to do with good eating  facilities & playgrounds & pools for the kids. Nice ambiance & access to the river ferry
Great for everyone !!!!,"Great location, great views and great Restaurants.We walked from the Sheraton across the bridge, the weather was fabulous, went for a swim, it is like a gathering of all people, had lunch at cafe near by. At night we walked down again and went to yellow fin fish restaurant.Such a universal place."
Don’t forget your bathers,"Beautiful pool facilities right next to the river. A few pools to choose from, a kids area and a beach area."
Wonderful free venue in central Brisbane for families.,"Swimming lagoons are supervised by trained lifeguards even at night, I was surprised to see. With eateries for all budgets, walking trails along the river, transport on cute little ferries, dramatic cityscape views,exciting climbing activities, market stalls, lovely vegetation and even an authentic  exotic wooden temple leftover from the old Expo. South Bank has it all."
Lovely night walks and fun sunny day swims,This is a great area for all ages. If you can come during the week it's perfect for relaxing and getting a bite to eat as you stroll down the walk along the water.On the weekends it can get very busy but it's still a great day out.Definitely worth checking out.Also while you're there check out what's on at the theater or the Gallery of modern art. There is also the Wheel of Brisbane here. You can find cheaper tickets sometimes if you look online. Worth checking it out.
Oasis in the city,"I am from Brisbane and never been prouder of my city than to walk through the beautiful parklands the gardens are so well maintained and manacured and there is plenty of wildlife and restaurants I also like the chairs they provide on the lawns , we walked from the city botanical gardens over the friendship bridge right into the gardens ,, what a treat then caught the train back from south Brisbane station,"
A must-do 🚲🛴⛴🏖🚴🏊🏊🚣‍♀️,South Bank Parklands offer excellent attractions from the huge man-made lagoon with its own sandy beach to gorgeous boardwalks through lovely tropical green lush gardens. The best way to get there is either walk through the Botanical Gardens from the CBD or catch the free city hopper ferry which runs regularly every 20 minutes from Eagle Street Pier to Southbank.
Good fun ,A lot going here with a lovely beach area and pools. Very easy to get to on the city hopper ferry. Plenty of restaurants. Museums and Brisbane eye very close. All in all a nice way to spend the day
