title,text
Sai Baba Samadhi Sthal,"Sai Baba Samadhi Mandir complex is spread over huge area. Overall well managed temple. Due to heavy rush of devotee from all over India, it takes long hour to stand in queue for darshan. Need to improve some facility for those who are standing in queue. ViP pass facility is available here for those who wish to bypass long queue.       You feel divine and blessed at this place.   Lots of hotel and guest houses are  available for stay in shirdi .…"
Religious Trip ,No one words can express the feeling that one can have after Baba'a darshan at the mandir. I feel lucky that my visit went smoothly. Not much crowd. Could say my prayers comfortably. The whole premise is beautiful. 
Om sai !! Divine & blissful,"Most of us knows about Sai baba of shirdi. Sai bab samadhi temple is situated in shirdi almost 75 km from Nashik. It is co0nnected by road to Mumbai and train also stop here. It has airport but check connectivity. All facilities are available here. good star rated hotels, all international chain restaurants ( Domino's, Pizza hut) .Other local restaurants are also serving good food but only vegetarian. Good road will bring you to town.  Don't fall pry to agents. Everything is very smooth. There are different gates to enter. Check your entry point. Sai nath samadhi temple is very beautiful and very well maintained and located in the heart of town. You can buy VIP ticket also costing Rs400/- per person . Else you need to wait in queue which will keep you for almost 3-4 hours waiting. In case you take VIP pass it will bypass normal entry adn within 30 minutes or so you have baba darshan. Be careful when you buy offering for Baba, don't forget to bargain or they may cheat you. Lot of devotees visit this temple throughout the year. On every Thursday large number of devotees visit temple so better you avoid or you have to wait long in queues. Temple is very well maintained and discipline is followed by all. You feel divine and blessed at this place. visiting this place since 2003 and seen lot many construction , hotels, shops, restaurants coming up. You come out of the temple in the mid of market where you can buy prasad, souvenir etc. Paid Parking facility is available just opposite to the entry gate, its underground , you may ask shopkeepers they will guide you. Hotels suiting all pockets are available in plenty. Don't forget to buy Laddoo prasad for your family and friends. Its available just outside exit gate. You may have to wait in queue but worth waiting. Market is narrow and crowded be careful of your bags and pockets. Better if you reach early morning. Photography is not allowed inside the temple. Bags and purses also need to kept outside.  Very peaceful and blissful place. Must visit in case you are around this place.…"
Awesome and blissful ,"It was just awesome visiting temple. Attended all artis. We were really blessed to be able to attend Artis  with His Divine Blessings, Artis were well organized and performed. Dwarkamai and maruti mandir was also grate... Om Sai Ram!"
Om Sai Namo Namah,Sai Nath Sai Baba is every where and in shirdi Sai Is in every particle Really every where.Sai Baba Samadhi mandir is ahead of Excellence management is doing excellent work and most and most important as Sai Baba samadhi is in front of me i am speechless as Sai Is with me Holding me with Hands and i am in Baba Feet.Thank you Sai Baba.Om Sai Ram Ram Krishna Hari…
Very serene place,"One of the best places to visit. Very serene environment. Don't fall for touts, mandir trust has good facilities for darshan,  senior citizens can get free darshan pass once during day. Also anyone can go to PRO counter and get pass for Rs. 200."
Holy place in the earth,"I am not qualified to describe Sai Baba Mandir, I am a lay person before him. but still I take this as his blessing to share my thoughts on this temple. This is the holiest place in earth. Such a divinity and happiness you can't find in any other place. The administration works…"
Sai Darshan,Sri Sai Baba Samadhi mandir situatie on main highway .Mandir is very espacios.A large number of people from all corner of india daily visit the temple for sai baba's darshan.Sai sansthan has made very good arrangements for darshan.
A must see in Shirdi,"The mandir complex is a huge structure and the number of visitors everyday is unthinkable. It may be said that the crowd is well managed, but the wait time is too long. The authority should pay some attention to provide some resting place to the tired visitors. For a first time…"
Get vip pass to enter if you can ,VIP pass is better than the online pass as it’s almost in the Samadhi mandir else now the online pass is easily available and the queue is huge and with kids it becomes very difficult however if baba has called you he will bless you always.
Family Trip to Shirdi from Hyderabad,"I went for a 3 day trip from Hyderabad to Shirdi and other near by places.Started Monday night,returned to Hyderabad on Saturday Morning. While going AC sleeper from Orange travels (Cost per ticket around 1500), boarded bus in front of Asian Mall near BHEL @ 09:50 PM. Bus came on time, slept well and was dropped in Shridi around 8:00 am.Auto wala took 60 rupees from location i was dropped to Golden View hotel. Bus is awesome, no complains. They gave water bottle and a snack.Golden View Hotel - I used Agoda online app to book room (Deluxe Triple Bed), it costed me 2350 per day. I recently returned from USA, to me this hotel is clean and good, i would not say wow, awesome crazy buzz words but i liked staying with my family (we are 4, 2 kids less than 11 years and me, my wife). The main advantage, this hotel is right in front of Template, we saved lot of time and felt safe my wife going alone for shopping and returning to room. Hotel rating 4/5.Food - There is a hotel right in front of Golden view hotel (sorry forgot name), note it is not below golden view, it is good, will rate 4/5 and best hotel was woodlands, you have to walk like quater KM from this hotel, it is 4.5/5. Dominos pizza was nice, 4.25/5, it is right infront of golden view."
Getting popular in recent years,"Popular pilgrim destination. Shirdi was less popular a few years back. But off late it has become more popular and is attracting more visitors annually. The temple trust has started providing online service to book accommodation, darshan and aarti ticekts."
Holy place,A very holy place located in Maharashtra. Unfortunately it has become very commerciallised. The Sansthan is doing a good job of coping up with the ever increasing crowd.
Om sai ram,I love sai Baba I every month go shirdi is palace of sai Baba samdhai mandir every thing is available food hotel bus train om sai ram jai sai baba
Awful Blessings n Greattt Temple,I have visited quite a few temples across India but the kind of arrangements here forces us to think how civilized are we. Excellent cleanliness across temple and lovely prasad too.
Kakad Aarti,Went for Kakad Aarti Darshan.  Very good Darshan I had.  So peaceful and quiet.  Nicely maintained the place.
One of the most systematically manage temple,Went for darshan in Jan 2020. I have booked VIP pass but due to flight rescheduled reach one day later. Find a booking counter for VIP pass at airport and get passes from there. You cant enter with mobile and shoes bit there are counters to store it or else you can deposit with shop keepers which is risky. VIP pass will help you to skip a long que all will meet at the main hall. A great place
Blessed to visit Baba's Samadhi Mandir.,No words can describe the visit to Samadhi Mandir. I wish I could come here again and again to seek Baba's Blessings. Om Sai Ram
