title,text
One of the best museum in Moscow,"We have been here 3 times and each time like a first time. Cant wait to come back next year!!!!!! Amazing energy, incredible art, some lines to get tickets, but worth waiting for"
It worths,"Excellent gallery where you can found the best Russian art. It is a great experience. It is huge. Only one advice, take something warn as the air conditioning is a little low."
Do yourself a favour - visit this unique museum,"If you find yourself in Moscow, then this is a place which is not to be missed.  A unique - and very impressive - collection of Russian art which cannot be compared to anything else you've seen in other museums around the world, in a very beautiful setting."
The best art gallery in Moscow!,"I wanted to visit this museum for a very long time. I’m Russian and I grew up on the most of the paintings that are in this marvelous collection. I came here with my husband, who is a foreigner, and we both really enjoyed the time we spent here. In fact, he said it was the top of all things we had time to do in Moscow! You need at least 2 hours here. Please plan accordingly. The price to enter is 500 rubles, which was equal €6-7 during the time of the visit and is very low for such a museum. Also, like most places in Moscow, they have a wardrobe downstairs (where you buy tickets), and there are several cute gifts shops and a cafe. The staff was very helpful too and answered my questions about the gallery with pleasure."
Local Russian Art,"A great visit if you are interested in Russian art. Lots of history, worth using audio or a guide to explain the origin of the artwork."
Old and good gallery ,We’ve been here more then 2 hours standing and walking by 60 rooms but we didn’t notice how the time was going... there were many great works....
Long waiting experience,There were huge queue to buy tickets and also Monday is closed day for the gallery. Best advise - to buy tickets online prior the visit and enjoy. We spend around 4 hours walking there visiting around 60 rooms. There also small church in the left from the entrance which is working as museum as well - nice tidy with very bright pictures and icons.
Gallery,"A great place , houres to spend ! You can see here multy painting styles . We did it on a rainy day and it was a solution for the problem of: what to do on a rainy day at Moscow."
as fantastic as valways!,"The stare of arts picktures collected in this museum are very reaach and emotional! We see not only Aivazovski but Perov, Repin, Vasnetsov and many more who influences society thinking of 19th century. Breathtaking  even many pictures were familiar"
wonderful painting gallery,My wife and I went there during NYE period. We came once at 13h but found a neverend queue so we decided to come earlier the following day ... Same issue but then we waited and spent one hour and half before we entered.The collection is great : it starts with the first paintings / portraits ordered by the tsar to show his power to Europe. I recommend the end of the exhibition - this is the most interesting part with wonderful sea paintings or the traditional russian fairy tails.I recommend also to book in advance on the net : you will then avoid the queue :-)
Discover realism at its best !,You need more than 4 hours to really check everything out. Really nice realistic paintings based on a myraid of themes.
Not for kids,After a few rooms the kids got bored and complained a lot. This doesn’t mean it isn’t any good for people wanting to view century year old art.
Must visit - wonderful collection of art,"I visited several art galleries in Petersburg after this one, but this still remains my favourite. The audio guide is excellent and kindled a lot of interest and curiosity to know more about Russian culture and history. The exhibits are arranged in a very structured and systematic way. Not worth missing - spend a good part of a day at minimum for this gallery."
the place to see Russian art,"Last time I visited the gallery nearly 30 years ago. Nothing changed, only the line became longer. Here you see the whole history of Russian pictures from XVII century primitive painting to the beginning of XX-th century"
Must visit gallery in Moscow.,"Buy your tickets online and go during the week, Russians love their cultural heritage sights and flock there on weekends. I was there on a Sunday afternoon and we stood in the line for 1 hour to get tickets. I visited the a Vasily Polenov exibition a great late 19th and early 20th century Russian artist. The Tretyakov is an amazing facility."
Good collection of Russian Art,Good collection of Classic Russian Art and Iconography. Don’t miss the seascapes of Ivan Aivazovsky.
amazing works of art,an amazing collection of pre revolution russian and also soviet art also lots of magnificent icons highlly recomenedfound the souviner shop rather lacking though
"If you have even a passing interest in Russian art, this museum is a must-see.","There are some of the finest paintings from Russian artists like Ilya Repin and Vasily Surikov here. Other sections of the museum hold icons from the medieval period, painted by masters such as Andrei Rublev and Feofan Grek. The icon of the Trinity by Andrei Rublev is one of the most famous icons ever created. The entire museum is a feast for the eyes and if one has even the slightest interest in the subject matter, unmissable."
Beautiful collection of art,It was great experience to be there and see the the beautiful art Galery. The only thing that you need to watch out for is the huge queue. There is no golden ticket to get to the gallery so the best way is to get the guided tour.
Very impressing collection of art !!!,So many russian paintings so many beautiful paintings and some statues ! take an audio so you can follow to put in the numbers with a good explanation via Audio! take you time and also admire the building and interior itself.A must see if you are interested in russian art.
Impressive collection of art!,"Huge collection of famous russian and international paintings, beautifull interior of the gallery, but illumination in some rooms could be better, it was hard to find a point of view to some paintings without blind spots from the lights. Not very busy on winter week days."
Russian history and legend in art,Both world reknowned and unknown artists of Russia are represented.  There is a vast amount of history and folklore interpreted through art.
