title,text
Must try - Sula stays and Wine tour and tasting session with Pritish,"Sula Vineyard is our goto place for any kind of break that we get, icing on the cake is the tour and tasting session available here.We have always been admirers of the beauty and serenity of this place. Additionally, the wine tours and tasting session with our all time favourite Pritish (for 3 times in a row now) has to be a major attraction. His passion towards his work can be felt during the session and its always a pleasure to meet him and attend his tour and tasting session. Kudos to Sula for the amazing experience and the amazing team that they have !"
Excellent place in Nashik,Excellent palce to visit in Nashik . They  provide a wine tasting tour that has different types of wine . Overall experience is Suberb.
Nice visit,We visited this place in July 2019 with family and friends. There is an entry fee of Rs. 200 per person and you can redeem the coupons issued of full value for any purchase inside the vineyards. The ambiance was awesome with the view of lush green vineyards and with music on.
For Wine Lover,Sula vineyard is a famous wine producing facility located half an hour drive from nashik. It has its own vineyard where grape cultivation is done. Paid guided tour is conducted by vineyard which is quite informative. Guide gives you complete tour inside the factory and shows wine making process and ingredient of different wine. Tour conclude with taste of 6 types of wine. Vineyard having in house restaurant for refreshment.
Must visit for gaining knowledge of wine production,"Sula vineyards is half an hour drive from Nashik. The area is quite huge with cultivation of grapes and production facility for wines. You can take a tour of wine production facility with a guide who explains the various varieties of grapes available and the process of wine making. At the end of the briefing, people interested to taste wine can pay an amount to taste 6 types of wine. The guide also explains the etiquette of wine drinking. It is a different type of experience worth at least visiting once. Ample parking space is available for visitors."
"One of a kind, good food, great info, tour guide needs to humble down a bit","Food at Little Italy was great, the tour was quite informative just that the guy giving the tour needs to humble down a bit. Whilst buying the ticket till the tour end the same guy was with us whilst being on a vacation, I had a feeling I was in school."
Paradise for winelovers,"Having  authentic information  about wine from farm to bottle it was paradise for wine lovers..  It is properly  Properly managed. The  environment was conducive for entertainment with fine music, Italian and Indian food along with world of wine. There were package included  wine tasting and an opprtunity to explore  from A to Z of wine making and  finally could make selection of your choice acording to taste.Viewing  the beautiful wine yard and the  scenery enjoying  with wine of your taste at the open deck resturant  was a  unique experience..Ensure your visit not a dry day.Enough parking facilities were available."
Must visit ,"On a Saturday afternoon around 4pm we reached the Sula Vineyards in Nasik.We were awed by the beautiful of this place. There is a cover charge of Rs.200 per person which you can use to purchase anything at the Sula Vineyards. As we entered, we were welcomed by beautiful decor and a very happening vibe. Do not forget to click some Instagram worthy pictures here. We took the wine tasting tour which started by a tour of the wine factory where a wine connoisseur told us so much about wines and ended with, of course, tasting some wine. They made us taste 6 different wines by Sula and told some really interesting facts about wines. After the hour long tour, we bid farewell to the place with some bottles of wine and happy hearts All in all, we had an amazing time at the Sula Vineyards."
Rasa,The food was amazing and service was also good the way it is decorated the area was quite attractive and the girl name ruhu was adorable and sweet the smile on her face attracts the attention.
Wine lover,It was really nice experience to visit sula Vineyard the staff of sula Vineyard was very supportive and it was really nice .Ruhu is a sweet girl here....
