title,text
Skyway,"Fun bridge to drive over and great a great view of Tampa Bay,  Traffic can get dicey at times,  just watch out of out of state plates and you might survive the trip"
Amazing architecture!,The Skyway bridge is a fantastic piece of architecture. Before you get there you’ll see it looming in the distance and as you get closer you are more and more impressed with the design of the bridge. Right before you go onto the bridge there is a rest stop with extremely clean and new facilities.  No toll :-)
Flying high on the Skyway,"It's a beautiful  bridge and the  view is spectacular.It's a toll bridge but a small price to pay for the view.I am not a fisherman, but the old bridge seems to bring those fish people."
Cool Bridge,The Sunshine Skyway Bridge is a fun bridge to cross.  Very cool to get to the center and pass by the spires.
What a drive,Driving across this bridge was an experience that was worth the drive. No tolls were required. We went slightly out of our way to cross the bridge and were pleasantly surprised by the bridge and the views we received from it. If you are even close to the area the drive across is well worth it.
"Just a fun, beautiful drive on a sunny day!","Lots of fishing and swimming spots, the USCGC BLACKTHORN memorial is worth stopping by on the North Side."
Moves fast and majestical.,"Awesome experience.  For starters, traffic was not backed up (and we were on this bridge at 5 different times across a 6 day stay in Tampa).  Secondly, the views are jaw dropping.  Finally. it's a bit of a rush driving over it.  Knowing how steep the climb is, it gave us a little bit of an adrenaline rush to be honest.  Awesome experience."
Great views from skyway,"Awesome drive with great views above Tampa Bay / Gulf of Mexico.  Places before and after the ramp up and down to pull off in rest area for views and/or fishing (the fishing piers are remnants of the old 2-lane bridge, parts left up on both ends of the Skyway).  Nice easy drive in dry weather, traffic was smooth.  There is a $1.50 toll (prices as of 5/31/20)."
Beautiful and Exciting,"If you love heights, gorgeous views, and large bodies of water, this bridge is for you! After years of seeing it in pictures, it was thrilling to finally have the opportunity to drive across the Sunshine Skyway Bridge. Unfortunately, this bridge is not walkable, but the drive is lovely."
Amazing!,"This was spectacular.  It was like an amusement park ride.  I was driving it is was difficult to keep my eyes on the road and to be honest, a wee bit nauseating.  Definitely a must see."
Yikes!,"If you’re afraid of heights, take an alternate route. 400 ft above Tampa Bay at the apex.  Just stay in your lane."
Unusual style bridge,This bridge was a welcome difference for the commonly bridges we are use to seeing. It’s certainly an example of great engineering.
Up close,We traveled under the bridge when on a cruise ship and wow was it an amazing experience. We saw it on way back when it was all lite up so pretty
Easy and very driveable,"Beautiful architecture and very driveable. No traffic issues, to contend with. No delays, of any kind."
Breathtaking and surreal,I'm not the nervous type but I did get a slight chill up my spine the closer we got to the bridge!!! It truly is a marvel of engineering and worth the ride!!!
Fantastic Bridge,A unbelivable bridge structure. The middle of the bridge has a steep incline then flatens out then has a steep decline to eliminate a need for a draw bridge
On To be there on a cool winter morningA Clear Day,"Like the classic movie, on a clear day it seems you can see forever! To be there on a cool, clear winter afternoon with the sun over the Gulf and cloudless over land, it is a sight to behold."
Spectacular Bridge,This bridge is very interesting and unique. Traveling across it gives you a great view of Tampa Bay and the activities on both sides.
A must see from a boat.,I had all the grandkids take turns driving under it.Great memories!  Beautiful pictures and great fishing. This is a must do.
Tall and beautiful bridge,"The bridge is beautiful, high, it is a pity that in the middle there is no normal viewing platform. And so the view from there is amazing"
Great view,"I love Tampa's bridges. Traffic always seems to flow easily. Nice view of the piers, and nice water view from the top"
Worth the trip to and from Tampa and St. Pete,"Make sure you get off heading North and go to Pass-a-grill, a small community just like Florida was in the 50's and 60's."
My favorite bridge in the Tampa area!,"Did not know you could rate a bridge, but here goes! We moved down here 2 years ago and the Skyway bridge is about 15 miles from us. It is 450 feet high over the Tampa Bay and is about 12 miles long. I go out of my my to go over it as it is a beautiful ride into St Petersburg over the Bay. No big wall to block the view and the cables are in the center so view is great! It kind of skips on islands to your destinations. Parts of the old bridge is used as fishing piers plus there are parking areas on the sides for relaxing and picnicking. Love crossing it!"
Sunshine Skyway Bridge,Picturesque highway with stunning bridge. Bridge was tolled at $1.50 each way cash or Florida SunPass if you have it. Be aware that the bridge could close in high wind situations.
