title,text
Relaxing and spacious.,Wide paths to walk along and gorgeous view of the beach. We saw whales playing around just past the shark nets!
Birthday get away,Beautiful and enjoying a ocean fresh air. I was very disappointed with the Sea World expectation but the staff were good too and helpful
Must visit while in Queensland,"As always one of the best places to visit in Queensland. The beach is awesome with plenty of options close by to eat, stay and chill"
Lovely beach ,"This famous stretch of Gold coast beach is near to many amenities, hotels and shops etc.I have frequented the beach many times and found it to have lots of people from many cultures and it's very refreshing to spend a few hours daily when holidaying."
Beautiful beach to go with the beautiful weather,Lovely morning and evening strolls on the beach with my family from our hotel! Plenty of great shops and food places close by.
Clean and tidy ,Always clean and tidy beach with life guards and close to shops so you can pop over for lunch at a take away or restaurant
Beautiful Beach,"Want to spend a relaxing day at a beautiful beach? This is the one. Soft, warm, white sand. Cool crystal clear water. Walk along the breaking waves and hop across the boardwalk for good eats. Lots of choices!"
Best beach,"Loving here,  best place to spend few hours relaxing and then go to eat something with so many choice around here."
Tourist Mecca,"Part of a coastline stretching over 10km's, of pristine sand, this part, is the tourist mecca of the gold coast, consisting of sky scrappers, many clubs, bars and eateries, catering to all needs. the beach is lined with a esplanade,  that is excellent for stroll-in, (however be-aware of the electric hire bikes, scooters etc), with plenty of seating, even lounge areas. This place is definite must, to anyone visiting the coast."
great beach great location,this is a great beach which has a lot of easy to reach food outlets along the front the beach is very clean and the sea is beautiful blue and very warm
PARADISE INDEED,"The white clean sand is so unique with bustling waves inviting the surfers to catch them. Encouraging to see the machine going through early morning to sweep through filter any rubbish left behind the day before, leaving just that fine clean sand for beach goers to enjoy.It was 22°C in the middle of Winter season making it an unbelievable magic holiday.My family and I thoroughly enjoyed the ⛱ beauty the beach had to offer."
Wonderful Esplanade ,"The beach front here has been designed so well, great places to sit and relax.  Stalls located along esplanade for touristy items. Lovely at night with lighting. Great for walking any time of the day or night."
Golden,Pristine golden sands and beautiful blue sea with plenty of surf.. The upkeep is great and you can tell it’s well looked after.. Restaurants and cafe’s just across the road so don’t have to wander far to get a feed.. Excellent..
Great,"Surfers Beach? Clean, well patrolled by the life guards and safe. Part of the reasons why I live here..........."
