title,text
Woww,It is great to visit With the family...... It's well maintained by the local government....... .. U feel calm here
Indian god temple,Beautiful architecture temple so deeply explained about swaminarayan bhagavan story.must visit place
Beautiful buildings but manic entrance,"Akshardham is set of stunning located on the outskirts of Delhi. Whilst once inside there is a large amount of stunning architecture, to enter there are long queues and you have to hand over your mobile phone and overall it was a stressful process. Try and visit when it is as quiet as possible."
Fashiniya customer care number ☎️8167431956,Fashiniya customer care number ☎️8167431956Fashiniya customer care number ☎️8167431956Fashiniya customer care number ☎️8167431956
Good ,Good people lovely place u can enjoy every moment if u are here .....u can see sunshine and sunset from here every thing is very helpful
No photo inside,This is one of the most amazing places I’ve visited. You have to see it to believe it. I understand the logic behind not taking photos inside the mandir but think you should be allowed to take photos of the buildings from outside. Real craftmanship is still alive!
Visit to incredible akshardham,I visited akshardham during winters and trust me it is incredible .Totally worthful monument to watch when you visit Delhi .It architectural work is amazing and so beautiful.It has various activities to offer and have wonderful views to encapture.i loved akshardham's canteen.
Grand Temple,"Akshardham means divine abode of God.The temple is attributed to Swamy Narayon (1781-1830) . The centre of attraction the complex is Temple built on huge compound . It is 141 feet high ,316feet wide and 356 feet long .The temple has nine domes .The whole temple is designed on the basis of ancient and nedieval bastu shastra of India. Its an wonder that no ferrus metal is used in the construction .There deities are installed and thousands are depicted by bas or relief work.Beside the temple there are play exibition ,light and Sound laser show and boat ride .It is mesmerizing to watch laser show . From the entry authority has good management system. No mobile ,food or water is allowed . Inside complex there is food corner and photograph facility."
Massive and spiritual place,"Massive and spiritual place , I went with my guide, they said you need to remove you shoe and keep wallet in locker, it was painful job for us but, when we went inside the temple area, i feel that, it is awesome place."
Doesn't even feel like a real temple,"This place is so overly commercialized you can barely worship or do anything without spending $$ for no reason. Everything has a hidden ""fee"" associated with it. There are so many checkpoints and bizarre rules that make it a time-consuming and unenjoyable experience. Personally, I despise the old-school ""below the knee"" rule mostly because they use this rule even on the young children and have harsher enforcement on the women/girls especially. My father wore shorts that were shorter than knee length and they let him in, no issue. But when I wore a dress that was only slightly above knee length they created a huge fuss, pulling me aside, having a conversation for no reason with me, forcing me to wear a brightly colored crappy piece of fabric that they proceeded to charge me Rs. 100 for. A place of worship should not disallow anyone who is pious to worship in peace, unless they're truly doing something unacceptable like attempting to get into the temple naked. But commercializing God and harassing women seems to be the only thing this ""temple"" seems to be doing. You're honestly better off visiting your local temple or something. The whole dress code debacle soured my entire experience. Would not recommend unless you like upholding the patriarchy for some reason and lining the pockets of those who run the temple as a business rather than a place of worship."
Akshardham Temple visited through Trip India Pvt Ltd,"Great Place to see inside the Temple, first we enter to temple without own personal bags, we have putted in lockroom, it was free. after that entered to the great place ."
Darshan,Amazing place to visit for peace and serenity. A must go place. Great architecture great design. Really a heavenly place
Put on your itinerary,"A place worth visiting, and you can wander here for half a day. The whole complex is surrounded by beautiful garden, that harmonizes with the magnificent architecture of the temple.The photos are not allowed inside, thus you'll have to put your phone or camera into a locker at the entrance."
Peaceful,a peaceful and memorable place but only one problem after enter the temple you cant use mobile or camera for 3 to 4 hours but was really relaxing  moment you forget everything in this beauly
Swaminarayan Akshardham Temple,"The Akshardham Temple is known for its stunning architecture. It has eight ostentatiously carved mandapams while timeless Hindu teachings and flamboyant devotional traditions find their place on the temple's walls.Akshardham complex is home to India's largest step well which is a host to the mesmerising water show; an open garden, Narayan Sarovar, various expeditions, and rituals. The complex is not less than a paradise for spiritual seekers."
beautifull temple,the most beautiful temple i ever seen in my life. thanks to my tour gude vishnu to took me here. very beautiful
Dont miss it,"Superb and beautifully designed and knowledgeable, Book for whole day , reach early to skip the lines."
Way to Delhi,I have to go New Delhi with my friends who are from different states of india. I had booked trip on TAXIBAZAAR and it was quite satisfied with travelling charge. The car was comfortable.
Amazing temple,It is shocking to know that this temple was recently built. It has all the historical charm of a century old temple. Very well managed and the open space lets you enjoy the beautiful weather.
Wonderful waterfall show,"In swaminarayan akshardham temple located on the border of ghaziabad, the best thing is the waterfall show it narrates wonderful stories. Incredible !!"
Establish with Supreme,The best place where you feel connection with supreme and best things is that boat ride where you go through water viewing things and knowing things you have never seen in your life
A must place to visit in your life time,"Musical fountain show & neelkanth yatra darshan on gaint screen was awesome.... clicking photo inside the whole temple is not allowed, anyhow for generating money they have their own photographer 100 rs per picture..overall neat & clean posh Temple."
Blessed,We Me  and my wife fortunate to have glimpse of Swami Narayan ji so nicely maintained by temple staff peaceful want's to visit again and again.
Simply WOW,"just WOW! Amazing architecture and crafting. The detailing to every single piece, not just the displays, but the wall, ceiling to floor tiles are to be admired."
THE HINDU TEMPLE,"Akshatdham temple is located in New Delhi.It is one of the largest Hindu temple in India and also called Swami narayan akshardham temple because it has been made in the memory of Jyotidhar Swaminarayan bhagwan.It is surrounded by Narayan sarovar and spread over 83342 square feet area.The temple has 11 feet high beautiful statue of Lakshmi narayan and other statues of Shiva,Parvati Radhakrishna and Sita ram are also there."
"Great temple, Divine place",Very good visit to this temple. Need a little more information points and details to be setup about the timing. Takes a fair bit of walking so one must be prepared for the same.
