title,text
A peaceful visit to our amazing Iconic structure,The current significantly reduced tourism numbers in Sydney meant we could enjoy the beauty of the Opera House and it's surrounds in peace and quiet.
Family Night Visit,Fantastic and family safe environment (night time)Busy as you would expect for a tourist destinationClean public areaWorld class views
One of the world’s most magnificent opera houses & a jewel in Sydney’s crown,I wanted to take in the magnificence of The Sydney Opera House’s architecture.It is iconic. I climbed the stairs & I walked around & marvelled at the beauty of this building against the surrounding deep blue waters of Sydney Harbour. Bring your family. Bring your friends. This visit shall stay with you always. Bring a hat on a hot Summer’s day. Bring your bottled water. So many great places to eat. You may even bring your own lunch & enjoy on the stairs. Spectacular views.
Sydney's World Heritage Site,"Danish architect Jorn Utzon  (1918-2008) was only the second person to have his creation declared a World Heritage Site in his lifetime.  The Sydney Opera House, when it opened in 1973, became known as an Australian icon. Take time to look it over inside, you may never have the chance again."
Australia's most famous building,"The Sydney Opera House is Australia's most spectacular building. It is a unique design, and went wildly over budget. It was paid for by a special lottery. The Opera House is fascinating, it was worth the money -- not only did Sydney gain a world-class Opera House, it gained a building that put Australia on the map."
Beautiful,"We hadn't had the chance to go inside, but the outside is very beautiful, it is a futuristic monument, what a great job"
Best city in the world,"Great architecture,  you might see a seal sunbathing down the back and just outside the entrance to the botanical gardens."
A functional attraction,Elegant and graceful sails make this a big attraction on its own. A complicated piece of engineering that is now part of Sydney's skyscape.
Wow what a building,"Wow, what a great building.  Interesting how it was built.  The photos of the construction project are amazing!! We could not get tickets to a show.  But we did go back in the evening for the light and slide show projected on the sails of the opera house.  Very very cool!!"
Its always fun to take a way around,"Its always busy but such a nice walk, stop and listen to the various poles that talk about the history, really interesting"
Opera House,Not too bad if you haven't been before.Great view to the inside and different areas of the opera house and some history of the building. Magnificent structure
One of Sydney's spectacular attractions,"Even if you don't attend one of the Opera House's plays, symphonies or operas, all visitors to Sydney should go and wander around the outside and inside of his architectural wonder."
So beautiful!,Nice place.The Sydney Opera House!  It is a multi-venue performing arts centre  and one of the 20th century's most famous  buildings
Beautiful!,Simply beautiful and amazing this iconic structure. Nice place to visit while in Sydney. Highly recommend!
Interested Most in the Hall Not the Concert,"We arrived a few monutes late for the concert and found it easy to get seated.  The Hall is spectacular, of course, and that was the main reason for our visit.  The Concert was not in our keen interests, but we marveled at the musicianship - and the unending encores (30 minutes)!  A gorgeous setting at the Harbor.  When we exited the Hall, the lighting, people, water, and views of the Sydney were wonderful."
Nice walk,"Just a sight seeing trip, was really enjoyable to see a great feet of engineering ! Especially with the harbour bridge so close ! Area close is expensive but good to see !"
Walking tour of opera house,"The main hall of the building was closed, but we weren't informed of this. The guide was pleasant but kept going off on tangents that were irrelevant to the building. Wasn't really worth the money."
Smaller than expected,Judging from the photos I had seen I expected a much larger building. But it's very nice and harmonious.  Both on the outside and from inside. There are numerous restaurants and caffees around it for pre-performance meal.
"The good, the bad and the uncomfortable","Just barely pre-COVID, we spent five days in Sydney. We bought tickets to see the opera, Carmen, months before because...Sydney Opera House. It worked out that we were booked for a backstage tour earlier that day, so we picked up our tickets while we there.The tour was fantastic. Our guide was knowledgeable and so helpful. He managed to get the headphones working for two members of our group who had hearing problems, His insights on the architecture, history and  politics were witty and entertaining. The building is beautiful but the seats we had were very uncomfortable. With nearly a foot difference in height, both of us were uncomfortable. The acoustics were wonderful, even detrimentally so, as one of the leads had quite a screeching voice. We decided to leave at the interval and spent quite a while sitting outside of the opera house, enjoying the harbour lights, the parade of life around us, and the wonderful balmy night. It was quite magical.Other companions on the tour discovered that they could reserve seats to the opera and got a fabulous deal on seats for the next night. I think they could choose from any available seats in the house for $99, which meant they saved about $300 on the seats they got! They also decided to have the set meal and raved about the food. We had decided to go to one of the outdoor restaurants along the esplanade and thoroughly enjoyed everything we ordered there. Frankly, we couldn’t get enough of the views and the atmosphere."
Wander around the quay. ,What a picturesque part of the world. We loved walking around the area & as there weren’t many people around it was really quiet. Every venue we went to had hand sanitizers & followed Covid processed 👍
Beautiful architecture,Don't miss this at all! It is not only beautiful to look at from afar but internally the architecture is just stupendous! Take a tour ! It is worth!
Beautiful Building,The Opera House was everything that the photos show to visitors around the world. Up close it is even more impressive. One has the opportunity to take a tour of the three Halls but since there was no guarantee that the Halls would be available to see (due to rehearsals) we chose not to take a chance.  We walked underneath the building and around it and could see the upper floors but just could not go inside the Halls.
Majestic site,The opera house is truly a majestic site. Very overcast day. Very popular with tourist. The tour was fully booked out. The is a really nice restaurant there so you can enjoy a meal while overlooking the harbor. Well worth a visit to see this iconic land mark
A wonder of the world.,"Almost 50 years old this amazing building still takes your breath away. Its free to walk around the exterior or you can take a guided tour inside. Even better, catch a show or a concert there. Dont let the name mislead you though. Its not just opera thats available Bands such as The Cure, Morrissey, Patti Smith have all performed there. The drama theatre a smaller space is used for plays. And dont forget the sublime Bennelong restaurant is there too."
Timeless and iconic ,"No matter how many times I have seen it, it wows me every time. No matter how many photos I have taken of it, I always want to take more. Its magic lasts forever."
Still Remarkable,"At this certain times, a simple photograph with friends behind this means something! Still and will always be a lovely place to check it out!"
"Unique designed building, worth seeing.",You won't find something quite like this elsewhere in the world as its shape is very unique. I haven't had much reason to go inside but sitting outside is great for relaxing and absorbing the scenery.
Screams Sydney!,"The most iconic building in Sydney is a feast for the eyes with an interesting history.  It juts out into the harbor and at times it appears larger than I expected and then surprisingly smaller than I expected, depending upon the angle.  The late modern expessionist design is one you don't see every day.  It covers 4.4 acres of land and is 600' long and 394' wide with over one million shell-like tiles.  Architect Jorn Utzon designed the masterpiece that was officially opened by Queen Elizabeth II in 1973.  There are tours as well as various performances throughout the year.  Book ahead if possible since it has over 8 million visitors each year."
Impressive building,"The Sydney Opera House is synonymous with Sydney and Australia. Its beauty is internationally recognised and there would be few people, or at least very few travellers, who would not be able to identify it. We often come here for a walk around the building or in the vicinity. It is a place you can never get tired of visiting."
World Famous,"This is one of the most famous building in the world. Beautiful architecture especially at night. Its beautiful whether you see it from the ferry, from Sydney bridge or close up. A must see Iconic building when in Sydney."
Enjoyable visit to an iconic spot!,"I honestly don't know if this was the specific tour we did or not, but it was a guided tour of the opera house.  I really enjoyed seeing this iconic location!  The tour guide made a few accommodations to avoid steps for our older group of visitors, which was very much appreciated."
Beautiful architecture.,"Spectacular architecture, we bought a ticket to visit inside the Opera House, it was a guided tour with details of the history of the building."
Iconic of Sydney,"No mistaking where you are in the world, synonymous with Sydney. From the river or up close it is a stunning building."
A Must See On A SHort Layover,"I was on an 8 hour layover o my way to New Zealand and the Opera House was a short trainride away. As you alight from the train coming straight from the airport you can already see this important landmark of Sydney.If you are on a short layover in Sydney this is an attraction that should be in your itinerary, My only regret is that I wasnt able to go inside because there was a scheduled performance."
Beautiful Building,The entire opera house complex is truly spectacular and well worth a visit.  There are a number of tours.  We did the breakfast tour which was  disappointing but overall the whole water front area and the opera house is a place you should visit.
A True Icon,"Now, we didn't go inside the building some take that in mind - but seeing this icon in-person was a delight. There's great people-watching. It's hard to really understand just how large the opera house is - it's massive and easy to get to."
