title,text
Stunning view,"Cool view even with the clouds! Just a little bit more crowded than I like, but it’s worth it.Nice and not too expensive cafe up there ☺️"
The Mountain Range of Ancient Gods,"The Tahtalı/Olympos Mountain Range is a remarkable natural beauty in Antalya. According to the ancient Roman/Greek Myth, these were the mountains of Gods. You have a chance to reach the top (app 2300m) via a sky lift. You can go to the sky lift by bus/car. At the entrance and top station, there are cafes. At the top, you also have some  chance to make paragliding."
This is an interesting adventure.  ,"This is an interesting adventure.  The rise on the fenikulere and descent from it capture.  You watch from a window with altitude how climatic zones change from subtropics to almost polar.  It is very cold at the top of the mountain even in summer.  From the top of the mountain and when you climb the mountain there is a beautiful view.  But I recommend to visit this place only in clear weather.  If you come in cloudy weather, then you will not see all the beauty of the coast."
beautiful experience,"beautiful experience but very very very cold, nice view. a good fresh air. just amazing place to take pictures and to be away from the city and everyone. a couple of moments to feel the earth"
Absolutely good trekking to the top,"We left from Beycik and went on the top. The trail is very well marked, first traverse the wood and then stony, dry part of mountains. The views were amazing! Very nice restaurant on the top (especially giant chocolate muffins!). Really suggest that route it's much more interesting than the cable car."
Splendid View,"Tahtalı Mountain is a majestic mountain in the north of Kemer. Ascending the peak point of 2365m with the aerial tramway, you can see the heart stopping landscape of Çıralı and Olympos beach. You should certainly have a cup of coffee and if you have enough courage you should try paragliding. Don’t forget to have thick clothes cos it’s cool up there."
"Great place, visit is a must","To cable car substation we reached by rented car, it is the most comfortable way to get there, but not cheap. There is also possibility to catch dolmus, for example from Kemer to Tekirova, you have to get off on the crossroad at main road. From there you can take minibus operated by Olympos Teleferik, that take you to substation. Ride by cable car was really fun for me. Views are amazing and the trip is really fast, something about 10 minutes. On the top you can buy something to eat, souvenirs or enjoy paragliding in tandem. Views of the coast and mountains are really great. You will not forget them for a long time."
Amazing place,Better to go there on sunny day. View from mountain is spectacular. Bar is very expensive so my advice to take something with you.
Great Views must see,"it is a spectacular view not to miss, easy to book and the cable car is safe and easy to get on.  Make sure you go."
View,"Very nice view, where my boyfriend propose to me, whats make this place unforgetable.. A little bit cold but very fresh air."
Love it!!!,"It was amazing !! We enjoyed our trip, definitely something to do if you are in Turkey!! I was a bit scared at first but everything is great and smooth. The professional pictures were such a good quality. Thank you."
Tahtali Mountains,Visited this place with young kids. This tour does not require a tour guide. Just needs a taxi there and back and entrance fees can be paid when you reach the place. It’s called Olympos Telefrik.
"Telepherique up, walk down","Just don't get lost, as we did.Great walking! Fabulous scenery. well worth a visit. You can parachute down from the top (with a guide) for $200, and it takes 40 minutes - all the way to the beach from 2300m!"
Breathtaking views,"We did this as part of an excursion offered by Thomas Cook and we were blown away by the views from the top.  Yes the cable cars get full up (70 passengers) but there was still lots of room in there and in 10 minutes you have reached the summit 2365 meters high.  The temperature is normally 12 degrees lower so I would recommend taking an extra layer to put on once you reach the top.  Once up the top you can literally see for miles, all of the coastline along to Antalya as well as across the whole mountain range.  There is a cafe at the top so you can get a drink and something to eat whilst soaking up the views.  I would highly recommend doing this trip."
Good but not great,Too many people squashed into the cable car made for an unpleasant trip both up and down the mountainThe view from the top was okay but truly not really specialIf you need something to do to pass the time give it a go but don't have too high expectations
Feel the Endless ,"We decided to go up while sunbathing by the sea and take a drive to half of the mountain. If you are wearing short and tshirt ,dont forget to take your Jacket with you. When you reach up the hill,the wiev is great and you fell the Endless. İt's quite expensive per person but you can experience once."
Amazing ,It is a safe trip to the highest mountain Up the mountain you can discover the sea view and mountain view in cold weather even during hot summerThere is a restaurant up which can serve you in food and drinks
Amazing!,"All our family liked it very much! Amazing place to visit and to think how nature is GREAT! You need to see it, photo is nothing comparing to fillings!"
If you want a  view of Kemer from on high buy a post card,"All standing cable car squished in bored on the way up squished in bored on the way down,Oh nearly forgot  there's a boring bit in the middle.Look North look South look east look west and your all done.  Two persons equals waste of  £72."
Perfect view,The road through the pinewood forest before you reach the cable car is a must see. The journey to the top of the mountain is lovely and the scenery on top of the mountain is beautifull. Bit expensive but a must do.
Cable car ride,"we went on a trip organised by Vigo tours to the Olympos Cable car ride to Tahtali mountains ,very good photo opportunity with spectacular views from top ,take a coat for the top as cold on mountain ,We were then taken to Kemer and had 2 hours free time for lunch or walk to sea and shop ,would recommend this trip to anyone Guide was very nice spoke good English and very helpful."
Fab views,"We've been here twice and enjoyed both times. Lovely views. I'd recommend a coffee at the top, as the prices were fairly reasonable."
European mountain roads,"Ultra smooth driving experience, with hills and lots of trees ending up at tahtali with good view of Antalya, kinda cold though.."
Amaizing View,"If you like trekking, you can try to walk top, just 2363 meters. I did. You can see different kinds of plants on your walking."
On top of the world.,Lovely and scenic. The views are outstanding and its nice to feel the breeze on a hot day. Always have good footwear when walking around here and plenty of water. This is a must for visitors to get away from the hussle and bussle.
Feeling closer to the sky,"If you are not afraid of climbing with a cable car, it will be an unforgettable trip to the top of Tahtali mountain over the pine trees. The Mediterranian sea is under your feet and a wonderful view to watch."
Wonderful view.,"This cable car ride is really something special.I am not very good with heights and was not looking forward to it, however, the Swiss engineering and spectacular views made it all worthwhile.The ride up was a little bumpy but at no time did it feel unsafe.Once at the top we were amazed at the views and the modern cafes and facilities. Well worth a visit."
Blue skies,"Visited on an organised trip on a morning of blue , cloudless skies. A little crowded in the lift but no problem and well worth it at the top . Didnt bother with the professional photographers , took our own instead and worked out fine ."
Really high ,"If you have the chance to see it ; don't hesitate , it's really worth a visit , you can see the a lot and on a very high point 2346m , there is good cafe on the top they offer tasty breakfast , the views are stunning and the cable car is so enjoyable , something unforgettable ."
Tahtall mountains,It would have been a great day had the weather been better as it was very cloudy so we were above the clouds and could not see anything and it rained
View from the Top,"Who would have thought what should have been a 10-min prep to jump off a cliff would leave me spending half a day at the Tahtali summit? At 2365m, we were told Tahtali is the highest mountain near the coastline in the whole of Europe so we just had to go paragliding off it of course. Come the morning of our adventure, we took the cable car taking in the silence and spectacular views of the Mediterranean reaching the summit in less than 10min. Once kitted out, the wind changed direction so what should have been ten minutes spent at the top to get ready and jump off became a three hour wait for the right weather conditions. What else to do but enjoy the cool mountain breeze on a hot and humid August day and the delicious mint lemonade – one of the best I have ever tasted – at the Shakespeare Bistro while enjoying people-watching. There are quite a few day trips here so there is always some action at the top including of course the catapult which looked super fun but at $25 a pop we weren't going to be persuaded to give it a go. Instead, we took a little walk with one of our pilots from the west to the east platform - not for the faint hearted but the 360 degrees view of the pine trees and the sea was well worth it. ps. If you ask the cafe waiters the chances are they will tell you the wifi doesn't work, just snoop around for the password and you'll find it written across the building. :)"
"Nice overview, but no possibility to walk out from fenced area.","Nice overview of the sea area from the mountain perspective. Nevertheless, no possibility to make even short walk from the station as the station is surrounded by fence."
