title,text
Excellent excursion ,"Some 388 years ago, Shah Jahan built this marvel to illustrate the adoration he held for his deceased wife. The result? A stunning structure nearing architectural perfection enjoyed by millions.On entering the complex, you are presented with the postcard perfect imagine of the Mahal in all its symmetrical brilliance, mystified by a veil of morning mist. The allocated three hour time slot affords plenty of time to enjoy the grounds and surrounding structures which are definitely worth a look albeit less grand than the main attraction. On approach, you are requested to remove your shoes/apply shoe covers to help preserve the white marble surround. This area offers the instagram enthusiasts a fantastic opportunity to capture that like conjuring selfie. For a small fee of around 200R you can enter the upper promenade and even go into the Mahal to observe the marble interior. Personally, after the grandness of the exterior I found the inside a little underwhelming but for the few minutes it takes to see it’s worth popping your head in. Walking around the exterior of this upper level definitely presents the best opportunity for you to appreciate the time and consideration given to it’s construction. With tickets costing 1250R (£13.50/$17.00) the excursion is certainly value for money.  Five stars doesn’t begin to do the experience justice."
Explore the Taj Mahal,"There is an online virtual tour of the Taj Mahal with 360-degree panoramas, movies, music, narration, and text for schools"
It's Beautiful... ,Taj Mahal is beautiful if you select the correct time which is early morning or late evening but check the entry timings which are till 5 PM only.  It's not just the Taj Mahal but the massive gardens and the entry gates and the Yamuna river at back that enhance it's beauty and what more can I say where billions might have visited before me..... Highly recommend but go at right time and in the right weather which is winters.
Good,Best place I've ever visited in my life agra is the city of heritage and one of the place with a wonder of the World.
Beware of Guides and expensive shops,"Taj Mahal is great site to visit but be careful of the tourist guides. First they show you around which is all good but at the end they will say that they will take you to see local craftsmen. Then they will take you to big and expensive private shops where the guides have their commission fixed. Only one fake craftsman will be shown to you sitting at shop entrance just to give you a false impression.Once inside, you will get all things super expensive in these stores. If you go to other smaller stores nearby you can easily get same goods at half price and also do price negotiation. FINAL WORD: Once you are out of Tak Mahal just pay the guide and leave, do shopping yourself. don't be fooled by any talk of seeing local craftsmen or museum."
Just Beautiful,"just Amazing considering was built 400 yrs back.Beautifully designed  and well maintained , looks wonderful at night"
UNIQUE BEAUTY MADE OUT OF PASSION,Its Uniquely made.Took 20 years for this masterpiece.Wonder how they did this.Great architect considering bult anciently
Looks different at sunrise and sunset,The Taj Mahal is one of the most recognizable iconic scenes in the world. When we visited we were so lucky to be staying overnight in Agra so that we got to see the wonderful look of the white marble mausoleum both at sunset and again at sunrise.
Beautiful Monument,"Such a beautiful place,. what an incredible architecture. No words to explain the beauty of this place. Must visit monument in India."
Monument of Love,Tajmahal is amonument of love constructed by Emperor Shahjahan in fond memories of his wife Momtaj mahal in1648.Its made of white marble  in a garden 980 square feet In the west there is  mosque and in the Esat a guest house . These two are made of red sandstone gives a contrsting look. The main door is a arch type wit a dome on top .The walls are decorated with caliography . At the back of Taj Jamuna flows quietly . Shahjahan had a plan to make another Taj accros Yamuna but by then he lost his power to execute it .To watch Taj its best either in the morning or the late afternnon  so that one is not caught by sun.
