title,text
AMAZING MOUNTAIN HOLIDAY,"Visited this place to check it out on our way back from our Country drive. Completely amazing view of the Sunset from the top, and obviously popular time for the locals and tourist to have a late picnic. Quite a romantic setting and can be colder. A lot of tours and outdoor activities to do. We didn't have time to do the tours to the falls but will definitely do it in our next trip.There's plenty of lovely accommodation and restaurants to enjoy. It is definitely worth a trip of at least 2-4 days."
Boring with no Class,We decided to take a drive to Tamborine Mtn for the day. No parking anywhere. No restaurants serving anything other than packet frozen food and toasted sandwiches. Nothing here to see other than congestion and overpriced coffee shops with little to no fresh food. Never again.
Fantastic viewpoint,There are a number of spots along the mountain ridge that give you fantastic vista views over the wide plains below.A great spot to stop and have a picnic.
"If you have time and up for a walk, must do!","Beautiful area. We just spent the morning out here and did the glow worm tour, skywalk and checked out Curtis falls which was beautiful."
Great little hike,Great little walk. Not too difficult to complete. It was cool under the trees. A lot of loose turkeys walking around. Got some pretty good photos as well. The waterfall was not impressive at all though.
Fantabulous Park Of Tamborine ☺️,"This exciting new Eco-Adventure offers guests a unique and thrilling way to explore the beautiful rainforest canopies. Set in a magical 30 acres of privately owned rainforest beside the crystal clear rock-pools of Cedar Creek on Mt Tamborine, Queensland, Australia.The walk departs directly from the Eco Gallery with a comprehensive array of Australian rainforest flora and fauna displays.The walk takes approximately 45 minutes at a leisurely pace, when pausing to view the many points of interest and information along the way.mBeautiful Kangaroos were in the walk with us☺️"
GOLD COAST HINTERLAND,"Tambourine Mountain is about a 40 minute drive from Surfers Paradise, very popular place to visit when holidaying on the GC. There are some tour companies that do half day and full day tours to the mountain , these guided tours are great as the guides know all the nice places to visit and make your visit more informative and take you to all the popular areas where you can do shopping, visit waterfalls, eat at the locals cafes and restaurants. If you do have a car and want to self drive make sure you plan your day and where you want to go so you can make the most of your time on the mountain. i would defiantly recommend to visit this beautiful place ."
Never get tired of this place,"A fanatic place to be for souvenirs, food, walks,  and accommodation. The Mountain folk are so very happy to see you and we just love Tambo lol. Always on our list. Everything is here."
You'll be surprised.,"So much see and do, stay overnight if possible. TM is spread across a large pristine area. Exquisite places to try food, wine, delectable cheese, chocolates and so much more. For the more energetic there are many walk/hikes in the area with stunning views. You will be amazed at what you'll find at TM."
Day trip,"What a beautiful day trip this is.   Beautiful views looking across the gold coast from the top of Tambourine Mountain where hang gliders take off from, plenty of sights for all the family to see as well as wineries and liqueur tastings."
