title,text
Just one of many historical sites that makes an attractive backdrop for this town,"Side was clearly an influential port to the ancient Romans, & evidence of their history here can be found all around the town. It does make an attractive backdrop to the town"
Takne by surprise,"We were strolling through the old town and when we turned a corner we came across this site, a very pleasant surprise"
So romantic,"Lovely to explore, the Temple is extremely well preserved. It is a stunning location to watch the sun set.  Whilst we were there we saw a bride and groom having their wedding photos taken❤"
Sightseeing ,"Lovely place must of been something amazing in its time , setting is an absolute must as is all of side to be fair the amount of Roman ruins is amazing especially at night look fantastic all lit up would recommend and return ."
A wonderful sight to behold!,"What a lovely surprise this was, within 15 minutes walking from our hotel, too. I could not believe that on the doorstep of where we stayed was this lovely monument and all of the associated ruins nearby, which were quite the spectacle. A real treat!! Just be aware that there are people around who will give you a guided tour for a fee, but without you knowing this in advance!"
Holiday ,Went to see the ruins. Loved them. It was a long walk for us. But we didn't mind. We enjoyed walking. Had to have photos taken
Apollo Heaven,Cannot believe you are allowed to get up close & personal with these fantastic pieces of historical importance. I absolutely love meandering through & touching the architecture of the past! Daytime or Night time adjacent to the beach you can imagine the photography available.
Nice trip from hotel ,"Visited during our stay in side,  only a short journey by dolmus. Hardly anyone around due to lack of tourists. It was hot so take plenty of water with you."
Must see,"The ruins coupled with shopping and great restaurants is a must, boat trips from the harbour can be booked by the hour."
Worth a visit,"Amazing to see historical monuments still standing after 2000 years bring some water it gets extremely hot up there, the walk along the way is so pretty😍"
Beautiful place,"Side- small city and Roman temple near by the sea. Wear comfortable shoes , lots of walk, nice place to take photos."
It's a temple,"The whole of Side seems to be built in to, on, and around the ruins. Apollos temple sits proudly just off the harbour. Interesting monument and very photogenic"
Amazing,What an experience this little town is a must see....great little town that I highly recommend visiting
Must Visit ,This is a few minutes walk away from most of the rest of the ancient city but well worth a visit. Stunning during the daytime and outdoors means an easy location with COVID in mind. Red lines in the brickwork show where it's being restored. Went twice during the daytime - once was kinda busy but plenty of space and could still get some great photos. The other time there were only a couple of people there.
Lovely,As everyone says the time to visit is at sunset unfortunately everyone knows that so is very very busy. However at most times the area is not busy due to the current difficulties. It's loverly
So lovely,The sunset made this look even more beautiful. There were lots of wedding couples taking their photos here.
Beautiful sunset scene,Although busy it’s definitely a must. Go at twilight when it’s all lit up. It’s really stunning and great for photos
Harbour then walk,Quick look after a meal at harbour.Beautifully kept ruins and a walkway with ruins under glass pavement.
Sunset wow,What a great view for the sunset although a lot of people do go and then once the sun is down a visit to old town is superb with some superb restaurants personally found GUL the best
A lot to see and free,"Great place to visit. Lots Of history to see and spread out over a large area. Bars , shops and restaurants nearby so plenty to do."
Gorgeous Location,"Visited Side on a sunday, lovely and quiet, beautiful ruins, the scenery was pretty, shops and bars weren't busy and the locals were friendly. Definitely somewhere to visit when in the area, there is a tour guide in the bars as you walk along the beach just past the ruins offering great tours by local companies and at cheap prices, we went diving with Silver Scuba Diving and couldn't fault the day."
Great Location,By the harbour overlooking the sea. Must have been wonderful in all original glory. Do not miss the view.
Lovely,"Lovely just to walk around and see all the ancient site. It is near the harbour, so you can stop for a coffee and continue on. Most of the site is free."
Old town Apollo ,"It’s lovely around Apollo temple right in sea side.History just there but, need more attention to what is left In that old town... I believe more history to find out... authorities should do more about it."
Beautiful in the sunset,"This place is just magnificent, visited here at sunset and during the day, and its a splendid (and free) site. Highly recommend looking round old town Side, some of the restoration work is amazing including glass protection over the old ruins. Highly recommend seeing this and all the landmarks in and around Side. My teenage daughters and 6 year old son were in awe! (As were we!)"
Stunning ,Takes your breathe away every time either day or night. Best time as the Sun is setting as it casts shadows of the past.
Historical landmarks,Some great historical landmarks available to see. The temple of Apollo was very easily accessible and there were good historic descriptions  in multiple languages for people to read.
Beautiful when lit up,"We were in the area anyway and so went along to see the ruins, which were interesting and looked impressive when all lit up. Not sure it's worth making a special trip for however, as not much else there."
Basic...,"It’s a beautiful temple and impressive ruins but that’s it. It’s in an area that isn’t looked after at all. The temple had been restored badly and the rest of the area is just open with ancient rocks strewn everywhere. There’s no information available, no staff and it’s absolutely strew with litter. It looks great at night all lit up but the hundreds of people taking selfies with it make it hard to appreciate. Make sure you set a side a good 5 minutes to visit."
Simply breathtaking ,I neurotoxin sorted to behold both in the daytime and at night when it is all lit. Simply a short walk into side old town and along the harbour front.
Nothing to see,Ruins... Not much to see except few stones. Expected much more according to previous reviews... Bit dissapointed.
Beautiful area,Went there last Wednesday by €1 bus ride around lunch time on way to get a boat ride....boiling hot but very beautiful.
Bricks,Once you have seen it you have seen it not much to look at  waste of a bus ride and money nothing more to say
antike side,"lovely sunsets here, there is so much history in side so much to see and learn. i have been to pompei and found side easily rivals there and not so many crowds. you must visit all off antike side if you get the chance so much to see. thoroughly enjoyed my time wandering around."
Amazing!,Totally free! I think you only have to pay to go in the amphitheatre but it was closed when we went.
We had this view from our apartment window <3   STUNNING,"The history in this BEAUTIFUL town is staggering.. this beautiful structure is just as amazing up close as in the pictures, we were lucky to stay in an apartment where this was the actual view. It never failed to capture my attention at different times of the day and night, I took loads of pictures.. such a beautiful place.."
Stunning !,Go in the evening for an amazing experience transporting you back in time! A beautiful bride was there having her wedding pics done too 😊
A lovely walk from Side promenade ,Just a nice coastal walk from Side nice place cafes restaurants to relax. very hot take water good shoes.
Holiday,"The remains are a must and the glass floor so you can see from above the underground remains! We visited Side last June an we visited the Temple a few times. It's a very busy place an best time to go would be day an by night it becomes really busy but definitely a must go to if your visitors to Side Turkey ,❤️"
Awe inspiring,We visited the apollo ruins and the Aspendos. It was truly magnificent to see. Beautifully maintained and well looked after.
Lots to look at,We went to side turkey march 10 stay at side su hotel .the temple of apollo is  20 min walk  along the prom. It is on a very large site  you need trainers as is very rocky.also on site ampitherter  architecture  and coloms
"Once again a great 2 weeks holiday at the, Commodore","Had 2 lovely weeks at this hotel and will be going back again later this year if possible. The staff are very helpful and friendly, good food with plenty of choice."
Great History and Heritage,Very beautiful and exotic place.Good faciliated for tourists and great shopping possibilites for tourists.
Beautiful visit,Visited with family such a nice and relaxing place and great for photos. Is just pass the shops and harbour and no charge to enter. An impressive part of architecture and history accessible to all.
Manoj sharma at Side Antalya ,Amazing experience andceasy access to the old town and amphitheatre. Can easily access via local bus outside the hotel. 7TKL. About 1pound. Cheaper than JET2 price. You can access all the surrounding area via local bus/ taxi service. It's cheaper and safe. Don't waste money via jet2 rep or TUI rep. The choice is yours!
It's Just Six Pillars...,"6 pillars and that is all.1. Nothing special if you really want to look for something more unique.2. It is not really that well perserved.3. Too overated and over-reviewed for a deteriorating building with only 6 pillars4. Don't visit it when it is raining, it makes your mood worse."
Magnificent ruins,"The old part of Side is just that, there are Roman avenues, an amphitheatre, remnants of villas, shops temples and more.  The bus terminates at the top of this site where there are some toilets, these are clean and cost 3 lr or 50 cent euro. There is also a museum (18 lr) which is well worth a visit. The ruins are all accessible on foot, however, the terrain is uneven. There are boards up every so often explaining what you're looking at. While walking about don't get fooled by someone saying they are an archaeological guide, they are con men who after a while demand money from you (200) lr just for telling you what it says on the boards. Don't be put off visiting because of this just ignore them, as it truly is a wonderful place to visit."
History,Best place to visit if u r in history But make sure u visit in summer as its freezing in January when we visited little bit expensive but all worth it
Beautiful Ruins (July 2019),The Temple Of Apollo is absolutely worth stopping for when visiting Old Town Side. It is a beautiful example of Ancient Greek architecture.
Scenic view,Very scenic view of the temple ruins. Perfect photo spot. Just stroll around and snap some pictures.
beautiful location,"Perfect for sunsets and sunrises the temple has a backdrop of sun sea and sky.  Beautiful location, close to the harbour at the end of the historic peninsula. Many other fantastic ruins/sites nearby as well as the beach. The marina is lined with cafes and restaurants so this is a great place to relax after having explored the ancient sites"
Wow,"The Roman ruins are all open plan and free to visit. Amazing to see,  and all within walking distance of each other."
Romantic Setting,"Situated at the Marina with beautiful sea views and lots of bars and restaurants, the Temple of Apollo is a lovely place to stop and take a photo or 10 day or night. Eat at Ocakbasi restaurant whilst you are there. (Thanks me later)"
Amazing History,"A must see, steeped in history.  Near the harbour which is also very beautiful.  Just a stroll along the promenade."
Good ,Lovely to stumble into these old structures whilst walking along the coastline many more not far from this
Breathtaking,"You cannot go into Side, without having a look at the Temple of Apollo.It's truly a sight to behold."
Temple of Apollo,Great ruins some good information about ancient side lovely to see all the excavations and repair of these old buildings
Magnificent Monument,"The four pillars do look overbearing and stand out; it's amazing how the architecture has remained intact for so many years.  It's on the side of the sea, which makes it even beautiful- definitely worth a visit and looks lovely on the pictures."
Must see!,Beautiful scene set against a beautiful backdrop of the sea. Worth the drive in and the walk in. Can get rather warm even in November.
temple of Apollo not to be missed late afternoon or early morning  less people,stunning  its been rebuilt in places but you still get an idea of the grand splendour of the site . fantastic photo oppotunity  bus station near by and its worth taking a stroll down into old side harbour
Ruins on the sea front,Lovely to stroll ruins on the sea front.Temple of Appollo close to the Harbour and centre of the very attractive Side.
Fascinating sights,Absolutely brilliant scenery near the town of Side. Ruins can also be viewed through glass floors in the streets.
Loved Old Town Side,"The entire area of Old Town Side was beautiful.  From the minute you step through Vespasian Gate, to walking on to the quaint little streets lined with shops and restaurants to the history that is oozing from this area, I enjoyed every minute.  The Temple of Apollo was beautiful, as were all the ruins around. A definite must see."
1st visit,Just amazing and is left untouched for you to wonder around. if you just follow the prom to the end beyond the small marina you will find it
Stunning Side Old Town,"Enjoyed our visit very much, went back for more. Old Town is lovingly preserved, a spectacular compilation of old and new. A must see!"
Nice photo opportunity ,Lovely area by the sea hopefully they will restore more add more information about the ruins. Maybe some seating areas
Magnificent,After walking around all the ruins the temple of Apollo was the icing on the cake.  The area is still being restored so would love to go back and she it all again once completed
Old town,"Absolutely stunning, you have to visit. In the old town of Side the detail is amazing. The town itself is lime a picture postcard with immaculate paved streets, scenery which is out of this world."
Amazing,"We were fascinated by the view, the monuments and the culture.  A unique place with a strong spirit and emotion."
Beautiful,"Visited this both in daylight and at  night and  it was gorgeous. Lit up at night maybe gave it the edge, very impressive"
