title,text
Nice to walk around! ,"The capitol grounds are still not open, but it was nice to walk around! Parking was easy and there were many photo spots."
Closed due to COVID,In many cities the the State Capitol building occupies a prominent position in the city.  Such is the case here in Austin.  There are many places around the city where you can catch a glimpse of the distinctive capitol building.   But because there are many buildings taller than the capitol building there are not many unobstructive views of the capitol and trying to get close to the capitol to walk around the building is not possible now due to COVID.   So I give the capitol an average rating.
Capital visit,The capital was beautiful from afar.  Because of the Covid-19 we were not allowed to actually walk the grounds.  We will visit another time.
Reopen the grounds PLEASE,"The whole time I was in town they had the capital on lockdown so I could not enter the grounds. Every time I got close to the fence a undercover officer would come stand near me like I was trying to cause trouble or something. I understand what is going on in this world right now , but do we all have to suffer for others stupidity?"
Very historic and iconic,"Loved walking the grounds and seeing all the statues and reading about the history of Texas. Very fun, love bringing visiting friends here"
A nice surprise,"The Texas State Capitol is a must see if you’re in Austin. The architecture is in incredible, and we really enjoyed learning more about Texas history. It’s free to get in, you just have to go through a metal detector. I would suggest getting there early in order to beat the crowd. Make sure you wear comfy shoes- there’s plenty to see!"
Great time,A wonderful place to visit. Walking the capitol grounds is peaceful and relaxing. Very nice indoor tours when it is open.
One of the Most Beautiful Capitol Buildings,"I have been to dozens of state capitals, but this is one of the best. The building is shiny and an interesting brown color. It is one of the top buildings, but I still don’t think too much of the buildings. I normally stop for 2 pictures and then leave."
Brilliant,Absolutely beautiful buiklding inside and out and a very interesting piece of history. the grounds and statues etc are well worth the time to walk aroud and peruse.  Do not miss this place for a visit.
Lovely walk around the manicured gardens and beautifully maintained building,When we googled the State Capitol we were not quite sure what to expect but decided to make a stop to learn more about the history of Texas. It was worth the visit and would recommend it on a lovely summer day so that you can take a walk around the beautiful gardens and have a look at the different statues that are outside. The building itself is so well maintained and all the furniture is in pristine condition. I was impressed and enjoyed a self guided walk. It looked like there were guided tours as well.
The gorgeous Texas State Capitol,"We wanted to see the Texas State Capitol. However, there was a lot of traffic. Someone told me that there is always traffic.The sun was starting to go down as well.I found a place to get a picture of the Texas State Capitol. It was gorgeous! Wow!A must see!"
Beautiful building and grounds,"Had a very nice walk around the grounds.  Lots of statues, memorials and history to look at. Beautiful grounds, A nice visit."
Fun tour and way to spend a few hours,"When my S/O and I visited Austin, I had to make a stop. We opted to do the self guided tour as the guided tours were pretty packed. A lot of great history and fun architecture to enjoy and the gift shop was a nice stop too.We also enjoyed that as Texans do, there are stars and Texas plastered EVERYWHERE."
Nice Tour,"Very informative tour that we all enjoyed. My only quibble would be the sometimes lack of sensitivity in regards to Texas history. It didn’t take away from the tour as the guide was still really nice, just a bit insensitive to the plight of the Native-Americans during the formation of the state of Texas. It was nice to show the kids the Senate & House chambers. My daughter took away a good bit of info from the tour so that was a huge plus."
Beautiful building - not much to really see,Lovely grounds and lots of memorials and statuary but really - the place operates a few days a years - not much gets done and it is an overwrought classic design. It will take you 5 minutes to “get it”. Waste of tax payers money.
Beautiful!,"This place was so worth visiting.  It's beautful, and the guides are very knowledgeable and helpful.  We had lunch in their cafe - just a sandwich, but kind of cool to eat there.(I DO) remember it from the movie, Best Little Whorehouse in Texas)"
Beakutiful Capitol,"We have been here several times. It is beautiful and the dome is amazing. Well worth the effort in finding a parking place.  If you come in December, they do have a one day concert of tubas of all sizes.  The players are of all ages and they toot out Christmas carols like you have never before heard."
Beautiful capital,"Beautiful Texas capital that represents the 10th largest economy in the world.  If Texas was a country, it’s economy would rank number 10 believe it or not.  The tour takes you to the Senate and House of Representatives, the beautiful new underground annex and showcases the history of Texas from early days, it’s existence as an independent Republic (country in its own right) then as one of the most significant states in the union.  The grounds are beautiful and the capital building itself is gorgeous. It is easily walkable and parking is easy.  Highly recommended. The new underground annex is comfortable yet modern with beautiful wood and richly appointed."
Great Historical Capitol,Our tour was very informative and educational. The guide we had was excellent. He explained the history of the capitol in great detail.
Austin Holiday ,This is an amazing place looks a little like the Washington Capitol building just smaller. Free tours and history behind it is pretty good.
"Well Worth a visit, but Take the Tour",I wanted to learn more about the state of Texas. There is a free guided tour in English every hour on the hour I believe. Takes around 40 minutes to cover the inside of the building and recommend doing this to gain some insight into the history and how the governing system works. Interesting but not fascinating. For more history you should visit the Texas history museum in the grounds
Sorry to say a little disappointed!,"Visited on a Sunday and while it’s an impressive building it needs to provide far more information on its history. As a Brit visiting the state capital there should be more info about the great history of Texas which I don’t think it does. For instance there are monuments in the grounds that reflect the Alamo but very little in the building. Again some info on James Bowie but nowhere near enough. Nowadays visitors want more historic information and presented in difference and interactive formats. There were a lot of family’s visiting but nothing aimed at the children. Again the Alamo and Jim Bowie would have made great interact elements for children and probably sold more in the visitor centre gift shop. Again the visor centre was lacking and needs to be better. Sorry Austin, your a great city and expected more from this."
Impressive sight ,It’s a good way to spend an hour. It’s free to get into the building and they even have their own tours.
A nice hour or so,"If in Austin, an hour should be devoted to the Texas State Capitol at least.  We did the self guided tour - just nice to walk around."
Impressive architecture!,"Beautiful building.  We visit all state capitol buildings, and Austin is beautiful.Our 8 year old needed to use the restroom, so we did go inside.  Very impressive.  There were free tours, but we didn’t take one.Note:  Be ready to go through the metal detectors. My husband had to stay outside since he was carrying a pocket knife."
Impressive,"It is well worth your time to visit the state capitol while you're in Austin. Admission is free, and you can walk around freely or take a guided tour. Learn about how the state government works, sit in the galleries, and see pictures of every governor that has served."
Capital ,"Perfect when weather overcast, rainy or cold. Tours go every hour. Lots of history uncovered. Beautiful building"
Texas Sized Capitol!,The Texas Capitol building was beautiful and huge.  Made of marble inside and out.  Beautiful carved wood on doors and stairs provided a nice balance for all the marble.  Lovely and interesting building.We are now doing Capitol tours in every state possible.  Found a wonderful ornament from this Capitol to add to our collection.
Big,This capitol building is huge.  They have lots of free tours throughout the day so you can learn about the unique features of the building and some of the history and symbolism.  Be sure to check out the visitors center at the edge of campus as well to learn some more.
Interesting insight,"Beautiful building, well maintained and fascinating as a visitor from outside the US.My first visit to a State Capitol building, since a trip to see the sights in Washington."
Tour guide was very knowledgeable ,Beautiful building and very informational tour. Make sure when taking the tour you go inside. There are other tours that meet outside and it can be confusing.
Great experience.,"Started off with a small group tour by Tony, who was incredibly well informed about all aspacts of history,. From there we explored on our own and visited the restaurant for a rest break and then later forlunch, it was very reasonably priced. There is something for everyone here.."
Beautiful Government Building,What a beautiful building. You can feel the history. Great to learn something about the political history of Texas. No wonder these folks are proud of their state!
Beautiful building. ,We briefly stopped at the State Capital as part of a driving tour. We were shown inside and the grounds for about 10-20 minutes. It really was beautiful and it was interesting to hear the history. Pay attention to the entrance door hinges!
Beautiful building,"We did not sign up for a guided tour because we had younger children and was not sure how long they would last.  However, the guided tour was in a lot of the same rooms we were in and I wished we had signed up.  It was VERY interesting and the tour guides were very pleasant.  We enjoyed exploring the capital.  Ate in the cafeteria, which was good food.  A must see if you are in Austin."
Cool to see,You are able to walk in the different rooms and see what the rooms look like. You can walk all around the capital. You have to go through security. and be prepared for people protesting on capital lawn. It is cool to be able to see what happens and the history that has been made.
Free Tour!,Free tours are offered every 15 minutes!  We learned a bunch about Texas history and the architecture of this lovely building in just 30 minutes. There is really not to visit!
Great History Lesson.,First class tour and lots of interesting  history.   The entire complex is worth the time to appreciate the history of Texas as it became a state.
Beautiful State ,The building is the biggest State capital.  It is in wonderful condition.  The tour guide was very knowledgeable and interesting.
Quick History,"This was a fantastic tour by Darcy. She was very knowledgeable, it was free, and the building and artworks were beautiful. The tour lasted about 40 minutes and we left knowing so much more about Texas history."
Loved the Capital Building tour,"We were headed downtown from our hotel outside of the city and our Uber driver asked us if we’d ever been to the Capital Building in Austin before and we said no. He told us that it was really interesting so we decided what the heck and had him drop us off right out front. We happened to walk in just in time to catch a tour that was getting ready to leave. There’s no admission and the walking tour is free so we were happy right from the get go. Our tour guide, Bill, was a nice gentleman who gave us a great tour of the building and filled us with tons of info about the Capital and of Austin and Texas. We couldn’t have been more pleased with the whole experience and would recommend this to anyone visiting Austin."
Worth a visit,"Definitely worth a visit. The building, the ceiling inside etc are incredible. Lovely to just walk around at your own leisure exploring the different rooms on each floor. There are a lot of stairs, but also elevators. Only issue was a huge line for the restroom."
Elegant Capital Building - Friendly stadd,"Elegant building, great security staff that was thorough and friendly.  Gift shop was great.  Pretty big, got lost a couple of times."
Amazing Architecture,We spent a few hours going door to door meeting the staff members in our Senator's and Representative's offices.  Everyone was very friendly and welcoming.  If you have opinions on what is going on with our state government they are willing to listen!
Nice Tour,Went on a tour of the Capitol. Tours are free and leave every 15 or 30 minutes. They said 30 but today it was 15. The tour guide was nice and informative but it was crowded and it was difficult to hear her. We walk several flights of stairs but elevators are available. It was a nice tour of a beautiful building. Must do if your in Austin
Spectacular ~,Don’t miss this landmark during your visit to Austin. This particular state capitol is one of my favorites of all time. The walking tour of the grounds and the architectural detail both inside and out were amazing.
Texas History-Past & Present,Great day for walking around the State Capitol grounds.  Line was too long for the tour but we did make it to the gift shop which was well stocked with anything/every thing Texas!
Look at the details,The Capitol has a beautiful exterior and a more interesting interior.  Spend time looking at the details--from the woodwork to the door hinges.
nice tour,I'm not usually into this sort of thing but they gave a very nice tour of the building along with some history and a bit of discussion about how they run things.  Beautiful marble works.
Interesting historic building,I would suggest going on a Sunday as downtown is so busy rest of the week.If you want to explore rest of the area I recommend travelling here on LRT as parking at capital building is okay but rest of area difficult. Free tour is free and very good.
Very nice tour,A very nice building with a very interesting history. They offer free tours for the public. Very informative tourguides. Worth seeing.
