title,text
A must museum,We wanted to see the Monet exhibit and paid for the skip the line ticket along with it and it was worth it. The wait when we went was an hour. When you’re there for a few days you want to get the most out of your time so it was worth it because the exhibit was pretty amazing. The museum itself is pretty impressive! It’s a must when visiting Chicago I would say.
Wonderful visit with some old friends....,"We visited some “old friends” in the Monet Exhibit, which was very well done.  They had a quick multimedia space in the exhibit that was very educational and pointed out key features of the paintings of the haystacks, Westminster Bridge, and Monet’s garden in Giverny.  A few other old friends were Wood, Matisse, Seurat, Van Gogh, O’Keefe, Stieglitz, Tiffany, Sargent, Copley, Stickley,  Wright, Lee, Warhol, Pollack, Mondrian, Magritte, Renoir, Hopper, Chagall, Cassatt, Degas, Manet, Picasso, Dali, Lautrec, Calder, Man Ray, Cezanne, and many others.  We didn’t come close to seeing them all.We used the Chicago City Pass for entrance, and the Monet exhibit was and additional $7 each.  The Art Institute practiced excellent social distancing, and had timed entrances for Monet, lots of museum guides, signage, and reminders about masks throughout.  Wonderful experience, and I could spend our whole trip here."
A Must Do When in Chicago ,"We live a few hours away, and neither my boyfriend or I have been in at least 10 years. So to celebrate our anniversary, we decided to take the trip up. The staff were very friendly. The museum has many beautiful pieces. We can’t wait to come back see everything we missed! We spent about 3 1/2 hours and covered maybe half of the museum. We’ll definitely be back as soon as we’re able!"
The number 1 reason to visit Chicago – The IMPRESSIVE Art Institute of Chicago!!!,"If you only have time to visit one attraction in Chicago then head on over to Michigan Ave and visit the Art Institute of Chicago. With such a large and well-rounded collection of masterpieces from ancient to contemporary time there is plenty for everyone to enjoy. On top of that, the “El Greco: Ambition and Defiance,” and “Monet and Chicago” exhibitions were stunning, well curated, and representative of each master’s portfolio. Bravo!! Getting tickets on-line in advance is a must, especially for the Monet exhibit. I realized I would need plenty of time to thoroughly enjoy everything on display and so I scheduled two afternoons to allow sufficient time to see it all. I only wish I could share more photos with you of this excellent collection. Truly one of the US’s greatest art museums and Chicago’s greatest asset."
"A Chicago must ... if you're down for art, that is. :)",Amazing collection of work and beautiful museum to get lost in. The museum was operating at 25% capacity due to the pandemic. It was a blessing and a curse. A curse because not as many people can enjoy the museum on any given day but a blessing because you have a lot of room to move around in.
Awesome Art,Something for every taste. All employees were nice and helpful.  We spent almost 5 hours there. Truly enjoyed our time there.  I wish the cafe had been open - we could have used a break with coffee or wine.
Beautiful Artwork,"The museum had an amazing collection. We spent 5 hours here and possibly could have stayed there longer. The only reason why we left was for food and our legs were tired of walking . Next time I visit Chicago, I will be coming back here."
Beautiful and unbelievable!,The regular and special exhibits are amazing. The gift shop has great gifts for friends and family. Have not been since Covid
Solo,Great adaptation to new normal.  The museum kept visitors distant but also let us see the incredible works.  Making reservations online was ok.
Wait Time,"The wait was long, the institute was very good but the staff was not friendly and seemed people kept taking their masks off."
World Class Art Museum!,We very much enjoyed our visit to the art institute. The exhibits are world class in every respect. We particularly enjoyed the Monet exhibition. We took advantage of their self-guided tour that you could download onto your phone.  Our only regret was that we did not have more time to spend.
So worth the admission,"For the size of the museum and the quality of the art pieces that they have, the admission price is definitely worth it.  Had a great time.  Was surprised (and pleased) that the museum allows non-flash photography of all their artwork.. even the highly famous pieces.  Very much liked that."
Still #1 in Chicago!,"So much to see and do, get there early and stay all day, if you can afford to stay in Chicago come back the next day to see more or to visit the Planetarium or the Aquarium!"
World Class art museum,"Cafes are good, don't miss the Chagall windows, impressionist wing, airwalk over to the park.Nothing else to say!"
Fantastic!,"With museums back open, I recommend that you consider going to the Art Institute. It’s incredibly safe and sterile, and there were very few people at the museum, which made the art viewing experience unprecedented. In many cases, we were the only people in individual galleries. All of the work on display is fantastic, and I highly recommend that you take 15 or 20 minutes to go see the miniature exhibition from the 1930s, which has wonderful scale models of early American and European interior design and architecture. The collection of contemporary art is world class."
Amazing place to spend the day!,I can get lost in this place it's so big and so fun!  We have been coming here for 30 years and never stop finding new things to look at and enjoy!
Culturally fun!!,"I am an Art Admirer. When I walked in the museum, the Staff are very cordial. I can always go there and there are so much to see from the art to sculptors, etc.  Before the Covid-19, I went often and stayed longer in the museum. In addition, I liked the different exhibits. The cafe have delicious food where one can sit and enjoyed the scenery, but that was before the Covid-19 pandemic."
The Greek Conquers ,"Went to the El Greco show.  It belongs in the “must see” category.  Beautifully presented.  Enough verbiage to provide good context, but the show was the art not the text.  Main focus was religious art - as it should be, but a smattering of other works also presented.  Color!  Emotion!  What a master!"
Wonderful variety of pieces,"We arrived the 2nd day they opened after being closed due to COVID. We were able to see the art easily and would wait a minute or two then had an unobstructed view. We could observe the art and take pictures without jostling elbows.We got turned around a couple times looking for signature pieces and the docents were kind to get us on the right path. All wore face masks inside. We were happy with everything we saw. A couple sections were closed, the paper weights and another one. We regret we did not come right at opening hour as we would have spent all our time there, we were a bit rushed in the evening to see all the artwork and still missed some. We did see the Thorne Miniatures on the lower level and I recommended it highly.We used the free app to hear recordings about some pieces. Not all the art has a number but those that do have 2-3 minute extra content. It adds to the experience of seeing the art and knowing more. I would come again and recommend it to others."
Amazing collections in a wonderful building: a must for any Chicago tourist,"The Art Institute of Chicago is for sure one of the best museums in the world. The building is modern and travelling around different historical areas and collections is super smooth. On top the incredible art you can see in this museum, its location in the heart of Chicago and in the park area is perfect. Recommend to use the app audio guides to follow the descriptions for free."
DO NOT GO UNTIL THERE IS A VACCINE!,"Sadly, while the museum’s holdings are wonderful, the planning that went into reopening was terrible.  There are timed ticket reservations required, and per the museum staff I spoke with, they’ve capped the tickets at 25% of normal capacity....but these reservations are NOT timed:  so, the museum has no control over WHEN the 25% shows up.  Other museums (for example the Cleveland Museum of Art) have timed entry to the museum so they can control the flow of visitors.Now imagine a large bulk of the daily Art Institute visitors showing up in the same 2-3 hours, and all wanting to see the museum’s blockbuster holdings.   When everyone want to see Surat or Nighthawks or American Gothic, that is a huge problem.Then handling of the el Greco special exhibit was equally thoughtless in terms of entry:  the only way to get in is to arrive at the top of the second floor landing entrance to the exhibit and look on a display sign with a phone number to text to join a virtual waiting room....only to find out the waiting time before you can go in.  Why would the museum require visitors go to one particular spot in order to sign up on a list to get in later?  Every special exhibit that I’ve ever been to has a timed ticket entry, so why not this el Greco exhibit?  It’s easier to control social distancing and spacing if you time entry for 5-6 people at a time (on a reservation basis) every 15 minutes!  That would give those 5-6 people time to move on one or two rooms before the next group and space people out.  This is not difficult to figure out, except perhaps, sadly, if you’re the Art Institute.I waited 40 minutes in the “virtual waiting room” looking at other parts of the museum (which was lovely) and then entered the el Greco special exhibit.  Note to staff - don’t just stand around milling near the entry.  Instead, one of you should open the door for visitors once they’re told it’s their turn to enter in order to cut down on the door becoming a high touch service - I say this because you have to go through a door that must be pulled, there is no hand sanitizer in sight, and the handicapped auto door opener was broken!  Once I entered, I spent about 10 minutes in the special exhibit space:  the exhibit rooms were too small and poorly ventilated for the number of people in them.  The staff let way too many people in because visitors (a) had not moved on yet to the next room; or (b) were spending longer looking at the art than the staff anticipated.  Perhaps the staff was feeling the pressure of getting people in prior to the museum closing for the day?  Whatever the reason, there was zero social distancing - it wasn’t possible with the number of people.  A small detail (but the small details MATTER!):  the write-ups about each art piece is white lettering on grey paper - difficult to read unless up close (which also does not help with social distancing).On a positive note, every single person I saw during my visit wore a face mask....if you don’t want to wear one, do not visit!"
must visit,everyone should visit this place whether you are a long time resident of Chicago or visiting for the weekend
Van Gogh room was mesmerizing,"World-class museum. Only spent a couple of hours there on a ""scavenger hunt"" with a 10 year-old. Would like to return to spend more time. Great diversity and depth."
Amazing collection,"An excellent collection and I also enjoyed the Andy Warhol exhibition. Everything from impressionists to modern art, from ancient Roman sculptures to Chagall's America windows, it is hard to list all what this museum has on offer."
Some of the world's great art,"Van Gogh, Renoir, Seurat ... great impressionist collection and the godfather of all pointillism painting. Beautiful museum, great, well-known art - too many to name, so just go check it out!"
Outstanding Art Collection!,It has amazing collection art; and you may want to allow yourself couple of hours here. I like the fact that there are guides who are very helpful to assist in case you get lost and need more info.Very well organized.
Gallant Gallery,"I went with a friend to spend an afternoon here on a snowy day. This is an ideal thing to do, if the sky is cloudy and the observation decks would be pointless to visit. Of course, if you are a lover of art, you shouldn't miss this: So many masterpieces, and yet we managed to visit only a fraction of the galleries."
Did not disappoint!,"The gallery welcomes you as you arrive downtown Chicago. My friends and I wanted to sightsee somewhere close from where we met up. The art gallery was perfect for a half-day --- or whole day tour. They have a lot of exhibits from different cultures, eras and mediums. When we were there, we also saw some artists re-creating paintings. Pretty neat to stop and watch if you're tired from walking around. Make sure to avail the student discount if you can."
Awestruck,"What an amazing collection and experience.  I wish I'd had time to go back to take in what I'd missed.  Lovely, lovely visit."
The temple of arts,"Great, amazing museum amassing various interesting works of arts from many periods. Ancient Rome and Far East, european classics, modern-day american arts are just few examples. Museum is well-organized, I’ve spent all day there but wasn’t exhausted or bored. There is also a nice cafe. And don’t forget about a discount for online tickets purchase."
Review for Thorne Miniature Rooms and Gift Store ONLY,"I specifically went here to see the Thorne Miniature Rooms.  I arrived almost 2 hours til closing, so I knew I did not have much time to stop and stare.  There were 68 rooms total located in the basement of the museum.  What a treat!  For miniature and dollhouse enthusiasts, this is an exhibit to see!  The detail of each room from the furniture to the ""exteriors"" was amazing.  Each room told a story with gardens, landscapes and even the Eiffel tower peeking through the various windows, doors and balconies.  There was even a true to scale cathedral (the first room as you enter).  I could have stayed longer, but the museum was closing.  My only gripe would be the ""not so friendly, clearly hates his job"" security guard at the entrance who liked yelling if you got too close or took pics/videos.  Besides that, I would be more than happy to pay the $25 entrance fee to see this exhibit again.  It's a window to history.  Lastly, I did visit the gift shop as it was open an additional 30 minutes after the museum.  The ladies there were extremely helpful and knowledgeable.  The staff in the museum from the entrances to the check points to the gift shop were all super friendly (besides that one guard downstairs).  Overall, I had a lovely experience and sure you will as well."
Great visit,Our second visit to the Art Institute.  What an amazing place! Many famous works of art - we loved the impressionist paintings.
This place is amazing... coming from a non-art fan,"Even though I'm not a big fan of art, I have to say this place is quite amazing.  It seems to go on forever.  Even for the non-art fan like myself, there are things that did stand out.  My favorite was the miniature rooms.  Overall, I think you could easily spend 3-4 hours here."
Amazing must-see! ,This place was WAY too big for us. We saw many exhibits (including one on paperweights for some reason) and just got tired of walking so we left before we could see many of the paintings upstairs. They should have more places to sit but it's an exceptional place and was glad to be able to check it off the bucket list.
Wonderful and diverse museum,"This museum is absolutely amazing. You can find modern art, classical art, and some jewels: don't miss the chinese, japanese, buddhist and indian expositions. Those are absolutely amazing. Also, the impressionist pavilion is breathtaking."
The recent extension really enhances the gallery experience,"This is an excellent world class museum with an important collection of American and European art. The temporary exhibitions at the time of our visit were well chosen and curated and we enjoyed the outstanding permanent collection including significant works by the Impressionists, Gaugin and others. We also particularly valued the opportunity to see Hopper's ""Nighthawks"" and Wood's ""American Gothic"". There is a lot to see in this excellent museum so allow plenty of time."
World Renown Works of Art,"This is a great place to nourish your soul and take in amazing works of art (and to laugh at some items that are classified as works of art, LOL)."
Great collection and well presented,"Popped into the Art Institute having been on my bucketlist for a while. It is definitely worth looking in. Since I'm from the UK where the museums are free, this is definitely slightly more expensive than I thought for my money's worth. But the collections are definitely well presented and everything is well spaced out. I spent about 2 hours throughout the whole museum (at a leisurely pace). There are few van Gogh, Renoir, Rubens, John Miller pieces along with some very exotic unknown paintings so make sure you do explore each section of the museum. I didn't use the audiobooks - however, since there is wifi throughout the museum, just a google read can provide you with good insight about the portraits. I also popped into the El Greco collection, which was okay, but you won't miss much if you don't go to that part of the museum!"
Overwhelming large,"So much amazing art!  The new El Greco exhibit was spectacular. But be ready to get all your steps in for the day/week.  There's lots and lots of walking between the floors and exhibits.  The layout of the museum was confusing, but every guide was so helpful in getting us to where we wanted to go."
OMGoodness - Who Knew????,"Outstanding collection, well presented all without pretense.  I was delightfully shocked.  A truly world class art museum.  One day is not engough."
Amazing collection and facility,"One of the largest art museums in the world, and there is so much fascinating history behind the collection(s).  Purchasing the tickets ahead of time (e-ticket) is a great time-saver!"
Captivating,"A great place for homeschooling families to enter into the world of art. Also, a place to grab a sketch pad and some pens or pencils and copy the great artists throughout history. The gift shop offers prints and other trinkets for take-home a piece of artist memories."
Is it being unfaithful to say that this is as good as the V&A....I feel disloyal...but,Lordy lordy. Just go. I could have spent days here. Super space. Great collection. Helpful staff.... Cant wait to go back.
Too much for one day,"So many wonderful artifacts to see in one day!The El Greco exhibit (extra $7) had just opened, so we were very lucky!  Some of his paintings had never before left Spain!  The rest of the Museum was excellent.  There are plenty of guides to answer any questions.  Whatever art suits your fancy, you will find it here.  They do offer a Military Discount with ID.  We will be back someday!"
El Greco,Wonderful museum! We especially enjoyed the “El Greco” exhibit. This museum is so vast that you could spend an entire day here. We picked the impressionist artists and El Greco for today’s visit.Ps use the valet to park for $28.00
Amazing!!!,"I recently spent an afternoon here. The sheer amount of art is incredible, and they have quite a few famous pieces. The only negative is that the museum is difficult to navigate and even the map is confusing. A wonderful employee showed us how to read the map to figure out where things were."
