title,text
A decent and elegant museum,"I came here 10 years ago but visited again all is still overwhelming.It's a such beautiful museum and you can take uber to there (shuttle tram platform), and you can also call uber back to LA, it's quite convenient. Once you reach this museum, you need to take the the tram to go up the museum, it's quite interesting and exciting design to approach the museum.The museum campus is so pretty, the building, the whole design of the campus, really can give you the refreshed feeling, and feel relax. The whole area is quite big and if you would like to have reviewed and enjoyed more details, you need to reserve more time even around 4 hours.The restaurant staff is very impolite to give the feedback and ruin this great museum's image. All is good but do not recommend for the restaurant."
Must do in Los Angeles,"This is a one-of-a-kind museum, full of world-class art, beautiful gardens, and cool modern architecture. The museum is free with a reasonable parking fee, so carpool with friends. I would recommend researching what you want to see while you’re there ahead of time, as it is truly overwhelming and there is so much to do. A variety of free group tours are offered throughout the day, all of which sounded so interesting. I always love doing audio guides, and this one was no exception. This is really a gem of Los Angeles."
A must visit!,"The Getty Center is a must see - and admission to this amazing museum is free!  Parking when we were there was $19, and from the parking area, you get on a tram that takes you up to the museum.  An interesting orientation film about the museum started our visit. We didn't participate in any of the daily tours, but there were architecture and garden tours offered, as well as a number of tours about the Museum's art collections/exhibits. A schedule is provided when you arrive. The Getty Center's architecture is incredible, as are the collections of paintings, sculptures and decorative arts.  The gardens are beautiful, and the views from the Getty Center are spectacular; you can see the ocean, the city, and the mountains!"
Nice museum.,"Magnificent place in the city, the collections transport us through the great artistic movements of humanity. With spectacular views of the city of Los Angeles."
unbelievable with free admission,"The Getty Center has great views of the city and amazing artwork on display.  Although it was a rainy day, it did not spoil our visit because there is so much to see indoors.  The short tram ride from the parking area goes up the hill to the property but you can walk if you choose the challenge.  Lots of people from all over the world were visiting!  Don't miss the introductory movie in the visitor center."
Fantastic,I'm not really into art galleries and only went because my wife wanted to go.However it is fantastic.Allow most of the day and have a leisurely lunch while you are there. Take your good camera for the views.
Getty villa is better IMO,"I really wanted to like this place. It is so popular, and I live just down the road, I just HAD to visit. BUT, I’ve gotta say, the villa was far more impressive to me. Much more of a story in a quaint setting. The ghetty is a massive art gallery. Perhaps it was just all too overwhelming. Parking was a hassle. Security. Then taking a train. It’s a monster of a place. The cafe is also very expensive."
A bit of everything...,"Artisan gardens?...  Check!Art Gallery?...  Check!Fantastic views?...  Check!Open spaces and dining?...  CheckThis is a great place to spend time and enjoy the varied displays.  One thing to note is that when we arrived in late afternoon most of the cafes/restaurants stopped serving.  Otherwise, this is well worth the visit."
Fascinating Place to Visit,"The Getty Center is located on a hill adjacent to the I-405 Freeway, off a section called the Sepulveda Grade in Los Angeles.The grounds consist of museum buildings, gardens and several restaurants.  Parking is underground and a tram takes visitors up a hill to the Getty Center, itself.I'm not a big fan of art but the buildings and grounds are so pleasant to stroll (and the restaurant lunch was so out-of-this-world delicious) that I can recommend a visit to anyone.  We experienced a hazy day, but on a clear day, the views to the south, toward downtown LA, will be wonderful from any of several balconies with a southern exposure.  Fingers crossed for you!"
Get there early!,Cool trip up and down in a funicular from the car park. Had to pay for parking but it was free to enter the museum so still worth it. Lots of art if you like that kind of thing but being from the UK we are a bit spoilt with great art galleries and museums so we skipped a lot of the galleries. Great views across the city and great architecture. The cactus garden was a bit of a let down though as couldn’t get to walk around it. Get there early though as it gets super busy!
I love this place,"The artworks, and the architecture is fabulous. There are more than on restaurant here and both are good, but that will be determined by your budget"
Must see when visiting LA!,"We spent half of our last day in LA at the Getty and I would say that it probably one of the best decisions that we made. We were also fortunate enough to see Da Vinci’s sketches that were on display during that time. We also joined two free tours that were conducted by the Center. Great for picture perfect IG photos. Btw, did I already mention that entry is totally free?"
Quite nice!,"A quite interesting and nice place, good for spending a few hours there in the afternoon there. Nice place"
