title,text
"Beautiful building, worth a visit if in area. Don't miss this one.",WEarrived in Bursa and visited this wonderful mosque. We waited whilst the midday prayer service was being held. So many people praying a.even overflowing outside. We waited and had Cay (tea) at on of the street vendors that sold tea to people who waited by the mosque. The mosque is awe inspirig to say ther least.
Nice Cami ,I like it cuz it has different design than istanbul Mousqes It’s very nice I do recommend visiting it
Expensive day trip - Damp Squib!!,"After seeing the magnificent mosques in Istanbul coming all the way here to see this mosque was a bit deflating. Not sure about the history, but if known,  I wouldn't spend a lot of money coming all the way here on a day trip."
Ulu Jami Mosque Bursa,"The great Cathedral mosque of Bursa is a 13th-century architectural monument in the classic Ottoman style. The mosque is located in the historical center of the city near the old Kozakhan market, a Park, a covered silk market, many cafes and mosques. You can wash your face again and again with local mountain water for ablution. The decoration inside the mosque is really great. Entrance to the mosque is free."
Ulucamii in the centre of the Old Town,"Please remember this place is vast, and sits in the heart of the old city. From here you can visit the Grans Bazaar (KAPALI CARSI), then go to have coffee in the last stop of the silk road being KOZAHAN or IPEK HAN (where silk was marketed from - a stock exchange for silk).  You can also visit PIRINC HAN (where rice stocks were marketed from - a stock exchange for rice). Also the nearby EMIR HAN. Along with all the restaurants and market space available,"
Visit,Visited for the first time and was astonished by the architecture and design. The lighting and colours magnificent. You get free scarf to wear to show respect of other religious places of worship.Upon your visit holy water was given to sip but choice is yours to partake or not. Enjoyed visit to the mosque. Thanks to our tour guide and coach driver.
A must see when visiting Bursa,"One of the most important mosques in Turkey. With its beautiful design, a pool and a fountain inside the mosque, beautiful examples of Islamic calligraphy with some of them are huge in size."
Must see when visiting bursa,Very beautiful Mosque with excellent architecture and design. Found alot of kides playing around inside the masjid which a bit annoying for those visiting holly place
in city center ,very close the city center.kapali carsi and uzun carsi next the each other.yildirim beyazid founder of the camii thank my grand father
World heritage,On of the best mosque built by early Ottoman’s. It s a must see place in Bursa. It has got 20 domes and precious calligraphic verses of holy Quran.
Mosque with a fountain,"Went here with a tour, the guide told us that this is the first mosque in Bursa. It is built with a fountain inside, and it is beautiful. Calligraphies were well-maintained, and it was very clean."
Magnificent calligraphy,"We cannot get enough of the islamic calligraphy in this mosque! After doing our prayers there, we spent a long time inside, contemplating the inspiring mastery of calligraphy. The Grand Bazaar and Koza Han (Silk Bazaar) is close by so you can easily spend the whole day in this area and come back for repeated visits to the mosque to witness how the changes in natural lighting affects the calligraphy ❤️"
Feels modern!,The entrance and nearby surroundings are lovely but I was disappointed by the inside. It's monochrome which is interesting and different in itself. There was a feeling of ordinariness about it - a bit noisy and over relaxed. But worth a quick look.
Bursa Iconic Mosque,"Where you can find people relaxing and reading Quran after prayers, while looking at great work of islamic calligraphy and water fountain. A peaceful and soothing experi nce. A must visit if you are in Bursa."
Spectacular ,Interesting history and architecture. Fortunate to have a local friend who was a fascinating guide on the history of the place
Historial Mosque,"We get here by using ""Dolmus"" local tranport by paying 2 L per person. Then we were taking Ashar praying to this mosque. To use the rest room/toilet we need to pay 1,5 L. This place have a beautiful view for taking picture. Many souvenir seller around the mosque. Right in the middle of mosque their is water fountain that give nice sound of water inside."
Great!!!,A must see! Stunning inside and out... would definitely like to visit again in future.. was really amazing
Large central mosque with beautiful and peaceful interior,"The Great Mosque (a.k.a. Ulu Cami) is on the main street (where  the Atatürk Cd. becomes Cemal Nadir Cd.) and is the largest mosque in Bursa, showcasing Seljuk-style architecture. Many consider it the fifth most important mosque in Islam (after those in Mecca, Medina, Jerusalem, and Damascus), and is included in Bursa’s 2014 UNESCO World Heritage Site description.  The mosque was commissioned by Sultan Bayezid I, and designed and built by architect Ali Neccar in 1396–1399. The large square building has twenty domes arranged in four rows of five, supported by twelve columns. According to legend,  twenty domes were built instead of the twenty separate mosques which the Sultan had promised after winning the Battle of Nicopolis over an allied crusader army in 1396. The mosque's two cylindrical minarets are prominent landmarks if you wander around central Bursa.  The interior of the mosque is spacious, filled with light, and has graceful calligraphy and floral motifs adorning the walls and columns.  At the center is a şadırvan (fountain) where worshipers can perform ritual ablutions before prayer.  The dome over the şadırvan is capped by a skylight which highlights the fountain's softly cascading water.  The mihrab (prayer niche oriented towards Mecca) is particularly fine, bordered by intricate decorative tiles and  bands of graceful calligraphy.  Throughout the interior are graceful inscriptions on the walls and columns written by famous Ottoman calligraphers of the period, one of the finest examples of Islamic calligraphy in the world. The interior is shielded from street noise and invites contemplation, encouraged by a reader softly reciting passages from the Koran.  The mosque is open during normal hours with no entrance fee (although a donation is gratefully appreciated).  Modest attire and removing one's shoes shows respect for this active place of worship."
The most beautiful of Mosques,"This mosque, which was built nearly 250 years prior to Istanbul’s Blue Mosque, is architecturally magnificent with the most wonderful calligraphy gracing the walls. A must visit, particularly just after Friday prayer when worshippers and Bursa citizens throng outside in the square."
Grosse Moschee,Not so impressive (I would much more recommend visiting the Green Mosque)But feel free to visit it as well if you have plenty of time
Beautiful mosque,One of the UNESCO heritage sites preserved dating from the 13th century. It consists of a conbonation of 20 domes with beautiful infrastructure within and also around the mosque.  The fountain looks even beautiful at night. A must visit while in Bursa
Magnificient,Magnificent place..Down in the heart of Bursa..So ancient and so amazing architecture..This is the Mosque boast of more Humble and reflects more Turkish  then many..i advise everybody who is fond of Historical places and good architecture.
