title,text
"Nice from outside, mundane from inside",It is hard to miss the Kremlin in Nozhniy Novgorod.  It looks awesome from the outside.  Inside however it is plain - several Soviet-looking buildings.
Kremlin,"The exterior walls of the kremlin are nice, as is the entry gate/tower. The actual interior is hardly worth seeing."
Disappointed ,Spectacular walls but little inside to impress. Mainly modern buildings with little if the original preserved. A much better preserved Kremlin can be found in Veliky Novgorod.
The ancient hurt of the city.,The ancient hurt of the city. The oldest building in the city. You can enjoy beautiful view from the Kremlin walls and have a pleasant walking inside the Kremlin.
An authentic Krelim pretty well kept,Heard this is one of the earliest Krelims in Russia (dated back to 1500s).The castle is very well preserved and is certainly a must-see of the city.
Amazing!,"Worth to walk around! In good weather, provincial, but charming! Beautiful view to the city, museum and gallery, close by to main waking street! Worth to spend Saturday afternoon or so to walk around and enjoy atmosphere!"
Definitely the highlight of Nizhny,Worth it! You can walk about 1km of the wall. Excellent site. Clean toilets. Helpful staff. The best thing we saw in Nizhny.
Impressive history details founding of Nizhny Novgorod,"Nizhny Novgorod was founded in of around 1221. The entire population could fit within the walled Kremlin, or capital, with several lookout and defensive towers. I am sure Nizhny Novgorod was attacked, but it does not appear to have been overtaken. The city also boasts one of the most striking tableaus of Nizhny Novgorod's addition to World War II, with and area for equipment constructed and used in the area. There is also a very powerful wall of soldiers lost in WWII. And down near the Volga River is an eternal flame for the unknown soldier. Very powerful. The views are beautiful and it is close proximity to city center."
Historical center,This is the oldest preserved Kremlin in Russia.  The main buildings inside the walls are Saint Sophia's Cathedral and the Novgorod Museum.  Dominating the central area is the elaborate Monument to the thousand years of Russia.
One of the nicest ,The Kremlin in Nischni Nowgorod is one of the most impressive Kreml I’ve seen.Very beautiful located above the two merging rivers here.Lovely view down to the Wolga and new town.
Wall Kremlin and more...,"Take a walk inside the Kremlin wall, enjoying the middle age experiences. Inside the Kremlin will find more..."
Government yet destroys another artifact.,"This is an ancient fortress and for some unknown reason government decides to build bunch of ugly government buildings and offices inside. Why? Not really a logical choice, because preserving ancient buildings and receiving fees from visitors seems to be a better choice. Well, instead they put bunch of weird looking buildings and some old machinery around front walls. Not really worth visiting. But it's quite close from the city center, so easy to get in and out if you have extra time."
kremlin,"The walls around this kremlin are still in good shape. The interior doesn't look like an old kremlin, as it is filled with Soviet style government buildings."
The place you cannot miss,"By being located in the city centre, you will definetely pass this place multiple times, It is historical, with pretty big area to walk. Went here in the winter evening, therefore did not visit exhibitions, however I heard there are more things to do, than just walking around.You also have great views and the feeling of history. Great place for walks!"
Please Help,"I said Putin looked like Dobby and ended up here, they said something about flaying, someone please help."
"Superb fortress , views of the city scape.","Brilliant free activity.Walk around the old fort. Breathtaking views, at the river confluence (Volga and Oka). Known as the city of military glory. This is its show piece centre."
Amazing Experience,Definitely a must see. The most beautiful views of the Volga River. Perfectly manicured gardens. Amazing to see the walls and towers.
A great landmark,"A great landmark in the city that you can walk around, spend some time to enjoy the history. Gives spectacular views of the town and the river"
"Interesting building, lots to do inside.","The Kremlin is a walled space. You can walk about halfway around the walls (for a modest fee) and there are a couple of small museums built in. Entry into the main area is free, and there are a couple of good art galleries, gift shops and a wonderful view - recommended."
A must visit in Nizhny!!,A must visit place. Even if you just roam around the place you will feel good. Evening is the best time to see the lighting and blue sky.
Must see,"Historical heart and most beautiful place in this wonderful city. Museums, panoramic view of Volga river, oldest building in the city - Kremlin wall. Take your time, go for a walk. Than to museums or one of the restaurants around."
Fine,The Kremlin is fine. You get an ok view and it's also possible to walk on the walls. We didn't do that since we thought the price was too much for that.
so much history here,We were lucky and had a local tell us about the history here and how this fort had been used in the past. Inside the Kremlin there are some military equipment and other WW2 items. Beautiful place to watch the sunset over the river Volga.
amazing,"expend good time here, walking,taking photos, visit small and old churche too, and all the monuments they have here in this area."
A must see in Moscow,What can you say that has not already been said.  This is one of Russia's most famous landmarks and something you have to experience.  It takes a few hours to get around and see it.  You should go a few times to experience this glorious landmark.
Astonishing View,The Kremlin is a must visit place in Nizhniy Novgorod. The view to the river as well as to the Stadium and the Cathedral is magnificent. Inside there will be military monuments and pleasant atmosphere where we met several locals and many visitors on the day prior to the quarter finals of the World Cup 2018.
Do The Wall Tour!,Interesting to walk around the grounds but to really get a good experience we recommend you do the not very expensive but most interesting and scenic tour of the Walls (trun right and go upstairs in the far corner).
great views,Walked all the way along the feeder street from Gor'kovskaya Metro station. Walk to the edge of the escarpment to get the best views of the rivers and the new stadium. There is an interesting collection of WWII weaponry- I think made from the many factories that made this city so important in Soviet times.
Ein MUSS / a must! ,"It's a very beautiful Kremlin environment with a breathtaking view on the Wolga and Oka tiver for free!!! Besides that, there are other interesting excibitions you won't regret to visit! Do that you won't regret!"
Guided walking tour of the walls and grounds ,"I enjoyed an excellent tour of this lovely site. Thank you to Tour Guide, Kate. You were very friendly and helpful. There are some fabulous views from up on the walls. It is well worth a visit."
Don’t miss the modern art center inside it!,"The Kremlin is the city’s main attraction although the area in itself consists mostly of rather uninteresting government buildings. You come here for the walls and towers, the spectacular view of the Volga (and Oka) , the amazing modern art museum Arsenal (one of the best in Russia) and the charming picture gallery. Take a walk around the walls. Come here to see the sunset or sunrise over Volga and don’t miss the modern art center Arsenal. Beside exhibitions it also has great movie screenings (sometimes original language) as well as the best souvenirs and gifts in town."
Scenic spot,Perhaps not as detailed as some of the other more famous kremlins in Russia but some great views nearby. It’s a long walk up the stairs from the river if you go that way but worth the hike.
Beautiful area for a stroll,The views across the Volga are superb at the eternal flame !  Especially at sunset !It's really a nice garden area with a gorgeous church in the middle.Being a bit of a history buff I enjoyed the display of WW2 equipment.A must see in Nizhny.  Beautiful city !
Nice architecture,"But I didn't have time to take a tour to learn more about it. Probably, it is worth taking a guided tour there."
A stroll on the Kremlin walls,The walk up along the walls of Kremlin are spectacular. The view over Volga is fantastic. The tour offers a nice insight into Russian history (without too much information. You can only do this with a tour guide). So worth the visit!
the walking tour,"any town steeped in history has amazing buildings, forts, castles, architecture or kremlins..Nizhny Novgorod doesn’t disappoint.On top of a hill overlooking the Volga sits Nizhnys Kremlin.. standing since 1515 and occupying 2.2 sq kms, this fort like structure gave the town its defence.. formerly of wooden structure till the early 1500s.It’s striking reddish earth appearance can be seen for miles..Guarded and connected by 13 towers each named.Access can be made via the bottom of the hill or thru the Main Street atop.Access around the kremlin can be made all day long, some steps have been made..This would be stunning with winter snow..A worthy late afternoon stroll accompanied with a sunset or a morning educational treat"
A marble of the city,"When I was young, I was spending hours inside the Kremlin. There are so many hidden spots to explore. A few years ago there were a couple of hidden ways inside the walls and on top of the roofs of the walls. Also, there are dozens of tunnels underneath the ground of Kremlin, who knows what is going on in the deepest parts of them?"
A very nice view of the 2 important rivers encounter,"Is very worth a tour at the place ... WWII weapons , a memorial to the fallen heroes , a historical construction mixed with the today center of the political power in the region ."
A fantastic place to visit..,"This is a lovely place to visit especially to appreciate the view of the Volga river, the eternal flame and the WW2 memorial. There are also some nice exhibits of well preserved WW2 military equipment and excellent wall murals dedicated to the local hero's of the Great Patriotic War  (1941-1945). Our visit was made even more special due to the fact that the rehearsals for the 2018 Victory Day parade were taking place just outside the Kremlin wall. At the end of the parade, we walked back to our cruise boat passing the monument to the famous aviator Valery Chkalov. At this point, there are spectacular views of the Volga from the staircase which descends to the river embankment. Overall, I found Nizhny Novgorod a lovely place a visit. It left a lasting impression of a place which I would love to return to again in the future."
Great place ,"Such a good place to see. Memorial fire, city view (you can see the new football stadium), Soviet tank T-34 and other World War weapon"
Walls,First of all you need to attend walls. From them opens the view to historical part and rivers. Also there are few little museums in towers across the wall.
State Museum of Art ,Wonderfull museum of Russian art with some good examples of European Art. From medieval icons to Contemporary. Rotari to Rapin to Kandinsky. Guided tours also in English. The museum curators and staff are very nice and kind.
MUST SEE,"The center attraction of the city. To reach it, you take the metro and then have a long walk through the beautiful street of Gorskaya (excuse my spelling). Many things to see inside: a small Church, the Mayor office, statue of soldiers, Tanks and old war artillery ...The view of the Volga is also amazing. Be careful it is always colder and more windy there since it is on a hill."
Very interesting and great for photos!,"I found the Kremlin one of the most interesting places I visited during my time in Moscow. There is a lot to take in, certainly take your camera!"
impressive landmark which you cannot miss,"Kremlin strategically situated at riverside, overlooking Volga- and Oka River coming together.well preserved, open for walking around. from up there you also see the World Cup stadion, currently still under construction for upcoming summer.don't miss this historical landmark!"
Amazing,Sceneries are damn beautiful eye catching and soothing.  A very good amazing place to visit and are extremely fantastic.
A visit for life,"I grew up in an apartment with a view overlooking the Kremlin. I would say it's part of my identity. The way it slopes with the landscape, so great, so large and massive but at the same time fragile because it's only man-made. Of course, I am very sentimental about the Kremlin but think that that is the best way to go about it: its walls have witnessed hundreds of years worth of history and tell the story eloquently if you're willing to listen. :)"
Must see Tourist Spot in Nizhny Novgorod!,"Don't miss it... It's a must see... If you are a fan of history and appreciate monuments, it's a must... Tribute to war veterans and the inextinguishable fire are highlights..."
Not as impressive as in Moscow,"The Kremlin in Nizhniy Novgorod is not as impressive as in Moscow but it is definitely worse visiting. If in Moscow you have to take a metro and go to Red square to see the Kremlin, in Novgorod you do not have to go anywhere. If you walk in the city center, you should see the Kremlin. The most beautiful part is Dmitrievskaya tower."
Not a big tourist attraction ,"You may end up a bit disappointed if you think you will see anything that can match with the Kremlin in Moscow. Most buildings are offices used by the government, with just one or two churches worth visiting. Nevertheless, you will be rewarded with a nice stroll, hardly any tourists and no entrance fees."
A must-see site,Great place to visit and feel the ancient builders and warriors spirit. It has outstanding viewing spot over Volga and Oka rivers.
Great historical feature,"Like be the Kremlin in Nizhny, great in summer.there are museums inside, the staff are friendly and helpful."
"The ""Heart"" of Nizhniy",A great view from the river or from the street on top of the bluff - I recommend a car be used. It is a complete ancient Kremlin with WW II memorabilia displayed inside. It is still the center of city administration.
Check out the tulips at the Kremlin!,"The tulips added so much to an already great visit to the Kremlin. Between the flowers and the great view of the Volga river, it was a great photo opportunity."
An impressive structure,The Kremlin is well worth a visit as it gives you an opportunity to view stunning vistas. The walk around the ramparts is not for the unfit as it has many high steps to negotiate but the walk gives you the chance to see many stunning views. There are a few side rooms along the way to visit to see some military paraphernalia. There are many military vehicles and hardware inside the Kremlin for the young to clamber over and enjoy. There are also poignant collages of individuals who made the ultimate sacrifice in earlier military conflicts.
Kremlin at Nizhny Novgorod,"The Kremlin would disappoint you if you are looking for any comparison with the Kremlin at Moscow. But, in a place like Nizhny Novgorod, it is worth visiting once...since there are not many sightseeing places here. There is an old church in its premises...which has a nice ambience."
Impressive!!,"In 2016 I was heading to Joshkar-Ola between Moscow and the Urals, to visit a Danish friend who lives there now. So Nishniy Novgorod was an obvious city to visit and overnight.The city is beautiful in itself, located at that magnificent river Volga - but the visit at the fortress is a must, if going to this city. It's spectacular and also gives a grand view of the city centre and the river."
Sunny day,"If you stay in Nizny you must see Kremlin walls. Beautiful view on river from top. A lot of people there on a walk, to caught some fresh air."
Great Photos ,"If you're here as a tourist, then you must visit this place. The view at the end was incredible, even as cold and windy as it was, I still got lots of great photos as memories from here."
vist to Nizhny Novgrod Kremilin,visiting from New Zealnd have found the city stunnig in winter. we walked the length of the main streat to the Kremlin fantastic place old military equipment the eternal flame site and walking around outer wals it is a great structure. you can pay 200 RUB to walk two sections along the battle ment and at the end is a museum small but interestig history take your google ap translate it is all in russian. they are passionate about there history. it is well worth a visit
Nice Architecture & Landscape,"A piece of good architecture in the middle of city an historic place to visit. U can easily approach any entrance of the Fort along the river side or the city, i had witness a tram crossing one of the Gates."
The Kremlin is a cultural mix of architectural and historical witnesses,I wonder that the Arsenale inside the Kremlin is not even mentioned in any of Tripadvisors reviews. The Arsenale certainly belongs architectonically to the best museums of contemporary art worldwide. It took more than 12 years to refurbish these former stables and warehouses into this great art place. The Kremlin is administrated from the central ministry of culture in moscow and has therefore great pieces of the governments collection available. Also the State Museum of Fine Arts is inside Kremlin and has a great collection of russian paintings...
Good and long,"One of the biggest castles in Russia,a nice and beautiful one,prepare for a very long walk with stairs and exciting views"
