title,text
Good place,The rides are really goodBut need more entertainment for babies Dolphin show is amazing thank you everyone
Excellent,Enjoyed our trip the park was so clean everyone was smiling good place good hospitality great roller coasters
Perfect for the whole family,Not expecting much we were totally surprised from the minute we arrived until the moment we left.Expect to get wet for the whole day and during Covid the wait for rides was almost non existant and plenty of social distancing.
Pay?,"You get in free if you stay at Rixos, it you pay for everything else.Why would you pay for food when you are on all inclusive? Not for older travelers."
Perfecttt,Nice 🇹🇷😍 Turkish people are amazing we love the atmosphere in here will definitely come back again
Antalya training camp,It was such amazing experience and irem were sl friendly and helpful 😍😍The place is so fun and and easy to find everything.
Great,I loved everything here and everything here amazing Perfect place and everything you’ll need you’ll find it here ❤️
Fantastic Place but Cursory COVID Precautions,"We went in September. The park is split into wet and dry sections. About a third of the wet park was sectioned off and closed, but we didn't realise until we looked at a map later. Of the remaining rides, almost everything was open. We had day tickets and felt we could have stayed much longer. We had an absolutely amazing time. Lockers were really useful to store our stuff and just wandered in flip-flops and wrap, which we could store by every ride. The rides themselves were great fun and we laughed lots.That said, why the 3 star review? Primarily two reasons. Firstly, the queues were really long. When the queue timers said 30 mins, the reality was more like an hour - basically double any time they give. After taking over an hour for her first ride we bought fast passes. After that we could do about a ride every 15 mins, including travelling between them. Sometimes 5 or 6 an hour. But it does add £20 to each ticket.Secondly, COVID. Yes, there were announcements to request social distancing and appreciate it'd be difficult to wear masks on the rides, but the park's attitude appeared to be a tick box exercise. The queues had markers on the floor to distance, but the zigzag setup meant you were packed in tight anyway and nobody paid any attention to the markers. All the rubber rings were theoretically placed in a pile to be disinfected between uses, but people were just throwing them anywhere so only a few got cursory wipes. Supposedly they checked to make sure only family units sat next to each other on rides but we were not asked. They need to do more."
Good one,Very clean with professional staff everyone was helpful but it was too hot and crowded yet we love here
Wonderful,Everything is wonderfull..! We have so much fun..!Thanks Legends team...you madde for everthing for us and children
Decent fun park,"I would like to mention that I only had a one day stay there during COVID pandemic, in September. Well, nobody cared about COVID and restrictions or anything else. It was a normal day, with people rounding and aligning at queues. Amazing!Besides that, the place looks good, with things to do for everyone, but it like a jungle there. You have to love crowded places, must not go with kids or just stay with them at kids pools and fun areas.Overall, you have to plan your trip to Land of Legends perfectly, in order to get the best out of it"
Rana,Very good really enjoyed clean park good helpful staff you can enjoy all rides lots to see .lovedDolphine show and food is good .
"Fun day, lots to do","We visited this park on our trip to Antalya in Turkey. We arranged the trip through a tour operator close to our hotel, the price was 70 euros per adult ticket which included transfer and the visit to the park. We were told this included soft drinks and food but this wasn’t the case. First off we absolutely loved the water park, probably the best one I’ve been to. Lots of water activities for all ages, theme park rides and a dolphin show included in the ticket price. Before any water ride you are weighed (max weight is 120kg per person or 180kg between 2 people), we didn’t go to the dolphin show or to the theme park. The staff are friendly and helpful, not a lot of them speak English so we did have to improvise but not a massive problem. There are lockers/changing facilities however we didn’t use these. We set up for the day at the wave pool, there’s a small locker (could easily fit phones, purses, cameras etc). We inserted a 50 cents coin and were able to leave our stuff with peace of mind. You are given a wristband upon entry to the park and you can put money on the wristband so you don’t have to carry your purse/wallet around with you.Only downsides really is that the food and drinks are really expensive, we spent around 60 euros for 2 adults. That was 1 meal each and around 2/3 soft drinks each. Another downside was the floor, it’s really hard to walk on and quite painful but you can’t wear your flip flops when you’re in the queues for the rides at the water park so I’d recommend swim shoes as some people seemed to have these on. Another downside was covid related as nobody seemed to social distance (sometimes you can queue for 30+ mins for one ride), the staff do have Facemasks on however it was the other guests I was concerned about as we were in close proximity for a decent period. Would definitely recommend coming here even if it’s just adults, definitely with children if you’re visiting Antalya or areas around the park. We had a really fun day."
Süper,Evreything so much good stat friendly evet enjoyed say was thank you for all ee wil coming NeXT yarar again
Very good park,It was a very good park. There were lots of things to do such as rollercoasters and water slides. The wait was only 30 mins max for the slides and I would definitely recommend.Mehmet surmeli was very nice
Great day out,It was the roller coasters that were really good. I think everything else was very good too especially the water rides.
Amazing Park,Had a lovely day at Land of Legends theme park. Highly recommended to all of the family. We loved the dolphin show and seeing the sea lion. The park is beautifully presented . 10/10 for us 👍🏻 Mehmet was lovely and asked how out day was and of there was anything else he could do. All the staff are really helpful and friendly .
"A good day out, but very over priced.","Came here in September 2020, mainly to visit the water park. Which in itself was amazing, but at €75 for 2 tickets, and once in the park, a 10 inch pizza, a medium sized burger and chips & 4 cans of coke costing €60 I can honestly say I’ve never felt so ripped off in my life.There’s Plenty of other water parks in turkey to choose from, at a better value for money. Would not return here, and I will be advising anyone I know, who plans on coming to Antalya, to avoid this place at all costs."
We loved it!,"We visited it today and loved it! A lot of attractions for kids and adults. Everyone will enjoy this place! I want to highlight very good service. Very helpful staff, especially friendly guy Aslan Aslanodlu :)"
Fab ,"Been here a few times and it doesn’t disappoint .. so much to do .., lots of fun. Would recommend doing theme park upon arrival as far too long queue fit water slides. Food is over priced fast food.. but it’s not the sort of day where u would sit and have long relaxing lunch! Too busy with lots of fun rides.Would defo recommend!"
Unbelievable!,"Absolutely amazing day with my partner and friends. The rollercoasters feel so safe and sturdy, can honestly say they were smoother than in the UK so it was much more enjoyable and fun! The water slides were also amazing! They have a super wave pool and a lovely infinity pool with a glass surround so you can get photos. You put money into a wristband and spend it as you go so you don’t need to carry cash. We were there for one day so didn’t get chance to take full advantage of the shows and swimming with dolphins or the shopping avenue. If you want to go and do everything you’ll need two days! Food was also great and greatly priced!"
