title,text
Incredibly impressive ,"A visit to the Mary Rose was a highlight of our trip to the Portsmouth Docklands. So much love and care has gone into the restoration and preservation of this ancient historic ship. I particularly enjoyed seeing the artefacts they recovered, the ancient barrels, plates, wooden jugs, surgical instruments and personal effects of all those who perished when it sank. The facial reconstructions, the details of their way of life aboard the ship and the historical significance and link to King Henry 8th. To ensure Covid-29 safety, you are issued with a rubber stylus for the touchscreens and staff were polite and aware of social distancing. It is a display I would readily go back to in a few months and do all over again, especially as science progresses and the restorers find new facts. There is a coffee shop inside but the prices are high, so eat before you go!  There are free toilets on site. (A few tips if you are thinking of visiting: book to see more than one attraction at the Portsmouth Docklands: if you can afford it, take the slightly more expensive Ultimate Explorer Ticket because you will need plenty of time for each attraction; it is just so amazing and the displays are all fascinating. The ticket allows you to go on the harbour boat tour, and in two days we did it twice!To everyone involved in the Mary Rose, all I can say is, well done and please keep up the great work you do to preserve our history."
Utterly entrancing visit to Mary rose,I am so pleased the visit far exceeded my expectations. I knew very little about the Mary rose.  I'm pleased to say after my visit I now know a huge amount. The museum is amazing. They have done such a good job in preserving what's left of her and showcasing it so sympathetically. The additional atmospheric noise if creaking wood and sea and the projected pictures of what life on board would have been like were thrilling. A small thing we noticed were the visitor walkways on all 3 desks mirrored the shape of the decks on the Mary rose. Depending on how much you like to read and take in (We love history) then allow 2-2.5 hours inside. You end with a lovely gift shop and cafe. We refuelled in the cafe whilst watch the aircraft carrier in port.
Thanks Barry,"This has to be one of the best presented exhibitions in the world. The story of the Mary Rose, it’s place in history, it’s location and recovery are all beautifully told. The shear amount and variety of artefacts that were found and preserved is incredible. Do your self a favour and pay a tenner to have someone like Barry guide you through the whole story. Thanks Barry."
Excellent...,"We had an afternoon out with friends and living just 30 miles away we decided to visit this attraction... I wasnt sure what to expect because  its just whats left of the original ship..But its so much more and we're so pleased we went. Its almost atmospheric when you see it for the first time, there's so much more to see that makes it really interesting. Infact there are other attractions that should visit here to see how to do things properly.Highly recommended."
Fantastic,Probably the best exhibition I’ve ever seen. The whole set up is informative and done in such an imaginative way giving you a real feel for how life would have been onboard. If you do nothing else in Portsmouth you must visit the Mary Rose!
Stupendous,"More  tha two hours whizzed by. The museum is quite breathtaking, guides are well informed, only one was disinterested, the exhibits are wel ldisplayed. It needs more than one visit to take it all in"
Must See!,"This is a ‘Must See’ Attraction if your are visiting the Portsmouth Area. The work and detail that has gone into this Experience is incredible. So much detail on the Mary Rose has you captivated the moment you walk in. The Cabinet Displays were beautifully presented throughout. Cannot understand a few comments on here regarding the entrance fee, This project took years of painstaking work to where we are now with the Mary Rose. Trust me the entrance fee is worth every penny."
Excellent place to go!,"We had a fabulous day out at Portsmouth Historic dockyard visiting the Mary Rose museum. Car Parking was clearly signposted as we drove into Portsmouth and we parked in the designated car park about 6 minutes walk away from the harbour area. We had a Covid friendly welcome (seriously, a warm welcome makes a difference), browsed the shops, used the toilets, had a cup of coffee outside in the sun and entered the museum itself. I cannot speak too highly of the excellent displays of artifacts and the ship itself! You could take it at three levels - a quick overview, a more detailed explanation or a really detailed object by object explanation. Imaginatively displayed, good signposting, great views of the ship and a good gift shop too.  Even a small cafe - but the area has others.  It was quiet mid week. We spent three hours there and then wandered around the dock area seeing the Victory and other ships from the outside.  On one visit just seeing one ship is going to be enough!"
Excellent work,"Haven’t been here for a few years and was thought the work that had been done was excellent. Highly recommend it. Very helpful and knowledgeable staff. Current restrictions all adhered to, plenty of hand sanitising stations. Very clean and well worth the money"
"Sadly, a tourist rip-off. Not worth the money",The Mary Rose is fascinating . . . . . But the ticket price at £34 per person is daylight robbery and does not represent value for money. Also the website is virtually unnavigable and clearly intended to trick unsuspecting punters into spending as much money as possible.Buy a book and avoid this 'attraction' like the plague.
Amazing,Worth a visitStaff amazing & knowledgeable Value for moneyDisabled friendlyUnbelievable amount of relics on show
Amazing,"Second time at visiting the dockyard and finally able to see the Mary Rose and museum, it was closed on our previous visit. Was unaware of the number of artefacts that were retrieved"
