title,text
Good but...,SHE’S NOT WEARING A BRA It was very nice if you did not look at her upper body (which was naked) I went there and it was hot but ice cream was not cheap around there.
Huge Statue,Overwhelming statue that looks over the city. It really is hard to miss. I even saw it from the train on the way in. Part of an impressive tribute to WW2.
Very Impressed even it has been under maintenance,"Requiring a bit of walking and steps up the hill where the sculpture is located.The ""Motherland Calls"" was under refurbishment when I visited earlier today. Yet, its still impressive, if not magnificent!Definitely a mistake in Stalingrad!"
Monumental sculpture,Situated in top of the hill dominating the city this is a sight to behold. Under restoration at the time of our visit but sympathetically clad in mesh scaffolding so view was not significantly obstructed
Must visit place,For me it's a prime location to visit in volgograd. Very beautiful sculpture. Very well maintained and we can see volgograd city from this place.
Absolutely must-see,"Stunning, huge and moving! Absolutely essential if in this part of the world. Free, very accessible and a suitable monument to commemorate those killed in the bloodiest battle in ?history."
There’s more to this place than a giant statur,"If you’ve come to Volgograd then of course you are coming here. She is an impressive sight to behold. However beneath this monument lies the final resting place of 35,000 people. Don’t walk on the grass in respect for the dead.Worth visiting/ 10"
Huge Statue,Very impressive. I believe it is the largest statue of a woman in the world. Can be seen from all around the city
Must to visit,"This gigantic monument was build more than 50 years ago but still takes your breath away with size, quality and is extremely impressive. Definitely the main sculpture in the city and is famous worldwide due to Stalingrad battle. Very touching place, full with glory and sadness..."
motherland,"The tip of her sword is 83 meters high. You'll see her as you approach the city, she stands above everything else. A must see sight in the city."
Incredible,The best I've seen among monuments. All the complex is really unbelievable. There is nothing that can be compared with this perfection. Totally recommended to visit.
A visit during the world cup 2018,A very good place to visit in Volgograd! The view is really amazing in the nature! Very recommend...
Mother Russia at her fiercest,"Must visit if you are in Russia.  The city of Stalingrad now called volgograd has seen the bloodiest battle in the history of mankind . It's a colossal statue on the banks of the Volga river urging the sons of Russia to rise and fight! She is an angry woman. Use the metro tram to get down at mamayev kurgan station.  There are 200 steps commemorating 200 days of the battle.  There are lot of other statues like the grieving mother ,the soldiers statues depicting the horrors of war . There is an eternal flame monument . Pay your respects to those who have fallen. Don't forget to visit the small church next to the statue. Stand beneath the statue gaze on to the Volga and get transported back in time where the German bombers were bombing on the red army soldiers crossing the river by boat."
Must Visit. Sobering. Stunning.,"This absolutely huge, defiant, female hill-top statue is a must-visit in Volgograd. Absolutely sums up the Russian defiance to the Nazis. There are the graves of famous combatants lining the route up the hill; at the base of the path is the tomb of the unknown soldier, memorials and The Eternal Flame. Furthermore, the views across the city and its decaying Soviet mega-factories, new World Cup stadium and the Volga river are awesome."
Her beauty stand,Volgograd has a very important history so as she the Motherland Calls. She is the highest sculpture I’ve seen in my life an she is remarkably beautiful. One thing you cannot miss if you are visiting the south.
Impressive statue on top of the hill,This huge statue higher than the statue of liberty was built to commemorate the battle of Stalingrad. Be prepared to climb many steps to reach the statue
A Rare Beauty!,"You will be awed by her size once you realize how big she is.  You will be struck by her beauty once you see her up close.  You will gaze upon her with wonder once you take in her message.  It is an extraordinary piece of art, that will move you like Picasso's Guernica."
Motherland’s calling!,"I wanted to see it with my own eyes. If you happen to be in Volgograd, go there before the sunset. So that you walk up the stairs and into the tomb with the eternal fire while it is still daylight and climb the hill to the monument when it is already dark. Levitan’s voice announcing the real information telegrams of the great patriotic war. And Levitan had to record again the  war news from the very  first day, from June, 22, 1941 as they destroyed all the tapes with his voice during the Great Patriotic War. And if it is possible please have a guide to tell you the details of this 200-days battle for the city and heroic acts and miracles of other citydefenders. Strongly recommended to see."
You must see this,We travelled from Moskau for one day to see this monument and it is wonderful! Its worth to go there and visit this historically important place. Absolutely magnificent and special.
Motherland statue and eternal flame,"Great visit to tis area including eternal flame and statue, beautifu church near statue as well, many other smaller statues paying tribute to heors of the battle of Stalingrad.  Must visit."
Simply breathtaking ,"Wonderful monument to the fallen very humbling, these Russians sure can do a monument, simply a must on your trip"
Most Impressive War Memorial ,I have been interested in the Battle of Stalingrad for quite a while and I had the opportunity visit with Sputnik Tours - Stalingrad Battlefield Tours. Visiting Motherland Calls was a part of our 3 day tour. I have been to many war memorials all around the world and this one is by far the most extensive and impressive.
Wow...Spectaculare...must see,"Totally amazing .....Motherland calls, Mamaev Kurgan, is 85 meters high of a woman who walks through with a raised sword. The statue is considered to represent an image of the motherland, calling upon his sons and daughters to tighten themselves and defend against the enemy. When the monument was built in 1967, it was the tallest statue in the world, today the highest statue of Europe measuring 85 meters from the top of the sword down to the sack. The cavern is about 2 meters and is full of concrete wells with 16 meters depth. The statue is about 52 meters and the sword is 33 meters. There were about 2,500 tons of iron and 5,500 tons of concrete in the work.The monument weighs over 8,000 tons, the sword itself weighs 14 tons.They had a lot of trouble with the sword, it was difficult to keep your hand holding this weight, the sword, but it also took a lot of wind and swung so much that the hand was about to tear off. They replaced the stainless titanium-plated steel for ordinary lighter steel in 1972. It is a great architectural achievement to solve this.Was renewed last year for 2 billion rubles, 28,811,773 dollarsThis is a must see......"
STALINGRAD WAR MEMORIAL,"The biggest cement statue in the world, Mamayev Hil (Mother Russia) is tall 82 mtRight walking up from the downtown barely two keys north.Staring on religious silent the human sacrifice into the Mamaya War Memorial, changing guards every hours"
Mighty Statue,Mighty Statue remembering the tragic moments of II world war and the patriottism of russians in defending their motherland ...Very touching statue and place.....
Must See,On the highest point of the city sits this tribute to the million or more who lost their lives in the battle. The statue and area around it are breathtaking and somber reminders of the past. Don’t miss it.
Majestic sculpture,"Towering over the town and a must visit attraction, we were not disappointed by what we saw. While there are other monuments and the eternal flame to see around the monument, there are limited facilities for food and rest in the vicinity. One should come by train as that gives the best views and is also most comfortable"
The hill with special vibes and this amazing statue,"This is the MUST GO, if you are staying in Volgograd. Take your time and walk to this sculpture from the main road. On your way is a hall of glory, where is nice to see the guard, when they are changing, I think that it is every hour, but I am not sure."
Stunning View .. and historic,You cant but help feel the energy as you walk in and around the park with the  Mother Africa statue ... and monument to fallen soldiers ... a definite tick job on the bucket list .....
