title,text
Great,"Amazing  and lot's  of history. Absolutely  loved it. We spent 2,5 hours. Very recommended. Staff  is great and  helpful."
Enjoyable visit,"Enjoyable afternoon with knowledgeable staff. Tours felt a little rushed, but got the jist of the site history & a lovely kids pack for the youngest member of the family."
Visit Marred by Covid Regulations,"Although I completely understand and respect that covid regulations have to be in place and adhered to, I personally felt that this made our visit to the Roman Baths very monotonous and prolonged. In the museum you had to wait in a queue to view each exhibit which meant that you were either stuck there too long waiting for the people in front to move or feeling pressured to move quicker by the people behind. Whilst the history of the Roman Baths is interesting, I did begin to feel slightly bored because of the monotony of queuing and waiting, masks on for inside, off for outside, then back on again. Nevertheless, this is a important historical site and I'm glad I visited. Just be prepared to be patient!"
Great Day out,"A great attraction. Very informative using the free audio guide. Not to be missed, Social distances in place works well"
There's nowhere like this in the UK,"This is one-of-a-kind. There's nowhere like this in the UK. The baths are still in excellent condition and are absolutely beautiful. I normally have no time for tours, especially audio tours, but the information they provided was actually really good. Each recording was around 2 minutes so not too long but you still felt like you got the important bits. It couldn't have been easier to operate.There was plenty of hand sanitiser around but I felt like in serveral areas, there were no staff so people were left to police themselves and there weren't people to enforce social distancing.The gift shop had a good selection of things.Overall, if you don't go here when you're in Bath, you're crazy!"
Stunning!,"A must see when coming to Bath! Fantastically managed during the current climate, audio guides are excellent. Staff really good and a well spent hour or two."
worth the cost,"informative & interesting, worth visiting and seeing the artefacts, that are housed in there - very unexpected!"
A must see exhibit ,"You have to try the Roman baths when in Bath don't you. I'm really glad we did, the magnificent building and living spa take you back centuries and the attention to detail was incredible, please give it a go"
Excellent Visit,"An informative and enjoyable visit at the Roman Baths. Thoroughly recommend, even if a little pricey."
God bless The Romans. ,"What can I say that hasn’t been said in the last 2,000 years? Needs to be seen to be appreciated. It’s worth the entrance fee as the tour is 90 minutes and the education you receive will last a lifetime. JUST GO!"
Well laid out.  Very informative - Simply Excellent,"Facilities have improved since our last visit.  So well laid out and the audio guides (included in the price ) are really good.  I particularly liked the Bill Bryson versions.Clean, well excavated but understandably uneven surfaces.  a great visit and thoroughly recommended ."
Interesting,"A very interesting place to visit and a must if you are in Bath. Hand held information 'phones' are provided and are easy to use. A difficult time to visit due to Covid restrictions but many areas were closed off and no mention of this when booking so was quite disappointed to have not been told, still charged full price for the tickets, and asked if I would like to make a donation! The real let down was some of the staff. As always, some were lovely and really helpful, but there were a few, who were clearly bored and therefore just stood in their spots watching (staring at) you which was very off putting."
Good informative tour,"Visited during a wet Tuesday afternoon. Booked tickets online. Tour good & interesting. Definitely worth a visit. While staff where observing felt safe with social distancing measures, however when they wasn’t felt uneasy at people getting too close! Less than 1 metre at times. Overall would recommend but suggest more staffing if possible as not all visitors observed social distancing."
Bath baths,"Very interesting tour , make sure you have one of their handsets (supplied free) so much is explained as you go round."
Incredible step back in time,"If you're a history buff then this is definitely a place to visit. The preservation of the baths is outstanding. You are guided on a journey (use the audio guide for extra info) through time on a path throughout the baths. Even during Covid times, sanitation stations are available at regular stops, staff are friendly and helpful. A definite must!"
"Must see attraction, no point visiting Bath if you do not come here!","Incredibly interesting part of Baths history and a MUST SEE. This is the only hot spring in the entirety of the UK, as they are usually associated with places with more geothermic and volcanic activity (New Zealand, Japan etc).The Roman engineering is breathtaking even when looked at today, considering how they utilised the hot water spring to fill up the large bath in the central court yard and a variety of rooms spread throughout the bath complex.Its a trip back in time with you have to descend down flights of stairs to reach what would have been street level for the ancient Romans.Helpful audio commentary is available for every language and even a humorous commentary provided by author Bill Bryson is available."
Great for a break from the rain,Had an interesting day at the Roman baths . Pre booked tickets and arrived and was directed to collect tickets. Amazing building . We’re given a hand held device for information. Very informative and felt safe with the controls put in place . A unique experience.
