title,text
Shadow of it's former self,"It's still worth visiting but as CEO says it really has downsized by about two thirds- what a shame.It used to be a fun night out- tourists would come from South Goa to attend.We did hear some extraordinary music from Iraq. The drinks are over-priced.Like a lot of things in Goa- there has been a lot of envy of successful businesses so people who can, take advantage & double the rent or they influence the granting of a licence .Goa is a state run by Mafia- see what they did to Club Cubana & Thallassa- shameful.Instead of competing they control. Nasty people."
Dissapointing,In years gone by this eas a well worth visit...not anymore..drinks are double the cost of any cafe bar food stalls average ..music bands only one. years ago it was 3 times bigger drinks were on par for cost and it was buzzing
Great Saturday night out,"We had a good night out here looking at the stalls, listening to the music and visiting the food stalls."
Great flea market on a Saturday Night,"Very good and organised flea market in Arpora. Parking easy available , vibe of the market is great with lots of local eateries and dealers and live music as well, must attend."
What a Place!!!!,An awesome place..firstly ample parking.. anytime you go..lots of colourful variety shops..a truly goan place with lively music.. people enjoying..and shopping offcourse..A must visit
Well worth the time to visit on Saturday night but bargain hard!!!!,"We visited Clive’s Saturday night market whilst staying at our nearby hotel (The Park Regis, Arpora) and it proved to be a good shopping experience. Locals told us that it only gets going after dark (7pm onwards) and if walking you may well need a torch, we certainly did.It’s very busy and covers around a quarter of a mile square with every sort of stall selling most things anyone might want. There is a large street food section with food from all over the world as well as many local dishes, whilst we didn’t eat we saw lots of others tucking into take away style dishes.There is a small stage area with music from quite a few different bands throughout the evening and a massive separate scooter/car park area. Top tip is to be very aware of scooters around this area as lots of the riders are tourists who have no “Indian” road sense, you can easily get run over if you’re not paying attention.All the stall holders are happy to haggle and if you are persistent there are some real bargains, I would make sure you have lots of different denomination notes so you can pay the exact price you have negotiated.There is another market up in Anjuna on a Wednesday daytime but this one seemed better maybe because of all the magical lights and general bustle, so happy shopping folks!"
Superb!,This a far cry from the crowded Friday night market (which is also fun in its madness).The music is great. Really good bands. The stores are all boutique types. I bought some beautiful outfits. But these are not cheap like Friday night market. But yet really great. Almost every single store was owned by a European designer. No Indians.
best night market in India,totally unexpected experience. very crowded but a lot of crafts. very good deals. very good food .nice jewellery.
Vibrant Saturday Night Market,"It’s amazing to see multi culture all on 1 platform. Good market to buy from. Good food, good music. There’s no question of getting bored because there’s so much to see.Have been going to this market year after year when me and my husband visit Goa. It’s happening and consistent. I thank each one for making it so alive and vibrant 🤩"
A good market to go to ,Worth trying this market out. I got some great bargains but dont go in flip flops. The ground is uneven and there is lots of red soil/sand/dust about
