title,text
Best Day Ever.,I love this park I went there for my first anniversary and we have a lot o fun the Harry Porter castle is incredible.
To do,"We had a very nice visit to this castle, I read all of Harry Poter's books and this castle was a must for an enthusiast, everything was very well done"
Honeymoon ,Universal did a great job on their Harry Potter attractions.  You are never to old for an interactive wand.  Their newest ride Hagrids is amazing.
For all ages,"My children have been fans of Harry Poter for years, we thought that we parents would be bored but in real life the whole family loved it, beautiful"
Awesome! ,Hands down the beat part of our vacation. No expense was spared on detail. My son loved every bit of it.
For all the family,"we came here to make our kids happy and we all loved it, had a great time and it s a great memory , to do"
"great time, immerse yourself in a life like realm","hand sanitizer and temp checks upon arrival. additional hand sanitizer when you are greeted by team members in each attraction. This attraction was amazing. I never read the book, and only saw a few movies but I felt like I was at Hogwarts. We had a very enjoyable time. Staff was super friendly, social distancing practiced and good sanitation practices."
Best. Place. Ever. ,"I’ve been to WWOHP several times and it’s one of my favorites. I spent my 40th bday there this year. ❤️. The parks are really well done and it feels like you are in the story. I love the rides- the new one (Hagrid’s) is phenomenal. Butter beer, Wands, Magic... this place is awesome."
LOVE IT,We loved the Wizarding World of Harry Potter. It is immersive and just like the movies and books. My daughter loved it.
Becoming part of this World,First time visit and the family was in awe. 1st day Diagon Alley in Universal. 2nd day we took the train from King Cross station to Hogsmeade in Islands of adventure. We were so wrapped up in the interactive wands and the amazing detail that it wasn't until the 3rd day that we made an attempt at all the rides. Hagreds was the only one we didn't experience. I would suggest to take your time and go to every shop. Different experiences
Exceeds Your Expectations,Awesome attention to detail in every way. Exceeded my expectations and that of my 5 Family members that visited the park this past week
"Cool to see, too crowded to enjoy","I really wanted to be excited about this, had waited years to come.  When we visited the first time at Christmas it was packed wall to wall with humans to the point where you couldn't step forward without running into someone.  Lines were outrageous.   Went again during Covid, gotta be better since we're not letting as many people in?  No.  Now you have to reserve a ride time. Never got on Hagrid's Motorbike, one of the best attractions, even after trying all day for a time.  I hate that so many people are let in.  Don't know the solution but do know it's not at all enjoyable."
