title,text
An incredible spiritual experience!,"It took us multiple attempts to get to Tian Tan Buddha due to the strict cable car schedule but what an experience it was. Soak up the temples, statues, and gorgeous nature, and then take the bus to Tai O village for dinner."
Big Buddha,It is a great experience once. A must see.Go in the winter as the walking will be tough for older people. There are a lot of tourists so do not expect this to be a peaceful retreat with the family.
Very impressive!,"The Tian Tan Buddha or the Big Buddha is a large 34 metres bronze statue of Buddha Shakyamuni.  It was completed in 1993. A very impressive statue of Buddha indeed, also from different angles!. (In my previous review of the Po Lin Monastery, the spelling of the late Hong Kong entertainter should be Anita Mui).🙏"
"Down, not up unless you're fitter than me","The best way, in my opinion (and I'm old and fat) is to take the bus up and then walk underneath the cable car down to Tung Chung. It's an excellent trail which is pretty challenging going up but pretty easy going down."
nice experience!,You need to take a cable car ride to this and the entire trip is worth a few hours. You can find good deals on Klook.com for the cable car. Visiting the statue is free. There is a monastery nearby where you get Chinese vegetarian food as well
Big Buddha-A peaceful haven,"The Statue of the 112 feet tall Big Buddha, constructed from 202 bronze pieces and 34 metres tall is a must visit when you visit Ngong Ping. It is visited through the year by a large number of tourists. Very peaceful and worth spending some time.  The Buddha statue denotes the harmonious relationship between people and faith, set amidst the lap of nature.  A total of 268 steps lead to Buddha. However, there is also a small road for vehicles etc. so that any one with a physical disability is also able to visit. Beneath the statue are three halls and there is a relic of Buddha inside which can be seen only by visitors who purchase an offering for the Buddha.Worth a visit totally!"
Amazing,"The weather was very hot,  and the sun was so big.  But it is worth when you finish the stair and saw the Buddha. A super sizes Buddha that I have never seen  and the inside area will have air conditioner,  you can take a rest after finishing the stair."
windy,it is very impressive. the Big Buddha statue to me is the icon of Hong Kong. please come here. very recommended
Nice Holidays walking excerise,It’s a good place for a nice morning excerise   up the 277 steps. Especially during weekdays when there are few visitors getting into your viewfinder of your camera. From Tung Chung you can either take the Cable car (Expansive option) where you can enjoy a great view from above or you can go the the bus station and take the Air-con bus No.23
Amazing Buddha! Must See,This is one of the fantastic attractions of Hong Kong. You need to take a cable car ride to this and the entire trip is worth a few hours. You can find good deals on Klook.com for the cable car. Visiting the statue is free. There is a monastery nearby where you get Chinese vegetarian food as well
