title,text
History and nature come together.,"An excellent activity to spend a few hours on. Best to pre purchase tickets online. If driving to this attraction, there is a parking lot at the wedding ""town""- a large collection of wedding shops - about 10 min walk from the main gates. On a holiday afternoon there were no line ups. By China's standards, the venue wasn't crowded at all. The entire park is well preserved and clean. There is some signage in English, enough to give you an idea of what you are looking at. The most efficient way is to walk up the center to the pagoda from the south entrance and come down in the east side through the Great Buddha Hall, Crane Gully, a pot planted garden and a few other pavilions. Alternatively, can walk all the way through to the north gates, and if you drove and need to get back to the car at the south gate, just take a short boat ride on the canal surrounding the Hill. Overall, spent a very pleasant afternoon there without feeling crowded, unlike the experience we had in some of the classical gardens earlier that day."
Peaceful place ,"Great place to visit lovely and quiet ,reasonable priced and plenty places to eat and drink Very clean toilet facilities was also a bonus The history of area is fantastic reading ."
Beautiful grounds and gardens .... Leaning Cloud Rock Pagoda,The tiger hill is 36 meters high and it's other name is Surging Sea Hill. The grounds are quite pretty and meander up to the Leaning Cloud Pagoda built over 1300 years ago. A iconic structure. You cannot go inside the pagoda but great viewing and picture opps.
Suzhou Pagoda in December ,Stayed close to famous Pingjiang Road in Suzhou we took a public bus to pagoda park. Entrance is for season and non season. Even in December’s colder time the park and pagoda was nicely👍 crowded. Slight hiking 🥾 on the top. No so nice view but definitely nice park to stay for some hours. Recommend
Must-see ...,"Personally, this is one of the most iconic sites of Suzhou. There is so much history here, with the signature pagoda. However, there is not much information in English. So, do some research or have a guide or guide book with you to get the most out of the visit."
Different architecture from most pagodas,"(Note that the location as currently shown on this site is off by almost 5 km.  You can find the actual location by looking for Huqiu tower or Hugiu Mountain scenic spot on Google maps). A large park with an interesting leaning tower at the top, and some good views over the northwestern part of Suzhou.   The pagoda is interesting in that not only is it leaning, but it is of stone (unlike the predominantly wooden pagodas of southern China) and the architecture is almost Indian in style.  The walk up is a fair climb, but it is gradual, mostly in the shade, and nicely landscaped on the way up, including a pond and a bridge.  It was not too crowded, either.There is sufficient English-language signage to give some idea of the significance of this site."
Lovely,"If you are fascinated by chinese style, garden and spiritualityn well you have to go there and enjoy your visite."
Suzhou's own leaning tower,This site is well worth visiting - a beautiful walk uphill through a huge Ginko avenue and a fascinating building at the top.
Beautiful tower on top of the hill,"This was a beautiful tower, that you can from many places throughout the city. The hill was a surprising adventure with fun gardens and waterfalls. There was a shuttle available for those that are tired like me. It wound around the hill to the top and the tower."
Beautiful and calm historical place,Definately worth the effort to visit. Parking facilities are good and the entire area is very peaceful and beautiful. Not too overrun yet - and the drive from the center city is not too long either. A must-see if you happen to spend time in Suzhou!
