title,text
Must visit,A place every hindu should visit in india.Very affordable you can get a room here for 100 rs per night and visit temple.Very affordable breakfast.
Come and experience yourselves..,"This is not just a place of pilgrimage.. this is also the place, where one could feel and understand the meaning of patience, bakthi, faith and also the real devotion to the supreme Lord God Himself..Irrespective of the distance from where the people come to this place, we could feel the chanting of "" Govinda"" by all those who are moving in the huge queue for having darshan of Lord Venkateshwara.The maintenance and the facilities given by the temple authorities to the devotees are really excellent.."
One in Universe- Tirumala Main Temple,The place where you refresh you mind and  i better say inner peace. Just chanting Govindha and Sit at a place after Srivari Dharsanam and close your eyes for a min. You will find meaning of life and happiness
HOLY VISIT,"Due to coronovirus, no rush. we can worship within an hour. os usual inside rush is there. there should be separate outgate. since for coming outside the temple also, heavy crowdy and rush. no proper measures taken"
cleanliness and maintenance of temple,"Its is the right example to the whole world for maintenance of religious temple. the queue maintenance is excellent. Every lack of pilgrims are visiting without any inconvenience. We can appriciate the TTD Trust to providing free meals to pilgrims without any confusion. Its a great, great holy place in the world."
Dev Darshan,"It was a nice and awesome place for dev Darshan,ye place ghumne ke liye bohot hi jyada accha hai,hum log online room booking bhe kar sakte hai but uske liye aapko 3months pehle room book karna hoga,and kisi ko waha pe ghumne ke liye travels chahiye hoga to mujhe contact karo,waha pe meri pehchan wala 1 aadmi hai jo aapko saste mai sab places ghuma dega..."
Visit to Tirumala temple,Visiting Lord Venkateswara at Tirumala has become more comfortable with new facilities. Now you can expect the darshan is completed within 2 hours on a normal day in Rs 300 category. Waiting and handling of pilgrims has become much better.
Mr.,I visit Tirumala temple almost every 2 years. Excellent management. Booked darshan ticket online @Rs 300/- per Head. Earlier we had one issue that Shoes have to deposited near entry of temple and exit is different side. So one needs to go back again to collect the Shoes. Now TTD has made arrangements so that shoes can be taken back near exit and this saves time and hassles.
Good ,Good tour very nice and peaceful. Aptdc has the best tour option for all. The rates are the best and cheap.the comfort is better than any other mode.
Nice,It is a very devotional place and visitable place with out hesitation.those who have not visited tirumala. They have lost the opportunity to see such a wonderful place
Srivani Trust VIP darshan,"We had booked Rs 10000 VIP break darshan under srivani trust scheme. Three people visited. Our reporting time was 6.15 AM in the morning. We reached at 5.45 AM. As we had the VIP tickets, the police allowed our car near VQC 1 for drop off. There was a que and about 100 people were there. Our tickets and ID were checked properly. After walking for 5 mins we were made to sit in a compartment. They served us Coffee and Milk. It was very good. AT about 7 AM pongal was served which was tasty. At about 7.25 AM we were allowed for darshan and the line started. Our tickets were checked again. By 8.15 we were near the sanctum. We went inside and had a very close darshan of Lord Venkatesa. We had goose bumps and my mother was very happy and moved. we gradually entered the sanctum in line and we went very close to the god, just 3 feet away. We never had such a experience in life. We appreciate TTD for such an initiation."
