title,text
Must Visit,"Must do, such a great history and was pleased we could see it.  Such a big part of London and a must see."
Unexpected visit,Crossing Tower Bridge we enquired if we could visit as we had not pre-booked.  We were able to and we thoroughly enjoyed our visit.
Lovely walks along the river,During lockdown and the whole of summer i have been going for long walks down the river. starting and fishing with tower bridge. you get a good sense of history and modern architecture along the route
Amazing!,"Really enjoyed our visit here. Pretty cheap to enter on the day (10.20).Amazing history to read/see on the way up-beware as there are lots of stairs to climb (obviously).Views from the top are beautiful. There are points where you can open the windows to take photos.The glass floor is a great addition, as is the mirror on the ceiling to get a selfie shot.Entrance price includes the engine room which unfortunately we didn’t have time to do.Would recommend and visit again to show the kids."
A truly great experience,"A truly great experience for only £10. Now is the time to visit London, all covid safe and no queues. Done the tour of Tower Bridge only 6 people on it, walked the glass floor was lucky enough to be there when the bridge opened and filmed a Tall ship passing underneath the glass floor, watched it close and the cyclists race across, brilliant. Howard was a great tour guide very informative and humorous."
Evening walk,Magnificent sight at night approached from the south bank as looms ever nearer. . Impressive structure that oozes history .
Tower of Interest,"In these Covid times, being a London tourist hasn't been easier. Having it all to ourselves it is a very pleasant experience. You get a fantastic view of the Thames and the glass floor is a brilliant feature.  As you climb one of the towers, there is some fascinating facts about the construction and history of this icon. You also get to visit the pump room too, which is also interesting for architecture buffs.All in all a great London landmark that needs to be visited, it's not just a bridge."
It's a bridge.,Probably nice to look at if you don't see it every day. Traffic always a pain though. If you can time it to see it open to let a ship underneath then I guess it's cheap kicks.
Interesting and a great view,"This self-guided tour offers a real insight into how the tower was made and more importantly the lives of those who created, used and nurtured it, across the ages."
"Walked across this iconic bridge, then the next day went under it","Walked across this iconic bridge, then the next day went under it on a Thames river boat. It is a wonderful piece of Victorian engineering, sadly I never witnessed it opening . Walked across from City of London side to walk along River towards London Bridge, stopped off at 'The Draft House' pub for good food and real ale."
Tower bridge glass floor must be experienced,"Was crossing the bridge when I thought there is a museum on here somewhere which always looked busy, but at present so quiet we took the opportunity and went in. Well worth the visit especially the glass floor and don’t forget to look up for that extra thrill. Great bit of history for London and the restoration of the boilers and and pistons looked amazing. Well worth the time and hold work up the steps, but there is a lift available if needed."
Amazing,One of the very popular places you won’t regret visiting. I just loved it. We went there around Christmas time and there was a Christmas market nearby and it was all just so lovely.
Worth the money ,"We came here this morning 17/09/2020 11.10am, we booked first thing this morning which was extremely easy to do. It was both educational and very factual with videos on different floors and very interesting with going to see how everything worked and is still working today. It was well worth the money at £10.60pp. The staff who are extremely knowledgeable and with it being a lot quieter can talk and answer as many questions you require."
Just a bus ride away ,"We were staying near Victoria and caught a local bus to here, on getting onto the bridge we saw you could go up to the top and as it was quiet you didn't need to book, it was a great workout for the legs getting to the top and once there you could either walk across the glass panel or round it. Was good to maybe pass an hout"
Interesting,Very interesting to see especially when the bridge is raised. It is one of the icons in London's history.
The glass walkway is brilliant. Waving to pedestrians below you quite surreal.,So much more interesting than I thought. Beautiful views across London and looking down to the busy street below is incredible. Great guides especially Lovely Sue! Huge amount of historical info in the engine rooms. Well worth a visit.
Bridge,Nice looking bridge  that's about it. Walk it drive it look at it. It's on the river and it's a bridge
Great fun,This was a fantastic experience to find out some information about one of our capials landmarks and get great views of the city.Friendly staff and the glass walkway was great.An interesting museum too.Would definitely recommend.
Iconic,A stunning landmark with great views to be had of it and its surroundings. Covid measures are in place but there are many idiots who believe the arrows and directions don't apply to them. Please don't be one of those idiots.
Worth Seeing,"Doesn’t take long to include this in your day, so it’s worth a look.Not spectacular but you can tick it off the list. It’s often on tv, so once seen you can say: I’ve been there!"
The Tower Bridge over The Thames,"It is a very interesting place. One can walk along the bridge and get a view of the Thames on both directions and one can go up to the upper level and again get a view of the Thames in both directions. To go up to the upper level there is an entry fee. Here in the upper level one gets to know the history, geography and architectural background of the bridge from the exhibits and a short documentary. One gets a view of the river water from a glass floor. This part is very exciting. ""London- Life around the Thames"". Know more at Papumashi the Nomad."
Well worth a visit,"I have visited London many times and passed under the bridge on a boat, this time I decided to go over the bridge. I took the stairs to the top, which although tiring was worth it. The walk across the glass floor was great, looking down to the road and river below. Continued from the bridge into the Engine room which was also interesting and it was good to see that the old machinery has been well looked after.Read a lot of interesting facts while on the visit"
First Time in London,One of my favourtie experiences in London. The view is amazing. Very informative tour. Sitting on the glass was terrifying and cool at the same time!
Brilliant bridge,Amazing and iconic bridge in London. This is a must see. Even better from the Tower of London or on a river cruise. We did both.
Magnificent landmark ,"Up to now, I’d never walked across Tower Bridge and over the Thames this way, but I made sure it happened on a recent visit to London. This is one of the most iconic attractions in London and has stood since the late nineteenth-century. It is a Grade I listed structure and is used by almost 50,000 people every day. Great photograph opportunities can be had if one walks to City Hall and sees it from this angle."
Very nice,This attraction is a must when visiting London. It's located in a paceful area sorrounded by restaurants and stores. We spent the afternoon walking around and taking photos. Very nice.
Suddenly historical,"By surprise with no plan our double decker passed this route on our 1st day and it made us feel amazed with this historical piece, my daughter sang the London bridge song automatically :)Got a great chance to observed beauty of it from Thames river cruise.We later spent Christmas day by walking back & forth here and around, which has made us deeper connection to it furthermore."
Iconic Location,Tower Bridge is one of the Londons iconic landmark. Beautiful old bridge that opens up on regular basis. Bridge can get busy with traffic and tourist. Its free to walk on bridge and enjoy the view of surrounding.Highly recommended
Lovely little visit ,"We visited as a family on Monday only because the Tower of London was shut. It doesn’t take long to go around but used up a morning, very well organized and interesting. Clean toilets and a nice gift shop at the end."
Nice place to visit.,We were staying nearby and went for a walk. As we walked past the entrance to the experience we thought it'd be nice to go up and walk across the glass floor. We only had to wait five minutes as it was not very busy. You start going straight up the first tower to the glass floor. This was really good seeing the traffic go past underneath you. After spending some time walking across the top of the bridge we went to the engine rooms (included in the ticket) which were really interesting. Worth a visit if you're in the area.
A balanced mix of bridge and tower,"Is it a tower? Is it a bridge? No, it's tower bridge!Spanning the Thames at a suitable place to build a bridge Tower Bridge looks magnificent. Considered one of London's most recognisable structures and the world's most famous bridge it is unlikely for you to be disappointed when you visit. The bridge is well maintained, fun to walk across and should you be lucky enough, see if open.Expect to spend about 30 minutes here walking across it and taking photos. Consider going on the experience tour if you have time too - the view from the walkway is crazy good."
What a bridge!!,Loved walking over it with the family. Just a mesmerising sight in London and a must to do. Next time may do the tour
"Although it was a while back our visit, nothing has changed.",Still one of the most iconic structures in London. It was an interesting visit about the placecand still makes me laugh about the Yanks buying the wrong bridge.
Just Beautiful,"Truly magic, walking among the river with my girlfriend and admiring the beauty of this city during the night will be one of the memories I will take with me back home"
Einer meiner Lieblingsorte in London.,One of my favourite spots in London. The iconic towers of the bridge although it rarely gets open.Fantastic views both sides of the river.You can go up to one of the towers but there's really no need.Spectacular sunset and sunrise for photography.
Short & sweet ,"We had a lovely visit to Tower bridge. Lots of information on how it was built etc Great views through the glass floor. Interesting to look around the engine room. Not much else to it, took about 40 mins and kept the kids entertained. Reasonably priced and worth a visit"
Always a good experince,"Always a lovely experience to take friends from abroad too. It's nice to cross the bridge, we didn't see any ships this time to see it open but once you cross over going to visit the tower of London. Is awsome"
Mrs Davies & her bridges,"Tower BridgeOne of the must see things when you go to London, everything about it is spectacular, it's appearance, the engineering, the history behind it.The elevated walkways are a accessed via a stairway, there are 206 steps up so be warned and due to current covid regulations you must wear a mask at all times whilst indoors.... there is a lift available for those that can't manage the steps.Once you're on the walkway and taken in the view along the Thames you come to the glass floor where you can look down to the road deck and the Thames flowing beneath your feet, bit of a leap of faith stepping on to it if you have no head for heights but well worth it... hers's a tip, if you're with someone who is a little nervous of stepping on it and you finally persuade them to, don't give them a little nudge. I thought Mrs Davies was going to murder me much to the amusement of others in the area, so just don't (Sorry Mrs Davies)"
Amazing,Great visit and reflects the spirit of Love and satisfaction.London is an amazing city and it should be visited many times
Worth the climb,"Steeped in history, this a good way to spend a couple of hours. How they built it was a marvel and full of interesting facts. The stairs are a killer but there is a lift if you need it"
Brilliant Experiance,What an experience - this is very much a left to your own device tour but its great especially if you have kids. Its a long walk up the steps but the views at the top are amazing and the glass floor....endless fun....make sure you go on to the engine room and the gift shop was possibly the best we visited in London!! - Go!
Great tour,"Would absolutely recommend visiting here if your doing the touristy bits of London. Great experience, staff are super knowledgeable and friendly.Lovely views and very interesting.Glass floor is amazing and it's cool to see the bridge being raised."
Love this bridge! ,We always stay in this area as we like the walk across the bridge and along Southbank. Never fails to impress and even better if you're there when the bridge lifts to let tall ships through. Definitely worth a visit.
Different,It's a different landmark and can see the whole of the river thames. Definitely worth a visit if you're visiting London
Impressive piece of Architecture,"This bridge crosses the River Thames and this impressive piece of architecture i have seen in London. Recommended use ferry and cable car which is great experience,Down the road their are some nice restaurant to enjoy various cuisine."
Wouldnt recommend,The worst thing I ve been on in London. Costs approximately 10 GBP. It doeant woth it. You go up through the stairs and walk on the bridge  with glass floor and thats great but thats mainly it whats great.
Awesome View,I recommend to use ferry its great experience and loved this great monument. Gazing this Beautiful piece of Engineering  from Riverside.
Tower Bridge is one of the spots that you can't miss.,"The Bridge crosses the River Thames close to the Tower of London. This impressive piece of architecture is one of London and the worlds real treasures. I highly recommend walking across and enjoying the views over the Thames. It is worth it.  If you're lucky, you'll get to see the Bridge open, which is truly a majestic show. You are also."
Tower Bridge,Classic London icon. It’s a bit quieter at the moment but will worth a visit and a selfie (everyone else does!)
I fell over,"Firstly, it’s a beautiful bridge. I stopped to take a photo and promptly fell over my bag, the bridge was packed with cars, buses and people and there I was. You know that feeling when you are so embarrassed by what’s just happened. So red faced I walked the rest of the bridge, it seemed 10 miles long. Otherwise, it’s just so damn beautiful to look at."
Tour,"We had the tour here, which included walking across the top, over the glass floor and down into the engine rooms. Every step you walk there is information on how / when etc the bridge was built and how it works. Very clean and well kept. The staff were all friendly, as covid is here at the moment, all the staff were following the guidlines. For £10 pp ( different rates for different users) what a wealth of information you get about one of Londons fabulous buildings- highly recommend!"
lovely view,we went on the BUG BUS TOUR which went round london and also over tower bridge which was a fabulous experience
Lovely,Drove across and saw it from the top of the shard and it looks beautiful from all angles. HMS Belfast is also an added bonus because you can see it clearly from the bridge.
Inspirational,"Saw this bridge in a music video that inspired me to come to London. I was not disappointed! It was a short 15 minute walk from our hotel at the Doubletree by Hilton. You enter the bridge underneath through stairs, free of charge. Bridge is not long, prolly about a 20 min walk. Very windy so grab a coat, and its very busy with cars and tourist. At times the bridge will open up for ships to pass, there are gates and guards that patrol the bridge when that happens, very safe. On the corners of the bridge are people with stands selling caramelized peanuts for 2 pounds. They were hot & delicious. We walked the bridge everyday, my favorite times were in the early morning and at night on our way back from touring.There is a walkway near the bridge along the river, where you can take some amazing shots in the daytime with the bridge in the background. No people hassling you for anything here unlike the other tourist spots. This was definitely one of my highlights visiting London."
Great friendly staff!,"We were very lucky and managed to get tickets on the day for a family of 8.... not a bad price either.  The stairs are a killer but the view is stunning. For us though, we were impressed with the friendliness and helpfulness of all the staff... willing to chat to us and talk us through things.We were fortunately the only ones on the glass floor so we had plenty of time to take photos and the young member of staff on that floor was brilliant with us... encouraging those who were scared and advising us of the best poses... great fun... Thank you!!"
Iconic Landmark,"Great little visit of one of London's most iconic buildings. Staff very friendly and it was so interesting to see the Victorian engineering and how it was built and operated. There are lots of steps but also lifts. You don't need much time - about an hour to see everything. The glass floor walk on the upper level takes some courage, even for those not afraid to step off the edge of the world!"
Nice bridge ,I do like this kind of architecture! I really like go there when is night when the lights are turn on is magical!
Iconic ,"Such an iconic place full of history highly recommend seeing whilst in london, great architecture!!!"
Brilliant!,Due to Covid 19 it was really quiet and we were one of only 4 families looking around. The staff were so friendly and told us so many extra facts about the bridge which they were so knowledgable about. It was fascinating. The kids absolutely loved lying on the glass walkway and waving to the tourist buses below!
Beautiful place,"Beautiful place, I recommend going there. A must see during your visit to london.  There are red buses on the bridge"
Great if you like heights ,"You have to book on line and book time slot.Due to covid 19.There are loads of stops to hand sanitizer.Be prepared there are a lot of stairs to climb.However you can take a lift.Loads of history to learn which is fascinating.The view from the top ,glass floor is great for some .A must do visit to London ."
Night time,Very nice for walk...Special at night time...has amazing river view and you can see all the big buildings from Liverpool street
A Sunday at the Tower,I hadnt been here since i was 12. A friend said now was the time...as with no visitors its a great time to see everything.  This is partially true...only there are only a limited number of things you can see...a lot of the exhibitions are closed. Considering it still costs £25 each to enter i found this hard to swallow. Tje building and grounds are still magnificent.  But you can only visit the white tower and the crown jewels. The crown jewels are worth it..without the crowd you can go round and round the cabinets and get an amazingly good view.  The White Tower is also interesting.  But sadly yourein and out in about an hour. So....wonderful place.. but presently overpriced
"Iconic, must walk through it","This is one of the most famous landmarks in the world. If you are in London, you gotta at least walk through Tower Bridge once."
Brilliant,"Walking thorugh Tower Bridge is a great experience, ableto see the inner workings of the bridge is good. A must see for anyone visiting London"
Exciting  historical  place ,Good trip on. A tower of big history  from years  ago to the present day  from a prison if I am right to a tourist attraction
"Spectacular, cultural and informative ",Due to the current situation we had this wonderful piece of engineering history to ourselves. The staff are very well informed and take the time to tell you about the bridge and it’s history. We felt extremely safe and you are missing a treat if you don’t go now.
Worth it,Obviously this is incredibly iconic which makes it worth checking out aside from any other Merit. It is a beautiful structure. Entering it and going across the structure at the top is worth it. The see-through glass floors are pretty cool and the view at Sunset over the river is unbeatable.
A must see part of your London experience,"As a south Londoner, it has taken me near on 50 years,after coming back to UK to visit this iconic landmark. We felt it was a bit touristy, but the overall experience was absolutely brilliant.  Looking at how the bridge was built and  understanding the rigors of the construction was enlightening. Then to be able to walk over the top section, which is now a glass floor was somewhat creepy, but very invigorating.Even the engine room display at the South end was interesting.Can't recommend this event more highly"
A classic icon of London,"One of the most beautiful bridges of London, and definitely the most iconic. A must see of the city, and specially if you are there for a very short time."
A must do!,Was fantastic to walk over the top of tower bridge we’re there is a glass path to walk over to look down upon the rest of the bridge and river. A must do !!!
London BRIDGE🚇,The whole point of this bridge is that it is suspension bridge which actually opens up apart when the big ships are supposed to cross the adjoining river THAMES.And as a teenager it is really very mesmerizing to see such monument.Also tried the glass walkways.. its free for pedestrians who wish to cross the bridge.Also went for boating in river THAMES after visiting this bridge in person. This wholesome  experience was good .You need around 30/45 mins to visit this attraction.
Tower Bridge,"The Tower Bridge is iconic and a must see, very impressive to see up close.  We enjoyed the tour, walking around the grounds and seeing the Crown Jewels."
Easily London's most ostentatious bridge,"Built during an age when Britain was at the height of its domination of world trade, the Tower Bridge looks like no other.  Designed to impress then, it still continues to do so as an iconic andmark that spans the River Thames.  Plenty of good views of river life and the London skyline, one gets a different perspective of its size and design features by walking or driving across it.  And it's also possible to visit the north and south towers (linked by a glass floor-containing walkway.  But I feel the bridge looks at its best when viewed from afar."
a classic in plain view,"Don't listen to all the ""off the beaten path"" gurus! This is a classic for a reason and will always remain to be a British icon! Worth a visit for sure!"
Take a walk across,A highlight to a visit to London. The bridge is great to take photos on - there are also great views of the Thames and HMS Belfast from the bridge. Also take photos of the bridge from the riverside.
Big monument.,"I loved it, it seems spectacular to me. I have always seen it on TV or in photos and when I have seen it live I have not been disappointed. Crossing it and taking photos made me excited. We were also lucky that it was sunny. What more could you want? A must visit if you are in London."
Nice Bridge,"We was walking along this beautiful riverBridge ,we enjoyed it. The Tower Bridge its amazing and unic in that area of the city.it is worth to see it..."
A good monument to visit,A nice trip to this place. Was close to Tower of London and the HMS Belfast warship; we covered all three together after lunch. We had the London pass and hence did not have to wait in a long queue. The overall experience was good with nice afternoon sunshine. It was not very crowded inside the bridge and hence lot of time to click pictures. The demo of how the bridge works covered in a separate place was informative.
TOWER BRIDGE & THE MONUMENT,Pay the extra and visit both.  The glass floor on the corridor between the two towers will make your stomach feel queasy when looking down.  Marvel at the engineering and the history of Tower Bridge.  There is so much to see and do in this small area of London
Beautiful by night,We walked across the bridge by night on our way to see the Shard - (which was closed). The experience was beautiful.
London's iconic bridge,"Built between 1886 and 1894, Tower Bridge is London's iconic and most architectural bridge, a highlight of any walk along the river and impressive when you walk or drive over. It is both a suspension bridge and a bascule bridge, i.e. it opens to allow ships and tall vessels through - there is a website that tells you the times, and this is fun to watch.I was walking along the river on a Sunday morning which was eerily quiet, apart from the odd runner, so had the opportunity to enjoy the bridge from both the London Bridge side and from Rotherhithe.  The tide was out - the Thames is tidal at this point and the mudlarkers were out looking for items of interest in the mud."
Day out,Got a discount on. The door because I live here in London. Worth a visit. Like the glass floor. Some great views
Landscape is amazing,"Along with Parliament and Big Ben, Tower Bridge is London's next must-see architectural marvel, not to mention the most famous bridge that crosses the Thames"
Beautiful landscape,Even though is quite crowded the landscape that you can see is quite amazing and the design of the bridge is quite unique
Trip back in time,"Breathtaking view, every time I visit I take away a new experience.  As for the workings of the bridge and the history behind it, that's a story for another day.  The whole experience takes you back in time. A visit is highly recommended"
stunning!,irs a must visit if u go to London! Amazing views and pics! You can visit by foot or even cross ir by car or bike
