title,text
Need to improve using new technologies.,"There is no doubt, it is an incredible attraction for tourist in London, for that reason I felt that more can be done about explaining how people used to live back on that time ... using more videos and new technologies to replicate it. The Crown Jewels is breathtaking, incredible collection."
v good,"This review may contain spoilers for the tower so please read with caution. I do not know where to begin with this review. The tower is amazing and there is lots to see. I was surprised by how small the torture place was, although this would of been a good thing for the people that were tortured maybe. There is a big variety of different windows, and there are also lots of squirrels and ravens which is nice. There is also a room full of pretend horses which was a bit scary but it was okay. Considering we went on a Saturday afternoon, the place was not busy and it was easy to roam around and look at everything at a pace we wanted. It is a really fun day out and there is loads of interesting things to look at too!!"
Tower of London - overpriced ,"Overall there wasn’t much exciting to see except from the Crown Jewels whereby there was a massive queue just to see them for a space of 5 minutes. Extremely expensive and overpriced. I only spent half an hour if that there, and would say it is more suited to the older generation."
Brilliant ,"With no queues, we were able to wonder around without impediment. We got to see the Crown Jewels without being rushed, and took time to marvel at places so steeped in history. I wish the Yeoman Tours was on, but in the current climate, it is understandable why they are cancelled - this said, they are around ti answer questions."
worth visiting ,"quite a lot  open and no queues for anyting so we were able   to relax and take pour time.      a must it visiting London,  Nice day ..beautiful"
Great visit,Great visit to the Tower. Very friendly beefeaters and the Crown jewels were stunning. Shame some places were not open but still a great day.
September 2020,"Very quiet,we went at 12noon, no queues to get in or to see the Crown Jewels.Great time to visitRavens were on form"
Nice day out,Lovely day out. Went during COVID so no queues. Quite expensive but worthwhile. Loved the Crown Jewels too.
History,Really enjoyable visit..lots to see...stepped in history..approachable staff...have been before..always see something new
Trip with the kids,"Brilliant, went for 11am on a Sunday, quiet to begin with, would recommend seeing the Crown Jewels first, there was no queue when we arrived but had to wait 10/15 mins to enter later on.  Could still see the Jewels without anyone in the way which was great.  There was a lot we didn't get to see so will go back.  Kids really enjoyed it, especially the scavenging Raven!"
Definitely worth visiting.,"We were lucky to book this visit during the pandemic which meant the queues were minimal and we nearly had the place to ourselves. The Beefeaters were engaging, the battlements offered great views but I have to say the Crown Jewels topped off the whole visit. So much history to take onboard and I certainly learned so much. I cannot recommend this visit enough and look forward to the next time when I take my children."
"Very quiet for a summer’s day, but not as quiet as I had been led to believe","Having seen several reviews, and some advertising, saying how quiet the Tower of London was we decided to give it a try.The highlight of this visit of St Thomas’s Tower with the reconstruction of Edward I's bed-chamber – a wonderful room with fantastic views; just now sure how we missed this on our last visit!This was our second visit this year (meaning our “Historic Royal Palaces” family pass has already saved us money) – the last was in January and I can definitely say the Tower of London was busy than in January.  In January there were no queues to see the crown jewels, in August there was a long queue. The advantage of the HRP pass is that you don’t feel you have to see everything in one go (hence missing St Thomas’s tower on the previous visit) which then makes the whole visit a lot more relaxing.During lockdown there are no warden tours, so the Beefeaters were a lot more visible and easier to ask questions of.  In addition, the area next to the Thames was cordoned off and only accessible to those visiting the tower (a huge plus as this area is often packed with sightseers).  Outdoor catering and toilets are available. Not all of the Tower of London has re-opened, but still well worth a visit."
Perfect day out whilst not full of tourists.,We took advantage of the quiet tourist free London to book the Tower of London.  It was amazing to stroll around without the crowds and take our time to see everything the Tower has to offer.  The staff and guards were so nice and had all the time in the world to explain parts of history to us.  Highly recommend you book a visit whilst London is so quiet.
Great few hours exploring,"I was first in the queue as the Tower opened at 10am. There is a ceremony you can see if you are at the front of the queue. Well worth exploring all the areas, although it is worth noting some areas are closed due to COVID."
Great experience,We had a lovely time visiting the Tower of London. It was very well run with all COVID measures adhered to.
Really disappointing ,While we were expecting changes due to covid - one way systems and extra queing time we were not prepared for most of the attractions to be shut. The buildings inside were crammed with no social distancing and no staff presence to enforce sense and order and the route forces you to walk your children through two gift shops which adds insult to injury when already paying full price for half an experience.If you want to visit I would wait until things are back to normal
Quiet day at the tower,"Visited during the pandemic and it was very quiet, very few people there. This made for a great day out, as we could take our time and really appreciate the beautiful historic buildings. Everywhere was very clean, some exhibits were off limits due to the potential of contamination, but this did not spoil our visit."
Great experience,"Absolutely loved this tour! It felt like I was back in time due to the village like atmosphere. We didnt have a tour guide, but everything was signposted very well and this allowed us to take our time in each section. Any guide we did encounter, was immensely nice, very friendly people always willing to help. It was a wonderful experience!"
Great few hours ,"I don't typically give reviews to attractions but this was excellent so I thought I would. All precautions for Covid-19 were well managed, first and foremost. Not been before so have no comparison but it was very quiet. Lots of space to read, watch, look and soak it all up. Who knew there was wild, exotic animals there? Fascinating. It was a shame one area was closed but in the grand scheme of things this was a really enjoyable few hours. Highly recommend."
Crown Jewels,"I recently went to The Tower of London and had a wonderful day. The highlight was seeing the Crown Jewels which were absolutely stunning. It was very well organised and we all felt very safe. Obviously because of all the precautions being taken there weren’t many people about which made the experience really good as there was no queuing . We spent a while talking to one of the beefeaters ,whose name was Paul, and he was very interesting and such a nice man."
Brillant,"Fantastic day out, plenty of space no crowds. Time to visit without tourist no queues, no rushing. Crown Jewels brilliant. The tower need us to visit so book tickets and enjoy."
Support the Tower,"As London is very quiet at the moment, it's the best time to be a local tourist and visit these gems that are usually packed full of tourists. Always wanted to visit and glad we did because we had the place pretty much all to ourselves. You can walk around and the very friendly staff and Beefeaters will welcome you and talk about the history. The Crown jewels are a must see and especially now because you can really enjoy them in peace. Even in these Covid times, you still get to see 95% percent of the Tower and exhibitions. Just remember to wear a face mask and they provide hand gel throughout the visit. These landmarks need your support because they have suffered of having zero tourism."
Spend some time,"This was such a pleasant surprise. We have been to London many times but didnt go to the Tower until now. The tour is so worth it , the Beefeaters are funny and informative, so much history and so much to see. After the tour you can walk around and enjoy all the places. We had gone precovid though as context, but really enjoyed the plays put on through out the grounds recreating events from history. Loved it would recommend"
Brilliant,Brilliant! We all thoroughly enjoyed it. The stories you hear on the way round are made for teenage boys! Crown Jewels are spectacular. Can’t recommend enough.
Mr & Mrs Abedalkarim ,"We visited the Tower on Sunday and we are very disappointed that we were not informed about the facilities that would be closed off ,  it seems most of the jewels were locked away. We understand about the COVID situation but the cost was inappropriate with lack of advanced closures."
Birthday visit to Lindon,Not been in the Tower for very many years..it seems to have changed..thought there was a lot more to see ..even with covid wd should have been made aware when purchasing tickets that a lot of the Tower would be cordened off to the public..bit disappointed as it wasnt really how I remembered it.
Worth a Historical Visit,Crown Jewels are just awesome. You have to admire the craftsmanship of these beautiful pieces of our history.  We could not guess the value! Lovely to see the Yeomans and Guards in their uniforms.  The Yeomans are so informative and such gents! Walk around the battlements for goods views of London. Traitors Gate is no longer is surrounded by water but stand there and think about the poor souls entering their fate.
Perhaps expensive but so worth it!,"It’s such a long time since I visited the Tower of London and at £67.50 for the two adults and a child you couldn’t call it cheap. However, it was SO worth it and I’d recommend it as a day out that is great value for money. Shame the Coronavirus has reduced numbers so much and also makes the cafe and refectory not worth opening, but it’s a small point."
For history lovers,"Well preserved monument, with reach history. Early visit recommended to avoid large groups. A tour guide was very helpful."
"Informative visit, not crowded","I took my 13-year old nephew to explore this icon of British history. DeUe to the recent lockdown, there were only a few people visiting which made the trip somewhat special as we didn‘t have to put up with thousands of tourists.Very pleasant and relaxed tour. I didn‘t like the conveyer belt one has to use when seeing the crown jewels."
The Crown Jewels! ,"Loved this place, satisfied a life long ambition to see the Crown Jewels which did not disappoint. So much more to offer to! Thoroughly enjoyed it all."
Such a fantastic day out,"We thoroughly enjoyed an excellent day out at the Tower of London. It has been over 30 years since we last visited, but Covid-19 has actually created a brilliant time to see this magnificent fortress ... without all of the crowds.Although the Covid-19 restrictions has stopped the very entertaining guide walks and talks by the Yeomen Warders, they were still around and very keen to talk to the public. So much so, that we had lots of interesting and funny chats with every Warder we met.All of the staff inside the buildings were very keen to provide information and I had a fascinating chat with the lady who was on hand near the Imperial State Crown. I learned a lot from her about the jewels in the crown and how they were obtained.The Covid-19 arrangements in place are excellent, with masks only worn inside buildings. Plenty of hand sanitizer stations around the area, inside and out.A most excellent day out and I thoroughly recommend the Tower as a great visit, even during the Covid-19 restrictions."
One of the best experiences I have ever had!,"Wow! This is a fantastic trip. Firstly, to be there without the usual crowds was brilliant as you could really take your time and get a good look at everything. There is so much to see with so many twists and turns.An absolute highlight... in fact one of greatest moments I have ever experienced was visiting the Crown Jewels. Simply stunning and displayed so fantastically so you can really soak it up from all angles and see every detail. A wonderful lady (I wish I had her name to quote) took time to personally explain each item and tell us all about its history and the different gems that were in them, who they were designed for etc. She was fabulous and really went the extra mile! Overall one of the best attractions I have visited in London! I LOVED it and will never forget my experience."
"Historic gaol, fortress and Palace.","Always wanted to visit, I did the trip and did so now as without the crowds especially the large tour groups, you could take your time and we enjoyed the extra space and time.we had.The crown Jewels, The Armoury and the Architecture were all just really awesome, as were the knowledgeable Beefeaters who were very welcoming. If you get the tube to Tower Hill make sure you take in the Roman wall as you walk to the Tower. The Romans chose the spot due to its unique dominant location, as did the Towers builders.."
London is the most beautiful city in the world we travel for a business and we have so much experience we can’t,London is the most beautiful city in the world we travel for a business and we have so much experience we can’t wait to come back
Mdg has terribl,"Mdg has terrible service, they wasted my time for several days and then they canceled my order after the funds for the down payment cleared successfully from my account because...  of a mistake they made. The account we originally had on file couldn't make ACH Transactions so we changed it to one that could and I was told everything was successful and I'd be receiving my order within 2 weeks. Not only did they cancel my order but they never reached out to me. I would highly recommend avoid doing business with mdg.read more"
Birthday day out at the tower ,"So due to covid 19 our plans for my daughters 30th has to be curtailed and after some thought we decided a day at the tower followed by afternoon tea would be lovely. The Tower is immaculate, the Crown Jewels simply breathtaking and the queues non existent due to the current situation! The Beefeaters were helpful and really friendly ! Superb day out made even better by the lackOfPeople"
No crowds,We booked our tickets online and spent 3 hours looking round the tower. For us our trip was all the better for the lack of crowds and we enjoyed the extra space and time we had. It’s a great time to go and support this attraction.
Very nice and educational,Good value for money as we spent 4 hours learning British history from one of the cradles. Very interesting and nice.
Ask for Luis!,"A wonderful experience, in particular the tour of the Crown Jewels by Luis who was generous with his time and gave brilliant insight and history to each of the crowns and their diamonds. Thank you for making our day special."
Tower during cobid,"Some parts of the tower were closed, yoemans tours weren’t taking place but had the Crown Jewels entirely to ourselves."
Brilliant,Brilliant time had by ourselves and 5 yr old grandsonLoved visiting and seeing everything without too many people gave us a chance to really look at the Crown JewelsEveryone was very helpful and informative from Beefeaters to gift shop staff etcSocial distancing and signs fo entrance and exit were clear Thank you for a wonderful time Definitely recommend and will return
Tower,I think the tickets are a bit pricey but it's worth a visit and the staff are all very informative and friendly
Goosebumps on 1000 years of history ,"We visited during coronavirus, taking all necessary precautions. It is effectively empty. If you ever thought to visit but were put off by crowds of tourists and school trips, now is the time to visit.And what an amazing experience the Tower gives you... goosebumps.They are providing an excellent experience, with little to no, noticeable restrictions. Go now!"
Beautiful place to visit,"Well I accidentally went a day sooner than my actual tour so I just walked around, but the place is amazing and I definitely recommend seeing this place!"
Locked-down at the Tower,"Staff were as helpful as ever, but the limits of social distancing meant that some of the attractions were ""off limits"". Atmosphere with so few people around was so different from previous visits - calm and enjoyable."
One of the best days out,"My son has been learning about Henry VIII so we brought him here. The Beefeaters are always so friendly and eager to chat, but it was great visiting soon after it has reopened as there were no crowds. Although a couple of parts were still closed, there was still plenty to see and we didn’t feel we had missed out."
Great day! ,We had amazing day visiting Tower of London. The armoury exhibition was incredible  and the crown jewellery just breathtaking.
  A Magnificent Setting,"Situated just behind the Thames river,  the tower  commands impresive views of Tower Bridge, and the more modern skyscrapers.  A mere ten minute walk from Tower Hill tube station, you just follow the signs around & down the side, to the entrance.  You enter across the moat, and work your way up to Traitors Gate.  You can stop off to get a free map / a reasonably priced guide book.  Both the entrance ticket and guide book, need to be booked in advance; for social diatancing numbers.  The smaller areas of the palace are cordoned off, but there is still a lot to see.  The medieval expense of the bedchamber and chapel of St Peter ad Vincula, show the different fabrics used by royalty.  This contrasts sharply with the small plain chapel, and leads sharply on to the executions area.     Most people (inculding myself), go onto the White Tower next; built by William the Conquer.   Here you see the brutality of the middle ages, with a marvellous armoury collection.  Later leading to mixed weapons, such as the mace gun; and then jewelled weapons (both donated and confiscated).  This leads to the Crown Jewels, with its own escalator to take you past the main collection. The slowest escalator in London!  Other interesting bits to see are the Grenadier Guards, with their bearskin hats.  The guards drill on the sound of the chimes, with another guard down the far end.  Be sure to keep your hands to yourself, as the one Grenadier shouted out 'off the trees.'  They used to keep animals under ground in cages, as well as people in the dungeons.    None of the water fountains are on, due to the pandemic;  but there is a icecream seller as you come out the Crown Jewels building.  There's also a cafè, and three gift shops, as well as giant ravens in and out of their cage.  It'll take over an hour and a half, to two hours to get around; with many winding steps.  It's great to see, and I would do it again.  If you want to go to other palaces, you can upgrade your ticket, to an annual membership.  This'll give you access to six palaces (not all in London), for a year.  You can do this upto two weeks after you buy a regular ticket."
Fantastic History Lesson,"The Tower has been in my family history since the early 1400s, my grandfathers were constables at the tower, one grandfather was beheaded there in 1547 and my 2nd cousins Anne Boleyn and Catherine Howard also met the same fate. The chance to visit doesn't present itself often due to commitments, however, yesterday was such a day. I'd been chatting with the governor and the curator recently and I seized the moment of opportunity to visit.We parked the car in the Tower Hill Coach and Car-Park just a few minutes walk to the Tower, there were no queues as one might usually expect, as due to COVID-19  you have to pre-book with a time-slot. Well, we arrived 15 minutes early and were let straight in. There was a small bag search on the way in but everyone was socially distanced.Once inside there were no Yeoman warders giving guided tours of course, which is fully understandable, but due to a lack of visitors there was also no ""crush"" to see elements of the tower and we could, at leisure make our way around the tower soaking up the history. At certain points, there were Yeoman warders who were more than happy to chat about history and we learnt quite a few new things yesterday. A special mention to Yeoman Warder Briggs and Yeoman Sergeant Fuller who were very helpful indeed. The crown jewels are usually heaving, queued for ages, but we were able to just walk on in, and linger to view at our leisure, even go up and down the travelator a few times.Accessibility wise, I took my mobility scooter and it was a nightmare on the cobbled streets, a real bone-shaker, but doable. The Disabled toilets behind the jewel house were spotless and worthy of a 5* alone. We couldn't go in the white tower due to mobility issues, but it didn't make for any less an enjoyable visit.If you want to visit.... now is the time to do so"
A must in london,"If you have time for one thing on London, this should be it. You will be overwhelmed by the history and the whole tower experience. I cannot sell this enough."
Day at the Tower of London,Had a great time today 6/9/20 no queuing no big crowds had more time to take things in and everyone doing their part with social distancing
Visit with our grandchildren,We came here today and I hadn’t been in about 25 years. My husband and I loved it but my grandchildren thought it was awesome. My granddaughter thought the Crown Jewels were her favourite as did my husband. My grandson like the artillery exhibition which had the armour and the horses. I loved the torture unit. This had some sinister items that were genuinely used as punishment from some time ago. This is probably one of the best days I have had in such a long time.
A good day out,"We visited on a Sunday morning, it was fascinating! The Crown Jewels were amazing to see and we also had a chat with one of the ravens. The guards were very helpful and knowledgeable, talking to them was very interesting."
Definitely worth visiting,Great day out at the Tower. Quite a lot open and no queues for anything so we were able to relax and take our time. The exhibitions in the buildings were good and the Yeoman Warders and other staff were happy to answer any questions. The Crown Jewels are really spectacular and we had them almost to ourselves. Social distancing etc well managed without feeling intrusive. Definitely recommended to visit.
