title,text
Through History Of The Motor Giant ,"We took a walk up to the Museum on a rainy day, it was a memorable experience on the two plus kilometres journey which was through some less commercialized area. The museum housed inside few historic buildings gave visitors rich and impressive information how the Toyota giant began as a weaving machines maker to become motor giants.  More so there is no anything bullish show off during the journey.   A lot of classy Japanese vintage cars couldn't find anywhere.  Almost a must see in a Nagoya leisure trip."
"More than just the ""Cars"" that are the ""Stars""!","Arriving in Nagoya mid-morning by train from Matsumoto, I thought I would abandon my luggage in a locker at Nagoya Station and head to the Toyota Museum before checking-in to my hotel for a 2-night stay.  A short hop (1-stop)  on a local Meitetsu train to the nearby Sako Station and a few minutes walk down the street brings you to the main entrance.  Just entering the attraction, it immediately earned 5-stars for me when I discovered that the normal Y500 entrance fee is waived for Seniors (over 65's) like myself.  Audio guides are available if required for Y200, but for me the informative leaflet in English was sufficient to find my way around.I was blissfully unaware of the Textile Machinery Pavilion and Toyota's history of spinning and weaving prior to visiting and found this part of the exhibit surprisingly interesting.  Like most people, I had been drawn to the Museum by the ""Cars"" and the Automotive Pavilion contained a reasonable cross-section of models across the decades since Toyota's first passenger car (Model AA) was produced in 1936.As well as the cars, I particularly enjoyed the Production Line Reconstructions associated with the Model AA and the exhibit  where robotic arms assemble a modern car chassis (.... press the button, stand back and video the balletic performance!).Before you leave, make sure you take in a performance of a Toyota robot playing the violin in the South Lobby (see leaflet for times).  It's not only the ""Cars"" that are the ""Stars""!"
Toyota Fans - Must Do!,"Museum first begins with the interior of the vehicles, textiles, steam engines, and metal work. My husband was a little disappointed as he wanted to see Toyota vehicles. Once we got to the Automobile Pavilion, he was in heaven. We've been big fans of Toyota and own a Toyota. To see the first type of Toyota to the most recent was exciting. We spent over an hour and half at the museum. Entry fee was 500 Yen per Adult."
Toyota,Very nice visit recommended for all ages.Good information in English.Some interactive attractions.
Spent all day - super interesting!,"Half of the museum is about the original Toyoda Company that made industry-changing textile machines, and the other half is about the Toyota Company. The textile section tells the story of the textile industry going back to pre-historic times. On display are every textile machine through history until now, with demonstrations. I knew some about this topic, but this section blew me away. The car section does the same for the Toyota car company.We went to Nagoya just to go to this museum and to the SCMaglev museum, but really underestimated the time it would take to see both, and never made it to the SCMaglev.  For someone on the geeky side, like me, this museum is a whole day event. They also have a nice cafeteria, where we had lunch. I didn't see much else of Nagoya, but I liked the vibe and I'm already planning to go back for a longer stay on my next trip to Japan."
Surprised by how good it is,"One of my travelling companions wanted to visit this museum as her first car was a Toyota.  As the Toyota museum is part of the sight seeing bus we made it our last stop before heading to the hotel. We arrived before 3pm but was surprised by how much there was to see and learn.  There is the Weaving/Loom Pavilion which tells you about the original founder of Toyota Loom, Sakichi Toyoda.  There were really good videos (in English) detailing Sakichi-san's passion and the original of the looming machines that are still in use today.   This section was large.  It took us more than 1 hour to finish this hall.  We then moved onto Toyota Automobile which tells of Sakichi-san's son, Kiichiro Toyoda's passion and how he started researching and building cars in Japan.  We ran out of time, but I estimate we could have stayed for another hour in this area. Next is the future of inventions.  There is a TechnoLand for children.  We didn't have time to go in.  But through the hall we saw that it was very interesting for primary and junior high school students. If you show them your One day Bus Sightseeing pass, you get a discount on the entry fee.  We regret not having enough time to fully enjoy this museum.  We will definitely come back next time."
Surprising and informative,"Whole family eniyed this museum which provided lots of information, courteous staff and hands on exhibits.Interesting to learn how Toyota started in the textile industry and its developments there before moving on to the automotive industry.Great working exhibits for both industries which were well laid out in a spacious setting.Probably not one that immediately springs to mind when planning an itinerary but certainly worth considering."
Not just cars  ,"Easy access - walkable from Nagoya station or from Kamijima station (yellow line) There are student rates. Suggest to follow the English tour and guide for various machines. Made it much better. Large museum, informative and eye opening."
Toyota surprise,"Nice museum in Nagoya. about 20 min walk from the station. The museum are in two section, one obvious about the car manufactoring and one more, for me, more surprising section about cotton fabric manufacturing.  I din´t know about this at all. The exhibition was very instructive and showing a lot of machines and different technics about weaving. All very interesting. The car manufactoring part is more what you can expect from a car museum."
Very Impressed,"Loved touring the plant.  From the past to present, it did not disappoint.  It is a fantastic museum, very well run with all the different stations of productivity in the textiles machines.   Put it on your list of places to visit while in Nagoya."
