title,text
Hot spring natural hot water coming from mountain amazing.,Hot spring natural hot water coming from mountain amazing. It take time to take a dip as water is so hot. It taje time to adjust with the hotness of water but it's a great place to be in and temples around it are beautiful historical.
Another top attraction,Another temple on top of a small hill.To reach there you have to ascent the hill through narrow by lanes.Though the vehicles go to top but there is a parking place about half km before the temple.The temple’s architecture is really beautiful and also not so crowded. The view from the temple is beautiful.There are two bath places for Gents & Ladies adjacent to temple. Another two small temples are also there.
Vashisht temple,This is a very ancient temple dedicated to maharishi vashisht. Roads are very narrow and traffic jam is common. There are two separate hot water ponds for men and women.
Vashist Temple,"We visited this place at the time our trip to Manali,This temple situated around Manali Town.Very good temple dedicated to Rishi Vashist.Adjacent Hot Water Pond is also good."
Local sightseeing in Manali,This place is very peaceful surrounded by snow-capped Himalaya. The tranquillity of the place attracts me more.
Vashisht Temple & Water Kund,"Visited this historical place with friends in last year. During our visit, Temple renovation work is going on. There is a natural ‘Hot Water Kund’ to bath. There is also another two-three small temple to visit. Parking is available there which is half km away from main temple."
Vashisht temple and hot springs,Temple is situated at a hill top and famous for the hot water springs. There are separate bathing places for men and women in the temple pond .Roads are very narrow and traffic jams during peak tourist season is common .
Vashisht Temple,The place is at a height and we enjoyed climbing to the same. The temple courtyard is quite big and we took pics and enjoyed for almost an hour.
Rejuvenating ,"The hot spring bath is amazingly rejuvenating. The entrance is from within the vashisht temple. The water is very hot. It's at the tipping point between comfort and burning. Try not to move a lot in the water and you'll feel really comfortable. As a bonus, the water contains more sulphur which is supposedly good for the skin.To reach there, its preferable you leave the vehicle at the bottom of the ascent to the top, it's about a 1km walk. This will help you prevent traffic jams.Might like to add that it might not be too comfortable for women - in that the women taking the bath are fully nude. Men dont have to worry as all men wear shorts or underwears."
HOT water! ,"This is an interesting temple, along with natural hot spring baths.The baths are enclosed, with separate rooms for men and women.The water is hot, HOT! I frequent hot pools regularly and found this water too hot to sit in for more than a minute or so.The baths were very busy, but still an enjoyable experience.One note - in winter, the traffic congests on the way up and down the road, and it can take up to an hour each way."
Too hot water,"I had visited this place in january but still couldn't manage to take bath in the water, it was too hot for me. Otherwise a good tourist atttaction"
Ever interesting and heritage,"I visited this Temple with two friends. Earlier, I visited with my sister. The wood work, the calm Pandit ji, the Hot Water bath, everything is mesmerizing"
A good experience,Inside temple complex of Vashisht muni. Direct hot sulphur water  from underground spring is very hot and refreshing and said to give good health benefits also. They have provided separate bathing areas for male/females and it is clean.
Okay okay place,This temple is nearby Manali and is okay place. Nearby market is something one can visit to shop local product.
Manali tour,Nice temple of prabhu Ram and vashishta.Main attraction is hot water reservoir where water is always boiling in winter season.You can have bath in this.
Hot spring,A very good temple having hot spring . This is having seperate bath facility in hot spring for gents & ladies. This temple is located at the top of the hill surrounded by Shiva and Sita Ram temples.
Dismal Condition,The pond is just okay but could be improved with a little care from local authorities so that it could be enjoyed by tourists - currently it is more of locals den.
Amazing experience..,"It's a historical Vashisht temple,which has natural sulphur hot spring baths.There's a separate facility for men n women.The water was really hot,though,must be around 40°.It's highly therapeutic and relieving. So,worth a dip.When you come out of the temple,there's an amazing Tandoor Kullad tea available,which feels awesome after a hot dip."
