title,text
Victoria Memorial,"A British memorial, Victoria memorial is dedicated to Queen Victoria, the erstwhile queen of England and British India. The entire structure is made up of white marbles. Its's an excellent masterpiece and a great place to hangout with friends and families. The place also has a museum which is the most visited museum in India. The museum has an collection of British and Indian history. It's a must visit place for anybody visiting Kolkata."
historical,Great place to visit in one day trip...it's in heart of the kolkata.. Nice sculpture.. have nice garden to see or seat.. romantic place for couples..
Fun,Very beautiful! Must visit. Really enjoyed with my friends. Had a lot of street food to eat. Was a beautiful day.
Have visited several times with family. Wonderful environment,The Victoria Memorial Hall is a beautiful historical monument . It's well maintained and an eye catching sight situated at the heart of Kolkata City.
Grand Historical Site,Victoria memorial is of the greatest attraction of Kolkata city .It aws built by Lord Carzon to commemorate the 25 years rule of Indian by her Majest Queen Victoria. The building is 338x 228 feet with 184 feet height . It is made of Markana marble . The buildin is located at the centre of huge garden with lakes and flowers .Inside there are 25 gallaries .
beautiful evening spent,"a beautiful tourist attraction in the heart of kolkata, lush gardens beautiful construction. you can spend your evenings there people watching, there are artists painting the memorial on their canvas, families having an outing, theatre plays being rehearsed etc. its fun to sit in the backside where the hoogly river meets the bank with a view of the howrah bridge (if im not wrong) its just amazing and soothing. you can munch on the chana choor chat and other snacks being sold by the vendors. definitely some good memories"
Historical place in india,"Historical place in kolkata, India. We enjoyed with our family. Good place for tourists and all. Thank you."
Victoria visit,It was a great experience went for shoots and all... Such a calm and quiet place... 😇  a very fun place to chill out or spend nice quiet time with friends or alone... Beautiful architecturr ❤
Very nice,It's a wonderful beautiful building.I would suggest everyone visiting kolkata to visit this place..
Visit to Victoria Memorial,Excellent place to visit. Historical as well as majestic. A memory which you will cherish for a lifetime. Visit was made more memorable by Calcutta Walks and their guide Ritwick Ghosh.
Superb collection!,"Truly an amazing collection of India’s glorious past. Loved the free guided tour , the tour guide Mr. Raghu Nandan Biswas gave a great overview  on the artefacts and the historic details . If you are visiting Kolkata anytime and are interested in knowing about our glorious colonial and medieval era history , this is the place to be ."
A beautiful piece of architecture,"This wasn't in my list and I had to visit this place because of a cab driver. I didn't regret it though They have a entry fee of around 25 INR ( not sure though ) and your baggage will be checked by para military before entering The lush green gardens and the tall building will make you fall in love with it. The old rifles,monuments, statues and other artefacts will definitely make you travel back in time. This is a must see place in India if you are a lover of history and architecture"
Awesome,"think about very nice world no-1 place beautiful moments my life thanks, travels Netaji Subhas Chandra Bose airport Kolkata nearby."
Most Evident Remnants of The Colonial Past,"Built in early nineteenth century in memory of Queen Victoria after her death is perhaps the most popular structure in Kolkata. The marble structure combines variety of architecture styles like Indian & British along with touch of Egyptian, Venetian & Mughal.  A tour of building is very educative as you get glimpses of British colonial ruled period.The white marble structure reflects city’s colonial past."
Beautiful Structure worth Visiting,"If you are near the area, definitely try to make time for visiting this place. Best to visit before evening. Also when going, ask for the entrance area, as there is entry allowed from only certain points."
Victoria Memorial Hall,The Victoria Memorial hall in Kolkata is perhaps the grandest sign of the British Raj. The building itself is imposing and majestic in well laid out spacious grounds. The many interesting displays and galleries in the building are also a well maintained and interesting.
amazing plsce,"i had heard a lot about this place so it was  a must go place in the list i loved the well maintained garden hall architecture and surrounding around this place you can spend couple of hours there , evening is best time to visit"
"Make sure you  have time, if you are really interested in History.","There is so much to see and absorb if you are really interested in Indian History and the Raj, so do ensure you have the time to see and browse. If you do not enjoy history then do not bother to visit, let those that do have more room."
Very nice gardens,"We went there on Republic Day, 26th January when it was very crowded and the locals were enjoying relaxing in the sun with their children running around joyessly and sharing picnics - made my mouth water at some of the foods they were having.I was approached several times to have my picture taken and was very happy to do so. Very friendly and happy people !!  0:)"
Incredible,"Amazing place....Loved it, iconic, best tourist place to visit in Kolkata.Good to visit with families and friends."
Love this building,I have visited here before a couple of times actually. This time was a night visit if you go before 10pm it is lit up with different hues of colour. Worth seeing and good for photos.
Very good place to visit in winter.,One of the best places with combinations of historical place as well as nature like pond and trees. Clean and sober.
It was a nice walk with some amazing historical reading.,"Had a splendid experience walking around the monument and learning about it's construction, the British era and the history of India between 1700s and 1950. The monument is grand and surrounded by beautiful lakes with some amazing Flora and Fauna. We also spent some time through…"
Day Tour,Very interesting sight to visit with lots of galleries. Beautiful gardens as well. A memorial built for Queen Victoria 
Historic,One of the must see places. Built during British regime. Historic monument. Lots of things to see inside the museum. Also surrounded by a very good park.
Must visit ,"The most iconic monument of Kolkata, Victoria Memorial is known for its immaculately maintained lawns and gardens which attract locals and tourists alike. Check out the rotating fairy on top of the dome."
Awesome staff,"We had a charity ball at the hall, the staff were amazing especially Laura and Danielle they catered for our every need and it felt like a very safe happy environment 10/10"
Place wort to visit,Place worth to visit. Monument of Self-importance and Loyalty to the Queen. Build by Indian for British.  Worth to stay couple of hours with a good camera. Tickets for foreigners are much much more than RS 20-30.
good place for morning and evening walk.,this is a good place for morning walk and making friends from all over Kolkata.This also have number of visitors from all over the county to see the monument andit is a nice place to visit for first time visitor.
"Replica of Love, Lover's paradise","A well-known must visit place in Kolkata,which is Lover's paradise. Some important tips -Monday fully closed, Gallery is open till 6PM where as garden till 8PM,Camera are  allowed without using flash at  no  cost.Entry RS 20/-per head only for garden,whereas RS 30/-for garden with gallery.Gallery is very beautiful and informative about old Calcutta and the British rule.Some antique items also seen there. Flowers, landscape garden, waterbodies are also attractive here for a day long visit.Car parking is available at near birla planetarium area."
Magnificent. Majestic. ,Simply majestic and magnificent. We went during the day as well as night. A huge property with a well kept park. Any ardent Instagrammer will find this place awesome. A must visit while in Kolkata.
A must visit in Kolkata,"One of the best places to visit in Kolkata. The place is beautifully kept , great architecture. There is huge statue of queen Victoria in the entrance.The exhibits tells you a great story about Kolkata and the British role there.Definitely recommend"
Fabulous building at great at night. ,Well worth walking around if you are nearby. Looks great illuminated at night. Lots of market stalls selling food nearby.
Superb place for adults as well as children,A beautiful building built in the British era surrounded by endless green well maintained gardens interspersed with small water bodies will lift the hearts of everyone. The children can enjoy the endless gardens  while the grown ups can add to the experience by visiting the museum. If u are visiting from another city make sure to keep a full day aside for a complete experience.
Great place ,"This place is a tourist place. It has a wonderful white structured building with a beautiful statue of queen Victoria in front , surrounded by huge well manicured gardens, lawns. Inside the building is a small museum having artifacts, weapons of olden times. Overall a great place to visit!!"
"Not just another museum, a masterpiece of history!","It seems like no trip to Calcutta is complete without a visit to the Victoria Memorial. I was blown away by the experience there, actually, not merely because of the building itself, but what's inside it. The exhibits there tell a fascinating story about Calcutta herself and the role of the British when they arrived."
VICTORIA MEMORIAL,Good place to visit and you feel the history today.  A great structure and excellent engineering of past. It shows the advancement of engineering on that time.
Victorian Charm,A must visit for any Traveller to Kolkata. It has treasures from the British Raj which cannot be seen elsewhere. The place is well maintained and under surveillance. The art collection was amazing and the statues of Queen Victoria and other British Viceroy's of India were grand.There is a buggy( horse carriage) ride available outside the place...it's not too expensive and was fun to do.
European Architecture in Kolkata,"We arrived at the Victoria Memorial Hall during a local holiday day. The line fo tickets was huge. We decided to visit the gardens only. Couples and families wandering along the wide grass areas, taking selfies and sometimes want to take a selfie with you. The park is large and well kept, but relatively to European sites, it is nothing to tell home about."
