title,text
Best visitor experience in Newcastle!,Immersive experience allowing you to feel part of the history of the tunnel's creation and what it was used for throughout the years.  Many thanks to Don and Pete for making the history come alive for us.
Excellent tour!,"Fascinating tour with friendly, knowledgeable and interesting guides, Joanne and Phil. We learnt a lot about the tunnel and the area, and would recommend to anyone as a great experience."
Enlightening,What a fascinating way to spend an hour or two. A very informative and interesting  tour led by the lovely Phil. Highly recommend to gain a deeper understanding of your home city. This is led by volunteers with a wealth of knowledge and passion for History. A perfect way to start a Sunday.
Fascinating and well led tour,"I found this tour fascinating.  Having lived in Newcastle for 35 years and with both grandfathers being coal miners in the North East the tour felt very relevant, but would be equally fascinating to anyone without these connections.  The tour guides Donald and Pete were very knowledgeable and made the tour interesting and enjoyable, with a little twist at the end!  I believe that the tour has been adapted due to Covid-19 with only a shorter tour available- certainly appropriate safety precautions were taken - but I still felt that I had a full experience and explanation of the history of the tunnels, both around their initial construction during the height of the mining industry, and their re-purpose during the second world war."
Fantastic tour,"Booked the family guided tour for 2 adults and 3 children (ages 10-13). Booking itself on the website was easy and straightforward. All of the information needed in regards to covid and the tour was provided. On the arrival we were greeted by Phil and Dave, who were our guides. The tour was extremely interesting and informative.  The guides were helpful, friendly and very knowledgeable.  They made the visit fun for the kids, which was brilliant.  All the precautions in regards to covid, were in place, so we felt very safe. Definitely recommend visiting"
Amazing,Our Gide was an interesting and informative chap. Lots of interesting stories bringing it all to life.
Fabulous underground tour,"My husband and I visited during the COVID pandemic, paying for a one hour tour for just the 2 of us. The tunnel is very atmospheric. The 2 volunteer guides, Donald and Pete, were very knowledgeable and made the tour incredibly interesting and informative. We were thrilled with the experience and absolutely recommend it. Brilliant!"
Interesting tour of well-kept tunnel,"The guide, Phil, was a very good story teller, bringing to life the people who had been part of the tunnel from construction to usage during WW2. It is well kept and not at all claustrophobic despite the roof being just above our helmets. Shame it couldn't be the full tour during Covid but very interesting nonetheless."
Amazing experience,Fantastic tour. We have always been fascinated by the tunnel and the Ouseburn area and this was a brilliant experience.  Malcolm and Pat were great guides and  the whole tour just flew over. Thanks to you both and to everyone involved in preserving this amazing part of our history.
Fabulous,"I can't thank Donald and Diane enough! It was my husbands birthday, we sang in the tunnel to make it special , So personal and historic, me and my family had the best time. As Geordies its fantastic to learn more about our city..You two are great!!"
Well worth a 3h 30min drive!,Amazing experience at the tunnel and Peter was a fantastic guide. Very knowledgeable on the history of the tunnel and very friendly.
Well Worth Visiting,"This was a well organised and informative tour conducted by Pete and Don, our knowledgeable and friendly guides. They explained the history of the tunnel from its construction in Victorian times to its use in WW2 in an engaging and humorous way. An unusual but rewarding way to spend an hour doing something very different in Newcastle. All appropriate Covid-19 precautions were in place. Highly recommended."
"A fantastic tour, well worth a visit","This was my first visit to Newcastle and I thought it would be interesting to see this tunnel having enjoyed a visit to the Ramsgate tunnel at the other end of the country.  John and Phil were fantastic guides, both of them were so enthusiastic and well informed and really brought it to life with tales from Victorian times and WW2.  I would thoroughly recommend this tour to anyone who visits this fantastic city."
A (tunnel) vision of a unique past,"If you are looking for something a little different then this is for you. A fascinating insight in to a unique and relativley untold part of Newcastle's rich history and heritage. Our welcoming guide Phil was full of anecdotes, facts and vignettes that brought the tour to life. Great sounds effects too. Thoroughly enjoyable and highly recommended. Get yourself down to Ouse Street..."
Newcastle getaway,Excellent tour by Joanne and Phil.Just the 2 of us due to Covid restrictions. Interesting facts about the tunnel’s uses and how it was built. Quite a spooky place!
