title,text
Great historic spot with fantastic scenery.,"Took a dragon boat out on the island. If you go to Hangzhou you must do this. The island is steeped in history and mystery and the scenery is absolutely fantastic. Fortunately many of the plaques that tell you about the different areas are also in English.Further along the shore walking with the lake on your left, keep going and you will find a wonderful tea room. Go to the top floor and the view is out over the lake. The Westlake green tea here is fantastic."
Hangzhou with Jenny Tours,"It was raining, but the West Lake was still beautiful with the bridges, lotus plants, gardens and pagodas! A boat tour of the lake is a must!"
Simple serenity,"We visited the West Lake via a cruise in August 2019.  This was a lovely and relaxing way to take in the scenery.  The boat we were on had a very loud group of locals who were also on tour.  They unfortunately made it very difficult to hear the historical and cultural significance of the West Lake, but we enjoyed our time nonetheless.  There is plenty of opportunity to take photos and enjoy the serenity of this beautiful location."
Always a highlight ,"The West Lake is always a highlight to visit when in Hangzhou. Not only a trip my boat to the small islands, is nice, also the walk around.It can be super crowded on Sundays and holidays, I recommend a very early morning run around the lake or a night walk."
Top Destination,"My friend lived in Hangzhou many years, so when I went to visit Hangzhou on business, I asked her which is the best attraction to visit. Without hesitation, she named the West Lake, and recommended the Water and Light show that takes place in the evening. And so it was that I went to the visit the West Lake and watched the dancing fountains show. Impressive, it was. No regrets, I have. Visit again, I will, I hope."
Bike tour is the best way to explore Xi Hu,You can rent a bike all around Xi Hu and return it back at many spots near Xi Hu. It is a really good way to explore all the attractions around Xi Hu by biking expecailly in Spring or Fall
Ten scenes in west lake: round 1,"First time to Hangzhou was in a summer, together with two friends. Best time of all!^&^1st time is to follow the tradition: Su & Bai Causeways. And for Hangzhou-er, it's a must to appreciate the scenery along with seasons: life treasures are flowers in the spring, breeze in the summer, moon in the fall and snow in the winter. So, as I was there in summer, i will tell from morning to sunset in the summer.I like to stay in the hotel near the lake ,so  i can be a early morning bird jogging around the lake. Along the side, you will see people, especially elder ones playing taiji, or sword dance, or even singing... it's just a typical life-reassuring feeling.---- mundane but beautiful world!^&^And in the tree, birds, sorry for my ignorance about them, were happy in my opinion, at least i was feeling light in the heart, relaxed. And just buy a cup of coffee, best is soy bean milk with deep-fried dough stick. A normal Chinese start of a  day. For me, forget about the coffee, i just can't leave coffee. And my favorite activity for a day is to eat walking along wherever around the globe.^&^Summer afternoon is too hot and humid. So please just skip it."
Beautiful,"Beautiful during the day and at night. There’s a light show at night that is totally worth seeing. During the day you can along the lake, take a boat to see the scenery of the ¥1 bill, visit a pagoda, the broken bridge and eat at the restaurants around that area"
Great park with beautiful pagodas and boat rides,We enjoyed our boat ride on the West Lake. We saw the three pagodas. The lake is 6.4 kilometers around. The lake is 3 meters deep.
West Lake,"The picture on the one yuan bank note used to be the Great  Wall of China.  About 15 years ago, that was replaced with a picture of West Lake, (the three pools reflecting the moon).West Lake is halfway surrounded by hills on the western side,and has parks that almost fully surround it, some of which are very extensive.  It is beautiful all year long, but afternoons in July & August are hot and humid.  Local citizens who want to meet, and chat with, foreign tourists, go to West Lake's north-east corner on Sunday afternoons.  They have been doing that for over 30 years."
A very serene and tranquil place to spend for a whole day here,"West Lake is famous for its tranquility and landscape views from every corner. There were multiple lists of ""The Ten Views of West Lake"", you can choose whatever list you like to pursue the views or just enjoy a few of them. We arrived in the morning, and walk along West Lake counterclockwise, starting from its east. It is recommended to plan a whole day if you want to walk along the lake to enjoy these amazing views along the way. The electric minivan is also available to take you if you don't feel like walking that much. The price ranges from RMB10~40 based on the distance you want to travel.Be sure to walk on Su Causeway to recall the past about the contribution of Su Shi, who contributed to the erection of this causeway and the prosperity of Hangzhou. Inscribed as a World Heritage site in 2011, West Lake is definitely a place to visit."
Nothing much to offer during winter,Crowded even during winter. Not much of scenery during winter but I guess it must be beautiful during other seasons. Recommend to take the buggy and stop at each scenery attraction. For a round lake trip by buggy without stopping is about an hour.
Amazing landscape,"We were walking around the lake for 2-3 hours, but I could spend a whole day there! It is breathtaking, from the bridges you can look around and see the modern buildings on one hand, and a hill with trees on the other hand. I was visiting in December, so these autumn coloured leaves (green, yellow, brown) on the trees are just beautiful."
Stroll around Xi Hu,Walking distance from our stay.. Lovely view with cold breeze... plenty of picturesque scenery to indulge in..
