title,text
Wildlife SOS - a highlight for animal lovers,"Visiting the Wildlife SOS bear and elephant sanctuaries in Agra was one of the highlights of my India tour early in 2020. In both instances the private tours were led by knowledgeable and caring staff, the facilities were excellent and the level of commitment and compassion towards the animals was inspiring. Each animal receives personalised care tailored to their specific history and traumas, and it was wonderful to see them living out their lives in such a wonderful environment. It was also so heartening to hear that the SOS program involves the retraining and employment of previous owners and their wives, and education of their children. This ensures that the families have other options and futures that do not include exploiting and abusing elephants and bears. It is not possible to just arrive at the sanctuaries, but entrance can be organised and paid in advance. I would highly recommend both sanctuaries, their professionalism and the security they bring to the animals in their care."
Visiting Wildlife SOS is a MUST!,"Meeting the elephants, hearing their stories of rescue & rehabilitation, & learning the tortuous treatment elephants endure when taken into captivity, was life transforming. We were moved by the commitment of the staff, deeply appreciated Vipul's knowledge & enthusiasm in conducting our private tour, & offered a bow to the elephant graves. Please STOP riding elephants! The world needs to know the work of Wildlife SOS."
Fantastic experience,"I must say that my two weeks trip to stay and work at Wildlife SOS is the best thing I have ever done. I have never before met so much caring, understanding and love towards animals. Everything was so well thought out, cared and planned for , all for the best of the animals. I was picked up at the airport and driven to the volontaryhouse. The room was clean and the house itself was big and wonderful. We got three wonderful meals a day, the staff was fantastic and I can only say I wish for everyone to get the same experience as I´ve got and if you would like to take a volontarytrip, this is the one you should go on. I hope I will go bakc one day!  //Christina  from Sweden"
Super special visit of a wonderful project!,"I applied for a visit in advance and got such a warm welcome with my family. We were guided through the sanctuary, got a lot of information the rescued sloth bears, got a tour in the kitchen, learned a lot about daily life of the bears and got insights in the volunteer program. Wildlife SOS makes a big difference in the lives of these animals and it's very valuable to visit and see it. The past life of these bears is heartbreaking and here they finally can live in peace. The entrance price may be slightly higher than usual but it's all used as a donation and very needed to take care of the bears. Be sure to apply for a visit by email in advance, as they allow only a few visitors at a time to avoid upsetting the bears due to traumas. I personally was very impressed by the work and really support Wildlife SOS in the work they do! Thank you so much for providing us the tour."
Beautiful experience,"Great complex excursion provided by very nice and professional staff. It is obvious these people do their job with so much love and compassion. I visited Elephant sanctuary and it was amazing. They explain you everything, answer your questions and then you see all these elephants so peaceful and satisfied. It's worth it! Support these wonderful creatures and all amazing people who cares about them! Thank you for this beautiful experience! I remember you with love!"
"Excellent overall, wonderful staff!","I was so pleasantly surprised at how wonderful this experience was. The facilities are very clean, the food is home made and excellent, and best of all, the staff is really lovely. I highly recommend this if you want to spend your time working for animals. Disclaimer: you aren’t allowed to touch the animals (not even the elephants) but believe me, when you learn that it stresses them out to be touched by so many people and you see the happy life they have now, you don’t miss it. Wildlife SOS is doing an excellent job."
Wonderful time visiting Wildlife SOS,"Recently visited India for the first time and went to Wildlife SOS. I was humbled and grateful for the work this organization does for the Elephants, Jaguars, Bears, and other animals of India. Beautiful experience and highly recommend visiting."
Elephant heaven,"I am a wildlife professional and I really recommend everyone to visit this place. Elephants are taken care by highest veterinarian and animal - welfare standards. The guide was very professional, informative and kind. This is not a place where you will make selfies with elephants, but a place that will make you understand all the suffering these magnificent animals are going trough when abused for entertainment. From the city you will have to take a taxi to get there (uber and ola are really cheap for European standards) and arrange with a driver t wait for you until you finish your visit."
Amazing experience ! Highly recommended,"It was such an amazing experience to go to Wildlife SOS. My husband and I visited both Elephants and Bears rescue centres! Before the visit I organised the tours by email. Wildlife SOS staff was kind and clarified all questions, even arranging a taxi driver to take us from Agra to the centre.During the tour we could learn more about the projects, and better understand the importance of what they do. All the world should learn about it! I hope you will be able to schedule the visit, you will not regret!"
Visit to WSOS MAthura elephant Sanctuary,"My friend and I visited WSOS at Mathura as I have been a supporter of WSOS...bears and elies for a number of years. I was there when they had rescued their first 2 elies! Our visit confirmed the ethical way WSOS treat their rescued elies...no bullhooks, chains or ropes. Companionship for those who were alone, good facilities and food...plus yummy enrichments for all! We heard about the background of their elie rescues and what they have done to make the lives of these abused and wonderful creatures so much better!"
Bamboo volunteering,I had a completely amazing 4 days volunteering at Agra Wildlife SOS with the elephants and bears! The dedication and knowledge of the people working there is incredible. We learnt so much and where able for a few short days to ‘give something back’. This is truly an experience I will never forget and feel so grateful to have had this opportunity! If you ever do get the chance to visit........just do it!
Amazing,"What a great experience seeing all the good work being done and so close up was brilliant. The elephants were so serene plus some cheeky ones, really great to see after all the pain they've been through.  Wildlife sos are doing an amazing job, thank you for all your hard work and for letting me be a tiny part"
Inspring and uplifting,"Inspiring Place to Visit and so Rewarding. Helped build bear climbing frames, cut food and feed them and paint the places they sleep at night. Loved every minute and was really pleased they were safe and no longercused for dancing. What was also great was some of the old owners who used them to dance were now using there skills and knowledge of the bears to keep them safe and well by working at the centre."
Elephants,"We visited here in March to see the elephants. The man who showed us around told us that there were loads of cancellations due to the Coronavirus and people cancelling holidays - so it was just myself and partner on the tour. It was sad learning about the elephants and what they had endured. When we went to visit the elephants I do feel like we were rushed around. At the time of our tour some of the elephants were out having their daily walk. So we went to join them in the fields. We would stop and look at the elephants from a distance and would observe. Although this was lovely to see we do feel as though we were rushed around. We didn’t get to go up close to the elephants or even get to meet the famous Raju. Reading previous reviews people were able to feed the elephants and give them a wash, we did bring bananas to feed them but this request was dismissed. The tour was meant to be 2 hours long however we were finished within 1hr 30. The man showed us to the shop then disappeared- as we payed for our donation he was walking in with a much larger group - although we were told we were the only and last people of the day. It was nice to see the elephants but I do wish our 2 hour slot was fulfilled and I wish it could have been a bit more intimate. As we left the sanctuary to wait for our taxi we were approached by 5 young boys who we were talking too as they were making conversation. As a member of staff left the sanctuary the boys all ran off. (Which makes me think they have been told of before for harassing customers before). As myself and my partner were walking towards to the taxi the Young’s boys followed and walked very close to us. 4 of the boys stayed by my partner on one side of the taxi and one of them followed me to the side I was trying to enter - very very close. We both got in safely but the boys then started asking for money. The taxi driver locked all the doors and windows. This was something I want others to be aware off."
WONDERFUL ELEPHANT SANCTUARY NEAR AGRA,"We visited the Wildlife SOS Centre near Agra and it was Amazing what they do.for these poor rescued elephants is brilliant  ,they have been stolen at best from their mothers as babies and tortured many seeing  their mothers murdered and then tortured to brake their spirits,but Wildlife SOS  not only care for these beautiful elephants and other animals they try and educate their abusers so that they never abuse  again but seek other ways of life which they fund which stops the rot.If you are near Agra please visit these amazing elephants or if not please donate to their work believe me their work is so important  for these amazing animals who are being tortured and abused on a massive scale."
Great place to visit,"If you love wildlife, and especially bears,then this is for youRescuing dancing bears and stamping out the practice has been so important to save these bears from unbelievable cruelty and exploitation,and near extinction. Our guide was extremely informative and it was a very worthwhile stop en route to Agra. I would highly recommend it"
What a place,I was lucky enough to be a volunteer worker at Wildlife SOS in India.  I helped with the sloth bears and elephants.  Everyone I spoke to was very knowledgeable and were happy to share.  The location is a perfect environment for the bears and elephants to live their best life.  Wildlife SOS do amazing things for so many different animals.
The highlight of our India trip,"After organizing with Wildlife SOS via email, we arranged a car from our hotel in Agra to take my 13 and 11-year-old sons and myself first to the elephant sanctuary for 2 hours and then, after a drink at the on-site cafe, to the sloth bear sanctuary. The day visiting the two sanctuaries was the best part of our trip to India.We had a personal tour guide at each location who gave extremely detailed and inspiring histories of each animal. We were able to get very close observing the animals.  Although the history might be upsetting for young children, we were impressed and inspired.The work that Wildlife SOS is doing is fantastic and we were very happy to make a significant donation to support them. On returning to NYC, my 11yo presented on them to his class and raised additional money."
Most amazing experience in India!,"We had an amazing experience at Wildlife SOS. I had been searching for a humane way to observe the elephant in India. So I was very happy when I came across Wildlife SOS. Shivam is extremely knowledgable in each elephant and the work they do with the animals. He took us through the fields as the elephants went on their evening walks, and he let us observe the elephants eating dinner, telling us about their different preferences. Our experience at Wildlife SOS was refreshing and enlightening. I can't wait to go back as a volunteer!"
A happy life at Wildlife SOS,"I recently visited Wildlife SOS Elephant Sanctuary whilst holidaying in India, what a wonderful place!  Well worth a visit to support the amazing work all at Wildlife SOS are doing, enabling them to rescue and help these beautiful animals live the happy life they deserve."
Visit to the WSOS elephant conservation,"I am a great fan of WSOS elephant conservation centre since Raju was rescuedThis year I finally managed to visit the centre along with my sister who lives in Delhi . It was an amazing experience. We were met by Hari at the centre who really gave us a wonderful insight into the working of the centre. We also got to see the Ellie’s being bathed, frolicking in water, having foot baths and medicated foot treatments. WSOS is doing a Wonderful job fir these Ellie’s. So much love and care  is given. And Ellie’s are finally free from chains. Thanks for the great work you fo. I highly recommend   Tourist to visit and understand about these Ellie’s . Thank you WSOS 🙏"
A peaceful refuge. A learning experience.  A must-see.,"Wildlife SOS runs both elephant and bear sanctuaries -- because the bears get less tourist attention, I decided to write my review on the bear sanctuary :)I actually spent 5 days volunteering with friends between the 2 sanctuaries, which was a wonderful experience.  But a day trip is highly recommended!  The vast grounds are peaceful and lovely, and offer a pleasant walkabout. And best of all you get to see sloth bears up close. There are 171 bears on site, the large majority of whom are former dancing bears.  We had an informative orientation to the sanctuary by Rishik, who clearly cares about the work he is doing. Our day-to-day coordinator, Vipul, was humorous, kind, and patient with us, as we applied ourselves to various tasks (e.g., pouring out bear porridge, painting enclosures, scrubbing out bear pond/bath, building an enrichment object for the bears).  We learned that dancing bears were owned primarily by the Kalandar people.  While the bears provided a much-needed income for the owners and their families, it is important to know that the practice of training bears to dance involves incredible cruelty and torture; the bears ""perform"" because they are subjected to pain.  I should say ""performed"", in the past tense, because reportedly all dancing bears have been surrendered to WSOS.  WSOS has worked with the Kalandar community to ensure they find other work.  Other bears have come to WSOS as trafficked bears (e.g., cubs trafficked for Chinese medicinal purposes). Visitors should note that parts of a short orientation movie may not be appropriate for children due to some brief historical depictions of the cruelty. Our volunteer accommodations, about 10 minutes away by car, were totally sufficient, and overseen by staff member Bhuvan.  The morning and evening meals prepared by Pankaj were absolutely delicious! And lunches onsite at the sanctuary were similarly yummy.  Chai was available on request!  A particular delight was the yoga-by-donation classes offered to volunteers, morning and evening.   As well, ayurvedic treatments were available, for a reasonable fee, from 2 lovely women trained in this art/medicine.I cannot recommend this organization enough. The staff really made it special.  Please consider supporting this important wildlife rescue organization with a visit!"
Happy Elephants and Bears,"When we booked our trip to India we were desperate to see elephants maybe even feed them or bathe them so we looked online and every place we looked at had bad reviews of how badly the elephants were treated so we quickly decided against it. We found wildlife sos and saw how all the animals had been rescued from horrendous abuse and were now rescued by this sanctuary, we had to visit. We were only in Agra for less than 24 hours so we tied it into our trip after seeing the Taj Mahal. Wildlife sos were brilliant with responding to emails and planned our trip out for us and booked us a taxi driver to pick us up from our hotel and take us to the elephant and bear sanctuary and then back to the hotel. The place was just beautiful with fantastic art work done by volunteers we had a nice drink in the cafe overlooking the elephants and the shop was lovely too all with all handmade gifts. We were the only people there so had a private tour with a very informative guide who answered all the questions we had. We got closer to elephants than we had ever been to in our lives and could see up close how happy and relaxed they were. Then we went onto the bear sanctuary where we met another fantastic guide who you could tell really loved the bears. It was so sad hearing about the dancing trade of the bears but nice to see them in a happy environment with staff who know how to keep the bears distracted from the stress of their previous lives with lots of enrichment activities. Would really recommend this place to anyone who loves animals definitely worth a visit if you are in Agra."
Good place,I have visited in this place with my family this is the good location there are the lot of animals available in this place you can enjoy after looking the animals I found this is the best place for spending time with nature with nature.
Chance to learn about animal welfare,"Chance to learn about animal welfare. Really appreciated. We also visited the elephant centre, it was great."
Life saving sanctuary,An amazingly run centre managed with animals and the community in mind. We can all learn from Wildlife SOS
Amazing experience!!,Where do I even begin? The staff were so knowledgeable and kind! What an amazing experience. Definitely a trip of a lifetime.
Wonderful learning experience,"I had some doubts going into the Elephant rehab center as many of these places are not what they're advertised to be.  But boy was I wrong...this place provides a loving, caring home for abused elephants rescued from cruel treatment and torturous lives.  They can live peacefully in this compound, fed and taken care of and able to roam the fields.  The people were wonderfully caring and dedicated to their work.  I am so happy we made time on our drive from Agra to Delhi to visit the Wildlife SOS for Elephants.  The cost is a nominal suggested donation, with no pressure.  I wish we had time to also visit the bear sanctuary...maybe next time!"
Great place,This is a great place that’s looking to help animals that are underserved and overlooked. Visit and support their cause!
"Great place to learn about elephants, respecting them","This is a real sanctuary, where you can clearly see how well they treat the elephants. It is important to increase of our awareness and travel responsible, and this places helps a lot how we can help to stop animal cruelty."
Such kindness,It was a good experience and very educational too. Was great to see that the elephants were so loved and beautifully cared for. Thank you so much
An uplifting experience - don't miss it!,"Visiting the Elephant Conservation & Care Centre in Mathura was a wonderful experience - we are so glad that our tour guide included this in our India itinerary. We visited in January 2020 and were shown around by Harendra Singh (Education & Logistics Officer), whose passion as well as his extraordinary respect for the animals in care was very evident. He described to us the personalities and the likes and dislikes of each elephant. At the time of our visit two elephants, Mia and Rhea, were out on their daily walk with their volunteer keepers. At fairly close range, we were able to watch the pair freely roam and forage in a large paddock.The elephants at the centre have been rescued from situations of abuse or neglect. The facility provides for them a safe peaceful haven, and it was inspiring to witness the caring efforts of the staff and volunteers. There is also a small café and shop selling interesting handicrafts, T-shirts etc.I highly recommend including this visit in your itinerary. It is magnificent to see the work going on and to hear about the successes that Wildlife SOS has had rescuing elephants and also the sloth bears in India."
Excellent day out to both the elephant conservation and sloth bear centres,"I have visited the elephant centre twice before and each time has been different. This time we were not able to feed, bathe or walk with the elephants as we’ve done previously however it was explained to us that the only ones getting in close contact with these beauties are the keepers and this is because they noticed that the elephants became quite stressed around people. Although disappointed we were not able to get up close I totally understand and am grateful they have the elephants best interests at heart over pleasing tourists.I absolutely love the ethos of Wildlife SOS, their holistic, non judgmental approach means that not only are they helping the elephants, bears and other wildlife,  they also help the previous owners who didn’t know anything different and once educated and supported have been able to build a different life for themselves and their families without harming animals.The visit to both centres was excellent, our guides/ education officers were very welcoming and passionate about what they  do and provided us with the best opportunity to see the animals.I could have watched them all day and just can’t understand the ignorance of those that would watch dancing bears or ride elephants.Both centres have shops with some really good quality products and at reasonable prices.Good setup at both centres, clean toilets and an educational room where you watch documentaries about the work wildlife SOS are doing.  I defy anyone to watch those videos and not want to support their cause.I highly recommend visiting both centres, you need to book in advance via email. We hired a taxi for the day, from Agra I wouldn’t recommend getting a tuk tuk as it’s around45-60 minutes away.This made my trip to Agra and can’t wait to visit again!"
Dedicated people for a cause,Staff was so friendly and dedicated...will surely recommend my close family and friends to visit..Thank you
Say no To Rides!,"If you want to see and help elephants, this is the best place to go. It is also really calming compared to the busy cities and, you can feel the passion of the staff and volunteers for their work with the Elephants. I hope the organization keeps doing a great job and helping as many elephants as they can!"
Visit to Sloth bear rescue centre - Agra,"We had a chance to visit the sloth bear rescue center located near Agra. It is the world's largest center. We were hosted by Mr. Rishik Duttagupta (Education Officer & Programme Coordinator) who is an expert and gave us the information about, in what conditions do they get these bears and how do they maintain their hygiene and try to provide them natural wild environment. Not only that they make puzzles for bears which they get engaged in solving and forget about their painful past. They also have rehabilitation centers for Madaris (a community that survives on bear dancing). We were lucky to have our students see and understand this at a young age. This place is highly recommended for school visits."
Great Education,Good Value. Great Education. The staff and volunteers do a wonderful job. The animals are so well cared for.
Outstanding,"I couldn't fault anything. Every effort to keep the visitors safe was implemented. The staff both at the sanctuaries, at the visitors house & our guides were so friendly & helpful beyond their duties. It will be my intention to try to revisit. Thank you so much for my endless memories."
Amazing,Love the work that you do. You really do an amazing job with all the animals in your care. Thank you for rescuing the dancing bears and the elephants and giving them a happy home. I wish you could rescue them all!
Amazing work,"We wrote to the charity a day before via WhatsApp and they responded almost immediately with detailed info advising us of the visiting times. Times are restricted for pre-arranges visits in order to keep it as stress-free for the animals but you can just arrive too for a more limited viewing. When we arrived, he gave us an overview of the work they do and how they helped to eradicate the dancing bear industry in India. Afterwards we watched a short documentary about the charity and then we were able to see the rescued bears. It was really touching to see that those bears were given a second chance in life after what they went through. The bears are too used to humans so they are able to release them into the wild. However, they are well cared for at the charity with lots space and mental stimulation. The charity has their own vets checking them regularly.Thanks to the help of the charity, there are no more dancing bears left in India. However there is still a poaching problem, which they are helping to reduce."
"To see, for sure",You are better see this before all other activities in India. It make your realize a lot on of things. they are hard on
Wildlife SOS is doing the work of angels,"Wildlife SOS is doing an extraordinarily job protecting India’s wildlife. They stopped a 100 year old practice of dancing sloth bears by rescuing the bears and finding alternatives for the people who used them for begging. They now have jobs, education and alternatives for families. The bears live in a sanctuary in Agra because they couldn’t survive in the wild. Wildlife SOS also rescues elderly elephants who were used for begging, rides or temples. The elephants were treated horribly and have now found a safe place and sanctuary with Wildlife SOS. Go visit these sanctuaries and contribute to one of the finest wildlife charities in the world."
Sloth bear rescue,"Recently visited the sloth bear sanctuary. I booked an Agra tour through Tripadvisor with I thought included tickets to the rescue centre, turns out it didn't and we just turned up (very confusing for everyone) We got lucky and they very nicely let us in and gave us a quick little tour.It was a brilliant experience, seeing the beautiful sloth bears with their scars from their lives of dancing and seeing how happy and relaxed they were was just amazing. The guys at Wildlife SOS are doing a great job. It was really interesting to hear about their stories and see some of their cheeky characters. Being a student vet nurse I was very impressed with the level of hygiene and care. We learned about their feedings plans and why they have their particular diet. Definitely worth a visit if you're interested in wildlife rescue. One of my India Highlights."
Sloth Bear Rescue ,Highly recommend you visit if you are in Agra to visit the Taj Mahal.  Unforgettable experience!  I have seen this creatures in the wild.  This is not a tourist trap its a professionally run world class facility.
A place I will never forget,I was able to volunteer here for 3 days. Memories to last a lifetime. Incredible place. I was honored to be able to help these incredible animals.
Excellent Experience ,"Excellent experience, learned a lot about sloth bears and elephants in India. It was really eye opening to learn about the cruelty these animals had endured and we were so happy to see them given a second chance at a peaceful life at Wildlife SOS. The tour guides were incredibly knowledgeable."
Wonerful place,A wonderful place to visit and see the excellent and committed work that both keepers and educational staff are doing to rehabilitate sloth bears and elephants from their brutal pasts. Located in two different facilities the animals are not there (as some people obviously expect) to provide entertainment for visitors but to live the remainder of their years in peace and freedom. We were never pressured for money but would certainly recommend donating as Wildlife SOS receive no government support at all for there continuing good work. Highly recommended
Some nature after Mogul sites,"Very nice place. You can see a broutally wounded bears get their life back. I got a very informative tour with Miss Johi.After the sanctuary you can have a very nice walk on the lake shore and see some birds species. If you are lucky, you will see pelikans and cranes landing on the water."
Animal sanctuaries just outside of Agra- worth visiting if you have time!,"If you're making a trip to Agra and are interested in animal rehabilitation, I would recommend a visit to both Wildlife SOS locations if you have the time: the Elephant and Sloth Bear sanctuaries. They are outside the city and about a 10-minute drive apart from each other- you can hire a cab to get you there from downtown Agra or Wildlife SOS can arrange transport.The price is inexpensive for what you get- a small group, behind-the-scenes, multi-hour tour of the sanctuaries while seeing the animals and learning about the important conservation, advocacy, and education work Wildlife SOS is doing to promote the well-being of elephants and sloth bears in India.Note that the animals don't interact at all with visitors- you simply observe them. This lack of interaction is the true hallmark of an ethical sanctuary- the animals are not there to do any activities for tourists (even ""natural"" activities like swimming or playing), but simply to live their lives free from the horrible conditions of their pasts.My only caveat is that many of the animals have very sad stories and injuries sustained in the squalid conditions they were in before being rescued, so mentally prepare to hear about and see that. And you might be asked to donate further and/or support the gift shop, but I didn't find the staff to be pushy at all. Everyone we encountered was knowledgeable, kind, and displayed a strong commitment to the animals."
Wonderful and educational visit,"Really enjoyed our visit to this wildlife sanctuary and rehab center in late October. We arrived just as the facility was closing, but the staff graciously led us on a short tour anyway. The work that they are doing to rehabilitate sloth bears, protect and conserve habitat, and educate the public about the importance of respecting nature, is truly admirable."
An educative visit.,"We as a family enjoy wildlife. For us this visit was an awesome experience. The keepers and education officers are doing a fantastic job. Each bear has a story and it's worth knowing about each of them. Please do not expect a zoo kind of visit. You need to engage with wilderness and you will see the true sense and efforts of conservation. Mr. Rishik, the education officer made our visit a memorable one. His passion for wildlife is felt with every experience he narrated to us. It's therapeutic for children to understand how animals also need family to feel safe and live in harmony within the ecosystem. Would strongly recommend this place to all who enjoy wildlife. Superb experience. Do book in advance and ask for a guided tour to the place."
Part working plus holiday experience,"Having been to India for some two weeks, four days spent with the elephants and bears .The staff were fantastic so caring and considerate it was breathtaking to see how these wild animals have come forward from their crualty they have been through neverless they are free now to live their lives from been in chains and torture with red hot pokers specially the bears and the elephants been beating to unatraul thing when they should been free, Thanking the wildlife sos India and agra. For a fantastic stay, Christine Baliley, England."
SOS Well Worth the Visit,"My wife and I visited both the bear and elephant sanctuary in November. Rishik gave us a guided tour of the bear sanctuary that included a lunch. Rishik was very informative and passionate about his cause. We had a very interesting couple of hours walking about and seeing many bears in their enclosures. We also got to see many bears up close during their feeding time. What a great job SOS is doing in giving these animals some peace and contentment after years of abuse. We also went to the elephant sanctuary and did a tour there( doing a tour of both takes most of the day). There were several elephants we watched from a distance and then saw them closer when they came in to eat. SOS has good reasons why the tourists should not touch these magnificent creatures. When you hear the stories of how these elephants and bears were treated, it will break your heart. How fortunate SOS rescued them from a life of misery. Although these tours are not cheap, it is for a very good cause. Your money is important as they rely on countless volunteers and donations to keep the project running. You get to spend the day with some incredible animals and will leave with a good feeling knowing that you played a small part in this important cause. A visit to the SOS Bear and Elephant Sanctuaries in Agra is very worthwhile."
Shocking but necessary,"It's hard to see the horrors that these animals had suffered through centuries but at the same time, visiting this place gave me hope and some faith in human being. Thank you!"
Heroes rescuing precious animals,"The guide was so informative and has such a heart for his job of educating the public, raising support and caring for the animals. It was wonderful to see the rescued elephants so well cared for. It was a highlight of my 2 week trip to India, I highly recommend a visit there. If you aren’t able to go at this time consider following them on Facebook and supporting them from a distance."
Life changing experience,An exploration of a completely different world which makes you so aware as a human being about what matters in life.
Most Incredible organization!,I had a life changing experience here and am on my way to hosting my own fundraiser in the US for SOS
Elephant Rescue,A wonderful informative visit to view these magnificent creatures. I loved it. The staff were very knowledgeable and friendly too. Thank you!
Bear and elephant sanctuary,Excellent educational and unique opportunity to understand some of the modern challenges in wildlife conservation. The tour is very detailed you will get up close with sloth bears and elephants. Really enjoyable and an enriching humbling experience
First time visit,Doing a wonderful job!  Staff very friendly and dedicated. The needs and comfort of the elephants are all being met.  I was only there for a few hours and would have loved to see and experience more.  Look forward to spending more time in the future.
Such an important charity,Wildlife SOS has 2 sights very close to each other. One is for Sloth Bears and one is for Elephants. Visit both and learn about the important work they do.
Recognition,Here the workers do amazing work to look after the bears. The place is run very professionally and the standard of care is exceptional. Everything that is needed is on site including medical support.
Wildlife Sos-Agra,"One month ago I visited this centre in wich they take care of the elephants that save and protect from the human cruelty. This is a great place, the staff are really friendly and give us many information about the conditions of the elephants and bears. Amazing experience!Thank you for your dedication and work"
Best volunteer experience ever!,"Amazing organization doing amazing work!  Great people! Magnificent animals! Very educational & informative will definitely be going back asap! Great opportunity to learn, understand & give back! Absolutely outstanding!"
A must visit place,"I went there with my friends and it was an eye-opening experience for us. If you love elephants, this is a must visit place."
Bamboo tour,"Brilliant place. We visited both the bear and elephant sanctuaries. We built platforms for the bears, and painted the elephant enclosure. The people are very friendly and knowledgeable about each I dividual animal. Most definitely recommend a visit."
Magical,"The sloth bear sanctuary was amazing. We were lucky to be able to observe these amazing bears close up, clean their enclosures, feed them and build platforms for them to play on. The bears are well looked after.The elephant sanctuary was equally rewarding and we prepared their food, cleaned and painted their enclosures.  We toured the hospital facility too.At both centres we viewed videos which showed us how badly treated these animals were before being rescued by Wildlife SOS.I am proud to have played a small part in the care of these wonderful creatures and recommend volunteering here."
Sos bear rescue Agra,An amazing experience volunteering with these beautiful bears. They are so well cared for by this remarkable charity.
