title,text
Brilliant park,Great for walk with or without the dog... or a run but watch out for the golf course slap bang in the middle.... pretend you're Bruce Waynein Batman Begins as Woolaton Hall was his house
Beautiful deer park and gardens,"Opening/closing times change through the year so check the website, but this is my favourite place to run and walk round. A small charge for the car park but a fab children's play area, nice cafe in the stable block, the Industrial Museum is brilliant to visit but again check opening times, the Arkwright Society sometimes have Steaming Days. Formal gardens aren't open at the moment but a lovely stroll down to the lakeside is just a perfect way to relax."
Woolly Park - Always a fave!,"Since I was a kid, we have always enjoyed Wollaton Park (Wooly Park), great for walks, play areas for kids and the halls is always interesting. Yes a must see for those visiting Nottingham."
Stunning,Easy to park using the app - no problem hereThe Building looks amazing and evidently was used to film the Batman moviesWonderful views Deer wonder around freely Just needs a cafe near the building with a shop selling batman stuff
Beautiful oasis of green and history,Had some time to kill prior to a business meeting so filled the signs. A beautiful well kept location for a lovely walk down to the lake.The main house was very interesting and free to enter with some very unusual collections.A great find.
Gorgeous Park,Wollaton Park is a lovely location for a picnic or stroll around with family or friends. There is plenty to explore with plenty of space to sit down and admire the surroundings. Deer were also wandering around which added to our picnic out.
Yes,You rockLovely Top folkNice venue DucksGeeseHot chocolate Sandwiches History DeerGrassIce cream
Excellent visit apart from car parking payment system.,"We visited on a hot sunny day to enjoy the beautiful Hall grounds.However, like many other visitors, we nearly turned away because of the car parking payment system.Most people do not have the app.and therefore have to make the long walk to pay by card at the shop and then return to display the ticket. After wasting nearly twenty minutes we did enjoy our walk, seeing many birds and deer with views of the Hall and grounds an added pleasure."
Beautiful Building !!,I go to visit this place at least once a year - there is always something new to see or do - This is the first time I have been this year and didnt have time tomvisit the halls just the gardens and get some air - looking forward to the light show going to be held later in the year!!
An Indian summer,Temperatures in the mid 20s n one of the best parks in the country made for a perfect day out. The view from the formal gardens towards the lake was enhanced by the trees starting to show off their autumn colours of reds and gold. The only thing missing was a butler to serve a cream tea while you drank in the view
First visit marred by parking system/fee,"Fabulous place to visit, the grounds and gardens that we did see on our recent visit were wonderful.   The building itself is beautiful and looks to be well maintained.   We arrived late afternoon and stayed until sunset.   Two huge stags wandered into the car park, not in the least deterred by families, which was lovely to see.   We will definitely go back.One gripe, however, and that is the car parking fee.    The fee is payed by telephoning a number, providing details of your car registration and paying by card.    This instantly excludes anyone who does not have a mobile phone with them or uses debit cards, such as elderly, who choose not to have one!    The second one is pronunciation of numbers and letters - my daughter tried to register her car and it misunderstood her B/D so when we walked back to the car having spent several minutes both walking to and from, and registering two cars, she had a ticket on her windscreen!!    Apparently, she was allowed 7 minutes to walk up to the ticket machine, register, and walk back - whilst accompanying a very slow mum (me).    My car displayed my blue badge and I thankfully didn’t have a ticket.    Take note visitors, especially elderly technophobes, slow walkers etc., this system is not user friendly ..."
Day trip out,Nice place for a wander round the lake and a visit of the hallTake a picnic and enjoy the fresh air
Great day out,"Popped in for a day out while we’re away nearby. Incredible grounds, extremely well kept, amazing inside the hall seeing all the taxidermy. Corvid measures all in place, what an amazing day out!"
Special park,"A walk through Wollaton Park is always a treat, marvellous grounds with several paths to explore, a walk around the lake to see the wildlife and plenty of it, cafe and shop open with social distancing in place all worth a visit, even saw some deer."
Nice outing,"Lovely walk around the park, grounds well maintained and people aware of others. Weather was great and the kids loved playing on the grass"
