title,text
Something for everyone in Yokohama,"Now I’m not a big shopper, but wether your into malls or not it’s still a good place to visit if your in the area. The waterfront walk alongside the shopping malls is very pleasant especially on a warm day, plenty of places to sit and people watch, and boy will there be plenty of people to watch, it’s very popular for locals and tourists alike. Call in at the ‘Hard Rock’ if you fancy a beer and burger, visit the old 1930s sailing ship in the dock, have a spin on the ferris wheel of get an even better view from the Landmark Tower (tallest in Japan) if it’s a clear day you can easily see Mt Fuji. Then catch the Seabas (sea-bus) to points around the bay."
Splended day trip from Tokyo,The entire place is very clean and pleasant. The air is crisp and fresh. There was an Okinawan marathon on-going when I went in Nov 2019 but it did not give me any inconvenience. The view is beautiful and I felt so relax to get away from the hustle and bustle of the city. Highly recommended
Beautiful and Clean Shopping/ Business District,"Beautiful harbor area and very clean. Lots of nice shopping areas, malls, and many types restaurants for everyones' tastes. There are plenty of nice walking paths and all very clean with beautiful landscapes."
Seaside shopping,"This is a nice urban area, quite near the station. Plenty of buildings, an amusement park and a giant ferris wheel. Quite nice to walk around here. Breezy and cool."
Nice place with great view of the harbor,"Minato Mirai is a nice place to walk around. There is a good view of the harbor, especially at night with the lights accenting the view. There are a number of shopping places to explore and an amusement park to enjoy rides."
Favourite City,"My parent stayed here and every time i visit them, I'm amazed by the view here in Minato Mirai, this is a wonderful seaside urban area. It also has a great amusement park with a gigantic ferris wheel, I also proposed to my girl friend here in 2019 and succeed. Definitely my favourite spot in the world."
Shopping galore,"A 30 minute easy walk from our accommodation but you can catch public transport. Lots of shops! Lots of wonderful sights on the way. Perfect for shopping, museums and fun."
A nice day,"Easy day trip from Tokyo. Very good place to relax a bit After the crowd of Tokyo. Nice walk along the Sea. A cute afternoon like a local people could do, without tourists."
Queen Square Shinjuku,Good place to see a panorama view. We have eaten  and enjoy with my family. We hope to come back next time when we are going to Tokyo.
Yokohamas latest part,"Enjoy walking along the waterfront before you get to the next museum, shoping mall or amusement park. Specially in the evening this area is really impressive with all its lights and colors."
Nice,The view and the settings were fantastic. The waterfront was so futuristic. I enjoyed so much even thogh I could not spend much time in here. It is an absolute must to see in Yokohama.
Nice walk ,"We took a nice walk along the Ookagawa river, from Yamashita Park to Minato Mirai 21 . Tall sky scrapers set the background and there is a big amusement park with a huge ferris wheel. The red brick warehouse is a nice picture spot. As we walked further along the bank of the river, there were sakura trees in full bloom."
Mesmerizing night view,"It basically just another shopping mall, with a typical shop inside it. What make it differ is the night view of the building around it, the theme park, and the seasonal event that held annually."
Large underground shopping area,There are three connecting shopping malls plus the subway station at the very bottom. As well as entry to the  Royal Park hotel which I stayed on my last trip when attending the WorldCon in 2007
