Name,objects_to_be_taken,objects_taken,objects_forgot
Dilwara_Jain_TemplesMount_Abu_Sirohi_District_Rajasthan.mp4.pickle,money,"dress,coat,book",money
Uminonakamichi_Seaside_ParkFukuoka_Fukuoka_Prefecture_Kyushu.mp4.pickle,"Water-bottle,Sunscreen,Sun-hat,Wallet/cash,Shoes,Sack,Swimming Costume,Towel","dress,Sandal,handbag,Tiffin,Picnic,coat,backpack,pullover,bottle","Swimming Costume,Wallet/cash,Sun-hat,Shoes,Towel,Sack,Sunscreen"
Museum_.mov.pickle,,"dress,backpack,pullover,book",
Crocosaurus_CoveDarwin_Top_End_Northern_Territory.mp4.pickle,"camera,goggles",handbag,"camera,goggles"
Curonian_SpitKaliningrad_Kaliningrad_Oblast_Northwestern_District.mp4.pickle,"long sleeve shirt,trousers,shoes,raincoat,binoculars","dress,pullover,coat","binoculars,shoes,long sleeve shirt,trousers"
Tower_of_LondonLondon_England.mp4.pickle,"Wallet/Cash,Camera,Mobile,Sunscreen/sun-hat,Jacket","Sandal,dress,pullover,coat","Camera,Mobile,Jacket,Wallet/Cash,Sunscreen/sun-hat"
Tula_Kremlin_MuseumTula_Tula_Oblast_Central_Russia.mp4.pickle,"Camera,Water-bottle,Cash/Wallet","dress,book,toothbrush,laptop,coat,pullover","Camera,Water-bottle,Cash/Wallet"
Universal_Studios_JapanOsaka_Osaka_Prefecture_Kinki.mp4.pickle,"Camera,Shoes,Mobile,Wallet/Cash,Credit/Debit cards","dress,Ankle boot,Sandal,Picnic,coat,pullover","Camera,Mobile,Credit/Debit cards,Wallet/Cash,Shoes"
Dry_Tortugas_National_ParkKey_West_Florida_Keys_Florida.mp4.pickle,"cooler,,,headphones,,,sunscreen,,,,,swim socks,sun block,water,mosquito repellent,umbrella","dress,tie,coat,umbrella,pullover,bottle",",headphones,cooler,sunscreen,swim socks,water,sun block,mosquito repellent"
Dargah_ShariffAjmer_Ajmer_District_Rajasthan.mp4.pickle,"pants,camera,shoes,bags","dress,tie,handbag,coat,pullover","pants,shoes,camera,bags"
Nikko national park - near Tokyo_.mov.pickle,,"dress,pullover,book",
DLF_Mall_Of_IndiaNoida_Gautam_Buddha_Nagar_District_Uttar_Pradesh.mp4.pickle,"card,cash","coat,pullover","card,cash"
National gallery London.mov.pickle,,"clock,bottle,book",
Dhanushkodi_Beach_PointRameswaram_Ramanathapuram_District_Tamil_Nadu.mp4.pickle,"umbrella,sunscreen,water","coat,bottle,dress","water,sunscreen,umbrella"
Varca_BeachVarca_Salcette_South_Goa_District_Goa.mp4.pickle,"Swimming Costume,Goggle,Sunscreen,Volleyball,Camera,handbag,Slippers","Sandal,dress,pullover,coat","Swimming Costume,Camera,Goggle,Sunscreen,handbag,Slippers,Volleyball"
Toyota_Commemorative_Museum_of_Industry_and_TechnologyNagoya_Aichi_Prefecture_Tok.mp4.pickle,"Shoes,Camera,Water-bottle,hoodie","coat,pullover,bottle,dress","Camera,hoodie,Shoes"
Ringroad - Iceland_.mov.pickle,,"dress,toothbrush,coat,pullover,bottle",
Fort_Lauderdale_BeachFort_Lauderdale_Broward_County_Florida.mp4.pickle,"umbrellas,coolers","coat,umbrella,pullover",coolers
Nahargard fort - Jaipur_.mov.pickle,,"Sandal,Ankle boot,Cap,bottle",
Eastern_State_PenitentiaryPhiladelphia_Pennsylvania.mp4.pickle,"jacket,phone,camera,shoes","dress,pullover,coat","shoes,phone,camera,jacket"
Ramoji_.mov.pickle,,,
Dolmabahce_PalaceIstanbul.mp4.pickle,"water,footwear,cash,cards","dress,book,Cap,Trouser,coat,pullover,bottle","water,cards,footwear,cash"
Four_Mile_BeachPort_Douglas_Queensland.mp4.pickle,"hat,suntan lotion,bike","coat,dress","bike,suntan lotion,hat"
Vaishno_Devi_MandirJammu_City_Jammu_District_Jammu_Jammu_and_Kashmir.mp4.pickle,"Jacket,Sweater,Woollen cloths/muffler/handgloves,Shoes,Wallet/Cash,Water-bottle","dress,Cap,Sandal,Tiffin,Picnic,coat,pullover,bottle","Jacket,Wallet/Cash,Shoes,Woollen cloths/muffler/handgloves,Sweater"
Fenway_ParkBoston_Massachusetts.mp4.pickle,,pullover,
Paradise beach - Pondicherry_.mov.pickle,,"coat,pullover,tie",
Vivekananda_Rock_MemorialKanyakumari_Kanyakumari_District_Tamil_Nadu.mp4.pickle,"Water-bottle,Sunscreen,Camera,Cotton cloths,Goggles","dress,pullover,coat,bottle","Camera,Goggles,Sunscreen,Cotton cloths"
Wollaton_Hall_and_ParkNottingham_Nottinghamshire_England.mp4.pickle,"Water-bottle,Wallet/Cash,Camera,hoodie","coat,pullover,bottle,dress","Camera,Wallet/Cash,hoodie"
Zeugma_Mosaic_MuseumGaziantep_Gaziantep_Province.mp4.pickle,"Camera,Mobile + earphones,Water-bottle,Wallet/Cash","dress,Sandal,coat,pullover,bottle","Camera,Mobile + earphones,Wallet/Cash"
